cutoff,inventory,encoder,alphabet_atoms,return_count,mixed_primitive_necklaces,pure_primitive_necklaces,first_example,connected_disconnected_match,ledger_gate
127,square_control,elias_gamma,10,5,19998,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,elias_delta,10,2,45,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,elias_delta,10,3,330,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,elias_delta,10,4,2475,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,elias_delta,10,5,19998,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,framed_binary,10,2,45,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,framed_binary,10,3,330,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,framed_binary,10,4,2475,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,framed_binary,10,5,19998,0,"(4,9)",False,CYCLE_FLOOD
127,fibonacci_control,raw_binary,9,2,36,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,raw_binary,9,3,240,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,raw_binary,9,4,1620,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,raw_binary,9,5,11808,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,elias_gamma,9,2,36,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,elias_gamma,9,3,240,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,elias_gamma,9,4,1620,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,elias_gamma,9,5,11808,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,elias_delta,9,2,36,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,elias_delta,9,3,240,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,elias_delta,9,4,1620,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,elias_delta,9,5,11808,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,framed_binary,9,2,36,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,framed_binary,9,3,240,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,framed_binary,9,4,1620,0,"(2,3)",False,CYCLE_FLOOD
127,fibonacci_control,framed_binary,9,5,11808,0,"(2,3)",False,CYCLE_FLOOD
127,matched_density_seeded_random,raw_binary,31,2,465,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,raw_binary,31,3,9920,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,raw_binary,31,4,230640,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,raw_binary,31,5,5725824,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,elias_gamma,31,2,465,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,elias_gamma,31,3,9920,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,elias_gamma,31,4,230640,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,elias_gamma,31,5,5725824,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,elias_delta,31,2,465,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,elias_delta,31,3,9920,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,elias_delta,31,4,230640,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,elias_delta,31,5,5725824,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,framed_binary,31,2,465,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,framed_binary,31,3,9920,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,framed_binary,31,4,230640,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_seeded_random,framed_binary,31,5,5725824,0,"(6,9)",False,CYCLE_FLOOD
127,matched_density_hash,raw_binary,31,2,465,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,raw_binary,31,3,9920,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,raw_binary,31,4,230640,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,raw_binary,31,5,5725824,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,elias_gamma,31,2,465,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,elias_gamma,31,3,9920,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,elias_gamma,31,4,230640,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,elias_gamma,31,5,5725824,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,elias_delta,31,2,465,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,elias_delta,31,3,9920,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,elias_delta,31,4,230640,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,elias_delta,31,5,5725824,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,framed_binary,31,2,465,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,framed_binary,31,3,9920,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,framed_binary,31,4,230640,0,"(6,10)",False,CYCLE_FLOOD
127,matched_density_hash,framed_binary,31,5,5725824,0,"(6,10)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,raw_binary,54,2,1431,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,raw_binary,54,3,52470,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,raw_binary,54,4,2125035,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,raw_binary,54,5,91832994,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,elias_gamma,54,2,1431,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,elias_gamma,54,3,52470,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,elias_gamma,54,4,2125035,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,elias_gamma,54,5,91832994,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,elias_delta,54,2,1431,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,elias_delta,54,3,52470,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,elias_delta,54,4,2125035,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,elias_delta,54,5,91832994,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,framed_binary,54,2,1431,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,framed_binary,54,3,52470,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,framed_binary,54,4,2125035,0,"(2,4)",False,CYCLE_FLOOD
127,arbitrary_decidable_modular,framed_binary,54,5,91832994,0,"(2,4)",False,CYCLE_FLOOD
