directive_bit_depth,cutoff,inventory,encoder,witness_atom,stationary_cycle_length,total_roof,equal_roof_singular_value,finite_prefix_operator_compact,single_stationary_union_compact,shared_level_states_create_mixed_cycles,acyclic_level_has_primitive_orbits,selector_stage,gate
5,31,fibonacci_control,raw_binary,21,6,log(atom),0.60204661309096108,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,fibonacci_control,elias_gamma,21,10,log(atom),0.73752724891279675,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,fibonacci_control,elias_delta,21,10,log(atom),0.73752724891279675,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,fibonacci_control,framed_binary,21,12,log(atom),0.77591662766753555,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,matched_density_seeded_random,raw_binary,31,6,log(atom),0.56420862085382328,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,matched_density_seeded_random,elias_gamma,31,10,log(atom),0.7093553206951464,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,matched_density_seeded_random,elias_delta,31,10,log(atom),0.7093553206951464,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,matched_density_seeded_random,framed_binary,31,12,log(atom),0.75113821687744209,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,matched_density_hash,raw_binary,31,6,log(atom),0.56420862085382328,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,matched_density_hash,elias_gamma,31,10,log(atom),0.7093553206951464,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,matched_density_hash,elias_delta,31,10,log(atom),0.7093553206951464,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,matched_density_hash,framed_binary,31,12,log(atom),0.75113821687744209,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,arbitrary_decidable_modular,raw_binary,30,6,log(atom),0.56730044497474463,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,arbitrary_decidable_modular,elias_gamma,30,10,log(atom),0.71168510179159872,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,arbitrary_decidable_modular,elias_delta,30,10,log(atom),0.71168510179159872,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,arbitrary_decidable_modular,framed_binary,30,12,log(atom),0.75319349769813115,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,prime_evaluator,raw_binary,127,8,log(atom),0.54578869381583861,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,prime_evaluator,elias_gamma,127,14,log(atom),0.70750303245498725,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,prime_evaluator,elias_delta,127,12,log(atom),0.66785629408457126,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,prime_evaluator,framed_binary,127,16,log(atom),0.73877513075078438,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,composite_control,raw_binary,126,8,log(atom),0.5463282800670145,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,composite_control,elias_gamma,126,14,log(atom),0.70790264087019206,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,composite_control,elias_delta,126,12,log(atom),0.66829639935576179,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,composite_control,framed_binary,126,16,log(atom),0.73914023031290521,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,square_control,raw_binary,121,8,log(atom),0.54910048677611245,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,square_control,elias_gamma,121,14,log(atom),0.70995302895073409,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,square_control,elias_delta,121,12,log(atom),0.67055522742173079,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,square_control,framed_binary,121,16,log(atom),0.74101314885507419,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,fibonacci_control,raw_binary,89,8,log(atom),0.57059274999459653,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,fibonacci_control,elias_gamma,89,14,log(atom),0.72570122581410612,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,fibonacci_control,elias_delta,89,12,log(atom),0.68794042882275808,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,fibonacci_control,framed_binary,89,16,log(atom),0.75537589979731057,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,matched_density_seeded_random,raw_binary,109,8,log(atom),0.55631617556011992,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,matched_density_seeded_random,elias_gamma,109,14,log(atom),0.71526921884677164,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,matched_density_seeded_random,elias_delta,109,12,log(atom),0.67641691366467671,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,matched_density_seeded_random,framed_binary,109,16,log(atom),0.7458660573857212,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,matched_density_hash,raw_binary,126,8,log(atom),0.5463282800670145,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,matched_density_hash,elias_gamma,126,14,log(atom),0.70790264087019206,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,matched_density_hash,elias_delta,126,12,log(atom),0.66829639935576179,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,matched_density_hash,framed_binary,126,16,log(atom),0.73914023031290521,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,arbitrary_decidable_modular,raw_binary,127,8,log(atom),0.54578869381583861,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,arbitrary_decidable_modular,elias_gamma,127,14,log(atom),0.70750303245498725,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,arbitrary_decidable_modular,elias_delta,127,12,log(atom),0.66785629408457126,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
7,127,arbitrary_decidable_modular,framed_binary,127,16,log(atom),0.73877513075078438,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,prime_evaluator,raw_binary,509,10,log(atom),0.53620174347066063,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,prime_evaluator,elias_gamma,509,18,log(atom),0.70733767385926671,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,prime_evaluator,elias_delta,509,16,log(atom),0.677376520072831,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,prime_evaluator,framed_binary,509,20,log(atom),0.73225797603758513,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,composite_control,raw_binary,511,10,log(atom),0.5359915092328088,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,composite_control,elias_gamma,511,18,log(atom),0.70718358637915346,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,composite_control,elias_delta,511,16,log(atom),0.67721051654760733,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,composite_control,framed_binary,511,20,log(atom),0.73211440993386323,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,square_control,raw_binary,484,10,log(atom),0.53890903385636291,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,square_control,elias_gamma,484,18,log(atom),0.70931954098045136,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,square_control,elias_delta,484,16,log(atom),0.67951205356792799,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,square_control,framed_binary,484,20,log(atom),0.73410423909439659,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,fibonacci_control,raw_binary,377,10,log(atom),0.55254272473396215,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,fibonacci_control,elias_gamma,377,18,log(atom),0.71923352898242077,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,fibonacci_control,elias_delta,377,16,log(atom),0.69020589716489955,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,fibonacci_control,framed_binary,377,20,log(atom),0.74333217657650352,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,matched_density_seeded_random,raw_binary,510,10,log(atom),0.53609651299006722,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,matched_density_seeded_random,elias_gamma,510,18,log(atom),0.70726055038979985,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,matched_density_seeded_random,elias_delta,510,16,log(atom),0.67729343184999624,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,matched_density_seeded_random,framed_binary,510,20,log(atom),0.73218611909136,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,matched_density_hash,raw_binary,511,10,log(atom),0.5359915092328088,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,matched_density_hash,elias_gamma,511,18,log(atom),0.70718358637915346,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,matched_density_hash,elias_delta,511,16,log(atom),0.67721051654760733,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,matched_density_hash,framed_binary,511,20,log(atom),0.73211440993386323,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,arbitrary_decidable_modular,raw_binary,508,10,log(atom),0.53630720161100243,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,arbitrary_decidable_modular,elias_gamma,508,18,log(atom),0.70741495743218452,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,arbitrary_decidable_modular,elias_delta,508,16,log(atom),0.67745978191752898,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
9,511,arbitrary_decidable_modular,framed_binary,508,20,log(atom),0.73232998136837357,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,prime_evaluator,raw_binary,2039,12,log(atom),0.52992600385667221,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,prime_evaluator,elias_gamma,2039,22,log(atom),0.70724835220700966,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,prime_evaluator,elias_delta,2039,18,log(atom),0.65485249640743337,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,prime_evaluator,framed_binary,2039,24,log(atom),0.72796016639420058,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,composite_control,raw_binary,2047,12,log(atom),0.5297531077143609,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,composite_control,elias_gamma,2047,22,log(atom),0.70712247914734661,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,composite_control,elias_delta,2047,18,log(atom),0.65471005183067443,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,composite_control,framed_binary,2047,24,log(atom),0.72784140285804078,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,square_control,raw_binary,2025,12,log(atom),0.53023034783690925,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,square_control,elias_gamma,2025,22,log(atom),0.70746987750007206,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,square_control,elias_delta,2025,18,log(atom),0.65510319976576659,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,square_control,framed_binary,2025,24,log(atom),0.72816917528614822,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,fibonacci_control,raw_binary,1597,12,log(atom),0.54082645040082655,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,fibonacci_control,elias_gamma,1597,22,log(atom),0.71514685170767611,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,fibonacci_control,elias_delta,1597,18,log(atom),0.66380209046871952,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,fibonacci_control,framed_binary,1597,24,log(atom),0.73540903611583841,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,matched_density_seeded_random,raw_binary,2046,12,log(atom),0.52977467966257141,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,matched_density_seeded_random,elias_gamma,2046,22,log(atom),0.70713818512753845,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,matched_density_seeded_random,elias_delta,2046,18,log(atom),0.6547278252365305,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,matched_density_seeded_random,framed_binary,2046,24,log(atom),0.72785622183407317,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,matched_density_hash,raw_binary,2047,12,log(atom),0.5297531077143609,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,matched_density_hash,elias_gamma,2047,22,log(atom),0.70712247914734661,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,matched_density_hash,elias_delta,2047,18,log(atom),0.65471005183067443,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,matched_density_hash,framed_binary,2047,24,log(atom),0.72784140285804078,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,arbitrary_decidable_modular,raw_binary,2046,12,log(atom),0.52977467966257141,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,arbitrary_decidable_modular,elias_gamma,2046,22,log(atom),0.70713818512753845,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,arbitrary_decidable_modular,elias_delta,2046,18,log(atom),0.6547278252365305,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
11,2047,arbitrary_decidable_modular,framed_binary,2046,24,log(atom),0.72785622183407317,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,prime_evaluator,raw_binary,8191,14,log(atom),0.52538290056160586,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,prime_evaluator,elias_gamma,8191,26,log(atom),0.70711010127182405,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,prime_evaluator,elias_delta,8191,20,log(atom),0.63728420355927951,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,prime_evaluator,framed_binary,8191,28,log(atom),0.72483301563988234,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,composite_control,raw_binary,8190,14,log(atom),0.52538748239589239,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,composite_control,elias_gamma,8190,26,log(atom),0.70711342177805026,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,composite_control,elias_delta,8190,20,log(atom),0.63728809395760411,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,composite_control,framed_binary,8190,28,log(atom),0.72483617624666907,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,square_control,raw_binary,8100,14,log(atom),0.52580232077171452,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,square_control,elias_gamma,8100,26,log(atom),0.70741400439546154,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,square_control,elias_delta,8100,20,log(atom),0.63764028769281689,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,square_control,framed_binary,8100,28,log(atom),0.72512227987541145,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,fibonacci_control,raw_binary,6765,14,log(atom),0.53261015517444721,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,fibonacci_control,elias_gamma,6765,26,log(atom),0.71233126702181593,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,fibonacci_control,elias_delta,6765,20,log(atom),0.6434082273029601,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,fibonacci_control,framed_binary,6765,28,log(atom),0.72980144914520906,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,matched_density_seeded_random,raw_binary,8189,14,log(atom),0.52539206482962075,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,matched_density_seeded_random,elias_gamma,8189,26,log(atom),0.70711674270533109,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,matched_density_seeded_random,elias_delta,8189,20,log(atom),0.6372919848547296,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,matched_density_seeded_random,framed_binary,8189,28,log(atom),0.72483933725317418,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,matched_density_hash,raw_binary,8180,14,log(atom),0.52543333373310197,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,matched_density_hash,elias_gamma,8180,26,log(atom),0.70714665001562027,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,matched_density_hash,elias_delta,8180,20,log(atom),0.63732702539552422,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,matched_density_hash,framed_binary,8180,28,log(atom),0.72486780431545039,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,arbitrary_decidable_modular,raw_binary,8191,14,log(atom),0.52538290056160586,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,arbitrary_decidable_modular,elias_gamma,8191,26,log(atom),0.70711010127182405,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,arbitrary_decidable_modular,elias_delta,8191,20,log(atom),0.63728420355927951,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
13,8191,arbitrary_decidable_modular,framed_binary,8191,28,log(atom),0.72483301563988234,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
