s,readout,z,abs_zF,repetition_cutoff,trace_log_partial,trace_log_target,trace_log_residual,determinant_reconstruction_residual,precision_digits
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,1,(0.195594359947020630810134906665 + 0.0j),(0.217651609605262599643548105989 + 0.0j),0.02205724965824197,0.01794010334930693,80
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,2,(0.214722936768562965001642932028 + 0.0j),(0.217651609605262599643548105989 + 0.0j),0.0029286728366996347,0.002359294061597454,80
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,4,(0.217583133713185269720566686639 + 0.0j),(0.217651609605262599643548105989 + 0.0j),6.847589207732992e-05,5.508427974573689e-05,80
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,8,(0.217651553079040417069192448953 + 0.0j),(0.217651609605262599643548105989 + 0.0j),5.6526222182574356e-08,4.547001321967467e-08,80
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,16,(0.217651609605197829665784203067 + 0.0j),(0.217651609605262599643548105989 + 0.0j),6.476997776390292e-14,5.210133541939126e-14,80
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,32,(0.217651609605262599643547951927 + 0.0j),(0.217651609605262599643548105989 + 0.0j),1.5406192303687574e-25,1.2392827980827087e-25,80
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,64,(0.217651609605262599643548105989 + 0.0j),(0.217651609605262599643548105989 + 0.0j),1.652651946849908e-48,1.3294025470906026e-48,80
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,128,(0.217651609605262599643548105989 + 0.0j),(0.217651609605262599643548105989 + 0.0j),2.1084395886461046e-81,2.1084395886461046e-81,80
(1.25+0j),endpoint_grouped,0.25,0.19559435994702062,256,(0.217651609605262599643548105989 + 0.0j),(0.217651609605262599643548105989 + 0.0j),2.1084395886461046e-81,2.1084395886461046e-81,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,1,(0.391188719894041261620269813331 + 0.0j),(0.496246944179965302965557763062 + 0.0j),0.10505822428592404,0.06744124158590016,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,2,(0.467703027180210598386301914782 + 0.0j),(0.496246944179965302965557763062 + 0.0j),0.028543916999754705,0.01762825144469806,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,4,(0.493511822346930209165940963704 + 0.0j),(0.496246944179965302965557763062 + 0.0j),0.0027351218330350937,0.0016674523275468035,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,8,(0.496210053751539872402137869699 + 0.0j),(0.496246944179965302965557763062 + 0.0j),3.689042842543056e-05,2.245972322520255e-05,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,16,(0.49624693319390233829099385764 + 0.0j),(0.496246944179965302965557763062 + 0.0j),1.0986062964674564e-08,6.6884390935879914e-09,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,32,(0.49624694417996357411405124508 + 0.0j),(0.496246944179965302965557763062 + 0.0j),1.728851506517982e-15,1.0525442987963288e-15,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,64,(0.496246944179965302965557762982 + 0.0j),(0.496246944179965302965557763062 + 0.0j),8.008400902620779e-29,4.8756048051262717e-29,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,128,(0.496246944179965302965557763062 + 0.0j),(0.496246944179965302965557763062 + 0.0j),3.316135457685828e-55,2.0189006729984684e-55,80
(1.25+0j),endpoint_grouped,0.5,0.39118871989404125,256,(0.496246944179965302965557763062 + 0.0j),(0.496246944179965302965557763062 + 0.0j),2.635549485807631e-81,2.1084395886461046e-81,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,1,(0.782377439788082523240539626661 + 0.0j),(1.5249930919300105900247385988 + 0.0j),0.742615652141928,0.2396949128826806,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,2,(1.08843466893275987030466803247 + 0.0j),(1.5249930919300105900247385988 + 0.0j),0.43655842299725073,0.11912063574188231,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,4,(1.3417405440223755249937646164 + 0.0j),(1.5249930919300105900247385988 + 0.0j),0.18325254790763507,0.04376775085503363,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,8,(1.48177686151703735512395402304 + 0.0j),(1.5249930919300105900247385988 + 0.0j),0.04321623041297323,0.009611006663882225,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,16,(1.52144651793235187530345746791 + 0.0j),(1.5249930919300105900247385988 + 0.0j),0.0035465739976587147,0.0007731847814337119,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,32,(1.5249545312402682626213493783 + 0.0j),(1.5249930919300105900247385988 + 0.0j),3.8560689742327405e-05,8.391837821750182e-06,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,64,(1.52499308399692423887067209024 + 0.0j),(1.5249930919300105900247385988 + 0.0j),7.933086351154067e-09,1.7264185689682803e-09,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,128,(1.52499309193000997220833742866 + 0.0j),(1.5249930919300105900247385988 + 0.0j),6.178164011701454e-16,1.3445078696356016e-16,80
(1.25+0j),endpoint_grouped,1.0,0.7823774397880825,256,(1.5249930919300105900247385988 + 0.0j),(1.5249930919300105900247385988 + 0.0j),7.151980202205042e-30,1.5564322421888084e-30,80
