s,sigma,sigma_bar,raw_region_certified,word_length,alphabet_sum,F_partial,F_closed,actual_F_residual,exact_remainder_residual,absolute_geometric_tail_bound,D_partial,target_one_over_zeta,D_residual,closed_D_identity_residual,precision_digits
(1.8+0j),1.8,1.7286472389981836181351030103,True,8,(0.882229618102822046665946247965 + 0.0j),(0.296701863686245824615653449689 + 0.0j),(0.468715192672431845269126709659 + 0.0j),0.17201332898618601,1.3177747429038154e-81,2.7491511644153226,(0.703298136313754175384346550311 + 0.0j),(0.531284807327568154730873290341 + 0.0j),0.17201332898618601,0.0,80
(1.8+0j),1.8,1.7286472389981836181351030103,True,16,(0.882229618102822046665946247965 + 0.0j),(0.405588189725914897778574242508 + 0.0j),(0.468715192672431845269126709659 + 0.0j),0.06312700294651695,6.588873714519077e-82,1.0089082903011755,(0.594411810274085102221425757492 + 0.0j),(0.531284807327568154730873290341 + 0.0j),0.06312700294651695,0.0,80
(1.8+0j),1.8,1.7286472389981836181351030103,True,32,(0.882229618102822046665946247965 + 0.0j),(0.460213188548587399772783831011 + 0.0j),(0.468715192672431845269126709659 + 0.0j),0.008502004123844446,1.1530529000408385e-82,0.13588071735305982,(0.539786811451412600227216168989 + 0.0j),(0.531284807327568154730873290341 + 0.0j),0.008502004123844446,0.0,80
(1.8+0j),1.8,1.7286472389981836181351030103,True,64,(0.882229618102822046665946247965 + 0.0j),(0.468560975196122335729812964464 + 0.0j),(0.468715192672431845269126709659 + 0.0j),0.00015421747630950955,1.2498269827228374e-81,0.0024647343148828213,(0.531439024803877664270187035536 + 0.0j),(0.531284807327568154730873290341 + 0.0j),0.00015421747630950955,0.0,80
(2+0j),2.0,1.7286472389981836181351030103,True,1,(0.644934066848226436472415166646 + 0.0j),(0.644934066848226436472415166646 + 0.0j),(0.392072898145973371336723220742 + 0.0j),0.25286116870225306,5.271098971615262e-82,1.1714442635745579,(0.355065933151773563527584833354 + 0.0j),(0.607927101854026628663276779258 + 0.0j),0.25286116870225306,0.0,80
(2+0j),2.0,1.7286472389981836181351030103,True,2,(0.644934066848226436472415166646 + 0.0j),(0.228994116266833830627236258585 + 0.0j),(0.392072898145973371336723220742 + 0.0j),0.16307878187913954,2.635549485807631e-82,0.7555043129931653,(0.771005883733166169372763741415 + 0.0j),(0.607927101854026628663276779258 + 0.0j),0.16307878187913954,0.0,80
(2+0j),2.0,1.7286472389981836181351030103,True,4,(0.644934066848226436472415166646 + 0.0j),(0.324241917670290366776225769649 + 0.0j),(0.392072898145973371336723220742 + 0.0j),0.067830980475683,2.635549485807631e-82,0.3142444266104062,(0.675758082329709633223774230351 + 0.0j),(0.607927101854026628663276779258 + 0.0j),0.067830980475683,0.0,80
(2+0j),2.0,1.7286472389981836181351030103,True,8,(0.644934066848226436472415166646 + 0.0j),(0.38033772865568264813061487373 + 0.0j),(0.392072898145973371336723220742 + 0.0j),0.011735169490290723,4.118046071574423e-82,0.054366184622296046,(0.61966227134431735186938512627 + 0.0j),(0.607927101854026628663276779258 + 0.0j),0.011735169490290723,0.0,80
(2+0j),2.0,1.7286472389981836181351030103,True,16,(0.644934066848226436472415166646 + 0.0j),(0.391721651723134479759511876206 + 0.0j),(0.392072898145973371336723220742 + 0.0j),0.0003512464228388916,1.240561379061795e-82,0.001627239205005054,(0.608278348276865520240488123794 + 0.0j),(0.607927101854026628663276779258 + 0.0j),0.0003512464228388916,0.0,80
(2+0j),2.0,1.7286472389981836181351030103,True,32,(0.644934066848226436472415166646 + 0.0j),(0.392072583474772835604211095389 + 0.0j),(0.392072898145973371336723220742 + 0.0j),3.146712005357325e-07,5.696662236118772e-82,1.4577951002581865e-06,(0.607927416525227164395788904611 + 0.0j),(0.607927101854026628663276779258 + 0.0j),3.146712005357325e-07,0.0,80
(2+0j),2.0,1.7286472389981836181351030103,True,64,(0.644934066848226436472415166646 + 0.0j),(0.392072898145720821453997754654 + 0.0j),(0.392072898145973371336723220742 + 0.0j),2.525498827254661e-13,1.9126762000924173e-81,1.1700021513921703e-12,(0.607927101854279178546002245346 + 0.0j),(0.607927101854026628663276779258 + 0.0j),2.525498827254661e-13,0.0,80
(1.9+0.6j),1.9,1.7286472389981836181351030103,True,1,(0.409800132172610087146826875886 - 0.474696661432711909671554582678j),(0.409800132172610087146826875886 - 0.474696661432711909671554582678j),(0.362909701555330896459271986239 - 0.214515966342544544980286523999j),0.26437228784628036,6.588873714519077e-83,2.2462006375959067,(0.590199867827389912853173124114 + 0.474696661432711909671554582678j),(0.637090298444669103540728013761 + 0.214515966342544544980286523999j),0.26437228784628036,0.0,80
(1.9+0.6j),1.9,1.7286472389981836181351030103,True,2,(0.409800132172610087146826875886 - 0.474696661432711909671554582678j),(0.467200904219284108701711050387 - 0.0856351522386677460723879430928j),(0.362909701555330896459271986239 - 0.214515966342544544980286523999j),0.16579179472209055,1.3177747429038154e-82,1.6840809206131697,(0.532799095780715891298288949613 + 0.0856351522386677460723879430928j),(0.637090298444669103540728013761 + 0.214515966342544544980286523999j),0.16579179472209055,0.0,80
(1.9+0.6j),1.9,1.7286472389981836181351030103,True,4,(0.409800132172610087146826875886 - 0.474696661432711909671554582678j),(0.407065870046155195573517013424 - 0.262489517278210503178102622395j),(0.362909701555330896459271986239 - 0.214515966342544544980286523999j),0.0652014478763087,4.751304405051082e-82,0.9466550904711022,(0.592934129953844804426482986576 + 0.262489517278210503178102622395j),(0.637090298444669103540728013761 + 0.214515966342544544980286523999j),0.0652014478763087,0.0,80
(1.9+0.6j),1.9,1.7286472389981836181351030103,True,8,(0.409800132172610087146826875886 - 0.474696661432711909671554582678j),(0.358514052683680686683509128526 - 0.205440101142699289678581249529j),(0.362909701555330896459271986239 - 0.214515966342544544980286523999j),0.010084297602143737,4.788280094268515e-82,0.2991227276591864,(0.641485947316319313316490871474 + 0.205440101142699289678581249529j),(0.637090298444669103540728013761 + 0.214515966342544544980286523999j),0.010084297602143737,0.0,80
(1.9+0.6j),1.9,1.7286472389981836181351030103,True,16,(0.409800132172610087146826875886 - 0.474696661432711909671554582678j),(0.362942142236821608369617508467 - 0.214276932563571669506145664049j),(0.362909701555330896459271986239 - 0.214515966342544544980286523999j),0.00024122509261193228,9.220418126387561e-82,0.02986514915999824,(0.637057857763178391630382491533 + 0.214276932563571669506145664049j),(0.637090298444669103540728013761 + 0.214515966342544544980286523999j),0.00024122509261193228,0.0,80
(1.9+0.6j),1.9,1.7286472389981836181351030103,True,32,(0.409800132172610087146826875886 - 0.474696661432711909671554582678j),(0.362909834801558359568133634083 - 0.214515930315384589342358595589j),(0.362909701555330896459271986239 - 0.214515966342544544980286523999j),1.3803084216079995e-07,1.144000097203331e-81,0.0002977112454589797,(0.637090165198441640431866365917 + 0.214515930315384589342358595589j),(0.637090298444669103540728013761 + 0.214515966342544544980286523999j),1.3803084216079995e-07,0.0,80
(1.9+0.6j),1.9,1.7286472389981836181351030103,True,64,(0.409800132172610087146826875886 - 0.474696661432711909671554582678j),(0.362909701555308880437370709327 - 0.214515966342584014177313720728j),(0.362909701555330896459271986239 - 0.214515966342544544980286523999j),4.5194277672391e-14,3.123516558893767e-82,2.958396244037778e-08,(0.637090298444691119562629290673 + 0.214515966342584014177313720728j),(0.637090298444669103540728013761 + 0.214515966342544544980286523999j),4.5194277672391e-14,0.0,80
