n,factor_type,max_nonzero_word_length,ordered_word_counts,bar_endpoint_coefficient,expected_minus_mu,bar_coefficient_exact,determinant_coefficient,expected_mu,determinant_coefficient_exact,independent_inverse_coefficient,independent_inverse_exact
53,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
54,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
55,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
56,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
57,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
58,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
59,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
60,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
61,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
62,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
63,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
64,prime_power,6,1;5;10;10;5;1;0;0;0,0,0,True,0,0,True,0,True
65,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
66,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
67,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
68,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
69,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
70,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
71,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
72,mixed_prime,5,1;10;27;28;10;0;0;0;0,0,0,True,0,0,True,0,True
73,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
74,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
75,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
76,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
77,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
78,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
79,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
80,mixed_prime,5,1;8;18;16;5;0;0;0;0,0,0,True,0,0,True,0,True
81,prime_power,4,1;3;3;1;0;0;0;0;0,0,0,True,0,0,True,0,True
82,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
83,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
84,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
85,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
86,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
87,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
88,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
89,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
90,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
91,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
92,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
93,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
94,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
95,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
96,mixed_prime,6,1;10;30;40;25;6;0;0;0,0,0,True,0,0,True,0,True
97,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
98,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
99,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
100,mixed_prime,4,1;7;12;6;0;0;0;0;0,0,0,True,0,0,True,0,True
101,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
102,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
103,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
104,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
105,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
106,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
107,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
108,mixed_prime,5,1;10;27;28;10;0;0;0;0,0,0,True,0,0,True,0,True
109,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
110,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
111,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
112,mixed_prime,5,1;8;18;16;5;0;0;0;0,0,0,True,0,0,True,0,True
113,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
114,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
115,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
116,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
117,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
118,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
119,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
120,mixed_prime,5,1;14;45;52;20;0;0;0;0,0,0,True,0,0,True,0,True
121,prime_power,2,1;1;0;0;0;0;0;0;0,0,0,True,0,0,True,0,True
122,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
123,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
124,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
125,prime_power,3,1;2;1;0;0;0;0;0;0,0,0,True,0,0,True,0,True
126,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
127,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
128,prime_power,7,1;6;15;20;15;6;1;0;0,0,0,True,0,0,True,0,True
129,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
130,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
131,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
132,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
133,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
134,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
135,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
136,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
137,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
138,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
139,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
140,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
141,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
142,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
143,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
144,mixed_prime,6,1;13;48;76;55;15;0;0;0,0,0,True,0,0,True,0,True
145,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
146,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
147,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
148,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
149,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
150,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
151,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
152,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
153,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
154,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
155,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
156,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
157,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
158,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
159,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
160,mixed_prime,6,1;10;30;40;25;6;0;0;0,0,0,True,0,0,True,0,True
161,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
162,mixed_prime,5,1;8;18;16;5;0;0;0;0,0,0,True,0,0,True,0,True
163,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
164,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
165,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
166,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
167,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
168,mixed_prime,5,1;14;45;52;20;0;0;0;0,0,0,True,0,0,True,0,True
169,prime_power,2,1;1;0;0;0;0;0;0;0,0,0,True,0,0,True,0,True
170,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
171,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
172,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
173,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
174,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
175,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
176,mixed_prime,5,1;8;18;16;5;0;0;0;0,0,0,True,0,0,True,0,True
177,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
178,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
179,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
180,mixed_prime,5,1;16;57;72;30;0;0;0;0,0,0,True,0,0,True,0,True
181,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
182,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
183,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
184,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
185,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
186,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
187,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
188,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
189,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
190,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
191,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
192,mixed_prime,7,1;12;45;80;75;36;7;0;0,0,0,True,0,0,True,0,True
193,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
194,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
195,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
196,mixed_prime,4,1;7;12;6;0;0;0;0;0,0,0,True,0,0,True,0,True
197,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
198,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
199,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
200,mixed_prime,5,1;10;27;28;10;0;0;0;0,0,0,True,0,0,True,0,True
201,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
202,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
203,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
204,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
205,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
206,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
207,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
208,mixed_prime,5,1;8;18;16;5;0;0;0;0,0,0,True,0,0,True,0,True
209,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
210,mixed_prime,4,1;14;36;24;0;0;0;0;0,-1,-1,True,1,1,True,1,True
211,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
212,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
213,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
214,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
215,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
216,mixed_prime,6,1;14;55;92;70;20;0;0;0,0,0,True,0,0,True,0,True
217,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
218,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
219,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
220,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
221,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
222,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
223,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
224,mixed_prime,6,1;10;30;40;25;6;0;0;0,0,0,True,0,0,True,0,True
225,mixed_prime,4,1;7;12;6;0;0;0;0;0,0,0,True,0,0,True,0,True
226,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
227,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
228,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
229,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
230,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
231,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
232,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
233,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
234,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
235,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
236,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
237,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
238,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
239,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
240,mixed_prime,6,1;18;78;136;105;30;0;0;0,0,0,True,0,0,True,0,True
241,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
242,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
243,prime_power,5,1;4;6;4;1;0;0;0;0,0,0,True,0,0,True,0,True
244,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
245,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
246,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
247,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
248,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
249,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
250,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
251,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
252,mixed_prime,5,1;16;57;72;30;0;0;0;0,0,0,True,0,0,True,0,True
253,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
254,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
255,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
256,prime_power,8,1;7;21;35;35;21;7;1;0,0,0,True,0,0,True,0,True
257,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
258,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
259,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
260,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
261,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
262,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
263,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
264,mixed_prime,5,1;14;45;52;20;0;0;0;0,0,0,True,0,0,True,0,True
265,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
266,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
267,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
268,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
269,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
270,mixed_prime,5,1;14;45;52;20;0;0;0;0,0,0,True,0,0,True,0,True
271,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
272,mixed_prime,5,1;8;18;16;5;0;0;0;0,0,0,True,0,0,True,0,True
273,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
274,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
275,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
276,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
277,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
278,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
279,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
280,mixed_prime,5,1;14;45;52;20;0;0;0;0,0,0,True,0,0,True,0,True
281,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
282,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
283,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
284,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
285,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
286,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
287,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
288,mixed_prime,7,1;16;75;160;175;96;21;0;0,0,0,True,0,0,True,0,True
289,prime_power,2,1;1;0;0;0;0;0;0;0,0,0,True,0,0,True,0,True
290,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
291,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
292,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
293,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
294,mixed_prime,4,1;10;21;12;0;0;0;0;0,0,0,True,0,0,True,0,True
295,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
296,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
297,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
298,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
299,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
