role,index,window,target,predicted,residual,percent_error
CS03-Q0103,128,development,283.2111857332339,265.77941232044725,-17.43177341278664,6.1550441122781825
CS03-Q0103,129,development,284.83596398090475,265.90380538709564,-18.932158593809106,6.64668826548824
CS03-Q0103,130,development,286.6674453630029,266.2869023011159,-20.38054306188701,7.109472453727496
CS03-Q0103,131,development,287.9119205014222,267.04242037076,-20.869500130662175,7.248571054062725
CS03-Q0103,132,development,289.5798549292188,268.7655421735041,-20.814312755714695,7.18776268494308
CS03-Q0103,133,development,291.8462913290674,270.261111059343,-21.58518026972439,7.3960783162347274
CS03-Q0103,134,development,293.5584341393563,279.0462878316648,-14.512146307691467,4.9435289945722865
CS03-Q0103,135,development,294.9653696192655,279.2993139176317,-15.666055701633809,5.311150838437472
CS03-Q0103,136,development,295.57325487895827,280.50856840804556,-15.064686470912704,5.096769150199981
CS03-Q0103,137,development,297.97927706194344,280.955448349964,-17.023828711979434,5.713091487379019
CS03-Q0103,138,development,299.8403260537213,282.5405064371508,-17.299819616570517,5.769677429403199
CS03-Q0103,139,development,301.64932546219416,282.793567264777,-18.855758197417174,6.250886909336177
CS03-Q0103,140,development,302.6967495896069,283.1829062826101,-19.51384330699682,6.446664304606338
CS03-Q0103,141,development,304.8643713408573,283.60719994056217,-21.257171400295135,6.972665027009109
CS03-Q0103,142,development,305.7289126020368,284.7330025619808,-20.995910040056003,6.867492466237924
CS03-Q0103,143,development,307.2194961281701,286.08637129531644,-21.13312483285364,6.878835848372405
CS03-Q0103,144,development,310.1094631467019,288.62576407595316,-21.48369907074874,6.927779259862689
CS03-Q0103,145,development,311.165141530356,290.47887507054946,-20.686266459806518,6.648002523055255
CS03-Q0103,146,development,312.4278011806009,291.2541405836071,-21.173660596993784,6.777137155202848
CS03-Q0103,147,development,313.9852857311589,294.0346621148257,-19.95062361633319,6.353999541690419
CS03-Q0103,148,development,315.47561608947575,296.17778873057483,-19.297827358900918,6.117058300134244
CS03-Q0103,149,development,317.7348059423702,298.19943076794823,-19.535375174421972,6.148327098279954
CS03-Q0103,150,development,318.8531042563166,300.1785748634025,-18.67452939291411,5.85678142807172
CS03-Q0103,151,development,321.1601343091136,300.63699222444774,-20.523142084665835,6.390314329895162
CS03-Q0103,152,development,322.14455867248296,301.5118557396014,-20.632702932881557,6.404796349162724
CS03-Q0103,153,development,323.4669695575121,301.9906727481755,-21.47629680933659,6.639409531896001
CS03-Q0103,154,development,324.8628660517396,305.66225243413027,-19.20061361760935,5.910374999447103
CS03-Q0103,155,development,327.44390126190547,307.3441370632034,-20.099764198702076,6.138384047234189
CS03-Q0103,156,development,329.03307168048093,309.6979458453444,-19.335125835136523,5.876347242660328
CS03-Q0103,157,development,329.9532397282339,314.50262179616294,-15.45061793207094,4.682668957818644
CS03-Q0103,158,development,331.4744675826634,314.7349064853933,-16.739561097270098,5.0500303143546255
CS03-Q0103,159,development,333.64537852486984,314.8344028081057,-18.81097571676412,5.638014768833957
CS03-Q0103,160,development,334.2113548332444,314.88142331397626,-19.329931519268143,5.78374469919278
CS03-Q0103,161,development,336.84185042839067,317.1892741407184,-19.652576287672275,5.8343629993358626
CS03-Q0103,162,development,338.3399928508066,318.6162022569373,-19.723790593869296,5.829577055812802
CS03-Q0103,163,development,339.85821672536355,319.2154977425755,-20.64271898278804,6.073920819595554
CS03-Q0103,164,development,341.04226111104657,319.2685555500309,-21.773705561015674,6.384459653205839
CS03-Q0103,165,development,342.0548775103636,321.45379018683724,-20.60108732352637,6.022743330973902
CS03-Q0103,166,development,344.6617029402523,322.1796384891569,-22.482064451095425,6.522936624320204
CS03-Q0103,167,development,346.34787056600993,322.2169357283916,-24.130934837618327,6.967253703100001
CS03-Q0103,168,development,347.2726775844205,323.2444707175746,-24.028206866845892,6.919118150607959
CS03-Q0103,169,development,349.31626087069617,325.4106058309427,-23.90565503975347,6.843556317752539
CS03-Q0103,170,development,350.4084193491921,327.0443390416286,-23.36408030756354,6.667670928386158
