control_type,control_id,N,s,z,E,degree,d0_residual,magnitude_min,magnitude_max,magnitude_range
inventory,shuffled_primes,2,(1.25+0j),0.6,1.0322985840118532e-05,2,0.0,0.9935896692574601,0.9936101830933973,2.0513835937263636e-05
inventory,shuffled_primes,2,(1.5+0j),0.15,8.942232266560987e-08,2,0.0,0.9994020531975205,0.9994022319352422,1.7873772173437885e-07
inventory,shuffled_primes,2,(1.5+0j),0.35,4.872434498289034e-07,2,0.0,0.998604621858123,0.9986055949857191,9.731275960600527e-07
inventory,shuffled_primes,2,(1.5+0j),0.6,1.4333288759703581e-06,2,0.0,0.9976075611794437,0.9976104209829915,2.8598035477500616e-06
inventory,shuffled_primes,2,(2+0j),0.15,1.855046598600402e-09,2,0.0,0.9999138617578989,0.9999138654676725,3.709773599425148e-09
inventory,shuffled_primes,2,(2+0j),0.35,1.0100858303679584e-08,2,0.0,0.9997990062626089,0.9997990264602653,2.0197656436238276e-08
inventory,shuffled_primes,2,(2+0j),0.6,2.9688417852785272e-08,2,0.0,0.9996554296519967,0.9996554890083748,5.935637803489158e-08
inventory,shuffled_primes,2,(1.5+0.75j),0.15,8.060465749496254e-08,2,0.0,1.000554222284725,1.0005543835832111,1.6129848612322917e-07
inventory,shuffled_primes,2,(1.5+0.75j),0.35,4.3852360489325356e-07,2,0.0,1.0012930586741158,1.0012939368545293,8.781804134994076e-07
inventory,shuffled_primes,2,(1.5+0.75j),0.6,1.2875340378045602e-06,2,0.0,1.0022164004865357,1.0022189812606757,2.580774139948616e-06
inventory,random_increasing,2,(1.25+0j),0.15,1.142751852579425e-05,2,0.0,0.9932601230756635,0.9932828243319973,2.270125633385689e-05
inventory,random_increasing,2,(1.25+0j),0.35,6.278165229927406e-05,2,0.0,0.9842682125916699,0.9843918083205984,0.000123595728928505
inventory,random_increasing,2,(1.25+0j),0.6,0.00018661099328812453,2,0.0,0.9730196331895524,0.973382853290893,0.0003632201013406
inventory,random_increasing,2,(1.5+0j),0.15,2.588845862883104e-06,2,0.0,0.9967866484077793,0.9967918094751224,5.161067343051329e-06
inventory,random_increasing,2,(1.5+0j),0.35,1.4155532918940968e-05,2,0.0,0.9925004881717897,0.9925285873162127,2.809914442303274e-05
inventory,random_increasing,2,(1.5+0j),0.6,4.182467426959267e-05,2,0.0,0.9871400694808633,0.9872226465583517,8.257707748837717e-05
inventory,random_increasing,2,(2+0j),0.15,1.3775244452181147e-07,2,0.0,0.9992579288982757,0.9992582041987585,2.7530048285484554e-07
inventory,random_increasing,2,(2+0j),0.35,7.507285230668245e-07,2,0.0,0.9982683570517874,0.9982698559099712,1.4988581837904746e-06
inventory,random_increasing,2,(2+0j),0.6,2.2089570341619283e-06,2,0.0,0.997031161279801,0.9970355660875249,4.404807723901172e-06
inventory,random_increasing,2,(1.5+0.75j),0.15,2.4531757600338998e-06,2,0.0,1.0018754586871685,1.0018803742104723,4.915523303727909e-06
inventory,random_increasing,2,(1.5+0.75j),0.35,1.3322757267894872e-05,2,0.0,1.0043778763026174,1.0044046388160843,2.6762513466893623e-05
inventory,random_increasing,2,(1.5+0.75j),0.6,3.9029919812238896e-05,2,0.0,1.0075087848315225,1.0075874334290793,7.864859755679632e-05
inventory,primes,3,(1.25+0j),0.15,0.0037264876376221162,2,0.0,0.8799627734885783,0.8865456452728481,0.00658287178426975
inventory,primes,3,(1.25+0j),0.35,0.023165682818128086,2,0.0,0.723694214841259,0.7580191158883328,0.034324901047073864
inventory,primes,3,(1.25+0j),0.6,0.08170851739998475,2,0.0,0.5355610870996479,0.6308683032357187,0.09530721613607085
inventory,primes,3,(1.5+0j),0.15,0.0022900043572808824,2,0.0,0.9052145691309248,0.9093699756451166,0.004155406514191773
inventory,primes,3,(1.5+0j),0.35,0.013865387709977757,2,0.0,0.7806738454071863,0.8026269244426608,0.0219530790354745
inventory,primes,3,(1.5+0j),0.6,0.04704443151855912,2,0.0,0.6284681142849847,0.6905191188479615,0.06205100456297674
inventory,primes,3,(2+0j),0.15,0.0009064117628214071,2,0.0,0.9399268496527777,0.9416323170138889,0.0017054673611112126
inventory,primes,3,(2+0j),0.35,0.005291498251454946,2,0.0,0.860159947029321,0.8693114418595679,0.009151494830246909
inventory,primes,3,(2+0j),0.6,0.017049467327914774,2,0.0,0.7610920444444443,0.7874946222222222,0.02640257777777788
inventory,primes,3,(1.5+0.75j),0.15,0.002130799012227003,2,0.0,0.9294630145662784,0.9334324697724224,0.003969455206144001
inventory,primes,3,(1.5+0.75j),0.35,0.012596146906189088,2,0.0,0.8351184906976954,0.8564254227907032,0.021306932093007824
inventory,primes,3,(1.5+0.75j),0.6,0.04116425612767459,2,0.0,0.7169957229751552,0.7785590871615874,0.06156336418643216
inventory,composites,3,(1.25+0j),0.15,0.0006601708472214187,2,0.0,0.946628307489953,0.9478790059881589,0.0012506984982059155
inventory,composites,3,(1.25+0j),0.35,0.0037886466038974426,2,0.0,0.8763350077381644,0.8830005082659897,0.00666550052782533
inventory,composites,3,(1.25+0j),0.6,0.011919940398746675,2,0.0,0.7899686480288642,0.809028599922201,0.019059951893336757
inventory,composites,3,(1.5+0j),0.15,0.0002878890994640614,2,0.0,0.964518964349042,0.9650744732661288,0.0005555089170867777
inventory,composites,3,(1.5+0j),0.35,0.0016239659133161478,2,0.0,0.9175459211321308,0.9205308952279563,0.0029849740958254323
inventory,composites,3,(1.5+0j),0.6,0.004994266197900088,2,0.0,0.8593970078358469,0.8680242092297733,0.008627201393926365
inventory,composites,3,(2+0j),0.15,5.713738801548481e-05,2,0.0,0.9841290587849088,0.9842415263387891,0.00011246755388039098
inventory,composites,3,(2+0j),0.35,0.00031626154378265896,2,0.0,0.9630136750951226,0.9636229961830893,0.000609321087966741
inventory,composites,3,(2+0j),0.6,0.0009490492242256664,2,0.0,0.9366954718695746,0.938475101047092,0.0017796291775173945
inventory,composites,3,(1.5+0.75j),0.15,0.0002698873452393272,2,0.0,0.9880911509085537,0.9886246397502775,0.0005334888417237726
inventory,composites,3,(1.5+0.75j),0.35,0.0014894946844152047,2,0.0,0.9720878616001613,0.9749880066597324,0.0029001450595711464
inventory,composites,3,(1.5+0.75j),0.6,0.004449549606126986,2,0.0,0.9518956384210373,0.9604045126582164,0.008508874237179054
inventory,shuffled_primes,3,(1.25+0j),0.15,6.634246531199143e-07,2,0.0,0.9983453849051876,0.9983467095599478,1.324654760104238e-06
inventory,shuffled_primes,3,(1.25+0j),0.35,3.619510703237683e-06,2,0.0,0.9961384486228395,0.9961456597164935,7.211093653980427e-06
inventory,shuffled_primes,3,(1.25+0j),0.6,1.0664714205777466e-05,2,0.0,0.9933785210779426,0.9933997094999619,2.1188422019369213e-05
inventory,shuffled_primes,3,(1.5+0j),0.15,9.089481701445753e-08,2,0.0,0.9993912356985756,0.999391417377559,1.8167898341303612e-07
inventory,shuffled_primes,3,(1.5+0j),0.35,4.952611839527304e-07,2,0.0,0.9985793965917645,0.9985803857074828,9.891157182195798e-07
inventory,shuffled_primes,3,(1.5+0j),0.6,1.4568942111568642e-06,2,0.0,0.9975643512456331,0.9975672579413251,2.9066956919177045e-06
