charge_case,N,r,cross_count,charge,pure,closed_word_count,coefficient
inverse,4,12,12,0,False,644,715887919042946603212569020238913964597021301316369/110813590276654252299285695002380288000000000000000000000000
positive,5,1,0,0,True,5,2293369/5336100
positive,5,2,0,0,True,5,2190515471761/28473963210000
positive,5,2,2,2,False,8,4490545256297/56947926420000
positive,5,3,0,0,True,5,2593584941945698009/151939915084881000000
positive,5,3,2,2,False,24,7716101784263142293/202586553446508000000
positive,5,4,0,0,True,5,3292850571329410825161121/810766580884433504100000000
positive,5,4,2,2,False,48,11199143572259429072672717/810766580884433504100000000
positive,5,4,4,4,False,20,19189107276199023262472209/6486132647075468032800000000
positive,5,5,0,0,True,5,4298658460166867801604092263849/4326331552257425621228010000000000
positive,5,5,2,2,False,80,15458023863771102391328206297973/3461065241805940496982408000000000
positive,5,5,4,4,False,100,33586337548892151443893366309021/13844260967223761987929632000000000
positive,5,6,0,0,True,5,5679702577051088208081107154682564081/23085737796000848857434784161000000000000
positive,5,6,2,2,False,120,20925081920050082482294490229430564637/15390491864000565904956522774000000000000
positive,5,6,4,4,False,300,52246598870890548676106665439652505249/41041311637334842413217394064000000000000
positive,5,6,6,6,False,56,83978416842928545488850748914586270073/738743609472027163437913093152000000000000
positive,5,7,0,0,True,5,7544562828885391217423353734078652365908089/123187805453240129588157751761512100000000000000
positive,5,7,2,2,False,168,28093952379416465671257710748544951432520453/70393031687565788336090143863721200000000000000
positive,5,7,4,4,False,700,76704196731708306455767715319986409878973031/140786063375131576672180287727442400000000000000
positive,5,7,6,6,False,392,147055937698881350025913232317965546261035237/1126288507001052613377442301819539200000000000000
positive,5,8,0,0,True,5,10045524535796731091345535447164774209310809976641/657342448679034655495368579174604716810000000000000000
positive,5,8,2,2,False,224,37584241938091140843793448343831843081096342835757/328671224339517327747684289587302358405000000000000000
positive,5,8,4,4,False,1400,109048985018687646279533628048514741130177029472929/525873958943227724396294863339683773448000000000000000
positive,5,8,6,6,False,1568,235967530223553252726431898669788521673770240773503/2629369794716138621981474316698418867240000000000000000
positive,5,8,8,8,False,164,367745657974851815782283083939276530797143297339681/84139833430916435903407178134349403751680000000000000000
positive,5,9,0,0,True,5,13389658711001771412958587275509870247295525959468614729/3507645040396196825188836275333608229369841000000000000000000
positive,5,9,2,2,False,288,50201258989585330665212514313439730508052834788760707733/1558953351287198588972816122370492546386596000000000000000000
positive,5,9,4,4,False,2520,152077945513623816585262534832391844588764260312239925941/2078604468382931451963754829827323395182128000000000000000000
positive,5,9,6,6,False,4704,359274317524085033494486548447547248145125203123266450517/7482976086178553227069517387378364222655660800000000000000000
positive,5,9,8,8,False,1476,643973067664219212883900874024529175830694607011518497389/99773014482380709694260231831711522968742144000000000000000000
positive,5,10,0,0,True,5,17855428398077643511660394810573258889042463833671169832294801/18717144700058145878890149248807666872740408560100000000000000000000
positive,5,10,2,2,False,360,67007045784155293338675610764946191448091477074019824729878077/7486857880023258351556059699523066749096163424040000000000000000000
positive,5,10,4,4,False,4200,209522660082618360224791031040743058204425390878385443103615329/8556409005740866687492639656597790570395615341760000000000000000000
positive,5,10,6,6,False,11760,528795357260152567009749512123970276915770791691652056903086433/23957945216074426724979391038473813597107722956928000000000000000000
positive,5,10,8,8,False,7380,1052200369243317298646194801228962269706417936705862768239866401/191663561728595413799835128307790508776861783655424000000000000000000
positive,5,10,10,10,False,488,1610401695578733010161641513084622504915082409808533222930901257/9583178086429770689991756415389525438843089182771200000000000000000000
positive,5,11,0,0,True,5,23815609271241911076193224793776669196405086375752198639779302207769/99876555833980272224345725406562591199630094117549610000000000000000000000
positive,5,11,2,2,False,440,89411194773044089863042192963266283450342693009542579020089652907813/36318747575992826263398445602386396799865488770018040000000000000000000000
positive,5,11,4,4,False,6600,71590440493162985335842398275425408310916416947335730337742268413569/9079686893998206565849611400596599199966372192504510000000000000000000000
positive,5,11,6,6,False,25872,760630425948198415798708416836934740735185745378822521910884732397477/83014280173697888602053589948311764113978260045755520000000000000000000000
positive,5,11,8,8,False,27060,1641021734241652986391115047570547922748189102078969014961807654328929/464879968972708176171500103710545879038278256256230912000000000000000000000
positive,5,11,10,10,False,5368,2820035037113297411924290830253228081631229864959479087657639482228533/9297599379454163523430002074210917580765565125124618240000000000000000000000
positive,5,12,0,0,True,5,31768259331201137947741587654747001024318297376949714586476396672671374561/532951289585702130616331225341958642900346145220656473921000000000000000000000000
positive,5,12,2,2,False,528,119289884081757975918961692234552223947884436791366895851947149572765003597/177650429861900710205443741780652880966782048406885491307000000000000000000000000
positive,5,12,4,4,False,9900,389241651574701577387795020741294528218089474751912783392999763011467081569/157911493210578409071505548249469227526028487472787103384000000000000000000000000
positive,5,12,6,6,False,51744,538284019568331969128855844353220816201874178474540958548044636589364010669/152271797024486323033237492954845326542956041491616135406000000000000000000000000
positive,5,12,8,8,False,81180,2476851459369883578826973894214032289968524617011845017599183865058545499201/1299386001275616623216959939881346786499891554061791022131200000000000000000000000
positive,5,12,10,10,False,32208,4662804534727740583552192314856443629222315140339071050009947333581038043077/15159503348215527270864532631949045842498734797387561924864000000000000000000000000
positive,5,12,12,12,False,1460,7052142145891710284475699586279315119198820942023708887316042006042495425329/1091484241071517963502246349500331300659908905411904458590208000000000000000000000000
inverse,5,1,0,0,True,5,2293369/5336100
inverse,5,2,0,0,True,5,2190515471761/28473963210000
inverse,5,2,2,0,False,8,4490545256297/56947926420000
inverse,5,3,0,0,True,5,2593584941945698009/151939915084881000000
inverse,5,3,2,0,False,24,7716101784263142293/202586553446508000000
inverse,5,4,0,0,True,5,3292850571329410825161121/810766580884433504100000000
inverse,5,4,2,0,False,48,11199143572259429072672717/810766580884433504100000000
inverse,5,4,4,0,False,20,19189107276199023262472209/6486132647075468032800000000
inverse,5,5,0,0,True,5,4298658460166867801604092263849/4326331552257425621228010000000000
inverse,5,5,2,0,False,80,15458023863771102391328206297973/3461065241805940496982408000000000
inverse,5,5,4,0,False,100,33586337548892151443893366309021/13844260967223761987929632000000000
inverse,5,6,0,0,True,5,5679702577051088208081107154682564081/23085737796000848857434784161000000000000
inverse,5,6,2,0,False,120,20925081920050082482294490229430564637/15390491864000565904956522774000000000000
inverse,5,6,4,0,False,300,52246598870890548676106665439652505249/41041311637334842413217394064000000000000
inverse,5,6,6,0,False,56,83978416842928545488850748914586270073/738743609472027163437913093152000000000000
inverse,5,7,0,0,True,5,7544562828885391217423353734078652365908089/123187805453240129588157751761512100000000000000
inverse,5,7,2,0,False,168,28093952379416465671257710748544951432520453/70393031687565788336090143863721200000000000000
inverse,5,7,4,0,False,700,76704196731708306455767715319986409878973031/140786063375131576672180287727442400000000000000
inverse,5,7,6,0,False,392,147055937698881350025913232317965546261035237/1126288507001052613377442301819539200000000000000
inverse,5,8,0,0,True,5,10045524535796731091345535447164774209310809976641/657342448679034655495368579174604716810000000000000000
inverse,5,8,2,0,False,224,37584241938091140843793448343831843081096342835757/328671224339517327747684289587302358405000000000000000
inverse,5,8,4,0,False,1400,109048985018687646279533628048514741130177029472929/525873958943227724396294863339683773448000000000000000
inverse,5,8,6,0,False,1568,235967530223553252726431898669788521673770240773503/2629369794716138621981474316698418867240000000000000000
inverse,5,8,8,0,False,164,367745657974851815782283083939276530797143297339681/84139833430916435903407178134349403751680000000000000000
inverse,5,9,0,0,True,5,13389658711001771412958587275509870247295525959468614729/3507645040396196825188836275333608229369841000000000000000000
inverse,5,9,2,0,False,288,50201258989585330665212514313439730508052834788760707733/1558953351287198588972816122370492546386596000000000000000000
inverse,5,9,4,0,False,2520,152077945513623816585262534832391844588764260312239925941/2078604468382931451963754829827323395182128000000000000000000
inverse,5,9,6,0,False,4704,359274317524085033494486548447547248145125203123266450517/7482976086178553227069517387378364222655660800000000000000000
inverse,5,9,8,0,False,1476,643973067664219212883900874024529175830694607011518497389/99773014482380709694260231831711522968742144000000000000000000
inverse,5,10,0,0,True,5,17855428398077643511660394810573258889042463833671169832294801/18717144700058145878890149248807666872740408560100000000000000000000
inverse,5,10,2,0,False,360,67007045784155293338675610764946191448091477074019824729878077/7486857880023258351556059699523066749096163424040000000000000000000
inverse,5,10,4,0,False,4200,209522660082618360224791031040743058204425390878385443103615329/8556409005740866687492639656597790570395615341760000000000000000000
inverse,5,10,6,0,False,11760,528795357260152567009749512123970276915770791691652056903086433/23957945216074426724979391038473813597107722956928000000000000000000
