GDN_GENERAL_DIHEDRAL_NORMALIZER_REPLAY_V1
DOMAIN n>=3; complete subgroup carrier of D_(2n); update H->N_D(H)
SYMBOLIC H_(d,j)->H_(d/gcd(d,2),j mod d/gcd(d,2)); rotations->G
SYMBOLIC depth(R_d)=1; depth(H_(d,j))=v2(d); fixed roots=SIGMA(oddpart(n))
BOX n= 60 a=2 odd= 15 states= 180 fixed= 24 image1= 72 max_tail=2 signature=(2, 24, 12) depths=0:24/1:60/2:96
BOX n= 63 a=0 odd= 63 states= 110 fixed=104 image1=104 max_tail=1 signature=(0, 104, 6) depths=0:104/1:6
BOX n= 64 a=6 odd=  1 states= 134 fixed=  1 image1= 63 max_tail=6 signature=(6, 1, 7) depths=0:1/1:9/2:4/3:8/4:16/5:32/6:64
BOX n= 66 a=1 odd= 33 states= 152 fixed= 48 image1= 48 max_tail=1 signature=(1, 48, 8) depths=0:48/1:104
BOX n= 70 a=1 odd= 35 states= 152 fixed= 48 image1= 48 max_tail=1 signature=(1, 48, 8) depths=0:48/1:104
BOX n= 72 a=3 odd=  9 states= 207 fixed= 13 image1= 91 max_tail=3 signature=(3, 13, 12) depths=0:13/1:38/2:52/3:104
BOX n= 75 a=0 odd= 75 states= 130 fixed=124 image1=124 max_tail=1 signature=(0, 124, 6) depths=0:124/1:6
BOX n= 80 a=4 odd=  5 states= 196 fixed=  6 image1= 90 max_tail=4 signature=(4, 6, 10) depths=0:6/1:22/2:24/3:48/4:96
BOX n= 84 a=2 odd= 21 states= 236 fixed= 32 image1= 96 max_tail=2 signature=(2, 32, 12) depths=0:32/1:76/2:128
ISO n=33 q=35 signature=(0, 48, 4) states=52 PASS
ISO n=66 q=70 signature=(1, 48, 8) states=152 PASS
ISO n=132 q=140 signature=(2, 48, 12) states=348 PASS
ISO n=264 q=280 signature=(3, 48, 16) states=736 PASS
PROFILE_SHA256 6eed12ce0c63f2d20f734ac1fa67634ce445140372dfc53e779a389de023b782
TOTAL boxes=44 iso_pairs=4 assertions=29590
VERDICT PASS_EXACT_REPLAY
