cutoff,kind,atom_weights,UJ,BI,MU,RM,TA,full,coefficient
18,triple,3*11*13,true,true,true,true,true,true,1/252251080950784702039968
18,triple,3*11*17,true,true,true,true,true,true,1/2820740576992161158540832
18,triple,3*13*17,true,true,true,true,true,true,1/12684993171053113748618976
18,triple,5*7*11,true,true,true,true,true,true,1/93309575020589550133280
18,triple,5*7*13,true,true,true,true,true,true,1/419617220947056260259040
18,triple,5*7*17,true,true,true,true,true,true,1/4692274528492420368164960
18,triple,5*11*13,true,true,true,true,true,true,1/24502068361756322104058720
18,triple,5*11*17,true,true,true,true,true,true,1/273988829652334955920173280
18,triple,5*13*17,true,true,true,true,true,true,1/1232139694601331053775979040
18,triple,7*11*13,true,true,true,true,true,true,1/505042728515060407505465632
18,triple,7*11*17,true,true,true,true,true,true,1/5647525917699482794107313568
18,triple,7*13*17,true,true,true,true,true,true,1/25397169907682188433244560224
18,triple,11*13*17,true,true,true,true,true,true,1/1482978205395635783935424241632
30,pair,2*3,true,true,true,true,true,true,1/11659416
30,pair,2*5,true,true,true,true,true,true,1/1132521640
30,pair,2*7,true,true,true,true,true,true,1/23343817784
30,pair,2*11,true,true,true,true,true,true,1/1363079946712
30,pair,2*13,true,true,true,true,true,true,1/6129829859816
30,pair,2*17,true,true,true,true,true,true,1/68545433979784
30,pair,2*19,true,true,true,true,true,true,1/186516351697688
30,pair,2*23,true,true,true,true,true,true,1/1041073678751416
30,pair,2*29,true,true,true,true,true,true,1/8385154084957288
30,pair,3*5,true,true,true,true,true,true,1/39524613360
30,pair,3*7,true,true,true,true,true,true,1/814691163216
30,pair,3*11,true,true,true,true,true,true,1/47571018486288
30,pair,3*13,true,true,true,true,true,true,1/213928941059184
30,pair,3*17,true,true,true,true,true,true,1/2392211927751216
30,pair,3*19,true,true,true,true,true,true,1/6509356135719312
30,pair,3*23,true,true,true,true,true,true,1/36333111155317584
30,pair,3*29,true,true,true,true,true,true,1/292638976127609712
30,pair,5*7,true,true,true,true,true,true,1/79133926798640
30,pair,5*11,true,true,true,true,true,true,1/4620746688561520
30,pair,5*13,true,true,true,true,true,true,1/20779699015097360
30,pair,5*17,true,true,true,true,true,true,1/232364277562818640
30,pair,5*19,true,true,true,true,true,true,1/632277524549162480
30,pair,5*23,true,true,true,true,true,true,1/3529167724345933360
30,pair,5*29,true,true,true,true,true,true,1/28425092060525278480
30,pair,7*11,true,true,true,true,true,true,1/95243980259663312
30,pair,7*13,true,true,true,true,true,true,1/428316325518333616
30,pair,7*17,true,true,true,true,true,true,1/4789550294983535984
30,pair,7*19,true,true,true,true,true,true,1/13032661629312651088
30,pair,7*23,true,true,true,true,true,true,1/72744083094346355216
30,pair,7*29,true,true,true,true,true,true,1/585905068934777440688
30,pair,11*13,true,true,true,true,true,true,1/25010021906681013488
30,pair,11*17,true,true,true,true,true,true,1/279668905115225179312
30,pair,11*19,true,true,true,true,true,true,1/760996332458307520784
30,pair,11*23,true,true,true,true,true,true,1/4247634291243357742288
30,pair,11*29,true,true,true,true,true,true,1/34211861038827029273584
30,pair,13*17,true,true,true,true,true,true,1/1257683241230727121616
30,pair,13*19,true,true,true,true,true,true,1/3422233635793484832112
30,pair,13*23,true,true,true,true,true,true,1/19101796321520694667184
30,pair,13*29,true,true,true,true,true,true,1/153852228448920907482512
30,pair,17*19,true,true,true,true,true,true,1/38268352484536961335088
30,pair,17*23,true,true,true,true,true,true,1/213601510742645688943216
30,pair,17*29,true,true,true,true,true,true,1/1720417696569592983924688
30,pair,19*23,true,true,true,true,true,true,1/581222879303423573663312
30,pair,19*29,true,true,true,true,true,true,1/4681362616435383711407216
30,pair,23*29,true,true,true,true,true,true,1/26129845218938791540353712
30,triple,2*3*5,true,true,true,true,true,true,1/11422613261040
30,triple,2*3*7,true,true,true,true,true,true,1/235445746169424
30,triple,2*3*11,true,true,true,true,true,true,1/13748024342537232
30,triple,2*3*13,true,true,true,true,true,true,1/61825463966104176
30,triple,2*3*17,true,true,true,true,true,true,1/691349247120101424
30,triple,2*3*19,true,true,true,true,true,true,1/1881203923222881168
30,triple,2*3*23,true,true,true,true,true,true,1/10500269123886781776
30,triple,2*3*29,true,true,true,true,true,true,1/84572664100879206768
30,triple,2*5*7,true,true,true,true,true,true,1/22869704844806960
30,triple,2*5*11,true,true,true,true,true,true,1/1335395792994279280
30,triple,2*5*13,true,true,true,true,true,true,1/6005333015363137040
30,triple,2*5*17,true,true,true,true,true,true,1/67153276215654586960
30,triple,2*5*19,true,true,true,true,true,true,1/182728204594707956720
30,triple,2*5*23,true,true,true,true,true,true,1/1019929472335974741040
30,triple,2*5*29,true,true,true,true,true,true,1/8214851605491805480720
30,triple,2*7*11,true,true,true,true,true,true,1/27525510295042697168
30,triple,2*7*13,true,true,true,true,true,true,1/123783418074798415024
30,triple,2*7*17,true,true,true,true,true,true,1/1384180035250241899376
30,triple,2*7*19,true,true,true,true,true,true,1/3766439210871356164432
30,triple,2*7*23,true,true,true,true,true,true,1/21023040014266096657424
30,triple,2*7*29,true,true,true,true,true,true,1/169326564922150680358832
30,triple,2*11*13,true,true,true,true,true,true,1/7227896331030812898032
30,triple,2*11*17,true,true,true,true,true,true,1/80824313578300076821168
30,triple,2*11*19,true,true,true,true,true,true,1/219927940080450873506576
30,triple,2*11*23,true,true,true,true,true,true,1/1227566310169330387521232
30,triple,2*11*29,true,true,true,true,true,true,1/9887227840221011460065776
30,triple,2*13*17,true,true,true,true,true,true,1/363470456715680138147024
30,triple,2*13*19,true,true,true,true,true,true,1/989025520744317116480368
30,triple,2*13*23,true,true,true,true,true,true,1/5520419136919480758816176
30,triple,2*13*29,true,true,true,true,true,true,1/44463294021738142262445968
30,triple,2*17*19,true,true,true,true,true,true,1/11059553868031181825840432
30,triple,2*17*23,true,true,true,true,true,true,1/61730836604624604104589424
30,triple,2*17*29,true,true,true,true,true,true,1/497200714308612372354234832
30,triple,2*19*23,true,true,true,true,true,true,1/167973412118689412788697168
30,triple,2*19*29,true,true,true,true,true,true,1/1352913796149825892596685424
30,triple,2*23*29,true,true,true,true,true,true,1/7551525268273310755162222768
30,triple,3*5*7,true,true,true,true,true,true,1/798144785691083040
30,triple,3*5*11,true,true,true,true,true,true,1/46604851100831490720
30,triple,3*5*13,true,true,true,true,true,true,1/209584044266271972960
30,triple,3*5*17,true,true,true,true,true,true,1/2343626103498588803040
30,triple,3*5*19,true,true,true,true,true,true,1/6377151112602852773280
30,triple,3*5*23,true,true,true,true,true,true,1/35595185667753083868960
30,triple,3*5*29,true,true,true,true,true,true,1/286695478522457958749280
30,triple,3*7*11,true,true,true,true,true,true,1/960630784898964164832
30,triple,3*7*13,true,true,true,true,true,true,1/4319998459177912850976
30,triple,3*7*17,true,true,true,true,true,true,1/48307404275203943934624
30,triple,3*7*19,true,true,true,true,true,true,1/131447425193247398873568
30,triple,3*7*23,true,true,true,true,true,true,1/733696822089577338708576
30,triple,3*7*29,true,true,true,true,true,true,1/5909438525276165266779168
30,triple,3*11*13,true,true,true,true,true,true,1/252251080950784702039968
30,triple,3*11*17,true,true,true,true,true,true,1/2820740576992161158540832
30,triple,3*11*19,true,true,true,true,true,true,1/7675409009174489654627424
30,triple,3*11*23,true,true,true,true,true,true,1/42841639461480506188716768
30,triple,3*11*29,true,true,true,true,true,true,1/345060830437609417253368224
30,triple,3*13*17,true,true,true,true,true,true,1/12684993171053113748618976
30,triple,3*13*19,true,true,true,true,true,true,1/34516648450613088016681632
30,triple,3*13*23,true,true,true,true,true,true,1/192660717698857726413217824
30,triple,3*13*29,true,true,true,true,true,true,1/1551753576135816272868616032
30,triple,3*17*19,true,true,true,true,true,true,1/385974603159039792025697568
30,triple,3*17*23,true,true,true,true,true,true,1/2154384837350324418681276576
30,triple,3*17*29,true,true,true,true,true,true,1/17352132887600914835864403168
30,triple,3*19*23,true,true,true,true,true,true,1/5862213960654330163968164832
30,triple,3*19*29,true,true,true,true,true,true,1/47216223349367280113253180576
30,triple,3*23*29,true,true,true,true,true,true,1/263545618878216651476007539232
30,triple,5*7*11,true,true,true,true,true,true,1/93309575020589550133280
30,triple,5*7*13,true,true,true,true,true,true,1/419617220947056260259040
30,triple,5*7*17,true,true,true,true,true,true,1/4692274528492420368164960
30,triple,5*7*19,true,true,true,true,true,true,1/12767968271621311144402720
30,triple,5*7*23,true,true,true,true,true,true,1/71266650766700180741563040
30,triple,5*7*29,true,true,true,true,true,true,1/574005336984712110867626720
30,triple,5*11*13,true,true,true,true,true,true,1/24502068361756322104058720
30,triple,5*11*17,true,true,true,true,true,true,1/273988829652334955920173280
30,triple,5*11*19,true,true,true,true,true,true,1/745540496946079295036876960
30,triple,5*11*23,true,true,true,true,true,true,1/4161364838788205146542130720
30,triple,5*11*29,true,true,true,true,true,true,1/33517018141128452309037508960
30,triple,5*13*17,true,true,true,true,true,true,1/1232139694601331053775979040
30,triple,5*13*19,true,true,true,true,true,true,1/3352728070650519155171805280
30,triple,5*13*23,true,true,true,true,true,true,1/18713838838230609358493492960
30,triple,5*13*29,true,true,true,true,true,true,1/150727489689123323851542181280
30,triple,5*17*19,true,true,true,true,true,true,1/37491122245576015650372362720
30,triple,5*17*23,true,true,true,true,true,true,1/209263264059462555000779283040
30,triple,5*17*29,true,true,true,true,true,true,1/1685476013152264550421177586720
30,triple,5*19*23,true,true,true,true,true,true,1/569418242624771040882210133280
30,triple,5*19*29,true,true,true,true,true,true,1/4586284141695581068228535443040
30,triple,5*23*29,true,true,true,true,true,true,1/25599148062542144684169128109280
30,triple,7*11*13,true,true,true,true,true,true,1/505042728515060407505465632
30,triple,7*11*17,true,true,true,true,true,true,1/5647525917699482794107313568
30,triple,7*11*19,true,true,true,true,true,true,1/15367266193078733168009073376
30,triple,7*11*23,true,true,true,true,true,true,1/85775087290531946311675348832
30,triple,7*11*29,true,true,true,true,true,true,1/690861116039712041917455692576
30,triple,7*13*17,true,true,true,true,true,true,1/25397169907682188433244560224
30,triple,7*13*19,true,true,true,true,true,true,1/69107265059030216414524532768
30,triple,7*13*23,true,true,true,true,true,true,1/385734301623408801120972162976
30,triple,7*13*29,true,true,true,true,true,true,1/3106832514337327522231559078368
30,triple,7*17*19,true,true,true,true,true,true,1/772776338488680365933691728032
30,triple,7*17*23,true,true,true,true,true,true,1/4313386457753840381283371822624
30,triple,7*17*29,true,true,true,true,true,true,1/34741450883295484854483354542432
30,triple,7*19*23,true,true,true,true,true,true,1/11736990472621924525057488489568
30,triple,7*19*29,true,true,true,true,true,true,1/94533629670326194610044716718624
30,triple,7*23*29,true,true,true,true,true,true,1/527656008230995445992368283595168
30,triple,11*13*17,true,true,true,true,true,true,1/1482978205395635783935424241632
30,triple,11*13*19,true,true,true,true,true,true,1/4035275122762454429750869573024
30,triple,11*13*23,true,true,true,true,true,true,1/22523594733600264797361928455968
30,triple,11*13*29,true,true,true,true,true,true,1/181412532314599966250142853833824
30,triple,11*17*19,true,true,true,true,true,true,1/45123550056555946419226778041376
30,triple,11*17*23,true,true,true,true,true,true,1/251864996436581471652781481724832
30,triple,11*17*29,true,true,true,true,true,true,1/2028604552043652759279924560260576
30,triple,11*19*23,true,true,true,true,true,true,1/685340182827600183795979176115424
30,triple,11*19*29,true,true,true,true,true,true,1/5519958049956999761882543920252832
30,triple,11*23*29,true,true,true,true,true,true,1/30810612481508560506933403244456224
30,triple,13*17*19,true,true,true,true,true,true,1/202922568984150931668108206956768
30,triple,13*17*23,true,true,true,true,true,true,1/1132647853505257475352725323930976
30,triple,13*17*29,true,true,true,true,true,true,1/9122722982515703966037411232302368
30,triple,13*19*23,true,true,true,true,true,true,1/3082004637337678903354195109465632
30,triple,13*19*29,true,true,true,true,true,true,1/24823491652986134181070471153434976
30,triple,13*23*29,true,true,true,true,true,true,1/138556665618876600671358859114200032
30,triple,17*19*23,true,true,true,true,true,true,1/34463818772346699666595743903313568
30,triple,17*19*29,true,true,true,true,true,true,1/277583072803028099308893299603750624
30,triple,17*23*29,true,true,true,true,true,true,1/1549378529720366379431667035269219168
30,triple,19*23*29,true,true,true,true,true,true,1/4215954498842334724539283048227692576
