fiber_cycle_size,primitive_repetition,transfer_power,normalized_fiber_moment,formal_coefficient,survives
3,28,84,0,0,False
3,29,87,0,0,False
3,30,90,1,3*x**30*y**30*z**30,True
3,31,93,0,0,False
3,32,96,0,0,False
4,1,3,0,0,False
4,2,6,0,0,False
4,3,9,0,0,False
4,4,12,1,3*x**4*y**4*z**4,True
4,5,15,0,0,False
4,6,18,0,0,False
4,7,21,0,0,False
4,8,24,1,3*x**8*y**8*z**8,True
4,9,27,0,0,False
4,10,30,0,0,False
4,11,33,0,0,False
4,12,36,1,3*x**12*y**12*z**12,True
4,13,39,0,0,False
4,14,42,0,0,False
4,15,45,0,0,False
4,16,48,1,3*x**16*y**16*z**16,True
4,17,51,0,0,False
4,18,54,0,0,False
4,19,57,0,0,False
4,20,60,1,3*x**20*y**20*z**20,True
4,21,63,0,0,False
4,22,66,0,0,False
4,23,69,0,0,False
4,24,72,1,3*x**24*y**24*z**24,True
4,25,75,0,0,False
4,26,78,0,0,False
4,27,81,0,0,False
4,28,84,1,3*x**28*y**28*z**28,True
4,29,87,0,0,False
4,30,90,0,0,False
4,31,93,0,0,False
4,32,96,1,3*x**32*y**32*z**32,True
5,1,3,0,0,False
5,2,6,0,0,False
5,3,9,0,0,False
5,4,12,0,0,False
5,5,15,1,3*x**5*y**5*z**5,True
5,6,18,0,0,False
5,7,21,0,0,False
5,8,24,0,0,False
5,9,27,0,0,False
5,10,30,1,3*x**10*y**10*z**10,True
5,11,33,0,0,False
5,12,36,0,0,False
5,13,39,0,0,False
5,14,42,0,0,False
5,15,45,1,3*x**15*y**15*z**15,True
5,16,48,0,0,False
5,17,51,0,0,False
5,18,54,0,0,False
5,19,57,0,0,False
5,20,60,1,3*x**20*y**20*z**20,True
5,21,63,0,0,False
5,22,66,0,0,False
5,23,69,0,0,False
5,24,72,0,0,False
5,25,75,1,3*x**25*y**25*z**25,True
5,26,78,0,0,False
5,27,81,0,0,False
5,28,84,0,0,False
5,29,87,0,0,False
5,30,90,1,3*x**30*y**30*z**30,True
5,31,93,0,0,False
5,32,96,0,0,False
6,1,3,0,0,False
6,2,6,0,0,False
6,3,9,0,0,False
6,4,12,0,0,False
6,5,15,0,0,False
6,6,18,1,3*x**6*y**6*z**6,True
6,7,21,0,0,False
6,8,24,0,0,False
6,9,27,0,0,False
6,10,30,0,0,False
6,11,33,0,0,False
6,12,36,1,3*x**12*y**12*z**12,True
6,13,39,0,0,False
6,14,42,0,0,False
6,15,45,0,0,False
6,16,48,0,0,False
6,17,51,0,0,False
6,18,54,1,3*x**18*y**18*z**18,True
6,19,57,0,0,False
6,20,60,0,0,False
6,21,63,0,0,False
6,22,66,0,0,False
6,23,69,0,0,False
6,24,72,1,3*x**24*y**24*z**24,True
6,25,75,0,0,False
6,26,78,0,0,False
6,27,81,0,0,False
6,28,84,0,0,False
6,29,87,0,0,False
6,30,90,1,3*x**30*y**30*z**30,True
6,31,93,0,0,False
6,32,96,0,0,False
7,1,3,0,0,False
7,2,6,0,0,False
7,3,9,0,0,False
7,4,12,0,0,False
7,5,15,0,0,False
7,6,18,0,0,False
7,7,21,1,3*x**7*y**7*z**7,True
7,8,24,0,0,False
7,9,27,0,0,False
7,10,30,0,0,False
7,11,33,0,0,False
7,12,36,0,0,False
7,13,39,0,0,False
7,14,42,1,3*x**14*y**14*z**14,True
7,15,45,0,0,False
7,16,48,0,0,False
7,17,51,0,0,False
7,18,54,0,0,False
7,19,57,0,0,False
7,20,60,0,0,False
7,21,63,1,3*x**21*y**21*z**21,True
7,22,66,0,0,False
7,23,69,0,0,False
7,24,72,0,0,False
7,25,75,0,0,False
7,26,78,0,0,False
7,27,81,0,0,False
7,28,84,1,3*x**28*y**28*z**28,True
7,29,87,0,0,False
7,30,90,0,0,False
7,31,93,0,0,False
7,32,96,0,0,False
8,1,3,0,0,False
8,2,6,0,0,False
8,3,9,0,0,False
8,4,12,0,0,False
8,5,15,0,0,False
8,6,18,0,0,False
8,7,21,0,0,False
8,8,24,1,3*x**8*y**8*z**8,True
8,9,27,0,0,False
8,10,30,0,0,False
8,11,33,0,0,False
8,12,36,0,0,False
8,13,39,0,0,False
8,14,42,0,0,False
8,15,45,0,0,False
8,16,48,1,3*x**16*y**16*z**16,True
8,17,51,0,0,False
8,18,54,0,0,False
8,19,57,0,0,False
8,20,60,0,0,False
8,21,63,0,0,False
8,22,66,0,0,False
8,23,69,0,0,False
8,24,72,1,3*x**24*y**24*z**24,True
8,25,75,0,0,False
8,26,78,0,0,False
8,27,81,0,0,False
8,28,84,0,0,False
8,29,87,0,0,False
8,30,90,0,0,False
8,31,93,0,0,False
8,32,96,1,3*x**32*y**32*z**32,True
