inventory,fiber_dimension,seed,first_ledger_failure_repetition,determinant_logabs_range,determinant_motion,ledger_exact_all_r_to_32
composites,2,28,2,0.08942212133037031,True,False
composites,2,29,2,0.18679785976393498,True,False
composites,2,30,2,0.2930917281178398,True,False
composites,2,31,2,0.2960446881729065,True,False
composites,3,0,3,0.03685332238788193,True,False
composites,3,1,3,0.04210364062145493,True,False
composites,3,2,3,0.023482532258758192,True,False
composites,3,3,3,0.036511016231150405,True,False
composites,3,4,3,0.04954319631416999,True,False
composites,3,5,3,0.020346920016863924,True,False
composites,3,6,3,0.03562004340487597,True,False
composites,3,7,3,0.03531671597719015,True,False
composites,3,8,3,0.038205531503067804,True,False
composites,3,9,3,0.05651225356214867,True,False
composites,3,10,3,0.040520095273772046,True,False
composites,3,11,3,0.045000646576799586,True,False
composites,3,12,3,0.058456120611957145,True,False
composites,3,13,3,0.022951830753354014,True,False
composites,3,14,3,0.05748218627299452,True,False
composites,3,15,3,0.03033180531766544,True,False
composites,3,16,3,0.031126242336970925,True,False
composites,3,17,3,0.043467006414383044,True,False
composites,3,18,3,0.04570810600932801,True,False
composites,3,19,3,0.059009265845757844,True,False
composites,3,20,3,0.03590128820717802,True,False
composites,3,21,3,0.03739528160010201,True,False
composites,3,22,3,0.03860460366993393,True,False
composites,3,23,3,0.015847788855191773,True,False
composites,3,24,3,0.023283472320352806,True,False
composites,3,25,3,0.03243893849937686,True,False
composites,3,26,3,0.03670071156753493,True,False
composites,3,27,3,0.03895460831249574,True,False
composites,3,28,3,0.0354321307126851,True,False
composites,3,29,3,0.04560200709250356,True,False
composites,3,30,3,0.025576028614445436,True,False
composites,3,31,3,0.03970519585187407,True,False
composites,4,0,4,0.011492050821573629,True,False
composites,4,1,4,0.00888970319949778,True,False
composites,4,2,4,0.005533240478612453,True,False
composites,4,3,4,0.004557745844973491,True,False
composites,4,4,4,0.013070155015758013,True,False
composites,4,5,4,0.007104164393041413,True,False
composites,4,6,4,0.009899666032449902,True,False
composites,4,7,4,0.007865916173387128,True,False
composites,4,8,4,0.013216604071809815,True,False
composites,4,9,4,0.008419783281334546,True,False
composites,4,10,4,0.008347682433467583,True,False
composites,4,11,4,0.007598703164860708,True,False
composites,4,12,4,0.010816152349586591,True,False
composites,4,13,4,0.0086056590896885,True,False
composites,4,14,4,0.011274238442823529,True,False
composites,4,15,4,0.005066320737431117,True,False
composites,4,16,4,0.007587169658950247,True,False
composites,4,17,4,0.007836726340298677,True,False
composites,4,18,4,0.007754673883205701,True,False
composites,4,19,4,0.009502805013235315,True,False
composites,4,20,4,0.007424654993610443,True,False
composites,4,21,4,0.010549055524875561,True,False
composites,4,22,4,0.009232636266606208,True,False
composites,4,23,4,0.007902966074651376,True,False
composites,4,24,4,0.007354355215550804,True,False
composites,4,25,4,0.011082980700661375,True,False
composites,4,26,4,0.010963979761484666,True,False
composites,4,27,4,0.010146536665295972,True,False
composites,4,28,4,0.007866729584812757,True,False
composites,4,29,4,0.009628658438352469,True,False
composites,4,30,4,0.00822197884696268,True,False
composites,4,31,4,0.00541577450764488,True,False
random_increasing,2,0,2,0.033567033586469994,True,False
random_increasing,2,1,2,0.0547949891485473,True,False
random_increasing,2,2,2,0.02241068218002641,True,False
random_increasing,2,3,2,0.02884550484754051,True,False
random_increasing,2,4,2,0.03391414469456733,True,False
random_increasing,2,5,2,0.024604431268537313,True,False
random_increasing,2,6,2,0.04564185680531668,True,False
random_increasing,2,7,2,0.02255809178953136,True,False
random_increasing,2,8,2,0.03424084289723594,True,False
random_increasing,2,9,2,0.06485044460095744,True,False
random_increasing,2,10,2,0.029766695973988122,True,False
random_increasing,2,11,2,0.05681490580520033,True,False
random_increasing,2,12,2,0.05976824258627691,True,False
random_increasing,2,13,2,0.023438794450606135,True,False
random_increasing,2,14,2,0.05011389891456582,True,False
random_increasing,2,15,2,0.02453483486869827,True,False
random_increasing,2,16,2,0.04477866855259366,True,False
random_increasing,2,17,2,0.017985838557115667,True,False
random_increasing,2,18,2,0.03465467042099148,True,False
random_increasing,2,19,2,0.04539190483816148,True,False
random_increasing,2,20,2,0.03295305992816425,True,False
random_increasing,2,21,2,0.038634639031727605,True,False
random_increasing,2,22,2,0.04820856182531282,True,False
random_increasing,2,23,2,0.03852376867796456,True,False
random_increasing,2,24,2,0.02513232032140148,True,False
random_increasing,2,25,2,0.03682097280476623,True,False
random_increasing,2,26,2,0.054621832818605484,True,False
random_increasing,2,27,2,0.054534918138595304,True,False
random_increasing,2,28,2,0.0288975768723668,True,False
random_increasing,2,29,2,0.061295537649514314,True,False
random_increasing,2,30,2,0.014686742594652621,True,False
random_increasing,2,31,2,0.03635227439450923,True,False
random_increasing,3,0,3,0.004405833590380243,True,False
random_increasing,3,1,3,0.0031152260761917903,True,False
random_increasing,3,2,3,0.0046068213700750284,True,False
random_increasing,3,3,3,0.004370526041938138,True,False
random_increasing,3,4,3,0.005114880745038863,True,False
random_increasing,3,5,3,0.005578112882854362,True,False
random_increasing,3,6,3,0.0053140801686616165,True,False
random_increasing,3,7,3,0.004540387894090796,True,False
random_increasing,3,8,3,0.00533366775201916,True,False
random_increasing,3,9,3,0.002862497340998103,True,False
random_increasing,3,10,3,0.00460875204337636,True,False
random_increasing,3,11,3,0.002454444772553651,True,False
random_increasing,3,12,3,0.00444078177575688,True,False
random_increasing,3,13,3,0.0060894033818031925,True,False
random_increasing,3,14,3,0.003961051978472457,True,False
random_increasing,3,15,3,0.004188015134879656,True,False
random_increasing,3,16,3,0.00413067314619025,True,False
random_increasing,3,17,3,0.004346487318167211,True,False
random_increasing,3,18,3,0.004138548977581305,True,False
random_increasing,3,19,3,0.0040386296860881726,True,False
random_increasing,3,20,3,0.004574848527079928,True,False
random_increasing,3,21,3,0.005797034293130122,True,False
random_increasing,3,22,3,0.005269213502847658,True,False
random_increasing,3,23,3,0.004457756921730805,True,False
random_increasing,3,24,3,0.004809089258927184,True,False
random_increasing,3,25,3,0.005547598090165119,True,False
random_increasing,3,26,3,0.00435673465335058,True,False
random_increasing,3,27,3,0.0034389470774692527,True,False
random_increasing,3,28,3,0.005584371217216983,True,False
random_increasing,3,29,3,0.002671502224336828,True,False
random_increasing,3,30,3,0.005187245424678017,True,False
random_increasing,3,31,3,0.004229389707114165,True,False
random_increasing,4,0,4,0.0005309223194017378,True,False
random_increasing,4,1,4,0.000562067859360964,True,False
random_increasing,4,2,4,0.0005948040403200821,True,False
random_increasing,4,3,4,0.0005930649275591204,True,False
random_increasing,4,4,4,0.0004800289953531366,True,False
random_increasing,4,5,4,0.0005200000279473666,True,False
random_increasing,4,6,4,0.0004898508926183053,True,False
random_increasing,4,7,4,0.0006264571431330203,True,False
random_increasing,4,8,4,0.0004652572054658354,True,False
random_increasing,4,9,4,0.0005631370855105036,True,False
random_increasing,4,10,4,0.0005620978306174814,True,False
random_increasing,4,11,4,0.0006498569519795011,True,False
random_increasing,4,12,4,0.000510587245854539,True,False
random_increasing,4,13,4,0.0005419141495595643,True,False
random_increasing,4,14,4,0.0004984745494995506,True,False
random_increasing,4,15,4,0.0005867913100510084,True,False
random_increasing,4,16,4,0.0005638736642673489,True,False
random_increasing,4,17,4,0.0005438346499980446,True,False
random_increasing,4,18,4,0.0005613752026638167,True,False
random_increasing,4,19,4,0.0005009574210986902,True,False
random_increasing,4,20,4,0.0005754979593498228,True,False
random_increasing,4,21,4,0.0004882172621304495,True,False
random_increasing,4,22,4,0.00048563596936701065,True,False
random_increasing,4,23,4,0.0006159478864201601,True,False
random_increasing,4,24,4,0.000649718093646284,True,False
random_increasing,4,25,4,0.0005471452330758294,True,False
random_increasing,4,26,4,0.0005063020328933192,True,False
random_increasing,4,27,4,0.0005610452885450352,True,False
random_increasing,4,28,4,0.0005437197057578542,True,False
random_increasing,4,29,4,0.0006149190671803598,True,False
random_increasing,4,30,4,0.0005423109593629195,True,False
random_increasing,4,31,4,0.0005812901058169853,True,False
