family,name,dimension,repetition,tau_real,tau_imag,ordinary_trace_real,ordinary_trace_imag,distance_tau_from_one,expected_tau,expected_residual
identity,identity_d3,3,8,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,9,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,10,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,11,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,12,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,13,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,14,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,15,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,16,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,17,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,18,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,19,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,20,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,21,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,22,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,23,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,24,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,25,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,26,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,27,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,28,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,29,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,30,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,31,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,32,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,1,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,2,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,3,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,4,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,5,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,6,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,7,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,8,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,9,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,10,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,11,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,12,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,13,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,14,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,15,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,16,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,17,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,18,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,19,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,20,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,21,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,22,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,23,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,24,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,25,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,26,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,27,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,28,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,29,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,30,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,31,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d4,4,32,1.0,0.0,4.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,1,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,2,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,3,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,4,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,5,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,6,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,7,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,8,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,9,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,10,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,11,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,12,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,13,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,14,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,15,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,16,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,17,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,18,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,19,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,20,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,21,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,22,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,23,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,24,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,25,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,26,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,27,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,28,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,29,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,30,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,31,1.0,0.0,8.0,0.0,0.0,1.0,0.0
identity,identity_d8,8,32,1.0,0.0,8.0,0.0,0.0,1.0,0.0
scalar_phase,scalar_phase_pi_over_7,1,1,0.9009688679024191,0.4338837391175581,0.9009688679024191,0.4338837391175581,0.4450418679126288,,
scalar_phase,scalar_phase_pi_over_7,1,2,0.6234898018587336,0.7818314824680298,0.6234898018587336,0.7818314824680298,0.8677674782351162,,
scalar_phase,scalar_phase_pi_over_7,1,3,0.22252093395631445,0.9749279121818237,0.22252093395631445,0.9749279121818237,1.2469796037174672,,
scalar_phase,scalar_phase_pi_over_7,1,4,-0.22252093395631442,0.9749279121818237,-0.22252093395631442,0.9749279121818237,1.5636629649360596,,
scalar_phase,scalar_phase_pi_over_7,1,5,-0.6234898018587336,0.7818314824680299,-0.6234898018587336,0.7818314824680299,1.8019377358048383,,
scalar_phase,scalar_phase_pi_over_7,1,6,-0.9009688679024193,0.43388373911755823,-0.9009688679024193,0.43388373911755823,1.9498558243636475,,
scalar_phase,scalar_phase_pi_over_7,1,7,-1.0000000000000002,5.551115123125783e-17,-1.0000000000000002,5.551115123125783e-17,2.0,,
scalar_phase,scalar_phase_pi_over_7,1,8,-0.9009688679024194,-0.4338837391175582,-0.9009688679024194,-0.4338837391175582,1.9498558243636475,,
scalar_phase,scalar_phase_pi_over_7,1,9,-0.6234898018587338,-0.7818314824680299,-0.6234898018587338,-0.7818314824680299,1.8019377358048385,,
scalar_phase,scalar_phase_pi_over_7,1,10,-0.22252093395631461,-0.974927912181824,-0.22252093395631461,-0.974927912181824,1.56366296493606,,
scalar_phase,scalar_phase_pi_over_7,1,11,0.22252093395631437,-0.9749279121818241,0.22252093395631437,-0.9749279121818241,1.2469796037174674,,
scalar_phase,scalar_phase_pi_over_7,1,12,0.6234898018587337,-0.7818314824680302,0.6234898018587337,-0.7818314824680302,0.8677674782351166,,
scalar_phase,scalar_phase_pi_over_7,1,13,0.9009688679024195,-0.4338837391175584,0.9009688679024195,-0.4338837391175584,0.445041867912629,,
scalar_phase,scalar_phase_pi_over_7,1,14,1.0000000000000004,-1.1102230246251565e-16,1.0000000000000004,-1.1102230246251565e-16,4.577566798522237e-16,,
scalar_phase,scalar_phase_pi_over_7,1,15,0.9009688679024196,0.4338837391175582,0.9009688679024196,0.4338837391175582,0.4450418679126288,,
scalar_phase,scalar_phase_pi_over_7,1,16,0.623489801858734,0.7818314824680301,0.623489801858734,0.7818314824680301,0.8677674782351164,,
scalar_phase,scalar_phase_pi_over_7,1,17,0.22252093395631473,0.9749279121818241,0.22252093395631473,0.9749279121818241,1.2469796037174672,,
scalar_phase,scalar_phase_pi_over_7,1,18,-0.22252093395631434,0.9749279121818242,-0.22252093395631434,0.9749279121818242,1.5636629649360598,,
scalar_phase,scalar_phase_pi_over_7,1,19,-0.6234898018587337,0.7818314824680304,-0.6234898018587337,0.7818314824680304,1.8019377358048387,,
scalar_phase,scalar_phase_pi_over_7,1,20,-0.9009688679024195,0.4338837391175585,-0.9009688679024195,0.4338837391175585,1.9498558243636477,,
scalar_phase,scalar_phase_pi_over_7,1,21,-1.0000000000000004,2.220446049250313e-16,-1.0000000000000004,2.220446049250313e-16,2.0000000000000004,,
scalar_phase,scalar_phase_pi_over_7,1,22,-0.9009688679024197,-0.43388373911755806,-0.9009688679024197,-0.43388373911755806,1.9498558243636477,,
scalar_phase,scalar_phase_pi_over_7,1,23,-0.6234898018587341,-0.78183148246803,-0.6234898018587341,-0.78183148246803,1.801937735804839,,
scalar_phase,scalar_phase_pi_over_7,1,24,-0.2225209339563149,-0.9749279121818242,-0.2225209339563149,-0.9749279121818242,1.5636629649360603,,
scalar_phase,scalar_phase_pi_over_7,1,25,0.22252093395631417,-0.9749279121818244,0.22252093395631417,-0.9749279121818244,1.2469796037174679,,
scalar_phase,scalar_phase_pi_over_7,1,26,0.6234898018587336,-0.7818314824680307,0.6234898018587336,-0.7818314824680307,0.867767478235117,,
scalar_phase,scalar_phase_pi_over_7,1,27,0.9009688679024195,-0.4338837391175589,0.9009688679024195,-0.4338837391175589,0.4450418679126295,,
scalar_phase,scalar_phase_pi_over_7,1,28,1.0000000000000007,-5.551115123125783e-16,1.0000000000000007,-5.551115123125783e-16,8.671119018262734e-16,,
scalar_phase,scalar_phase_pi_over_7,1,29,0.9009688679024199,0.4338837391175579,0.9009688679024199,0.4338837391175579,0.4450418679126284,,
scalar_phase,scalar_phase_pi_over_7,1,30,0.6234898018587343,0.7818314824680299,0.6234898018587343,0.7818314824680299,0.867767478235116,,
scalar_phase,scalar_phase_pi_over_7,1,31,0.22252093395631506,0.9749279121818241,0.22252093395631506,0.9749279121818241,1.246979603717467,,
scalar_phase,scalar_phase_pi_over_7,1,32,-0.22252093395631403,0.9749279121818244,-0.22252093395631403,0.9749279121818244,1.5636629649360598,,
diag_conjugate,conjugate_pair_pi_over_7,2,1,0.9009688679024191,0.0,1.8019377358048383,0.0,0.09903113209758085,,
diag_conjugate,conjugate_pair_pi_over_7,2,2,0.6234898018587336,0.0,1.2469796037174672,0.0,0.3765101981412664,,
diag_conjugate,conjugate_pair_pi_over_7,2,3,0.22252093395631448,0.0,0.44504186791262895,0.0,0.7774790660436856,,
diag_conjugate,conjugate_pair_pi_over_7,2,4,-0.22252093395631434,0.0,-0.4450418679126287,0.0,1.2225209339563143,,
diag_conjugate,conjugate_pair_pi_over_7,2,5,-0.6234898018587335,0.0,-1.246979603717467,0.0,1.6234898018587334,,
diag_conjugate,conjugate_pair_pi_over_7,2,6,-0.900968867902419,0.0,-1.801937735804838,0.0,1.900968867902419,,
diag_conjugate,conjugate_pair_pi_over_7,2,7,-1.0,0.0,-2.0,0.0,2.0,,
diag_conjugate,conjugate_pair_pi_over_7,2,8,-0.9009688679024191,0.0,-1.8019377358048383,0.0,1.900968867902419,,
diag_conjugate,conjugate_pair_pi_over_7,2,9,-0.6234898018587336,0.0,-1.2469796037174672,0.0,1.6234898018587336,,
diag_conjugate,conjugate_pair_pi_over_7,2,10,-0.22252093395631453,0.0,-0.44504186791262906,0.0,1.2225209339563146,,
diag_conjugate,conjugate_pair_pi_over_7,2,11,0.22252093395631423,0.0,0.44504186791262845,0.0,0.7774790660436858,,
diag_conjugate,conjugate_pair_pi_over_7,2,12,0.6234898018587334,0.0,1.2469796037174667,0.0,0.3765101981412666,,
diag_conjugate,conjugate_pair_pi_over_7,2,13,0.900968867902419,0.0,1.801937735804838,0.0,0.09903113209758097,,
diag_conjugate,conjugate_pair_pi_over_7,2,14,1.0,0.0,2.0,0.0,0.0,,
diag_conjugate,conjugate_pair_pi_over_7,2,15,0.9009688679024193,0.0,1.8019377358048385,0.0,0.09903113209758074,,
diag_conjugate,conjugate_pair_pi_over_7,2,16,0.6234898018587337,0.0,1.2469796037174674,0.0,0.3765101981412663,,
diag_conjugate,conjugate_pair_pi_over_7,2,17,0.2225209339563146,0.0,0.4450418679126292,0.0,0.7774790660436854,,
diag_conjugate,conjugate_pair_pi_over_7,2,18,-0.22252093395631428,0.0,-0.44504186791262856,0.0,1.2225209339563143,,
diag_conjugate,conjugate_pair_pi_over_7,2,19,-0.6234898018587335,0.0,-1.246979603717467,0.0,1.6234898018587334,,
diag_conjugate,conjugate_pair_pi_over_7,2,20,-0.9009688679024193,0.0,-1.8019377358048385,0.0,1.9009688679024193,,
diag_conjugate,conjugate_pair_pi_over_7,2,21,-1.0000000000000002,0.0,-2.0000000000000004,0.0,2.0,,
diag_conjugate,conjugate_pair_pi_over_7,2,22,-0.9009688679024195,0.0,-1.801937735804839,0.0,1.9009688679024195,,
diag_conjugate,conjugate_pair_pi_over_7,2,23,-0.6234898018587339,0.0,-1.2469796037174679,0.0,1.6234898018587338,,
diag_conjugate,conjugate_pair_pi_over_7,2,24,-0.22252093395631478,0.0,-0.44504186791262956,0.0,1.2225209339563148,,
diag_conjugate,conjugate_pair_pi_over_7,2,25,0.22252093395631417,0.0,0.44504186791262834,0.0,0.7774790660436859,,
diag_conjugate,conjugate_pair_pi_over_7,2,26,0.6234898018587335,0.0,1.246979603717467,0.0,0.3765101981412665,,
diag_conjugate,conjugate_pair_pi_over_7,2,27,0.9009688679024193,0.0,1.8019377358048385,0.0,0.09903113209758074,,
diag_conjugate,conjugate_pair_pi_over_7,2,28,1.0000000000000002,0.0,2.0000000000000004,0.0,2.220446049250313e-16,,
diag_conjugate,conjugate_pair_pi_over_7,2,29,0.9009688679024195,0.0,1.801937735804839,0.0,0.09903113209758052,,
diag_conjugate,conjugate_pair_pi_over_7,2,30,0.6234898018587339,0.0,1.2469796037174679,0.0,0.3765101981412661,,
diag_conjugate,conjugate_pair_pi_over_7,2,31,0.22252093395631478,0.0,0.44504186791262956,0.0,0.7774790660436852,,
diag_conjugate,conjugate_pair_pi_over_7,2,32,-0.22252093395631417,0.0,-0.44504186791262834,0.0,1.2225209339563141,,
cycle,cycle_m2,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,2,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,4,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,6,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,8,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,10,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,12,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,14,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,16,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,18,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,20,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,22,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,24,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,26,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,27,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,28,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,29,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,30,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m2,2,31,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m2,2,32,1.0,0.0,2.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,3,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,6,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,9,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,12,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,15,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,18,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,21,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,24,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,27,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,29,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,30,1.0,0.0,3.0,0.0,0.0,1.0,0.0
cycle,cycle_m3,3,31,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m3,3,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m4,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m4,4,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cycle,cycle_m4,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
