n_atoms,formal_degree,block,trace_repetition_coefficient,closed_factor_coefficient,exact_match
2,10,sign_character,1/5,1/5,True
2,10,regular_whole_extension,2/5,2/5,True
3,1,trivial_character,3,3,True
3,1,sign_character,-3,-3,True
3,1,regular_whole_extension,0,0,True
3,2,trivial_character,3/2,3/2,True
3,2,sign_character,3/2,3/2,True
3,2,regular_whole_extension,3,3,True
3,3,trivial_character,1,1,True
3,3,sign_character,-1,-1,True
3,3,regular_whole_extension,0,0,True
3,4,trivial_character,3/4,3/4,True
3,4,sign_character,3/4,3/4,True
3,4,regular_whole_extension,3/2,3/2,True
3,5,trivial_character,3/5,3/5,True
3,5,sign_character,-3/5,-3/5,True
3,5,regular_whole_extension,0,0,True
3,6,trivial_character,1/2,1/2,True
3,6,sign_character,1/2,1/2,True
3,6,regular_whole_extension,1,1,True
3,7,trivial_character,3/7,3/7,True
3,7,sign_character,-3/7,-3/7,True
3,7,regular_whole_extension,0,0,True
3,8,trivial_character,3/8,3/8,True
3,8,sign_character,3/8,3/8,True
3,8,regular_whole_extension,3/4,3/4,True
3,9,trivial_character,1/3,1/3,True
3,9,sign_character,-1/3,-1/3,True
3,9,regular_whole_extension,0,0,True
3,10,trivial_character,3/10,3/10,True
3,10,sign_character,3/10,3/10,True
3,10,regular_whole_extension,3/5,3/5,True
4,1,trivial_character,4,4,True
4,1,sign_character,-4,-4,True
4,1,regular_whole_extension,0,0,True
4,2,trivial_character,2,2,True
4,2,sign_character,2,2,True
4,2,regular_whole_extension,4,4,True
4,3,trivial_character,4/3,4/3,True
4,3,sign_character,-4/3,-4/3,True
4,3,regular_whole_extension,0,0,True
4,4,trivial_character,1,1,True
4,4,sign_character,1,1,True
4,4,regular_whole_extension,2,2,True
4,5,trivial_character,4/5,4/5,True
4,5,sign_character,-4/5,-4/5,True
4,5,regular_whole_extension,0,0,True
4,6,trivial_character,2/3,2/3,True
4,6,sign_character,2/3,2/3,True
4,6,regular_whole_extension,4/3,4/3,True
4,7,trivial_character,4/7,4/7,True
4,7,sign_character,-4/7,-4/7,True
4,7,regular_whole_extension,0,0,True
4,8,trivial_character,1/2,1/2,True
4,8,sign_character,1/2,1/2,True
4,8,regular_whole_extension,1,1,True
4,9,trivial_character,4/9,4/9,True
4,9,sign_character,-4/9,-4/9,True
4,9,regular_whole_extension,0,0,True
4,10,trivial_character,2/5,2/5,True
4,10,sign_character,2/5,2/5,True
4,10,regular_whole_extension,4/5,4/5,True
5,1,trivial_character,5,5,True
5,1,sign_character,-5,-5,True
5,1,regular_whole_extension,0,0,True
5,2,trivial_character,5/2,5/2,True
5,2,sign_character,5/2,5/2,True
5,2,regular_whole_extension,5,5,True
5,3,trivial_character,5/3,5/3,True
5,3,sign_character,-5/3,-5/3,True
5,3,regular_whole_extension,0,0,True
5,4,trivial_character,5/4,5/4,True
5,4,sign_character,5/4,5/4,True
5,4,regular_whole_extension,5/2,5/2,True
5,5,trivial_character,1,1,True
5,5,sign_character,-1,-1,True
5,5,regular_whole_extension,0,0,True
5,6,trivial_character,5/6,5/6,True
5,6,sign_character,5/6,5/6,True
5,6,regular_whole_extension,5/3,5/3,True
5,7,trivial_character,5/7,5/7,True
5,7,sign_character,-5/7,-5/7,True
5,7,regular_whole_extension,0,0,True
5,8,trivial_character,5/8,5/8,True
5,8,sign_character,5/8,5/8,True
5,8,regular_whole_extension,5/4,5/4,True
5,9,trivial_character,5/9,5/9,True
5,9,sign_character,-5/9,-5/9,True
5,9,regular_whole_extension,0,0,True
5,10,trivial_character,1/2,1/2,True
5,10,sign_character,1/2,1/2,True
5,10,regular_whole_extension,1,1,True
6,1,trivial_character,6,6,True
6,1,sign_character,-6,-6,True
6,1,regular_whole_extension,0,0,True
6,2,trivial_character,3,3,True
6,2,sign_character,3,3,True
6,2,regular_whole_extension,6,6,True
6,3,trivial_character,2,2,True
6,3,sign_character,-2,-2,True
6,3,regular_whole_extension,0,0,True
6,4,trivial_character,3/2,3/2,True
6,4,sign_character,3/2,3/2,True
6,4,regular_whole_extension,3,3,True
6,5,trivial_character,6/5,6/5,True
6,5,sign_character,-6/5,-6/5,True
6,5,regular_whole_extension,0,0,True
6,6,trivial_character,1,1,True
6,6,sign_character,1,1,True
6,6,regular_whole_extension,2,2,True
6,7,trivial_character,6/7,6/7,True
6,7,sign_character,-6/7,-6/7,True
6,7,regular_whole_extension,0,0,True
6,8,trivial_character,3/4,3/4,True
6,8,sign_character,3/4,3/4,True
6,8,regular_whole_extension,3/2,3/2,True
6,9,trivial_character,2/3,2/3,True
6,9,sign_character,-2/3,-2/3,True
6,9,regular_whole_extension,0,0,True
6,10,trivial_character,3/5,3/5,True
6,10,sign_character,3/5,3/5,True
6,10,regular_whole_extension,6/5,6/5,True
7,1,trivial_character,7,7,True
7,1,sign_character,-7,-7,True
7,1,regular_whole_extension,0,0,True
7,2,trivial_character,7/2,7/2,True
7,2,sign_character,7/2,7/2,True
7,2,regular_whole_extension,7,7,True
7,3,trivial_character,7/3,7/3,True
7,3,sign_character,-7/3,-7/3,True
7,3,regular_whole_extension,0,0,True
7,4,trivial_character,7/4,7/4,True
7,4,sign_character,7/4,7/4,True
7,4,regular_whole_extension,7/2,7/2,True
7,5,trivial_character,7/5,7/5,True
7,5,sign_character,-7/5,-7/5,True
7,5,regular_whole_extension,0,0,True
7,6,trivial_character,7/6,7/6,True
7,6,sign_character,7/6,7/6,True
7,6,regular_whole_extension,7/3,7/3,True
7,7,trivial_character,1,1,True
7,7,sign_character,-1,-1,True
7,7,regular_whole_extension,0,0,True
7,8,trivial_character,7/8,7/8,True
7,8,sign_character,7/8,7/8,True
7,8,regular_whole_extension,7/4,7/4,True
7,9,trivial_character,7/9,7/9,True
7,9,sign_character,-7/9,-7/9,True
7,9,regular_whole_extension,0,0,True
7,10,trivial_character,7/10,7/10,True
7,10,sign_character,7/10,7/10,True
7,10,regular_whole_extension,7/5,7/5,True
8,1,trivial_character,8,8,True
8,1,sign_character,-8,-8,True
8,1,regular_whole_extension,0,0,True
8,2,trivial_character,4,4,True
8,2,sign_character,4,4,True
8,2,regular_whole_extension,8,8,True
8,3,trivial_character,8/3,8/3,True
8,3,sign_character,-8/3,-8/3,True
8,3,regular_whole_extension,0,0,True
8,4,trivial_character,2,2,True
8,4,sign_character,2,2,True
8,4,regular_whole_extension,4,4,True
8,5,trivial_character,8/5,8/5,True
8,5,sign_character,-8/5,-8/5,True
8,5,regular_whole_extension,0,0,True
8,6,trivial_character,4/3,4/3,True
8,6,sign_character,4/3,4/3,True
8,6,regular_whole_extension,8/3,8/3,True
8,7,trivial_character,8/7,8/7,True
8,7,sign_character,-8/7,-8/7,True
8,7,regular_whole_extension,0,0,True
8,8,trivial_character,1,1,True
8,8,sign_character,1,1,True
8,8,regular_whole_extension,2,2,True
8,9,trivial_character,8/9,8/9,True
8,9,sign_character,-8/9,-8/9,True
8,9,regular_whole_extension,0,0,True
8,10,trivial_character,4/5,4/5,True
8,10,sign_character,4/5,4/5,True
8,10,regular_whole_extension,8/5,8/5,True
9,1,trivial_character,9,9,True
9,1,sign_character,-9,-9,True
9,1,regular_whole_extension,0,0,True
9,2,trivial_character,9/2,9/2,True
9,2,sign_character,9/2,9/2,True
9,2,regular_whole_extension,9,9,True
9,3,trivial_character,3,3,True
9,3,sign_character,-3,-3,True
9,3,regular_whole_extension,0,0,True
9,4,trivial_character,9/4,9/4,True
9,4,sign_character,9/4,9/4,True
9,4,regular_whole_extension,9/2,9/2,True
9,5,trivial_character,9/5,9/5,True
9,5,sign_character,-9/5,-9/5,True
9,5,regular_whole_extension,0,0,True
9,6,trivial_character,3/2,3/2,True
9,6,sign_character,3/2,3/2,True
9,6,regular_whole_extension,3,3,True
9,7,trivial_character,9/7,9/7,True
9,7,sign_character,-9/7,-9/7,True
9,7,regular_whole_extension,0,0,True
9,8,trivial_character,9/8,9/8,True
9,8,sign_character,9/8,9/8,True
9,8,regular_whole_extension,9/4,9/4,True
9,9,trivial_character,1,1,True
9,9,sign_character,-1,-1,True
9,9,regular_whole_extension,0,0,True
9,10,trivial_character,9/10,9/10,True
9,10,sign_character,9/10,9/10,True
9,10,regular_whole_extension,9/5,9/5,True
10,1,trivial_character,10,10,True
10,1,sign_character,-10,-10,True
10,1,regular_whole_extension,0,0,True
10,2,trivial_character,5,5,True
10,2,sign_character,5,5,True
10,2,regular_whole_extension,10,10,True
10,3,trivial_character,10/3,10/3,True
10,3,sign_character,-10/3,-10/3,True
10,3,regular_whole_extension,0,0,True
10,4,trivial_character,5/2,5/2,True
10,4,sign_character,5/2,5/2,True
10,4,regular_whole_extension,5,5,True
10,5,trivial_character,2,2,True
10,5,sign_character,-2,-2,True
10,5,regular_whole_extension,0,0,True
10,6,trivial_character,5/3,5/3,True
10,6,sign_character,5/3,5/3,True
10,6,regular_whole_extension,10/3,10/3,True
10,7,trivial_character,10/7,10/7,True
10,7,sign_character,-10/7,-10/7,True
10,7,regular_whole_extension,0,0,True
10,8,trivial_character,5/4,5/4,True
10,8,sign_character,5/4,5/4,True
10,8,regular_whole_extension,5/2,5/2,True
10,9,trivial_character,10/9,10/9,True
10,9,sign_character,-10/9,-10/9,True
10,9,regular_whole_extension,0,0,True
10,10,trivial_character,1,1,True
10,10,sign_character,1,1,True
10,10,regular_whole_extension,2,2,True
