control_kind,family,vertex_count,group_order,cycles_checked,nonidentity_periodic_holonomies,gauge_edge_mismatches,c2_exact_determinant_gauge_match,periodic_witness
vertex_coboundary,quadratic,4,2,5460,0,0,True,
noncoboundary_negative_control,constant_one,4,2,4,4,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,4,3,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,4,3,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,4,3,5460,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,4,3,4,4,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,4,4,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,4,4,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,4,4,5460,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,4,4,4,4,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,4,5,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,4,5,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,4,5,5460,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,4,5,4,4,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,4,6,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,4,6,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,4,6,5460,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,4,6,4,4,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,4,7,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,4,7,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,4,7,5460,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,4,7,4,4,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,4,8,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,4,8,5460,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,4,8,5460,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,4,8,4,4,not_applicable,not_applicable,"(0,)"
