n_atoms,base_word_length,group_order,base_primitive_necklaces,mixed_base_primitive_necklaces,base_necklaces_closing_after_one_traversal,mixed_members_closing_after_one_traversal,lifted_primitive_cycles_total,base_necklace_q_distribution_json,degree_distribution_sha256
1,10,2,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,10,3,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,10,4,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,10,5,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,10,6,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,10,7,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,10,8,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
2,1,2,3,1,1,1,4,"{""1"": 1, ""2"": 2}",328bc989b58fc287d46e23bbf0156bc14b108411436dd5be59531117ae1777d6
2,1,3,3,1,0,0,3,"{""3"": 3}",328bc989b58fc287d46e23bbf0156bc14b108411436dd5be59531117ae1777d6
2,1,4,3,1,0,0,4,"{""2"": 1, ""4"": 2}",328bc989b58fc287d46e23bbf0156bc14b108411436dd5be59531117ae1777d6
2,1,5,3,1,0,0,3,"{""5"": 3}",328bc989b58fc287d46e23bbf0156bc14b108411436dd5be59531117ae1777d6
2,1,6,3,1,0,0,4,"{""3"": 1, ""6"": 2}",328bc989b58fc287d46e23bbf0156bc14b108411436dd5be59531117ae1777d6
2,1,7,3,1,0,0,3,"{""7"": 3}",328bc989b58fc287d46e23bbf0156bc14b108411436dd5be59531117ae1777d6
2,1,8,3,1,0,0,4,"{""4"": 1, ""8"": 2}",328bc989b58fc287d46e23bbf0156bc14b108411436dd5be59531117ae1777d6
2,2,2,3,3,1,1,4,"{""1"": 1, ""2"": 2}",693df38bd3e04b7f6ab664044615189d649a492bf047c34575e675c8296e614f
2,2,3,3,3,2,2,7,"{""1"": 2, ""3"": 1}",693df38bd3e04b7f6ab664044615189d649a492bf047c34575e675c8296e614f
2,2,4,3,3,0,0,4,"{""2"": 1, ""4"": 2}",693df38bd3e04b7f6ab664044615189d649a492bf047c34575e675c8296e614f
2,2,5,3,3,0,0,3,"{""5"": 3}",693df38bd3e04b7f6ab664044615189d649a492bf047c34575e675c8296e614f
2,2,6,3,3,0,0,8,"{""2"": 2, ""3"": 1}",693df38bd3e04b7f6ab664044615189d649a492bf047c34575e675c8296e614f
2,2,7,3,3,0,0,3,"{""7"": 3}",693df38bd3e04b7f6ab664044615189d649a492bf047c34575e675c8296e614f
2,2,8,3,3,0,0,4,"{""4"": 1, ""8"": 2}",693df38bd3e04b7f6ab664044615189d649a492bf047c34575e675c8296e614f
2,3,2,8,8,4,4,12,"{""1"": 4, ""2"": 4}",2eb501e8ba36dec61190d2149bed7183148ff5c853b0a843b8aa14f5f30ef576
2,3,3,8,8,2,2,12,"{""1"": 2, ""3"": 6}",2eb501e8ba36dec61190d2149bed7183148ff5c853b0a843b8aa14f5f30ef576
2,3,4,8,8,4,4,20,"{""1"": 4, ""4"": 4}",2eb501e8ba36dec61190d2149bed7183148ff5c853b0a843b8aa14f5f30ef576
2,3,5,8,8,2,2,16,"{""1"": 2, ""5"": 6}",2eb501e8ba36dec61190d2149bed7183148ff5c853b0a843b8aa14f5f30ef576
2,3,6,8,8,0,0,16,"{""2"": 2, ""3"": 4, ""6"": 2}",2eb501e8ba36dec61190d2149bed7183148ff5c853b0a843b8aa14f5f30ef576
2,3,7,8,8,0,0,8,"{""7"": 8}",2eb501e8ba36dec61190d2149bed7183148ff5c853b0a843b8aa14f5f30ef576
2,3,8,8,8,0,0,20,"{""2"": 4, ""8"": 4}",2eb501e8ba36dec61190d2149bed7183148ff5c853b0a843b8aa14f5f30ef576
2,4,2,18,18,8,8,26,"{""1"": 8, ""2"": 10}",94a2c2e3001ab2cecfcfcfef77ec77de08d1cd32ec6486592bf0803c29e22773
2,4,3,18,18,5,5,28,"{""1"": 5, ""3"": 13}",94a2c2e3001ab2cecfcfcfef77ec77de08d1cd32ec6486592bf0803c29e22773
2,4,4,18,18,3,3,32,"{""1"": 3, ""2"": 5, ""4"": 10}",94a2c2e3001ab2cecfcfcfef77ec77de08d1cd32ec6486592bf0803c29e22773
2,4,5,18,18,8,8,50,"{""1"": 8, ""5"": 10}",94a2c2e3001ab2cecfcfcfef77ec77de08d1cd32ec6486592bf0803c29e22773
2,4,6,18,18,5,5,46,"{""1"": 5, ""3"": 3, ""6"": 10}",94a2c2e3001ab2cecfcfcfef77ec77de08d1cd32ec6486592bf0803c29e22773
2,4,7,18,18,2,2,30,"{""1"": 2, ""7"": 16}",94a2c2e3001ab2cecfcfcfef77ec77de08d1cd32ec6486592bf0803c29e22773
2,4,8,18,18,0,0,32,"{""2"": 3, ""4"": 5, ""8"": 10}",94a2c2e3001ab2cecfcfcfef77ec77de08d1cd32ec6486592bf0803c29e22773
2,5,2,48,48,24,24,72,"{""1"": 24, ""2"": 24}",a2847322e239a552fe38af1e020f1ec5762f2802a51042838c284e03dcd390e5
2,5,3,48,48,18,18,84,"{""1"": 18, ""3"": 30}",a2847322e239a552fe38af1e020f1ec5762f2802a51042838c284e03dcd390e5
2,5,4,48,48,8,8,88,"{""1"": 8, ""2"": 16, ""4"": 24}",a2847322e239a552fe38af1e020f1ec5762f2802a51042838c284e03dcd390e5
2,5,5,48,48,6,6,72,"{""1"": 6, ""5"": 42}",a2847322e239a552fe38af1e020f1ec5762f2802a51042838c284e03dcd390e5
2,5,6,48,48,16,16,140,"{""1"": 16, ""2"": 2, ""3"": 8, ""6"": 22}",a2847322e239a552fe38af1e020f1ec5762f2802a51042838c284e03dcd390e5
