schema_version,row_id,row_family,case_kind,action_case,comparison_case,subset_u,subset_v,arrow_open,subject_value,oracle_value,record_equal,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,AO-0064,INVOLUTION,DIAGNOSTIC,TRIVIAL,,0|1|2|3,,,0|1|2|3,0|1|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0065,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,EMPTY,,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0066,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,0,,,0,0,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0067,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,1,,,3,3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0068,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,0|1,,,0|3,0|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0069,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,2,,,2,2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0070,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,0|2,,,0|2,0|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0071,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,1|2,,,2|3,2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0072,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,0|1|2,,,0|2|3,0|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0073,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,3,,,1,1,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0074,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,0|3,,,0|1,0|1,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0075,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,1|3,,,1|3,1|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0076,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,0|1|3,,,0|1|3,0|1|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0077,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,2|3,,,1|2,1|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
