schema_version,row_id,row_family,case_kind,group_token,object_x,h,object_y,k,sheet_a,subject_composable,subject_value,oracle_value,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,GH-0033,ARROW,DIAGNOSTIC,D3,x21,d20,,,,,source=x01;range=x21,source=x01;range=x21,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0034,ARROW,DIAGNOSTIC,D3,x21,d01,,,,,source=x20;range=x21,source=x20;range=x21,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0035,ARROW,DIAGNOSTIC,D3,x21,d11,,,,,source=x10;range=x21,source=x10;range=x21,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0036,ARROW,DIAGNOSTIC,D3,x21,d21,,,,,source=x00;range=x21,source=x00;range=x21,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0037,UNIT,DIAGNOSTIC,D3,x00,,,,,,a(x00;d00),a(x00;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0038,UNIT,DIAGNOSTIC,D3,x10,,,,,,a(x10;d00),a(x10;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0039,UNIT,DIAGNOSTIC,D3,x20,,,,,,a(x20;d00),a(x20;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0040,UNIT,DIAGNOSTIC,D3,x01,,,,,,a(x01;d00),a(x01;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0041,UNIT,DIAGNOSTIC,D3,x11,,,,,,a(x11;d00),a(x11;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0042,UNIT,DIAGNOSTIC,D3,x21,,,,,,a(x21;d00),a(x21;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0043,INVERSE,DIAGNOSTIC,D3,x00,d00,,,,,a(x00;d00),a(x00;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0044,INVERSE,DIAGNOSTIC,D3,x00,d10,,,,,a(x10;d20),a(x10;d20),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0045,INVERSE,DIAGNOSTIC,D3,x00,d20,,,,,a(x20;d10),a(x20;d10),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0046,INVERSE,DIAGNOSTIC,D3,x00,d01,,,,,a(x01;d01),a(x01;d01),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0047,INVERSE,DIAGNOSTIC,D3,x00,d11,,,,,a(x11;d11),a(x11;d11),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0048,INVERSE,DIAGNOSTIC,D3,x00,d21,,,,,a(x21;d21),a(x21;d21),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0049,INVERSE,DIAGNOSTIC,D3,x10,d00,,,,,a(x10;d00),a(x10;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0050,INVERSE,DIAGNOSTIC,D3,x10,d10,,,,,a(x20;d20),a(x20;d20),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0051,INVERSE,DIAGNOSTIC,D3,x10,d20,,,,,a(x00;d10),a(x00;d10),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0052,INVERSE,DIAGNOSTIC,D3,x10,d01,,,,,a(x11;d01),a(x11;d01),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0053,INVERSE,DIAGNOSTIC,D3,x10,d11,,,,,a(x21;d11),a(x21;d11),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0054,INVERSE,DIAGNOSTIC,D3,x10,d21,,,,,a(x01;d21),a(x01;d21),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0055,INVERSE,DIAGNOSTIC,D3,x20,d00,,,,,a(x20;d00),a(x20;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0056,INVERSE,DIAGNOSTIC,D3,x20,d10,,,,,a(x00;d20),a(x00;d20),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0057,INVERSE,DIAGNOSTIC,D3,x20,d20,,,,,a(x10;d10),a(x10;d10),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0058,INVERSE,DIAGNOSTIC,D3,x20,d01,,,,,a(x21;d01),a(x21;d01),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0059,INVERSE,DIAGNOSTIC,D3,x20,d11,,,,,a(x01;d11),a(x01;d11),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0060,INVERSE,DIAGNOSTIC,D3,x20,d21,,,,,a(x11;d21),a(x11;d21),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0061,INVERSE,DIAGNOSTIC,D3,x01,d00,,,,,a(x01;d00),a(x01;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0062,INVERSE,DIAGNOSTIC,D3,x01,d10,,,,,a(x21;d20),a(x21;d20),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0063,INVERSE,DIAGNOSTIC,D3,x01,d20,,,,,a(x11;d10),a(x11;d10),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0064,INVERSE,DIAGNOSTIC,D3,x01,d01,,,,,a(x00;d01),a(x00;d01),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0065,INVERSE,DIAGNOSTIC,D3,x01,d11,,,,,a(x20;d11),a(x20;d11),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0066,INVERSE,DIAGNOSTIC,D3,x01,d21,,,,,a(x10;d21),a(x10;d21),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0067,INVERSE,DIAGNOSTIC,D3,x11,d00,,,,,a(x11;d00),a(x11;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0068,INVERSE,DIAGNOSTIC,D3,x11,d10,,,,,a(x01;d20),a(x01;d20),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0069,INVERSE,DIAGNOSTIC,D3,x11,d20,,,,,a(x21;d10),a(x21;d10),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0070,INVERSE,DIAGNOSTIC,D3,x11,d01,,,,,a(x10;d01),a(x10;d01),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0071,INVERSE,DIAGNOSTIC,D3,x11,d11,,,,,a(x00;d11),a(x00;d11),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0072,INVERSE,DIAGNOSTIC,D3,x11,d21,,,,,a(x20;d21),a(x20;d21),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0073,INVERSE,DIAGNOSTIC,D3,x21,d00,,,,,a(x21;d00),a(x21;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0074,INVERSE,DIAGNOSTIC,D3,x21,d10,,,,,a(x11;d20),a(x11;d20),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0075,INVERSE,DIAGNOSTIC,D3,x21,d20,,,,,a(x01;d10),a(x01;d10),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0076,INVERSE,DIAGNOSTIC,D3,x21,d01,,,,,a(x20;d01),a(x20;d01),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0077,INVERSE,DIAGNOSTIC,D3,x21,d11,,,,,a(x10;d11),a(x10;d11),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0078,INVERSE,DIAGNOSTIC,D3,x21,d21,,,,,a(x00;d21),a(x00;d21),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0079,PAIR,DIAGNOSTIC,D3,x00,d00,x00,d00,,true,a(x00;d00),a(x00;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0080,PAIR,DIAGNOSTIC,D3,x00,d00,x00,d10,,true,a(x00;d10),a(x00;d10),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0081,PAIR,DIAGNOSTIC,D3,x00,d00,x00,d20,,true,a(x00;d20),a(x00;d20),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0082,PAIR,DIAGNOSTIC,D3,x00,d00,x00,d01,,true,a(x00;d01),a(x00;d01),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0083,PAIR,DIAGNOSTIC,D3,x00,d00,x00,d11,,true,a(x00;d11),a(x00;d11),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0084,PAIR,DIAGNOSTIC,D3,x00,d00,x00,d21,,true,a(x00;d21),a(x00;d21),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0085,PAIR,DIAGNOSTIC,D3,x00,d00,x10,d00,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0086,PAIR,DIAGNOSTIC,D3,x00,d00,x10,d10,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0087,PAIR,DIAGNOSTIC,D3,x00,d00,x10,d20,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0088,PAIR,DIAGNOSTIC,D3,x00,d00,x10,d01,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0089,PAIR,DIAGNOSTIC,D3,x00,d00,x10,d11,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0090,PAIR,DIAGNOSTIC,D3,x00,d00,x10,d21,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0091,PAIR,DIAGNOSTIC,D3,x00,d00,x20,d00,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0092,PAIR,DIAGNOSTIC,D3,x00,d00,x20,d10,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0093,PAIR,DIAGNOSTIC,D3,x00,d00,x20,d20,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0094,PAIR,DIAGNOSTIC,D3,x00,d00,x20,d01,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0095,PAIR,DIAGNOSTIC,D3,x00,d00,x20,d11,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0096,PAIR,DIAGNOSTIC,D3,x00,d00,x20,d21,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0097,PAIR,DIAGNOSTIC,D3,x00,d00,x01,d00,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0098,PAIR,DIAGNOSTIC,D3,x00,d00,x01,d10,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0099,PAIR,DIAGNOSTIC,D3,x00,d00,x01,d20,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0100,PAIR,DIAGNOSTIC,D3,x00,d00,x01,d01,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0101,PAIR,DIAGNOSTIC,D3,x00,d00,x01,d11,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0102,PAIR,DIAGNOSTIC,D3,x00,d00,x01,d21,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0103,PAIR,DIAGNOSTIC,D3,x00,d00,x11,d00,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0104,PAIR,DIAGNOSTIC,D3,x00,d00,x11,d10,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0105,PAIR,DIAGNOSTIC,D3,x00,d00,x11,d20,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0106,PAIR,DIAGNOSTIC,D3,x00,d00,x11,d01,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0107,PAIR,DIAGNOSTIC,D3,x00,d00,x11,d11,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0108,PAIR,DIAGNOSTIC,D3,x00,d00,x11,d21,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0109,PAIR,DIAGNOSTIC,D3,x00,d00,x21,d00,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0110,PAIR,DIAGNOSTIC,D3,x00,d00,x21,d10,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0111,PAIR,DIAGNOSTIC,D3,x00,d00,x21,d20,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0112,PAIR,DIAGNOSTIC,D3,x00,d00,x21,d01,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0113,PAIR,DIAGNOSTIC,D3,x00,d00,x21,d11,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0114,PAIR,DIAGNOSTIC,D3,x00,d00,x21,d21,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0115,PAIR,DIAGNOSTIC,D3,x00,d10,x00,d00,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0116,PAIR,DIAGNOSTIC,D3,x00,d10,x00,d10,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0117,PAIR,DIAGNOSTIC,D3,x00,d10,x00,d20,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0118,PAIR,DIAGNOSTIC,D3,x00,d10,x00,d01,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0119,PAIR,DIAGNOSTIC,D3,x00,d10,x00,d11,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0120,PAIR,DIAGNOSTIC,D3,x00,d10,x00,d21,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0121,PAIR,DIAGNOSTIC,D3,x00,d10,x10,d00,,true,a(x00;d10),a(x00;d10),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0122,PAIR,DIAGNOSTIC,D3,x00,d10,x10,d10,,true,a(x00;d20),a(x00;d20),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0123,PAIR,DIAGNOSTIC,D3,x00,d10,x10,d20,,true,a(x00;d00),a(x00;d00),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0124,PAIR,DIAGNOSTIC,D3,x00,d10,x10,d01,,true,a(x00;d11),a(x00;d11),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0125,PAIR,DIAGNOSTIC,D3,x00,d10,x10,d11,,true,a(x00;d21),a(x00;d21),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0126,PAIR,DIAGNOSTIC,D3,x00,d10,x10,d21,,true,a(x00;d01),a(x00;d01),,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0127,PAIR,DIAGNOSTIC,D3,x00,d10,x20,d00,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0128,PAIR,DIAGNOSTIC,D3,x00,d10,x20,d10,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0129,PAIR,DIAGNOSTIC,D3,x00,d10,x20,d20,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0130,PAIR,DIAGNOSTIC,D3,x00,d10,x20,d01,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0131,PAIR,DIAGNOSTIC,D3,x00,d10,x20,d11,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0132,PAIR,DIAGNOSTIC,D3,x00,d10,x20,d21,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0133,PAIR,DIAGNOSTIC,D3,x00,d10,x01,d00,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0134,PAIR,DIAGNOSTIC,D3,x00,d10,x01,d10,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0135,PAIR,DIAGNOSTIC,D3,x00,d10,x01,d20,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0136,PAIR,DIAGNOSTIC,D3,x00,d10,x01,d01,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0137,PAIR,DIAGNOSTIC,D3,x00,d10,x01,d11,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0138,PAIR,DIAGNOSTIC,D3,x00,d10,x01,d21,,false,NONCOMPOSABLE,NONCOMPOSABLE,,,D3_RELATION_AND_LEFT_ACTION,PASS
