schema_version,row_id,row_family,case_kind,L,L_prime,scale_c,r,t,u,claim_token,subject_value,oracle_value,inverse_value,scope_token,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,DM-0014,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/2,2/1,,,g(q(3/4mod3/1);3/1),g(q(3/4mod3/1);3/1),g(q(1/2mod2/1);2/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0015,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/1,-1/1,,,g(q(3/2mod3/1);-3/2),g(q(3/2mod3/1);-3/2),g(q(1/1mod2/1);-1/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0016,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/1,0/1,,,g(q(3/2mod3/1);0/1),g(q(3/2mod3/1);0/1),g(q(1/1mod2/1);0/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0017,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/1,1/1,,,g(q(3/2mod3/1);3/2),g(q(3/2mod3/1);3/2),g(q(1/1mod2/1);1/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0018,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/1,2/1,,,g(q(3/2mod3/1);3/1),g(q(3/2mod3/1);3/1),g(q(1/1mod2/1);2/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0019,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,3/2,-1/1,,,g(q(9/4mod3/1);-3/2),g(q(9/4mod3/1);-3/2),g(q(3/2mod2/1);-1/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0020,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,3/2,0/1,,,g(q(9/4mod3/1);0/1),g(q(9/4mod3/1);0/1),g(q(3/2mod2/1);0/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0021,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,3/2,1/1,,,g(q(9/4mod3/1);3/2),g(q(9/4mod3/1);3/2),g(q(3/2mod2/1);1/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0022,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,3/2,2/1,,,g(q(9/4mod3/1);3/1),g(q(9/4mod3/1);3/1),g(q(3/2mod2/1);2/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0023,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,-1/1,,,q(3/2mod3/1),q(3/2mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0024,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,0/1,,,q(0/1mod3/1),q(0/1mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0025,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,1/1,,,q(3/2mod3/1),q(3/2mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0026,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,2/1,,,q(0/1mod3/1),q(0/1mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0027,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,-1/1,,,q(9/4mod3/1),q(9/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0028,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,0/1,,,q(3/4mod3/1),q(3/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0029,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,1/1,,,q(9/4mod3/1),q(9/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0030,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,2/1,,,q(3/4mod3/1),q(3/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0031,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,-1/1,,,q(0/1mod3/1),q(0/1mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0032,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,0/1,,,q(3/2mod3/1),q(3/2mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0033,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,1/1,,,q(0/1mod3/1),q(0/1mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0034,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,2/1,,,q(3/2mod3/1),q(3/2mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0035,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,-1/1,,,q(3/4mod3/1),q(3/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0036,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,0/1,,,q(9/4mod3/1),q(9/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0037,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,1/1,,,q(3/4mod3/1),q(3/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0038,SOURCE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,2/1,,,q(9/4mod3/1),q(9/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0039,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,-1/1,,,q(0/1mod3/1),q(0/1mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0040,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,0/1,,,q(0/1mod3/1),q(0/1mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0041,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,1/1,,,q(0/1mod3/1),q(0/1mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0042,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,2/1,,,q(0/1mod3/1),q(0/1mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0043,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,-1/1,,,q(3/4mod3/1),q(3/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0044,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,0/1,,,q(3/4mod3/1),q(3/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0045,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,1/1,,,q(3/4mod3/1),q(3/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0046,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,2/1,,,q(3/4mod3/1),q(3/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0047,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,-1/1,,,q(3/2mod3/1),q(3/2mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0048,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,0/1,,,q(3/2mod3/1),q(3/2mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0049,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,1/1,,,q(3/2mod3/1),q(3/2mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0050,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,2/1,,,q(3/2mod3/1),q(3/2mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0051,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,-1/1,,,q(9/4mod3/1),q(9/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0052,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,0/1,,,q(9/4mod3/1),q(9/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0053,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,1/1,,,q(9/4mod3/1),q(9/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0054,RANGE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,2/1,,,q(9/4mod3/1),q(9/4mod3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0055,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,-1/1,,,g(q(3/2mod3/1);3/2),g(q(3/2mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0056,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,0/1,,,g(q(0/1mod3/1);0/1),g(q(0/1mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0057,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,1/1,,,g(q(3/2mod3/1);-3/2),g(q(3/2mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0058,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,2/1,,,g(q(0/1mod3/1);-3/1),g(q(0/1mod3/1);-3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0059,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,-1/1,,,g(q(9/4mod3/1);3/2),g(q(9/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0060,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,0/1,,,g(q(3/4mod3/1);0/1),g(q(3/4mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0061,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,1/1,,,g(q(9/4mod3/1);-3/2),g(q(9/4mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0062,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,2/1,,,g(q(3/4mod3/1);-3/1),g(q(3/4mod3/1);-3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0063,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,-1/1,,,g(q(0/1mod3/1);3/2),g(q(0/1mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0064,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,0/1,,,g(q(3/2mod3/1);0/1),g(q(3/2mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0065,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,1/1,,,g(q(0/1mod3/1);-3/2),g(q(0/1mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0066,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,2/1,,,g(q(3/2mod3/1);-3/1),g(q(3/2mod3/1);-3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0067,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,-1/1,,,g(q(3/4mod3/1);3/2),g(q(3/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0068,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,0/1,,,g(q(9/4mod3/1);0/1),g(q(9/4mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0069,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,1/1,,,g(q(3/4mod3/1);-3/2),g(q(3/4mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0070,INVERSE_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,2/1,,,g(q(9/4mod3/1);-3/1),g(q(9/4mod3/1);-3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0071,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,-1/1,-1/1,,g(q(0/1mod3/1);-3/1),g(q(0/1mod3/1);-3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0072,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,-1/1,0/1,,g(q(0/1mod3/1);-3/2),g(q(0/1mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0073,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,-1/1,1/1,,g(q(0/1mod3/1);0/1),g(q(0/1mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0074,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,-1/1,2/1,,g(q(0/1mod3/1);3/2),g(q(0/1mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0075,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,0/1,-1/1,,g(q(0/1mod3/1);-3/2),g(q(0/1mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0076,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,0/1,0/1,,g(q(0/1mod3/1);0/1),g(q(0/1mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0077,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,0/1,1/1,,g(q(0/1mod3/1);3/2),g(q(0/1mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0078,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,0/1,2/1,,g(q(0/1mod3/1);3/1),g(q(0/1mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0079,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,1/1,-1/1,,g(q(0/1mod3/1);0/1),g(q(0/1mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0080,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,1/1,0/1,,g(q(0/1mod3/1);3/2),g(q(0/1mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0081,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,1/1,1/1,,g(q(0/1mod3/1);3/1),g(q(0/1mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0082,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,1/1,2/1,,g(q(0/1mod3/1);9/2),g(q(0/1mod3/1);9/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0083,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,2/1,-1/1,,g(q(0/1mod3/1);3/2),g(q(0/1mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0084,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,2/1,0/1,,g(q(0/1mod3/1);3/1),g(q(0/1mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0085,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,2/1,1/1,,g(q(0/1mod3/1);9/2),g(q(0/1mod3/1);9/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
