n,mu,euler,homology_supertrace,boundary_squared_zero,betti_matches_sphere_or_acyclic,simplex_count_including_empty,boundary_incidence_count,max_chain_dimension,chain_dimensions,boundary_ranks_gf2,betti_gf2
30,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
31,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
32,0,0,0,True,True,16,32,3,"{""-1"": 1, ""0"": 4, ""1"": 6, ""2"": 4, ""3"": 1}","{""0"": 1, ""1"": 3, ""2"": 3, ""3"": 1}",{}
33,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
34,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
35,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
36,0,0,0,True,True,26,49,2,"{""-1"": 1, ""0"": 7, ""1"": 12, ""2"": 6}","{""0"": 1, ""1"": 6, ""2"": 6}",{}
37,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
38,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
39,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
40,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
41,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
42,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
43,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
44,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
45,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
46,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
47,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
48,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
49,0,0,0,True,True,2,1,0,"{""-1"": 1, ""0"": 1}","{""0"": 1}",{}
50,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
51,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
52,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
53,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
54,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
55,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
56,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
57,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
58,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
59,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
60,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
61,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
62,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
63,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
64,0,0,0,True,True,32,80,4,"{""-1"": 1, ""0"": 5, ""1"": 10, ""2"": 10, ""3"": 5, ""4"": 1}","{""0"": 1, ""1"": 4, ""2"": 6, ""3"": 4, ""4"": 1}",{}
65,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
66,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
67,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
68,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
69,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
70,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
71,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
72,0,0,0,True,True,76,188,3,"{""-1"": 1, ""0"": 10, ""1"": 27, ""2"": 28, ""3"": 10}","{""0"": 1, ""1"": 9, ""2"": 18, ""3"": 10}",{}
73,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
74,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
75,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
76,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
77,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
78,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
79,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
80,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
81,0,0,0,True,True,8,12,2,"{""-1"": 1, ""0"": 3, ""1"": 3, ""2"": 1}","{""0"": 1, ""1"": 2, ""2"": 1}",{}
82,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
83,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
84,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
85,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
86,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
87,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
88,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
89,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
90,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
91,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
92,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
93,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
94,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
95,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
96,0,0,0,True,True,112,320,4,"{""-1"": 1, ""0"": 10, ""1"": 30, ""2"": 40, ""3"": 25, ""4"": 6}","{""0"": 1, ""1"": 9, ""2"": 21, ""3"": 19, ""4"": 6}",{}
97,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
98,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
99,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
100,0,0,0,True,True,26,49,2,"{""-1"": 1, ""0"": 7, ""1"": 12, ""2"": 6}","{""0"": 1, ""1"": 6, ""2"": 6}",{}
101,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
102,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
103,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
104,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
105,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
106,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
107,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
108,0,0,0,True,True,76,188,3,"{""-1"": 1, ""0"": 10, ""1"": 27, ""2"": 28, ""3"": 10}","{""0"": 1, ""1"": 9, ""2"": 18, ""3"": 10}",{}
109,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
110,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
111,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
112,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
113,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
114,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
115,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
116,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
117,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
118,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
119,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
120,0,0,0,True,True,132,340,3,"{""-1"": 1, ""0"": 14, ""1"": 45, ""2"": 52, ""3"": 20}","{""0"": 1, ""1"": 13, ""2"": 32, ""3"": 20}",{}
121,0,0,0,True,True,2,1,0,"{""-1"": 1, ""0"": 1}","{""0"": 1}",{}
122,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
123,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
124,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
125,0,0,0,True,True,4,4,1,"{""-1"": 1, ""0"": 2, ""1"": 1}","{""0"": 1, ""1"": 1}",{}
126,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
127,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
