atom_cutoff,atom_count,point,sigma,t,q,sector,partial_norm,infinite_limit_status
31,11,right_strip,0.75,0.0,4,relative_ratio_minus_identity,6.027597353995082,NOT_COMPACT_NO_OPEN_DOMAIN
31,11,right_outer,1.25,0.0,1,L_s,1.0882932386471196,S_q
31,11,right_outer,1.25,0.0,1,L_1_minus_s,20.3356820465983,DIVERGENT_INFINITE_LIMIT
31,11,right_outer,1.25,0.0,1,difference,19.247388807951182,NO_COMMON_S_q_CERTIFICATE
31,11,right_outer,1.25,0.0,1,relative_ratio_minus_identity,702.066693140942,NOT_COMPACT_NO_OPEN_DOMAIN
31,11,right_outer,1.25,0.0,2,L_s,0.5224350413460841,S_q
31,11,right_outer,1.25,0.0,2,L_1_minus_s,6.259474817168076,DIVERGENT_INFINITE_LIMIT
31,11,right_outer,1.25,0.0,2,difference,6.026820860653756,NO_COMMON_S_q_CERTIFICATE
31,11,right_outer,1.25,0.0,2,relative_ratio_minus_identity,284.13881574631455,NOT_COMPACT_NO_OPEN_DOMAIN
31,11,right_outer,1.25,0.0,4,L_s,0.4348446386594763,S_q
31,11,right_outer,1.25,0.0,4,L_1_minus_s,3.5565588200778455,DIVERGENT_INFINITE_LIMIT
31,11,right_outer,1.25,0.0,4,difference,3.4838704144251103,NO_COMMON_S_q_CERTIFICATE
31,11,right_outer,1.25,0.0,4,relative_ratio_minus_identity,201.94973999156332,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,left_outer,-0.25,0.0,1,L_s,79.09273315293854,DIVERGENT_INFINITE_LIMIT
127,31,left_outer,-0.25,0.0,1,L_1_minus_s,1.191984189729172,S_q
127,31,left_outer,-0.25,0.0,1,difference,77.90074896320937,NO_COMMON_S_q_CERTIFICATE
127,31,left_outer,-0.25,0.0,1,relative_ratio_minus_identity,30.177072497866185,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,left_outer,-0.25,0.0,2,L_s,14.600383934101243,DIVERGENT_INFINITE_LIMIT
127,31,left_outer,-0.25,0.0,2,L_1_minus_s,0.5230677333834456,S_q
127,31,left_outer,-0.25,0.0,2,difference,14.482039554553982,NO_COMMON_S_q_CERTIFICATE
127,31,left_outer,-0.25,0.0,2,relative_ratio_minus_identity,5.4340502526734875,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,left_outer,-0.25,0.0,4,L_s,6.439944309282142,DIVERGENT_INFINITE_LIMIT
127,31,left_outer,-0.25,0.0,4,L_1_minus_s,0.43484476709627756,S_q
127,31,left_outer,-0.25,0.0,4,difference,6.4191030843946635,NO_COMMON_S_q_CERTIFICATE
127,31,left_outer,-0.25,0.0,4,relative_ratio_minus_identity,2.3118437151962477,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,left_strip,0.25,0.0,1,L_s,13.106593470989031,DIVERGENT_INFINITE_LIMIT
127,31,left_strip,0.25,0.0,1,L_1_minus_s,3.1862708948377354,DIVERGENT_INFINITE_LIMIT
127,31,left_strip,0.25,0.0,1,difference,9.920322576151296,NO_COMMON_S_q_CERTIFICATE
127,31,left_strip,0.25,0.0,1,relative_ratio_minus_identity,24.890217485357404,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,left_strip,0.25,0.0,2,L_s,2.4717974258912476,DIVERGENT_INFINITE_LIMIT
127,31,left_strip,0.25,0.0,2,L_1_minus_s,0.9071535162990958,S_q
127,31,left_strip,0.25,0.0,2,difference,1.793702539323041,NO_COMMON_S_q_CERTIFICATE
127,31,left_strip,0.25,0.0,2,relative_ratio_minus_identity,4.542918178804903,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,left_strip,0.25,0.0,4,L_s,1.1674604515066687,DIVERGENT_INFINITE_LIMIT
127,31,left_strip,0.25,0.0,4,L_1_minus_s,0.6465598616031483,S_q
127,31,left_strip,0.25,0.0,4,difference,0.7702109346540047,NO_COMMON_S_q_CERTIFICATE
127,31,left_strip,0.25,0.0,4,relative_ratio_minus_identity,1.9635835398849528,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,critical_real,0.5,0.0,1,L_s,6.109782514642597,DIVERGENT_INFINITE_LIMIT
