word,word_length,matrix_a,matrix_b,matrix_c,matrix_d,matrix_trace,base_length,in_gamma0_11_selected_ledger,control_owner
LLLLLLRRR,9,19,6,3,1,20,5.98644569225276157e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLRLLR,9,23,17,4,3,26,6.51322790960010511e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLRLRR,9,28,11,5,2,30,6.80016882822667945e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLRRLR,9,27,16,5,3,30,6.80016882822667945e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLRRRR,9,21,5,4,1,22,6.17793980968920575e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRLLLR,9,24,19,5,4,28,6.66185310528250429e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRLLRR,9,33,14,7,3,36,7.16549287784429279e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRLRLR,9,37,23,8,5,42,7.47420448439784835e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRLRRR,9,32,9,7,2,34,7.05098869615634438e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRRLLR,9,31,22,7,5,36,7.16549287784429279e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRRLRR,9,35,13,8,3,38,7.27378583692826730e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRRRLR,9,30,17,7,4,34,7.05098869615634438e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRRRRR,9,21,4,5,1,22,6.17793980968920575e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLLLRR,9,34,15,9,4,38,7.27378583692826730e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLLRLR,9,41,26,11,7,48,7.74153340057418760e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLLRRR,9,37,11,10,3,40,7.37650773472259313e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLRLLR,9,40,29,11,8,48,7.74153340057418760e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLRLRR,9,47,18,13,5,52,7.90174738154890033e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLRRLR,9,43,25,12,7,50,7.82324553042917703e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLRRRR,9,32,7,9,2,34,7.05098869615634438e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRLLRR,9,41,17,12,5,46,7.65633694266620246e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRLRLR,9,44,27,13,8,52,7.90174738154890033e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRLRRR,9,37,10,11,3,40,7.37650773472259313e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRRLLR,9,33,23,10,7,40,7.37650773472259313e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRRLRR,9,36,13,11,4,40,7.37650773472259313e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRRRLR,9,29,16,9,5,34,7.05098869615634438e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRRRRR,9,19,3,6,1,20,5.98644569225276157e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLLRLRR,9,49,19,18,7,56,8.05006532110323647e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLLRRLR,9,46,27,17,10,56,8.05006532110323647e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLLRRRR,9,35,8,13,3,38,7.27378583692826730e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRLLRR,9,50,21,19,8,58,8.12029122549680693e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRLRLR,9,55,34,21,13,68,8.43858274402416342e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRLRRR,9,47,13,18,5,52,7.90174738154890033e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRRLRR,9,49,18,19,7,56,8.05006532110323647e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRRRLR,9,41,23,16,9,50,7.82324553042917703e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRRRRR,9,28,5,11,2,30,6.80016882822667945e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRLLRRR,9,41,12,17,5,46,7.65633694266620246e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRLRLRR,9,50,19,21,8,58,8.12029122549680693e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRLRRLR,9,45,26,19,11,56,8.05006532110323647e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRLRRRR,9,33,7,14,3,36,7.16549287784429279e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRLRLR,9,41,25,18,11,52,7.90174738154890033e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRLRRR,9,34,9,15,4,38,7.27378583692826730e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRRLRR,9,31,11,14,5,36,7.16549287784429279e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRRRLR,9,24,13,11,6,30,6.80016882822667945e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRRRRR,9,15,2,7,1,16,5.53731876662714750e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRLRLRR,9,55,21,34,13,68,8.43858274402416342e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRLRRRR,9,37,8,23,5,42,7.47420448439784835e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRRLRRR,9,41,11,26,7,48,7.74153340057418760e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRRRLRR,9,39,14,25,9,48,7.74153340057418760e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRRRRRR,9,20,3,13,2,22,6.17793980968920575e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRLRRRRR,9,23,4,17,3,26,6.51322790960010511e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRRLRRRR,9,24,5,19,4,28,6.66185310528250429e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRRRRRRR,9,9,1,8,1,10,4.58486333912235544e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
