q,euler_phi,sqrt_minus_one_count,unoriented_open_count
259,216,0,108
260,96,0,48
261,168,0,84
262,130,0,65
263,262,0,131
264,80,0,40
265,208,4,106
266,108,0,54
267,176,0,88
268,132,0,66
269,268,2,135
270,72,0,36
271,270,0,135
272,128,0,64
273,144,0,72
274,136,2,69
275,200,0,100
276,88,0,44
277,276,2,139
278,138,0,69
279,180,0,90
280,96,0,48
281,280,2,141
282,92,0,46
283,282,0,141
284,140,0,70
285,144,0,72
286,120,0,60
287,240,0,120
288,96,0,48
289,272,2,137
290,112,4,58
291,192,0,96
292,144,0,72
293,292,2,147
294,84,0,42
295,232,0,116
296,144,0,72
297,180,0,90
298,148,2,75
299,264,0,132
300,80,0,40
301,252,0,126
302,150,0,75
303,200,0,100
304,144,0,72
305,240,4,122
306,96,0,48
307,306,0,153
308,120,0,60
309,204,0,102
310,120,0,60
311,310,0,155
312,96,0,48
313,312,2,157
314,156,2,79
315,144,0,72
316,156,0,78
317,316,2,159
318,104,0,52
319,280,0,140
320,128,0,64
321,212,0,106
322,132,0,66
323,288,0,144
324,108,0,54
325,240,4,122
326,162,0,81
327,216,0,108
328,160,0,80
329,276,0,138
330,80,0,40
331,330,0,165
332,164,0,82
333,216,0,108
334,166,0,83
335,264,0,132
336,96,0,48
337,336,2,169
338,156,2,79
339,224,0,112
340,128,0,64
341,300,0,150
342,108,0,54
343,294,0,147
344,168,0,84
345,176,0,88
346,172,2,87
347,346,0,173
348,112,0,56
349,348,2,175
350,120,0,60
351,216,0,108
352,160,0,80
353,352,2,177
354,116,0,58
355,280,0,140
356,176,0,88
357,192,0,96
358,178,0,89
359,358,0,179
360,96,0,48
361,342,0,171
362,180,2,91
363,220,0,110
364,144,0,72
365,288,4,146
366,120,0,60
367,366,0,183
368,176,0,88
369,240,0,120
370,144,4,74
371,312,0,156
372,120,0,60
373,372,2,187
374,160,0,80
375,200,0,100
376,184,0,92
377,336,4,170
378,108,0,54
379,378,0,189
380,144,0,72
381,252,0,126
382,190,0,95
383,382,0,191
384,128,0,64
385,240,0,120
386,192,2,97
387,252,0,126
388,192,0,96
389,388,2,195
390,96,0,48
391,352,0,176
392,168,0,84
393,260,0,130
394,196,2,99
395,312,0,156
396,120,0,60
397,396,2,199
398,198,0,99
399,216,0,108
400,160,0,80
401,400,2,201
402,132,0,66
403,360,0,180
404,200,0,100
405,216,0,108
406,168,0,84
407,360,0,180
408,128,0,64
409,408,2,205
410,160,4,82
411,272,0,136
412,204,0,102
413,348,0,174
414,132,0,66
415,328,0,164
416,192,0,96
417,276,0,138
418,180,0,90
419,418,0,209
420,96,0,48
421,420,2,211
422,210,0,105
423,276,0,138
424,208,0,104
425,320,4,162
426,140,0,70
427,360,0,180
428,212,0,106
429,240,0,120
430,168,0,84
431,430,0,215
432,144,0,72
433,432,2,217
434,180,0,90
435,224,0,112
436,216,0,108
437,396,0,198
438,144,0,72
439,438,0,219
440,160,0,80
441,252,0,126
442,192,4,98
443,442,0,221
444,144,0,72
445,352,4,178
446,222,0,111
447,296,0,148
448,192,0,96
449,448,2,225
450,120,0,60
451,400,0,200
452,224,0,112
453,300,0,150
454,226,0,113
455,288,0,144
456,144,0,72
457,456,2,229
458,228,2,115
459,288,0,144
460,176,0,88
461,460,2,231
462,120,0,60
463,462,0,231
464,224,0,112
465,240,0,120
466,232,2,117
467,466,0,233
468,144,0,72
469,396,0,198
470,184,0,92
471,312,0,156
472,232,0,116
473,420,0,210
474,156,0,78
475,360,0,180
476,192,0,96
477,312,0,156
478,238,0,119
479,478,0,239
480,128,0,64
481,432,4,218
482,240,2,121
483,264,0,132
484,220,0,110
485,384,4,194
486,162,0,81
487,486,0,243
488,240,0,120
489,324,0,162
490,168,0,84
491,490,0,245
492,160,0,80
493,448,4,226
494,216,0,108
495,240,0,120
496,240,0,120
497,420,0,210
498,164,0,82
499,498,0,249
500,200,0,100
501,332,0,166
502,250,0,125
503,502,0,251
504,144,0,72
505,400,4,202
506,220,0,110
507,312,0,156
508,252,0,126
509,508,2,255
510,128,0,64
511,432,0,216
512,256,0,128
513,324,0,162
514,256,2,129
515,408,0,204
516,168,0,84
517,460,0,230
518,216,0,108
519,344,0,172
520,192,0,96
521,520,2,261
522,168,0,84
523,522,0,261
524,260,0,130
525,240,0,120
526,262,0,131
527,480,0,240
528,160,0,80
529,506,0,253
530,208,4,106
531,348,0,174
532,216,0,108
533,480,4,242
534,176,0,88
535,424,0,212
536,264,0,132
537,356,0,178
538,268,2,135
539,420,0,210
540,144,0,72
541,540,2,271
542,270,0,135
543,360,0,180
544,256,0,128
545,432,4,218
546,144,0,72
547,546,0,273
548,272,0,136
549,360,0,180
550,200,0,100
551,504,0,252
552,176,0,88
553,468,0,234
554,276,2,139
555,288,0,144
556,276,0,138
557,556,2,279
558,180,0,90
559,504,0,252
560,192,0,96
561,320,0,160
562,280,2,141
563,562,0,281
564,184,0,92
565,448,4,226
566,282,0,141
567,324,0,162
568,280,0,140
569,568,2,285
570,144,0,72
571,570,0,285
572,240,0,120
573,380,0,190
574,240,0,120
575,440,0,220
576,192,0,96
577,576,2,289
578,272,2,137
579,384,0,192
580,224,0,112
581,492,0,246
582,192,0,96
583,520,0,260
584,288,0,144
585,288,0,144
586,292,2,147
587,586,0,293
588,168,0,84
589,540,0,270
590,232,0,116
591,392,0,196
592,288,0,144
593,592,2,297
594,180,0,90
595,384,0,192
596,296,0,148
597,396,0,198
598,264,0,132
599,598,0,299
600,160,0,80
601,600,2,301
602,252,0,126
603,396,0,198
604,300,0,150
605,440,0,220
606,200,0,100
607,606,0,303
608,288,0,144
609,336,0,168
610,240,4,122
611,552,0,276
612,192,0,96
613,612,2,307
614,306,0,153
615,320,0,160
616,240,0,120
617,616,2,309
618,204,0,102
619,618,0,309
620,240,0,120
621,396,0,198
622,310,0,155
623,528,0,264
624,192,0,96
625,500,2,251
626,312,2,157
627,360,0,180
628,312,0,156
629,576,4,290
630,144,0,72
631,630,0,315
632,312,0,156
633,420,0,210
634,316,2,159
635,504,0,252
636,208,0,104
637,504,0,252
638,280,0,140
639,420,0,210
640,256,0,128
641,640,2,321
642,212,0,106
643,642,0,321
644,264,0,132
645,336,0,168
646,288,0,144
647,646,0,323
648,216,0,108
649,580,0,290
650,240,4,122
651,360,0,180
652,324,0,162
653,652,2,327
654,216,0,108
655,520,0,260
656,320,0,160
657,432,0,216
658,276,0,138
659,658,0,329
660,160,0,80
661,660,2,331
662,330,0,165
663,384,0,192
664,328,0,164
665,432,0,216
666,216,0,108
667,616,0,308
668,332,0,166
669,444,0,222
670,264,0,132
671,600,0,300
672,192,0,96
673,672,2,337
674,336,2,169
675,360,0,180
676,312,0,156
677,676,2,339
678,224,0,112
679,576,0,288
680,256,0,128
681,452,0,226
682,300,0,150
683,682,0,341
684,216,0,108
685,544,4,274
686,294,0,147
687,456,0,228
688,336,0,168
689,624,4,314
690,176,0,88
691,690,0,345
692,344,0,172
693,360,0,180
694,346,0,173
695,552,0,276
696,224,0,112
697,640,4,322
698,348,2,175
699,464,0,232
700,240,0,120
701,700,2,351
702,216,0,108
703,648,0,324
704,320,0,160
705,368,0,184
706,352,2,177
707,600,0,300
708,232,0,116
709,708,2,355
710,280,0,140
711,468,0,234
712,352,0,176
713,660,0,330
714,192,0,96
715,480,0,240
716,356,0,178
717,476,0,238
718,358,0,179
719,718,0,359
720,192,0,96
721,612,0,306
722,342,0,171
723,480,0,240
724,360,0,180
725,560,4,282
726,220,0,110
727,726,0,363
728,288,0,144
729,486,0,243
730,288,4,146
731,672,0,336
732,240,0,120
733,732,2,367
734,366,0,183
735,336,0,168
736,352,0,176
737,660,0,330
738,240,0,120
739,738,0,369
740,288,0,144
741,432,0,216
742,312,0,156
743,742,0,371
744,240,0,120
745,592,4,298
746,372,2,187
747,492,0,246
748,320,0,160
749,636,0,318
750,200,0,100
751,750,0,375
752,368,0,184
753,500,0,250
754,336,4,170
755,600,0,300
756,216,0,108
757,756,2,379
758,378,0,189
759,440,0,220
760,288,0,144
761,760,2,381
762,252,0,126
763,648,0,324
764,380,0,190
765,384,0,192
766,382,0,191
767,696,0,348
768,256,0,128
769,768,2,385
770,240,0,120
771,512,0,256
772,384,0,192
773,772,2,387
774,252,0,126
775,600,0,300
776,384,0,192
777,432,0,216
778,388,2,195
779,720,0,360
780,192,0,96
781,700,0,350
782,352,0,176
783,504,0,252
784,336,0,168
785,624,4,314
786,260,0,130
787,786,0,393
788,392,0,196
789,524,0,262
790,312,0,156
791,672,0,336
792,240,0,120
793,720,4,362
794,396,2,199
795,416,0,208
796,396,0,198
797,796,2,399
798,216,0,108
799,736,0,368
800,320,0,160
801,528,0,264
802,400,2,201
803,720,0,360
804,264,0,132
805,528,0,264
806,360,0,180
807,536,0,268
808,400,0,200
809,808,2,405
810,216,0,108
811,810,0,405
812,336,0,168
813,540,0,270
814,360,0,180
815,648,0,324
816,256,0,128
817,756,0,378
818,408,2,205
819,432,0,216
820,320,0,160
821,820,2,411
822,272,0,136
823,822,0,411
824,408,0,204
825,400,0,200
826,348,0,174
827,826,0,413
828,264,0,132
829,828,2,415
830,328,0,164
831,552,0,276
832,384,0,192
833,672,0,336
834,276,0,138
835,664,0,332
836,360,0,180
837,540,0,270
838,418,0,209
839,838,0,419
840,192,0,96
841,812,2,407
842,420,2,211
843,560,0,280
844,420,0,210
845,624,4,314
846,276,0,138
847,660,0,330
848,416,0,208
849,564,0,282
850,320,4,162
851,792,0,396
852,280,0,140
853,852,2,427
854,360,0,180
855,432,0,216
856,424,0,212
857,856,2,429
858,240,0,120
859,858,0,429
860,336,0,168
861,480,0,240
862,430,0,215
863,862,0,431
864,288,0,144
865,688,4,346
866,432,2,217
867,544,0,272
868,360,0,180
869,780,0,390
870,224,0,112
871,792,0,396
872,432,0,216
873,576,0,288
874,396,0,198
875,600,0,300
876,288,0,144
877,876,2,439
878,438,0,219
879,584,0,292
880,320,0,160
881,880,2,441
882,252,0,126
883,882,0,441
884,384,0,192
885,464,0,232
886,442,0,221
887,886,0,443
888,288,0,144
889,756,0,378
890,352,4,178
891,540,0,270
892,444,0,222
893,828,0,414
894,296,0,148
895,712,0,356
896,384,0,192
897,528,0,264
898,448,2,225
899,840,0,420
900,240,0,120
901,832,4,418
902,400,0,200
903,504,0,252
904,448,0,224
905,720,4,362
906,300,0,150
907,906,0,453
908,452,0,226
909,600,0,300
910,288,0,144
911,910,0,455
912,288,0,144
913,820,0,410
914,456,2,229
915,480,0,240
916,456,0,228
917,780,0,390
918,288,0,144
919,918,0,459
920,352,0,176
921,612,0,306
922,460,2,231
923,840,0,420
924,240,0,120
925,720,4,362
926,462,0,231
927,612,0,306
928,448,0,224
929,928,2,465
930,240,0,120
931,756,0,378
932,464,0,232
933,620,0,310
934,466,0,233
935,640,0,320
936,288,0,144
937,936,2,469
938,396,0,198
939,624,0,312
940,368,0,184
941,940,2,471
942,312,0,156
943,880,0,440
944,464,0,232
945,432,0,216
946,420,0,210
947,946,0,473
948,312,0,156
949,864,4,434
950,360,0,180
951,632,0,316
952,384,0,192
953,952,2,477
954,312,0,156
955,760,0,380
956,476,0,238
957,560,0,280
958,478,0,239
959,816,0,408
960,256,0,128
961,930,0,465
962,432,4,218
963,636,0,318
964,480,0,240
965,768,4,386
966,264,0,132
967,966,0,483
968,440,0,220
969,576,0,288
970,384,4,194
971,970,0,485
972,324,0,162
973,828,0,414
974,486,0,243
975,480,0,240
976,480,0,240
977,976,2,489
978,324,0,162
979,880,0,440
980,336,0,168
981,648,0,324
982,490,0,245
983,982,0,491
984,320,0,160
985,784,4,394
986,448,4,226
987,552,0,276
988,432,0,216
989,924,0,462
990,240,0,120
991,990,0,495
992,480,0,240
993,660,0,330
994,420,0,210
995,792,0,396
996,328,0,164
997,996,2,499
998,498,0,249
999,648,0,324
1000,400,0,200
1001,720,0,360
1002,332,0,166
1003,928,0,464
1004,500,0,250
1005,528,0,264
1006,502,0,251
1007,936,0,468
1008,288,0,144
1009,1008,2,505
1010,400,4,202
1011,672,0,336
1012,440,0,220
1013,1012,2,507
1014,312,0,156
1015,672,0,336
1016,504,0,252
1017,672,0,336
1018,508,2,255
1019,1018,0,509
1020,256,0,128
1021,1020,2,511
1022,432,0,216
1023,600,0,300
1024,512,0,256
1025,800,4,402
1026,324,0,162
1027,936,0,468
1028,512,0,256
1029,588,0,294
1030,408,0,204
1031,1030,0,515
1032,336,0,168
1033,1032,2,517
1034,460,0,230
1035,528,0,264
1036,432,0,216
1037,960,4,482
1038,344,0,172
1039,1038,0,519
1040,384,0,192
1041,692,0,346
1042,520,2,261
1043,888,0,444
1044,336,0,168
1045,720,0,360
1046,522,0,261
1047,696,0,348
1048,520,0,260
1049,1048,2,525
1050,240,0,120
1051,1050,0,525
1052,524,0,262
1053,648,0,324
1054,480,0,240
1055,840,0,420
1056,320,0,160
1057,900,0,450
1058,506,0,253
1059,704,0,352
1060,416,0,208
1061,1060,2,531
1062,348,0,174
1063,1062,0,531
1064,432,0,216
1065,560,0,280
1066,480,4,242
1067,960,0,480
1068,352,0,176
1069,1068,2,535
1070,424,0,212
1071,576,0,288
1072,528,0,264
1073,1008,4,506
1074,356,0,178
1075,840,0,420
1076,536,0,268
1077,716,0,358
1078,420,0,210
1079,984,0,492
1080,288,0,144
1081,1012,0,506
1082,540,2,271
1083,684,0,342
1084,540,0,270
1085,720,0,360
1086,360,0,180
1087,1086,0,543
1088,512,0,256
1089,660,0,330
1090,432,4,218
1091,1090,0,545
1092,288,0,144
1093,1092,2,547
1094,546,0,273
1095,576,0,288
1096,544,0,272
1097,1096,2,549
1098,360,0,180
1099,936,0,468
1100,400,0,200
1101,732,0,366
1102,504,0,252
1103,1102,0,551
1104,352,0,176
1105,768,8,388
1106,468,0,234
1107,720,0,360
1108,552,0,276
1109,1108,2,555
1110,288,0,144
1111,1000,0,500
1112,552,0,276
1113,624,0,312
1114,556,2,279
1115,888,0,444
1116,360,0,180
1117,1116,2,559
1118,504,0,252
1119,744,0,372
1120,384,0,192
1121,1044,0,522
1122,320,0,160
1123,1122,0,561
1124,560,0,280
1125,600,0,300
1126,562,0,281
1127,924,0,462
1128,368,0,184
1129,1128,2,565
1130,448,4,226
1131,672,0,336
1132,564,0,282
1133,1020,0,510
1134,324,0,162
1135,904,0,452
1136,560,0,280
1137,756,0,378
1138,568,2,285
1139,1056,0,528
1140,288,0,144
1141,972,0,486
1142,570,0,285
1143,756,0,378
1144,480,0,240
1145,912,4,458
1146,380,0,190
1147,1080,0,540
1148,480,0,240
1149,764,0,382
1150,440,0,220
1151,1150,0,575
1152,384,0,192
1153,1152,2,577
1154,576,2,289
1155,480,0,240
1156,544,0,272
1157,1056,4,530
1158,384,0,192
1159,1080,0,540
1160,448,0,224
1161,756,0,378
1162,492,0,246
1163,1162,0,581
1164,384,0,192
1165,928,4,466
1166,520,0,260
1167,776,0,388
1168,576,0,288
1169,996,0,498
1170,288,0,144
1171,1170,0,585
1172,584,0,292
1173,704,0,352
1174,586,0,293
1175,920,0,460
1176,336,0,168
1177,1060,0,530
1178,540,0,270
1179,780,0,390
1180,464,0,232
1181,1180,2,591
1182,392,0,196
1183,936,0,468
1184,576,0,288
1185,624,0,312
1186,592,2,297
1187,1186,0,593
1188,360,0,180
1189,1120,4,562
1190,384,0,192
1191,792,0,396
1192,592,0,296
1193,1192,2,597
1194,396,0,198
1195,952,0,476
1196,528,0,264
1197,648,0,324
1198,598,0,299
1199,1080,0,540
1200,320,0,160
1201,1200,2,601
1202,600,2,301
1203,800,0,400
1204,504,0,252
1205,960,4,482
1206,396,0,198
1207,1120,0,560
1208,600,0,300
1209,720,0,360
1210,440,0,220
1211,1032,0,516
1212,400,0,200
1213,1212,2,607
1214,606,0,303
1215,648,0,324
1216,576,0,288
1217,1216,2,609
1218,336,0,168
1219,1144,0,572
1220,480,0,240
1221,720,0,360
1222,552,0,276
1223,1222,0,611
1224,384,0,192
1225,840,0,420
1226,612,2,307
1227,816,0,408
1228,612,0,306
1229,1228,2,615
1230,320,0,160
1231,1230,0,615
1232,480,0,240
1233,816,0,408
1234,616,2,309
1235,864,0,432
1236,408,0,204
1237,1236,2,619
1238,618,0,309
1239,696,0,348
1240,480,0,240
1241,1152,4,578
1242,396,0,198
1243,1120,0,560
1244,620,0,310
1245,656,0,328
1246,528,0,264
1247,1176,0,588
1248,384,0,192
1249,1248,2,625
1250,500,2,251
1251,828,0,414
1252,624,0,312
1253,1068,0,534
1254,360,0,180
1255,1000,0,500
1256,624,0,312
1257,836,0,418
1258,576,4,290
1259,1258,0,629
1260,288,0,144
1261,1152,4,578
1262,630,0,315
1263,840,0,420
1264,624,0,312
1265,880,0,440
1266,420,0,210
1267,1080,0,540
1268,632,0,316
1269,828,0,414
1270,504,0,252
1271,1200,0,600
1272,416,0,208
1273,1188,0,594
1274,504,0,252
1275,640,0,320
1276,560,0,280
1277,1276,2,639
1278,420,0,210
1279,1278,0,639
1280,512,0,256
1281,720,0,360
1282,640,2,321
1283,1282,0,641
1284,424,0,212
1285,1024,4,514
1286,642,0,321
1287,720,0,360
1288,528,0,264
1289,1288,2,645
1290,336,0,168
1291,1290,0,645
1292,576,0,288
1293,860,0,430
1294,646,0,323
1295,864,0,432
1296,432,0,216
1297,1296,2,649
1298,580,0,290
1299,864,0,432
1300,480,0,240
1301,1300,2,651
1302,360,0,180
1303,1302,0,651
1304,648,0,324
1305,672,0,336
1306,652,2,327
1307,1306,0,653
1308,432,0,216
1309,960,0,480
1310,520,0,260
1311,792,0,396
1312,640,0,320
1313,1200,4,602
1314,432,0,216
1315,1048,0,524
1316,552,0,276
1317,876,0,438
1318,658,0,329
1319,1318,0,659
1320,320,0,160
1321,1320,2,661
1322,660,2,331
1323,756,0,378
1324,660,0,330
1325,1040,4,522
1326,384,0,192
1327,1326,0,663
1328,656,0,328
1329,884,0,442
1330,432,0,216
1331,1210,0,605
1332,432,0,216
1333,1260,0,630
1334,616,0,308
1335,704,0,352
1336,664,0,332
1337,1140,0,570
1338,444,0,222
1339,1224,0,612
1340,528,0,264
1341,888,0,444
1342,600,0,300
1343,1248,0,624
1344,384,0,192
1345,1072,4,538
1346,672,2,337
1347,896,0,448
1348,672,0,336
1349,1260,0,630
1350,360,0,180
1351,1152,0,576
1352,624,0,312
1353,800,0,400
1354,676,2,339
1355,1080,0,540
1356,448,0,224
1357,1276,0,638
1358,576,0,288
1359,900,0,450
1360,512,0,256
1361,1360,2,681
1362,452,0,226
1363,1288,0,644
1364,600,0,300
1365,576,0,288
1366,682,0,341
1367,1366,0,683
1368,432,0,216
1369,1332,2,667
1370,544,4,274
1371,912,0,456
1372,588,0,294
1373,1372,2,687
1374,456,0,228
1375,1000,0,500
1376,672,0,336
1377,864,0,432
1378,624,4,314
1379,1176,0,588
1380,352,0,176
1381,1380,2,691
1382,690,0,345
1383,920,0,460
1384,688,0,344
1385,1104,4,554
1386,360,0,180
1387,1296,0,648
1388,692,0,346
1389,924,0,462
1390,552,0,276
1391,1272,0,636
1392,448,0,224
1393,1188,0,594
1394,640,4,322
1395,720,0,360
1396,696,0,348
1397,1260,0,630
1398,464,0,232
1399,1398,0,699
1400,480,0,240
1401,932,0,466
1402,700,2,351
1403,1320,0,660
1404,432,0,216
1405,1120,4,562
1406,648,0,324
1407,792,0,396
1408,640,0,320
1409,1408,2,705
1410,368,0,184
1411,1312,0,656
1412,704,0,352
1413,936,0,468
1414,600,0,300
1415,1128,0,564
1416,464,0,232
1417,1296,4,650
1418,708,2,355
1419,840,0,420
1420,560,0,280
1421,1176,0,588
1422,468,0,234
1423,1422,0,711
1424,704,0,352
1425,720,0,360
1426,660,0,330
1427,1426,0,713
1428,384,0,192
1429,1428,2,715
1430,480,0,240
1431,936,0,468
1432,712,0,356
1433,1432,2,717
1434,476,0,238
1435,960,0,480
1436,716,0,358
1437,956,0,478
1438,718,0,359
1439,1438,0,719
1440,384,0,192
1441,1300,0,650
1442,612,0,306
1443,864,0,432
1444,684,0,342
1445,1088,4,546
1446,480,0,240
1447,1446,0,723
1448,720,0,360
1449,792,0,396
1450,560,4,282
1451,1450,0,725
1452,440,0,220
1453,1452,2,727
1454,726,0,363
1455,768,0,384
1456,576,0,288
1457,1380,0,690
1458,486,0,243
1459,1458,0,729
1460,576,0,288
1461,972,0,486
1462,672,0,336
1463,1080,0,540
1464,480,0,240
1465,1168,4,586
1466,732,2,367
1467,972,0,486
1468,732,0,366
1469,1344,4,674
1470,336,0,168
1471,1470,0,735
1472,704,0,352
1473,980,0,490
1474,660,0,330
1475,1160,0,580
1476,480,0,240
1477,1260,0,630
1478,738,0,369
1479,896,0,448
1480,576,0,288
1481,1480,2,741
1482,432,0,216
1483,1482,0,741
1484,624,0,312
1485,720,0,360
1486,742,0,371
1487,1486,0,743
1488,480,0,240
1489,1488,2,745
1490,592,4,298
1491,840,0,420
1492,744,0,372
1493,1492,2,747
1494,492,0,246
1495,1056,0,528
1496,640,0,320
1497,996,0,498
1498,636,0,318
1499,1498,0,749
1500,400,0,200
1501,1404,0,702
1502,750,0,375
1503,996,0,498
1504,736,0,368
1505,1008,0,504
1506,500,0,250
1507,1360,0,680
1508,672,0,336
1509,1004,0,502
1510,600,0,300
1511,1510,0,755
1512,432,0,216
1513,1408,4,706
1514,756,2,379
1515,800,0,400
1516,756,0,378
1517,1440,4,722
1518,440,0,220
1519,1260,0,630
1520,576,0,288
1521,936,0,468
1522,760,2,381
1523,1522,0,761
1524,504,0,252
1525,1200,4,602
1526,648,0,324
1527,1016,0,508
1528,760,0,380
1529,1380,0,690
1530,384,0,192
1531,1530,0,765
1532,764,0,382
1533,864,0,432
1534,696,0,348
1535,1224,0,612
1536,512,0,256
1537,1456,4,730
1538,768,2,385
1539,972,0,486
1540,480,0,240
1541,1452,0,726
1542,512,0,256
1543,1542,0,771
1544,768,0,384
1545,816,0,408
1546,772,2,387
1547,1152,0,576
1548,504,0,252
1549,1548,2,775
1550,600,0,300
1551,920,0,460
1552,768,0,384
1553,1552,2,777
1554,432,0,216
1555,1240,0,620
1556,776,0,388
1557,1032,0,516
1558,720,0,360
1559,1558,0,779
1560,384,0,192
1561,1332,0,666
1562,700,0,350
1563,1040,0,520
1564,704,0,352
1565,1248,4,626
1566,504,0,252
1567,1566,0,783
1568,672,0,336
1569,1044,0,522
1570,624,4,314
1571,1570,0,785
1572,520,0,260
1573,1320,0,660
1574,786,0,393
1575,720,0,360
1576,784,0,392
1577,1476,0,738
1578,524,0,262
1579,1578,0,789
1580,624,0,312
1581,960,0,480
1582,672,0,336
1583,1582,0,791
1584,480,0,240
1585,1264,4,634
1586,720,4,362
1587,1012,0,506
1588,792,0,396
1589,1356,0,678
1590,416,0,208
1591,1512,0,756
1592,792,0,396
1593,1044,0,522
1594,796,2,399
1595,1120,0,560
1596,432,0,216
1597,1596,2,799
1598,736,0,368
1599,960,0,480
1600,640,0,320
1601,1600,2,801
1602,528,0,264
1603,1368,0,684
1604,800,0,400
1605,848,0,424
1606,720,0,360
1607,1606,0,803
1608,528,0,264
1609,1608,2,805
1610,528,0,264
1611,1068,0,534
1612,720,0,360
1613,1612,2,807
1614,536,0,268
1615,1152,0,576
1616,800,0,400
1617,840,0,420
1618,808,2,405
1619,1618,0,809
1620,432,0,216
1621,1620,2,811
1622,810,0,405
1623,1080,0,540
1624,672,0,336
1625,1200,4,602
1626,540,0,270
1627,1626,0,813
1628,720,0,360
1629,1080,0,540
1630,648,0,324
1631,1392,0,696
1632,512,0,256
1633,1540,0,770
1634,756,0,378
1635,864,0,432
1636,816,0,408
1637,1636,2,819
1638,432,0,216
1639,1480,0,740
