step,a
173,1.0439425460770977
174,1.043657276819055
175,1.0433744394223439
176,1.0430939992724513
177,1.0428159224392923
178,1.0425401756599624
179,1.0422667263220151
180,1.0419955424472478
181,1.0417265926759787
182,1.0414598462517943
183,1.0411952730067553
184,1.0409328433470386
185,1.0406725282390086
186,1.0404142991956935
187,1.0401581282636614
188,1.0399039880102756
189,1.0396518515113202
190,1.039401692338982
191,1.0391534845501775
192,1.0389072026752115
193,1.0386628217067584
194,1.0384203170891542
195,1.0381796647079897
196,1.0379408408799942
197,1.0377038223431998
198,1.0374685862473794
199,1.0372351101447466
200,1.0370033719809109
201,1.0367733500860803
202,1.036545023166501
203,1.0363183702961285
204,1.0360933709085254
205,1.0358700047889702
206,1.0356482520667827
207,1.035428093207847
208,1.0352095090073354
209,1.0349924805826212
210,1.0347769893663776
211,1.0345630170998557
212,1.034350545826336
213,1.034139557884749
214,1.03393003590346
215,1.0337219627942105
216,1.0335153217462163
217,1.0333100962204118
218,1.0331062699438418
219,1.0329038269041924
220,1.0327027513444587
221,1.032503027757745
222,1.0323046408821936
223,1.0321075756960385
224,1.0319118174127793
225,1.0317173514764755
226,1.0315241635571513
227,1.0313322395463158
228,1.0311415655525873
229,1.0309521278974247
230,1.0307639131109612
231,1.0305769079279348
232,1.030391099283717
233,1.030206474310436
234,1.0300230203331875
235,1.0298407248663375
236,1.0296595756099096
237,1.029479560446056
238,1.029300667435611
239,1.0291228848147227
240,1.0289462009915613
241,1.0287706045431044
242,1.0285960842119943
243,1.0284226289034657
244,1.028250227682343
245,1.0280788697701069
246,1.027908544542022
247,1.027739241524334
248,1.0275709503915247
249,1.0274036609636292
250,1.0272373632036127
251,1.0270720472148034
252,1.0269077032383827
253,1.0267443216509282
254,1.026581892962013
255,1.026420407811853
256,1.026259856969008
257,1.026100231328129
258,1.0259415219077568
259,1.0257837198481645
260,1.0256268164092472
261,1.0254708029684558
262,1.0253156710187743
263,1.0251614121667383
264,1.0250080181304975
265,1.0248554807379149
266,1.0247037919247088
267,1.02455294373263
268,1.024402928307678
269,1.024253737898355
270,1.0241053648539515
271,1.0239578016228714
272,1.023811040750988
273,1.0236650748800336
274,1.023519896746022
275,1.0233754991777029
276,1.0232318750950458
277,1.0230890175077552
278,1.0229469195138148
279,1.0228055742980602
280,1.0226649751307804
281,1.022525115366345
282,1.0223859884418618
283,1.0222475878758548
284,1.022109907266974
285,1.0219729402927256
286,1.0218366807082286
287,1.021701122344996
288,1.0215662591097363
289,1.0214320849831817
290,1.0212985940189352
291,1.021165780342342
292,1.0210336381493805
293,1.020902161705575
294,1.0207713453449279
295,1.0206411834688742
296,1.0205116705452522
297,1.0203828011072942
298,1.0202545697526388
299,1.0201269711423573
300,1.02
