modulus,state_count,s_orbits,r_orbits,relation_rank,relative_betti,cusp_count,cuspidal_betti,cusp_rs_middle_distinct,cusp_rs_returns,adjacency_augmented_rank,adjacency_descends
105,192,96,64,159,33,8,26,1,1,192,0
106,162,82,54,135,27,4,24,1,1,162,0
107,108,54,36,89,19,2,18,1,1,108,0
108,216,108,72,179,37,18,20,1,1,216,0
109,110,56,38,93,17,2,16,1,1,110,0
110,216,108,72,179,37,8,30,1,1,216,0
111,152,76,52,127,25,4,22,1,1,152,0
112,192,96,64,159,33,12,22,1,1,192,0
113,114,58,38,95,19,2,18,1,1,114,0
114,240,120,80,199,41,8,34,1,1,240,0
115,144,72,48,119,25,4,22,1,1,144,0
116,180,90,60,149,31,6,26,1,1,180,0
117,168,84,56,139,29,8,22,1,1,168,0
118,180,90,60,149,31,4,28,1,1,180,0
119,144,72,48,119,25,4,22,1,1,144,0
120,288,144,96,239,49,16,34,1,1,288,0
121,132,66,44,109,23,12,12,1,1,132,0
122,186,94,62,155,31,4,28,1,1,186,0
123,168,84,56,139,29,4,26,1,1,168,0
124,192,96,64,159,33,6,28,1,1,192,0
125,150,76,50,125,25,10,16,1,1,150,0
126,288,144,96,239,49,16,34,1,1,288,0
127,128,64,44,107,21,2,20,1,1,128,0
128,192,96,64,159,33,16,18,1,1,192,0
129,176,88,60,147,29,4,26,1,1,176,0
130,252,128,84,211,41,8,34,1,1,252,0
131,132,66,44,109,23,2,22,1,1,132,0
132,288,144,96,239,49,12,38,1,1,288,0
133,160,80,56,135,25,4,22,1,1,160,0
134,204,102,68,169,35,4,32,1,1,204,0
135,216,108,72,179,37,12,26,1,1,216,0
136,216,108,72,179,37,8,30,1,1,216,0
137,138,70,46,115,23,2,22,1,1,138,0
138,288,144,96,239,49,8,42,1,1,288,0
139,140,70,48,117,23,2,22,1,1,140,0
140,288,144,96,239,49,12,38,1,1,288,0
141,192,96,64,159,33,4,30,1,1,192,0
142,216,108,72,179,37,4,34,1,1,216,0
143,168,84,56,139,29,4,26,1,1,168,0
144,288,144,96,239,49,24,26,1,1,288,0
145,180,92,60,151,29,4,26,1,1,180,0
146,222,112,74,185,37,4,34,1,1,222,0
147,224,112,76,187,37,16,22,1,1,224,0
148,228,114,76,189,39,6,34,1,1,228,0
149,150,76,50,125,25,2,24,1,1,150,0
150,360,180,120,299,61,24,38,1,1,360,0
151,152,76,52,127,25,2,24,1,1,152,0
152,240,120,80,199,41,8,34,1,1,240,0
153,216,108,72,179,37,8,30,1,1,216,0
154,288,144,96,239,49,8,42,1,1,288,0
155,192,96,64,159,33,4,30,1,1,192,0
156,336,168,112,279,57,12,46,1,1,336,0
157,158,80,54,133,25,2,24,1,1,158,0
158,240,120,80,199,41,4,38,1,1,240,0
159,216,108,72,179,37,4,34,1,1,216,0
160,288,144,96,239,49,16,34,1,1,288,0
161,192,96,64,159,33,4,30,1,1,192,0
162,324,162,108,269,55,24,32,1,1,324,0
163,164,82,56,137,27,2,26,1,1,164,0
164,252,126,84,209,43,6,38,1,1,252,0
165,288,144,96,239,49,8,42,1,1,288,0
166,252,126,84,209,43,4,40,1,1,252,0
167,168,84,56,139,29,2,28,1,1,168,0
168,384,192,128,319,65,16,50,1,1,384,0
169,182,92,62,153,29,14,16,1,1,182,0
170,324,164,108,271,53,8,46,1,1,324,0
171,240,120,80,199,41,8,34,1,1,240,0
172,264,132,88,219,45,6,40,1,1,264,0
173,174,88,58,145,29,2,28,1,1,174,0
174,360,180,120,299,61,8,54,1,1,360,0
175,240,120,80,199,41,12,30,1,1,240,0
176,288,144,96,239,49,12,38,1,1,288,0
177,240,120,80,199,41,4,38,1,1,240,0
178,270,136,90,225,45,4,42,1,1,270,0
179,180,90,60,149,31,2,30,1,1,180,0
180,432,216,144,359,73,24,50,1,1,432,0
181,182,92,62,153,29,2,28,1,1,182,0
182,336,168,112,279,57,8,50,1,1,336,0
183,248,124,84,207,41,4,38,1,1,248,0
184,288,144,96,239,49,8,42,1,1,288,0
185,228,116,76,191,37,4,34,1,1,228,0
186,384,192,128,319,65,8,58,1,1,384,0
187,216,108,72,179,37,4,34,1,1,216,0
188,288,144,96,239,49,6,44,1,1,288,0
189,288,144,96,239,49,12,38,1,1,288,0
190,360,180,120,299,61,8,54,1,1,360,0
191,192,96,64,159,33,2,32,1,1,192,0
192,384,192,128,319,65,24,42,1,1,384,0
