n,final_residue,accepts,independent_prime_audit,cycle_length_if_accepted,residue_path_sha256
2240,0,0,0,0,b8aa357aeda9bd76961916e022218dd6ca1c42e7ed703169497f1c26f9b379f2
2241,0,0,0,0,f1c6522d393d1eeb133250425440a75f66fbedbc8e2c4d13e3c76a6d5e650ac3
2242,0,0,0,0,05f98f594cb1f86f6262272702824d9a33510b7e2c5e51b4e8f03653c8b43e4e
2243,2242,1,1,2242,a27ad3893ce6af02ec78d3a38530ca74c6c832a994893e01e3fcc4cd4c162ff0
2244,0,0,0,0,e00bb85f411ec1c022d732b13cc459ebbf0234d7ba19f849ebc12e9c4668a4d6
2245,0,0,0,0,fab45b7455fdb7e5d95d8dfec26e92917eb9482685f98e2f23a843d003850947
2246,0,0,0,0,1b35431440ae544352f39ecef5bd710d4246d1c71c39636fc7bd69b347231715
2247,0,0,0,0,78035dfcbf0f834757ff128e7202a31a8c82bd610b6abba68d8512cef90d9353
2248,0,0,0,0,b59c805a95a6193fec2b1fe6e1bcdbc5ee7a21f207cff70c8fcd5e6f1fbba97a
2249,0,0,0,0,84fecb6097320a1095cf6b448ea961e9bbebf88a54058c72d02938bdd78c6d65
2250,0,0,0,0,af19f5a53e860ef209f253a85ae7f6f7f0c15aed8644d1ae8a232b23c38991cf
2251,2250,1,1,2250,20065518f8adce4eda80a2f3111242eca9e971377b565a7946fac6f3eec5edb4
2252,0,0,0,0,90320bf62163cf9acea1d4c79805049605137a101272fe080ea1b9b12548046f
2253,0,0,0,0,9521b9d5a6ec9a0ac2beffb7f28478e642567c9a46c964dc9f4b62909fbf420b
2254,0,0,0,0,f4be7e1583c92b36dc21882c08789f5d60374c519e20d7b77c1e4e9e6c123970
2255,0,0,0,0,00905fa77f1627a68b085a9d2c4992dc2960fa59eba30f7bf4d63b44e018fc57
2256,0,0,0,0,d18b29894365fe779921e05e66ea51e5a0ebf627e67a1bf3c3345e47ae0f5b53
2257,0,0,0,0,a4ddc7493bd3fe142c73c27baf1c5cce3c1639446d159a421ebbf004a6c5e61a
2258,0,0,0,0,4250596cb370ae20adce8d78acd9bc56a8b39de4c9cc1f112c449107d3a54264
2259,0,0,0,0,bb25ffea31c39cdb9c93939bc81555e15b88e564edd98e9a4766efe0d2c44162
2260,0,0,0,0,6d51053964f9bd59f61d8a93362b6ba4fcca890b0d1b88dbfb0771c5464566e2
2261,0,0,0,0,170c098230ec740171345ea8be4df59c217f4e478be9ea1a20c2182d0725b68b
2262,0,0,0,0,5a1bd1f3033f6f5e54e1e8b735f6be94676d112d3f5090c55167046f1b5fe748
2263,0,0,0,0,38f560414529123f77afd6ba11126d49b7664b94d7fbe869b1f9a0aa66451e77
2264,0,0,0,0,c22d3b5c619aa61a66013fdcd413c9b68f0a31a3eedbcc739b0be255a9d71848
2265,0,0,0,0,eb69ff8c295971509e00e9e0a2a1cce6f5b9c2fffa9e553e3915ee66a55db927
2266,0,0,0,0,40080b43cb95472ea994729118b3f87f5578dc2cc77df29a06692ee3a7d5ae31
2267,2266,1,1,2266,ce087979e08dc95ab2070d6bf1d2ed039f295c223375a1a1135f41d7424d51d3
2268,0,0,0,0,c40bf9b0acaf7b0c8af264bcd7a35b5957d415287dbc54bdb863ea18e6479079
2269,2268,1,1,2268,a813a5620551cdc07b9750dbc3532cc4b87f010d36681729371646090f7e4fb5
2270,0,0,0,0,402aecca7fbfa55a707561ae264f5645442d027049d37b336ded3b114510704f
2271,0,0,0,0,4d31bcfae19cf602cc2f9ed2a2a5cbeac5c4795677808677808bf7efd62b5702
2272,0,0,0,0,7c449c8f625930887ff4d73967705ba54d78718dc26f8bc3e530ac2475f7199c
2273,2272,1,1,2272,23c38b438782a200c71e3e8ce00b0965982e7ca66157b5c1e311340bd27afda5
2274,0,0,0,0,f84554d086725ae79d8db1f9a11e41ea7b80bc762cc37b01b66f94ab3a7c643b
2275,0,0,0,0,ee8e7b63e85e5cd59a58cc06086b152bd1fd59982619e589801f4c6c54d497fb
2276,0,0,0,0,798fe7409cdb359b1603c2cc94dd3bf26216f3e1e1558f8a303593f260dc5b45
2277,0,0,0,0,c19880e3b6070c8213fe04046e9178ce11733bf73fb84f6751a1a4ee0569306a
2278,0,0,0,0,e60825aa8740aeef06aa63c757971519a2355dec27b8713c70256d646ee78ea8
2279,0,0,0,0,356fac4484b6fd0992b78dec8fc9251fb2aa94560736180b4a4c481f6ca15636
2280,0,0,0,0,8a006a0ff93980b2b1a9102c3b3290663f95a89a50a6315e2546b961a84fed3d
2281,2280,1,1,2280,9859e9ca132d0d3ea897a4bdb057ea0c4567e6a89e6bcc5eae2d328279bef643
2282,0,0,0,0,f417061c0e9af86f5aede244a167f3df8adf532a1045c4804e4bd77d17bf20b4
2283,0,0,0,0,e89e5cc92900fdad273a29d63d62922b6af8307ace8e453577339e6516fcc05d
2284,0,0,0,0,2a4f6c13c7332c4aa4eb16975e82ea31543de9b48e164b8d6bb5c05138c83909
2285,0,0,0,0,48d2cfdd176e65c6451409f450ffdfd78d3bd18317afe9ad4d1c8bd825622034
2286,0,0,0,0,ffee87ad270e1c57808d08f6d7c43a89a1bfc252a7a701bcce4dda8a35566d7f
2287,2286,1,1,2286,021813d0dd9d2194cab5f59410b55daed8b901194046e3df96c12f9eaf5aa1be
2288,0,0,0,0,5051fe6b415ab6b5bac5667b77b42cb68e00c79000c22c2fe5439b225284815b
2289,0,0,0,0,3f37697f7d701f998bd6ff730d8f0ff8071f1f9c3116511ad330643c33629952
2290,0,0,0,0,aa69ea095f5c463cbf50fa694f1dd663525085932996e25b60b45ec6b7e196d4
2291,0,0,0,0,48341437c3fe5c3b43021803e9ba7fff2ec61151475633d4a88665563ebb8c81
2292,0,0,0,0,87a9e59146070297a0e878316296ef7fafd9066e51b525e06dd7e9572548db57
2293,2292,1,1,2292,4ee1a5c362a038f18e08d6da6bf25decfb393be0a358b037dfa3f1ae82368cbf
2294,0,0,0,0,5c55f6d39885daf44ab139610b636450504d3c97ff31197dbc5530dbe58106d5
2295,0,0,0,0,0e710aabca157fe42ab4d093c9ee8403644870077049cf2ff9cd3539c814849f
2296,0,0,0,0,b57bcd9a0ab1977afd9b112f7f169f120bce19a624fee18f3a67946074f52185
2297,2296,1,1,2296,b6198569d26e76e7f8ed1cebd0eeb8b0696953e16f04bd214115d6f1906c9d08
2298,0,0,0,0,015e809d8d2616e9b763b7d3415b0f3a8c75614f997f23baef8375d8243d1fc7
2299,0,0,0,0,14392ade5b2dd7316ba783b801a9c6200de7afe059f91c4effa53ca9d7f4dc0b
2300,0,0,0,0,f0564d17dae858bd9e497a4f82b8d9389bb6457351cef942553d2124e674d020
2301,0,0,0,0,805d4ecd4262e04314b3b2e8fe521ee894ed71474244697c4223d71bbfbbfe86
2302,0,0,0,0,266867957d65b115b4f27b8a6c6e84a80d0927503ccc2750c89aa732336a7e51
2303,0,0,0,0,4e7cca6d5d601be43be932deee581373398c0997524f97cf5450102d6874e6ca
2304,0,0,0,0,1093f899c12b2a99f1dd1c12509c917016f481e0d69b565b7762a19733d89c97
2305,0,0,0,0,e945c6b6aecb0259d46f20ec21f9e581f4bdc38e1aec3a9ed0d94e8f1de5dcac
2306,0,0,0,0,f3657e52218ae74eb8af7e498351045e64f76332cce69812d4912d569b2493ef
2307,0,0,0,0,7bbe81f4a26bd35f0055f28978621d8f3e5cb35905197c8d0a8c23abb497b01c
2308,0,0,0,0,4bede638143f511791edabfe35996897cd7df0164591b290f45aeaac3e81839b
2309,2308,1,1,2308,ab8e5084f65c469a36f1a1a72a4ddf200ffd20052c37b0b0742beafc7c011c5e
2310,0,0,0,0,4810dc887ffe15caf09b7fdf64937a5dfa9e643257b05f6331e294dbdc1adc04
2311,2310,1,1,2310,5e73531c39d40d691815718008d2e4df43ac983e8d73d46bae7ebb6e190b76ae
2312,0,0,0,0,36c1402afdc7e184619fd48650bfb01291e52bef5bcbb2a2b152adf8a9c9d9c1
2313,0,0,0,0,80ccc837475859df382de9a8380b93587df89890f8595593bcc1b60a13da156a
2314,0,0,0,0,59685ab47ad3d11ac839184bdc22db44f181193c25a5dd4fbe19d5b0882a0922
2315,0,0,0,0,042cfa6a5b44600ee45dc6e51b098e830d3cdf93b91f4b2bbcdfb2b706a94b38
2316,0,0,0,0,c8f62f48e66986b4b7b1b6f775b4b21ce71ffb74c85852872703855abb2a633f
2317,0,0,0,0,efec8ebfd1d7376fc13caca5f6f798101102064a09c2c90f214ee4d3edd1297a
2318,0,0,0,0,a706c1902ff95dd271a10413855d138b4af29892cf5b14cd7e66276d8362b532
2319,0,0,0,0,f203b7055b5ef119cc5823a7bdcfdde249396277fad92d79bfa372f8621fd3a5
2320,0,0,0,0,5626c9d527b8c7a8ab825b30c2618faf0c74cc0ae70e9e5bb61ffa267c278f73
2321,0,0,0,0,df69e1e9bddaf41c81a50b59a62fda57f4cf57ff0463afa56a6b20eee948ee61
2322,0,0,0,0,a2e26f99a576905c34306e45c3a6c818229de02e5a1214849ff43525d1618797
2323,0,0,0,0,b715e5840359e3cdb12117033e7453240ff721f32234b6d7caa1c48b0b465e4f
2324,0,0,0,0,de402c4cc25fa0d22ee1da387d7e9c59678cc35e5fd849fd2991d6d48cef3ad6
2325,0,0,0,0,f9ed448e3d0868827b8c1477377247e001d402e7fb153c4f23270d6eb7f5ac65
2326,0,0,0,0,7996f2c513d555b59f7d71263833cd93db941a193b9bab736bca0270e7712950
2327,0,0,0,0,7f52bbd77188b46cd5322ac57d84c58cc663aa4c9ae1fad77289c241ddf2e658
2328,0,0,0,0,7c7a73d81757284b29259535e78878c36309b0dca5449d00d824f766b46c4e75
2329,0,0,0,0,22d5ae541a651da3b6c097d6c7ec7b2f864914880259004f45f95206924a3f52
2330,0,0,0,0,937ca83dbb76ffe89ad98e0a51fca7311542a8d3d7db05c5538d47c577d04d34
2331,0,0,0,0,b0f3f7c595c4e8bbc488463882e8c15ba2ecb597135632f8effda1995eca317c
2332,0,0,0,0,5200ad5883c1ca5317fd9753bf6dfeb449b982b2b7c01f12a339fbb649bbe055
2333,2332,1,1,2332,5a0d346a5d254be1743ba93c619c5c86f5c0e4b9e24693973b7dec1eedbd9be4
2334,0,0,0,0,45d33f8ee20129033b64e70af235b03b8bd96be9339cfd7016e7554609f14ccf
2335,0,0,0,0,048aab3b6b9771bcf25f9fde6ac34f6ca2ff9c69fa41ffdcb112126390fbba50
2336,0,0,0,0,4b38b23ab7b216d8a410f91ff098e9f17d3ddc0f8237e5f91b00c994fc8e3479
2337,0,0,0,0,d4d4e56d11cb992a23d2a6e89184a7bfc442d32a9b9fadf4150a8c0b36583cf1
2338,0,0,0,0,cbee1adc04a8944917fdf747b80413db9439c60cf20931ce59558c4e9496382c
2339,2338,1,1,2338,2d0f52b60a1a0b6a711fb4b30ea8efb7d0bbe20817e1c01e716ce4eae28cabcd
2340,0,0,0,0,1fdbd5abf4e0d51011cb879bcc0cd89bf5fff6d06f5abae862f0c00886a41629
2341,2340,1,1,2340,990648c0a49eeaa4b49fec828dafb3baaf44490159234db1a091fb226658f3bf
2342,0,0,0,0,c752057f91ee956c8693ae23c78d6d367db5a895f2f720fe3572050b73de37b2
2343,0,0,0,0,788238701d1288d7580fec1486a92e06df99dc59d758964a0fd489a207e5f410
2344,0,0,0,0,f228e7f61c0ef1f9a91ef3107e7d26019637f7f881f0487afd878269924a72cf
2345,0,0,0,0,afb53eda0dbfb542e30be62ef03b7ff14f7e38a9b511635d21c6385cc49a14b5
2346,0,0,0,0,a3d4474845e1a70f058e88c142f3f9f7321c0b420db0fd0393548831e725e95f
2347,2346,1,1,2346,1fb71bf481765b3dbbc2f9eba41ef5de89f255421d324d0775d163e0d06f759e
2348,0,0,0,0,fd3c1c20ac3c1485754970b42cc93e35e6557c52cd2f97c917d528e6a5b27e17
2349,0,0,0,0,f742cf8e2a2fb3bb92fa4fbc3345b03fe8e147cfa67e4758a6b46740a6fad654
2350,0,0,0,0,213db8a46e76a3a3c1cd2bcee5297d4f1002926b2baf9b7fbf72fabfb9edadea
2351,2350,1,1,2350,41f4584c3a322233c0c0fdb33242f7cf6adf4610b4fce53e6847e04549294160
2352,0,0,0,0,bd0f4c7441a34fdc7f7676cac6aa9eba7df5185dde831d68581b4d6048762709
2353,0,0,0,0,a88ce587e3c2fdb0a256cdc7d5bbf24233ae1985f626112e3945867d91775742
2354,0,0,0,0,1cce70f7a27d85530a77eb97b3581ce6bb4fd7cd26cdc9ae9a4f75d4e56e8e5f
2355,0,0,0,0,f347fec8fb7ec5ccd1582cbd424aebee021b04a355cf91655030f2cc95da6354
2356,0,0,0,0,e888f5b5fcef8e8f1cc2cd79f1c06e488700e002efb0dcd3b75e3c4f43706ab2
2357,2356,1,1,2356,a6a8ff432022783ea9ca2ab6bf3a0a09e0d986b7a0059709d2fc099ca9556d78
2358,0,0,0,0,91923951f754470808ac6b413f1e50085d15c1374eb2dc2c27acd4d877f028e9
2359,0,0,0,0,c3ff6ff1cf231362d5584adf5d5b7e15ee0f3c5eb3c11674149e86535bf83270
2360,0,0,0,0,35a9876786ce4f01226b32ef19ccf1104396f52785d80e8ec1a985e596027810
2361,0,0,0,0,66e6fa23c74269d7fcea0f2d2d045ce34ade5c71ffbcdd50ebb426efbe66b952
2362,0,0,0,0,8bc80952cc674c9d517790a3144a86bc4af5fbbac88603f98c3232c82425f605
2363,0,0,0,0,f8193d62ae1daa4b9740892949f632e5e9ab2387271de6bdbe01c6fc3e8d9258
2364,0,0,0,0,52d5249888f700f8aa94ae431622ec1f8730e3271d9d5f7ee994509ff2eeec6e
2365,0,0,0,0,b3bcb73df3f3ccd04ef146bcffded91ead34ef582cac0d91a5df67695caf1c0a
2366,0,0,0,0,6c9c5bb8b858491d89f0f76555ed283ad4d35883e67d6cd8979ec0be35bb84a9
2367,0,0,0,0,69ae5b71330c655e804415df8ffe3606c23dfe5ae417890f63c2397d52b19538
2368,0,0,0,0,6c680a9566d9e6994e17aa05c254777e71d2adfe219b69c6797fe27ed6df6300
2369,0,0,0,0,20c7ce8105b3d935b3899835449d45caa46c5de22e67ae741e414e6e302ae3e7
2370,0,0,0,0,bbd4e4850f61f81da9c67c803a79d58d0a6d77aa6367706550e0040e1e8eeef3
2371,2370,1,1,2370,4418a845ff57b07de3e8bed24c5f0e8dd544bf1cba437c922b590d7423b2eb80
2372,0,0,0,0,5b2a81425ec6bf11599790bf5d2b84c54cff67ce58e5653dff69724c830ce260
2373,0,0,0,0,becc61a8d52758409c28466db383bff9c960b943fa617466e007ee33b4b96096
2374,0,0,0,0,c2889b1ec19b3ca87c0ae888c52762a2a63ada14534e3e834316b9b03208d366
2375,0,0,0,0,48e973e6d4f611e467612bf5ea64d53803578edfb60ea428f8030f05157b9ed7
2376,0,0,0,0,456f8c9d8668848b74f4ba95599ffe37549ffc85121f0acedcdcb467abd86758
2377,2376,1,1,2376,5972b1a6cab20ef2eed942d357ba488c35888895ea798013f37c34cd263d2158
2378,0,0,0,0,2f4ce326ef60f19ad2655c571513ab01ff26d97318a7bff859c74a2a922dcf29
2379,0,0,0,0,65e42ac2c82465c7465ac889196ec5be5c6930bd2a5bec20c99ebf171dbbba3f
2380,0,0,0,0,dd9d0d62bade3c2127df5d34b120f25ad9e6d24beb1365a71b73ee9f4158dbba
2381,2380,1,1,2380,8a10e4accbf59dd841d7a61470029a583f5f732516c4c5dae6fb5e9e0159fcdb
2382,0,0,0,0,1f5167725450868fb7bf0ec8f79135565a889454300430436ab8826c5056a6e9
2383,2382,1,1,2382,bfb6e823305a4ec454790e20ac42dccc8217e2ce8ca9d55ab0a04a38a30f447e
2384,0,0,0,0,318ac94e4076f339532156005a8d1c3eac0801262f3c0f9c72d45fe9cf29ddf2
2385,0,0,0,0,121700e5324d983a6a82918bdffc5aadd6e003dbba5502cd3741e0250b479c0d
2386,0,0,0,0,2216f378665dd63b26943f8debd1e743354bfc12fedb280cfaad312a61236ffe
2387,0,0,0,0,efba8f67f1944e3b633a924577c9b8ad99552dd6da7b5be83007e06aca6413cd
2388,0,0,0,0,7d65cfdc273b7afa52d6472acf78034f97478395ec65f690a25d71b3ac059248
2389,2388,1,1,2388,0ae7762e59de199437ea410f3b87fa8b6873fd63557c0a8773514dc94a01bdbb
2390,0,0,0,0,7cb41578763cfd26adf5542c6c14c5710f0ce2d95f931dc85c4dcf10da17e38c
2391,0,0,0,0,fd29f7f6072b560f783695cc71fa612e7e8990a9ba752b658baf982228feca13
2392,0,0,0,0,8bfddf3838551ae48a0167662cedfddf695fd2ed6b5660e84eea167d652754e3
2393,2392,1,1,2392,a43bab12accaf5e794fca4dc0e7033c4d96e3c650821a552f61ca890fb23dc44
2394,0,0,0,0,e4c74f5335e98e831848304ce1bfabed2070809c1ffdbf1ec5cfaa04135c515f
2395,0,0,0,0,df756aba50343ec4863f8041ff9108236e4696d5aa812cc3d0517206b405f4ab
2396,0,0,0,0,c75ac98bf87037809949e0b7c750c8f6141ef8efff638052003405c1057e0a5c
2397,0,0,0,0,dec6e8fcce99015be4dedb9a625ef1997b43006ac77a2d8dd34c37719fc6822a
2398,0,0,0,0,587324cf1b2c31e0468da4b6ba700fe36e716823d8728cb6d67318515ee4cc24
2399,2398,1,1,2398,a66d26b585f74b8fb40d0d1f67a82b6c56da03fa5daf2de26368373e450f82b1
2400,0,0,0,0,6534837c31b3808839829ade4074ab97658dfff2bc2bc2e9045fa05e754df3db
2401,0,0,0,0,ac44e796f1acd57cc9625cc256d3aa954d632eb8256296213a91cf245606841d
2402,0,0,0,0,9d9bdbf6a102dfa08f875cf5d80fc1d996647ed73bb68c8d8768ff91b9443e41
2403,0,0,0,0,768a71bb026499aa3776c4548b984d1620a6219d4aa2fa1c8cd29ec6883db2e2
2404,0,0,0,0,832ef9b4a589647c68625134fb93a25260554a515051cb00676b8454f0d88963
2405,0,0,0,0,cb26e09ecda57b81b7fc4727e75afde7822b8dae07bee9744ed7ad658a4f8fd5
2406,0,0,0,0,eaf8a7ec2c9dcda9569d307200218a5610a866d5a2fa311ae7d558275dd5242a
2407,0,0,0,0,5368aacf15125d4263de74e98368d5be25032d4af2822be02f5b604e300aed9f
2408,0,0,0,0,a54b86cbfa69c577fd51fe4e627a932afe18801de8d7e658bd81240942819c4c
2409,0,0,0,0,3cebd19db36c3603b2ed5dc6b19274d8ac6c2c50988c75fa031262dcab9cbfc7
2410,0,0,0,0,722a027a70b8634b04e6ae0bbe48e124949fc30c3855d52b973170a95a303c43
2411,2410,1,1,2410,64c876311d254feb0c7b04cfc94628e73b9043b56df78c0e3a52e0e4e706a849
2412,0,0,0,0,08ba625d3c43ae2ddda86fc85bf6c1431fee83a9ef58f84b1010d96167d9e5cd
2413,0,0,0,0,ef23b7bf3d580e8876caa2632c4dbebe4561c6d49dd7c1f98ee11f7ace8e78bb
2414,0,0,0,0,880cfd88cdb65fa0cf897c9a1120a2cd9a07b067c03e8a0aaeed66fb3619ba6d
2415,0,0,0,0,7d207e06e671b00f52065c7f44d69aa1f56366afda5a4c19bb3e66704e671a22
2416,0,0,0,0,1bfbaecfe4a619df6ef7d9b1e434105780bf93c76351148675d37435ffe28cda
2417,2416,1,1,2416,ca47c74688af0554ed3a3290eab4d68c77bdfff73bfc59de7508bfc05ec4fe7a
2418,0,0,0,0,e5b98b3080c4b1e9d83822b37ce33953db2f04f27bda8f704f09a61aca4cded1
2419,0,0,0,0,1d87181d4189946e3097211d86b56bc29f676122b17b725663f8589afdb58bef
2420,0,0,0,0,969a100c99e91a9513b3f7b0906396b66dc75c430c964f42b1c3691f0d9a94e5
2421,0,0,0,0,dee99cb7cb07a4c8564dfee15ed5385c550e0f009afe317feb352a03aa6dac68
2422,0,0,0,0,1a659971ec20e2df23933ba03f71cf819774e167baefcd86d0a204ff914efdaa
2423,2422,1,1,2422,608bec624080d96957a7218e0831a3dbba92ec2831d56204ed0985e6d9e930dd
2424,0,0,0,0,f252082fee385c68e764a45bcba1f400bf08d7c67ce629d6e40841315489baf3
2425,0,0,0,0,50164bc63d2a3f317a46eebc33408882defb02328b3dcb85529a0cd8721fb805
2426,0,0,0,0,52ffc4d0322609f606bdfa3f59546b250aa9964e23ce609eabee6ad66bed5123
2427,0,0,0,0,91429b54a3a98021423f699623ebfdb473079d46a56544d012c41c299f16694c
2428,0,0,0,0,04d763316655d5bf0b7e08164d2dc12da8f32997126a37bd3e6fea04b49c28fb
2429,0,0,0,0,b6356069a3d33de177235b565836eb3a739cc5d1722e16ad86491761cc55023e
2430,0,0,0,0,a4f60b2b316d99f0e1ead85d0e8be346a67400e291d106ded4474c4e43e0e109
2431,0,0,0,0,4eee21b0308af0327c51ff33e7c7c5bc18bb07cfad28115bd0056f8b79d31fbb
2432,0,0,0,0,89c60437d555ebab546be2240890168b64181a9229814ce620e7ec7091092362
2433,0,0,0,0,2ed8fbd51ced0c2e753ba26b1ff1335d28d720506cbdd93b5b3289c306b44eba
2434,0,0,0,0,a175913fa46c573389175150a926b35ad18fe3adc888f9e40021bc1d948f3da0
2435,0,0,0,0,a53dcf0e11591e27dd8fdd57836b1e92d9861f7e623b061ccd0e93fe2010f0e3
2436,0,0,0,0,b16908beaa0ebcd847e2c2aebaa8dbd2bf0be0387f6094732f4d0e380ea3dbb7
2437,2436,1,1,2436,14cce1d7a5afd5b27cdc892a54dc2d26e555a75f125422b2ebc376b160e0dd43
2438,0,0,0,0,531d3593f81e6af9e29b724f9b1edb953f753077c22a15c00e810a589d161b0d
2439,0,0,0,0,fefae907ffe248da440ea7e5393f1958faa43d0cf57c4703d31821734e181e6b
2440,0,0,0,0,742498b9dc9848ff6238b02036c57254e0c6544cf93f43ba182ce66f86d44071
2441,2440,1,1,2440,01c357b5b1c43dab78e633f544b87b32ce605043565220ff3299e8af36fd7233
2442,0,0,0,0,b818e68e78e137a307a16b649a5dfd016ac39098bf338eea3f8f30f03ef0bc7c
2443,0,0,0,0,66bac9d4b9a284fa78313d720af0e5b3463f6fc9177a46846b2a988494fae2b3
2444,0,0,0,0,6a9a2808048e880d3fb2ffc5ca4f35f902d09791af95aa65062e4037c7e943b2
2445,0,0,0,0,309569da372c8e5fa47abd21d145c1815cdc47303ce4e18d584be0bf5777bfeb
2446,0,0,0,0,57d6583fbfe0c40691e0e4c7be27901c377f897e2b36d3dede17db74c63ba4a8
2447,2446,1,1,2446,496314379546c6caddce98732d262734f65afabbbdfc7580beb251e5abf4188b
2448,0,0,0,0,3a2976563197ebb1651b4f65b0726127a50752503803eb7bfbd59d9915c4e454
2449,0,0,0,0,3ad4a1bf3aae0bf4a62f888315da9cbdca5282be2bfdfe47a5d49db703c78be0
2450,0,0,0,0,1a25debfd06fd9e3806642d05cfe00fc71d25379c19d8d290dcb7fc6a4241aa0
2451,0,0,0,0,2c3c15b1740782f39143458159079da76f75cfab496060ebcc28bf1f1f29b1df
2452,0,0,0,0,ae694b5a71d84152cf3aa9201c514352d38e99893d39caf252144c1de9e66cc9
2453,0,0,0,0,5618d4d063a2675493ae9b719202ea046e7b2d1e86c729b2e97f0f97deb6aa24
2454,0,0,0,0,02ed1e7c6142045a52e47bfd6f7170dd87dfaf83b48c784b83cde3400a9d77e4
2455,0,0,0,0,f1c257ad35d15d346a2a5b5f50de8f2fdf1b51266445d11d16833e1d3c9f8ddb
2456,0,0,0,0,56d66456c5c1a80af3e88912e5ecd5f0d4011add352e764cc1c545ea8299d74f
2457,0,0,0,0,a0e64b9ba38ee2bd3b14165268df9ba0f4e9b9ab0eab4dd7b4b14ed5ef7bd466
2458,0,0,0,0,065fb0077919607025914d2a88dde31041daa3f1f36d1e62bf4206aec780e590
2459,2458,1,1,2458,37759a3230c7b8061b5207254f1d7a54664cd08a8862659dff5f9225f2abec11
2460,0,0,0,0,aa62727b01f2d6a46f136028261999260bfdf59683317a37d9493bbf581ad2b1
2461,0,0,0,0,a389f19d866eed808e828c646b2f4ef5dcc547dfa7f07131a73b8cb706702be5
2462,0,0,0,0,337967210c49d412bd570fc21aadcb637f2bba271a3a88268161066300df456f
2463,0,0,0,0,473c6d41757ee4cb6ff82e28c2669149554cef659b58be15cf0a75176850e515
2464,0,0,0,0,1fa209230592c40aee97cf53c8416e64155a727febd85d7a48fa83329375f28f
2465,0,0,0,0,c56046827fc8234edf6df95748cdecea55ab60dcab72c8f5b556c023229a8ad3
2466,0,0,0,0,10e5bb893aaebdfc046629ba5816303322a9c2ea130d5bc981d4b6084a2687c8
2467,2466,1,1,2466,b98e37a8b821de954a0a093e46139e246aeb5613bd7af4b576624350f1432a7f
2468,0,0,0,0,17afc87638a108d0c337f8f62dc55067e9c7f8f54ce6fa6d323dd80635a76967
2469,0,0,0,0,594b02f6b2dc646cde1c06e3c63b5c33ad6e728807a57d12838944d45584b2c2
2470,0,0,0,0,4be0bfbd5b388e0db307d5e65a31d43811f115bd67578d5df295a5d06549c216
2471,0,0,0,0,748bb164cd980b1cbed69c1795cb596b67caf80c0d6481c1f70fef092f811e98
2472,0,0,0,0,1ca3483167b0d6fe9c51dc2389d87576044684c7203322ab5abb45c383b95a7f
2473,2472,1,1,2472,f9be5739851e9af734e26e6bc2b5c67a61eb63fb94c7b55502c409d8e2f9043a
2474,0,0,0,0,ff27565d73546b56355b0fa8c861e56cfa9db0f9cf198030fe6737fac95ecff2
2475,0,0,0,0,3e35383180c4c9d6e42679ea5f668298ee8086cecc4fd01aff6d895bf420c831
2476,0,0,0,0,39bb471a222cf71d7e665c1c0ba9651cf29cc8a8a2ed2710bca96753fe551be2
2477,2476,1,1,2476,9e301d213e48520d80d2b812edc0f7d801259d34879d50f0ae90033e8ec5a204
2478,0,0,0,0,c05bbedaeb123ee7b6a1552ae9098121ff98158b3a5b1da4959e0bd76ca366d4
2479,0,0,0,0,f864a1f2370307c3f1ed70d2be7466be69e9aabfc527745d25b623d4da31e8a2
2480,0,0,0,0,019f5fa86a9190dbc169720ff6b1e3e379cc9a33a26dce712a83b17e1ede3abe
2481,0,0,0,0,c6d5d371f062e73839e9fdbbcc50c5b0209d4a22d0615f87f786e0dbf57b73a4
2482,0,0,0,0,5548008ffc1c3290b31caa2203df329b4421f6e02af78a94d1da4c4e1c28afee
2483,0,0,0,0,a4b8ddb5cec9d73248700f1e49bb78b316c6cf828c853fd9ef1c161b316abab0
2484,0,0,0,0,e36b996e9df397c1636fe9ea83975a5cc54ffeb8f0c016049d6acbe2bce34f0d
2485,0,0,0,0,aaedb33b543de602af049f626824c655eacdd4a25dd9fca5c82d53e573f78f62
2486,0,0,0,0,ec32b0d6c6819cd806b38e64717b591580b5790f764f35ab86690ee009603452
2487,0,0,0,0,f73f573bb9d89f5b76fda08b1c001616af0eb1ec24f87d83a4734920c453fdc8
2488,0,0,0,0,c48598c4361c38b7d16ee68b73cbcb184a7d27e667f622765ad22c9a5f008fbb
2489,0,0,0,0,873480b4678dd204c2159aa8c5eb639721591d6c98d8bee00d4923d9bf5b3bd9
2490,0,0,0,0,ac47cc7d1bf15c110ee03d403755b4918d4caa79e51bac5807bf218fd398131a
2491,0,0,0,0,7feb1d812b0cf44506b4da92b128c8fe089293965ac6f06873864725edcc1b35
2492,0,0,0,0,ccadc1937ddf6a24a005a6aca7674bbfdfe5d0a8cde8eab695a0d9dbfe2500fe
2493,0,0,0,0,8c9fdce1d1757f79cc154a2c2b5508c62cfa73db338b00b0c3bcd462f112c946
2494,0,0,0,0,981171a8a6e195347d1a4c71f9876300398fe283be8b96e0df2c68a29ceb337f
2495,0,0,0,0,bc8fb196739d4bd286e0b88b8985f4725dc661ab6ae7d7b755f582976fec6135
2496,0,0,0,0,4fda1694de176a0c2cb74ed7acf61379bd6b88473abf4730e353f46613154679
2497,0,0,0,0,0df47b398a56bf25eae54a0726a4d89ff60241deaeb95dcc34ec42dc8215f568
