n,final_residue,accepts,independent_prime_audit,cycle_length_if_accepted,residue_path_sha256
78,0,0,0,0,c27a8620d8d3ef69694a23a9f44ae75ce0c4d4b6211ea5e0343033ca4b4d87f2
79,78,1,1,78,d4f63462eecede7a879496deaef507643508a87dcc7e90edd8629bea9f00560f
80,0,0,0,0,3935ef74ee445f51611a2f1a479d50931d1544b024908d5b1970eff74dec12c4
81,0,0,0,0,a7e3062a2ccc2ca52224929d94ab40a9e9eab26e1a6b5e213cf57a099cb3c292
82,0,0,0,0,38bc32d27917ddb6ad3279ef8a110878c88a737863ceb78d76d83fc1b4b49e92
83,82,1,1,82,de8930d29c091e4c14962c95ae5bfdb00c11f1af7a7c51c749360d63092ddccf
84,0,0,0,0,32db8040f8817c9ec5c37f8982693ee682c525ac45ffaa2a14fed6ab250e1edf
85,0,0,0,0,e82327a2e9a1ba8f7b5b369aaad4c74e17101f1ea2413068cc628edc8af58e00
86,0,0,0,0,a58f096b4694dbbed696a8850062e85be522dd6a9f007a2380a1067598824432
87,0,0,0,0,a8ba90d0d4804134dca9598bee917bb56e2ea10c57c193ccff1cacc0f391baa3
88,0,0,0,0,87cf0acb54b9a024729f9c58653ffd7485835f5bd67459628ef8d4fd5871c490
89,88,1,1,88,92eec31079373e6598b40c5c0a278859c8f07d4765dd67b8d6ec4a7451b0a907
90,0,0,0,0,13d1d5bae7655d1a7125e509d9c5d8d04dc62cce6ce5cd759ecdffc6a60436c2
91,0,0,0,0,e045cfffd77c887979760d1e34cb431ff505ee3a4e7db7c36b6e5dfb8aace786
92,0,0,0,0,0b68b9351c7dbf55b5c3ae27237e3041b79afae4342b06273f88063a174774f7
93,0,0,0,0,cda6040e656bda6a1bdb6104651784d467e7dac78e05a8e8db8a5224eda33cdd
94,0,0,0,0,31e5134cb744bbe3df34d3f341edf713e41e0318f1b86076e2ec7b9468b854a8
95,0,0,0,0,1284731aa3d8dc5bc58fab18070f9f3a4d0a098a469c7a0a3a73468575207613
96,0,0,0,0,b84762e807c11b85fdd4b5509e6516e8ecd29cede0d8a7fb4e211cfcd9d17f95
97,96,1,1,96,ea050d4f92b58f1585abea924d2e8642087a239ade12d07d7bf15a55ec701f9c
98,0,0,0,0,fafa02d5d0c7cdd6f560267ad2e0e41f87a75436aa49d4f6121ddbabc7ee333d
99,0,0,0,0,84468cbbabc32edbd1085ccd5f29615b2b8b4aae60ef54e5423e28fc21be5553
100,0,0,0,0,195a97b96dc4a5dc5f9abf6bbba145773d936d9a290c5a13ca1e5360e7fd3a54
101,100,1,1,100,de4561316f4d29ce97545990341a138f41054eea38fe777c762be8588775672e
102,0,0,0,0,81e61227664df45ce811a87e4e681671fd5f36a6f091d223185e8409482549ed
103,102,1,1,102,edfbaee4d7bae8f1b6b0edf0a27880472de730e0a9deda732885b6ed6ce13a03
104,0,0,0,0,2410082097973fbc0aab96cc16335d0c629cdd8c70f741e4ceb27052848da20f
105,0,0,0,0,b7019d87c79c6b10e9c8750e274ee74d961e8f34d6c25f1fd3e698b53a982306
106,0,0,0,0,4e626487a7dd87e25724056190fb7a6483836856ed67956f918df1cc3eb69802
107,106,1,1,106,26a3030d575f098b93251f8b22372b414df9a32d065ac6911625e0a7bee4a00b
108,0,0,0,0,234ab8a3c9375ef2f54909cdb272dce6bbc97f5d3a56b3025d2f713eb3bedf38
109,108,1,1,108,593d29f726b7a248471d81fcc42a21bc81da550013849a2c9fc5e97ba6927bc3
110,0,0,0,0,bee7ea8baa6b5fa2db076973a41593993ccdde9b82d7cdca0544fe208caa5eb3
111,0,0,0,0,94021e662045b3c78525b9cff815699950a071386fb8563fc126ca2c35d67596
112,0,0,0,0,a48fac0ef60304526372708172b26bc9f4b4f2f656fe815934f9b7a6273265da
113,112,1,1,112,33b6fd6113619b8ab75cb82af2494f59991395fbeff5d1b85fa59a2e34da6031
114,0,0,0,0,03ec25468a9793380152b0ed638ced5e4151fa7b8bb946c973e0f1aaed7d2b5a
115,0,0,0,0,c5f80cf4a72780c78d6b0a17c79812e5ee8e32a981680f6d1aac5eb55af051d9
116,0,0,0,0,8b4309f8caae83e1e8f591ec9307cec06a2a4110670fe37fe56df4e5675305d9
117,0,0,0,0,ca17fc5140f9585a2f804e32beaab89fc7e9bed1c9a8783e16ae00527fb394f1
118,0,0,0,0,a9fa9df587668db4dc907f03cb70179cbde7ed81d30901a5d30ce51def58ec36
119,0,0,0,0,2c97c9730fdfd2ab76e2985b6dc3ab2f7a8013dc21154a7d7cf7fb31690bf464
120,0,0,0,0,8e285d619f23f8a179cee78c43a7f9527cb31d0d90f9c5f3af7c33b2145260f8
121,0,0,0,0,5251b503135301a3cad398f849b949b90a9aafdf7e586627c41a0a6d9b8f5ef5
122,0,0,0,0,4f3fcbf07bba92b7850ff88aa322d4c646b078b0d137230819e7abb15ad9e2b6
123,0,0,0,0,2edb5cfe09eefbe3c755b8d35b16d1e398ee173c21f40c172e9c9035124eaecf
124,0,0,0,0,a2cea8bc7da895880ad1053b572d3245de05bcf6dfef60dd70927656c9cf29ad
125,0,0,0,0,a2a2a101a162197005fc4d825267f0a37f25ecfc0751f86794c6d4d962ef3747
126,0,0,0,0,c302c23d61178eb799603d1f3534ab233341b0995be090b3aed4f2eb027aa9f5
127,126,1,1,126,1b81b4892f3af482241ee773aeba788a38d1bde2b84108d5b26122967fa2f80f
128,0,0,0,0,5ca96554883740a9bfad42d60bb61b2f3960260140316beb660b298778339bc9
129,0,0,0,0,e155074aae28fd96828bd85d07a0c25d44fa2029499a5bebb6ab6475c7753866
130,0,0,0,0,de6f1924b3217a2f54fc3190b676696bad1ce8ae7a0bd40f428d9d5e920a3a11
131,130,1,1,130,f8513d5f4ac89e0e54b16ef35141af92b125e1268fd088bd2a76423e115e115b
132,0,0,0,0,c6510ec1b53bb1c0644088f2c62ded01b06653f90a023c457cd5e163a123beef
133,0,0,0,0,3cf001d0c3fcfc9612f13e75518f674db4b3005284f25c111bca3b6ab1eab62f
134,0,0,0,0,2f51d712f715c8ffbba58850e2ffbad71a2c165cdfacb680e5be7f71c73c9cb8
135,0,0,0,0,ffd39b77ee3bfba379c053e0c0acb7f738143100dc43792c373a449cbd1e9d8c
136,0,0,0,0,524988e48abd7cc5e2944294b511b4543b7e589ad893c5e0b171903a045f274f
137,136,1,1,136,1fc0a3992e5c670189382d98e9a7cef411bd51e6f998afe8d81e963a8863b638
138,0,0,0,0,53db1f4e4ede47bbb46b2d42f62fd7685c143514cfe6fba18429e93644221c5e
139,138,1,1,138,2b42ba3422cd81fec0c56520ab36bc7d30a62f188c2bd6bf2f29cdedf9252bdb
140,0,0,0,0,ada997e63646c04f707047139d9e46a811b3f1c4c409569b7c0398e291475261
141,0,0,0,0,2794f5b9604c3b5dc6a7497973d7125f52f566edf7a6f2980cb0be9d7fa5ccd8
142,0,0,0,0,fc8910888b970c40be4afb45d1ebdd6703e1bc33cac86c85a63ed032b534cfb6
143,0,0,0,0,bb9608c70e13d4fe8ab6f2b3f96522125d1e16a9bdd6082b9de119ec19d3b655
144,0,0,0,0,e29eec73ce59a0025bf527de62f73789b52e8f29a4f40d842b15a1e85e05bfef
145,0,0,0,0,7f3a6336a54bcbf731ca1a19799f5a728d708532b85eafa149c3acf662560b12
146,0,0,0,0,e6bb7762a5bf5f8b7df1350d53e70153db7729ad8a93887e1f1dbab48b700d82
