vertex_count,mask,first,second,strict_external_witness_exists,minimal_repair
4,2543,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2645,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2653,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2677,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2685,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2773,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2781,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2805,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2813,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2868,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2869,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2876,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2877,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2883,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2891,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2915,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2923,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2996,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2997,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3004,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3005,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3011,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3019,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3043,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3051,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3410,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3411,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3418,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3419,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3430,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3431,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3438,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3439,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3442,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3443,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3450,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3451,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3538,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3539,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3546,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3547,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3558,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3559,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3566,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3567,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3570,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3571,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3578,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3579,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3606,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3607,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3614,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3615,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3638,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3639,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3646,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3647,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3669,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3677,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3701,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3709,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3734,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3735,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3742,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3743,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3766,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3767,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3774,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3775,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3797,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3805,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3829,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3837,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3892,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3893,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3900,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3901,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3907,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3915,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3939,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,3947,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
