sample,matrix,trace,base_c,power,power_c,two_log_power_c,formula_prediction,formula_residual,normalized_height,translation_length,limit_error
gauss_112,"[[1,1],[1,2]]",3,1,13,121393,23.41357699063813496678224116237344788422036342484482465872466863879811,23.41357699063813496678224116237344788422036342484482465872466863879811,0.0,1.801044383895241151290941627874880606478489494218832666055743741446008,1.924847300238413789991035653697473692540737337542642078644072675360655,0.1238029163431726387000940258225930860622478433238094125883289339146471
gauss_112,"[[1,1],[1,2]]",3,1,14,317811,25.33842429089973243947728607108585571153431436502926034938609512624683,25.33842429089973243947728607108585571153431436502926034938609512624683,0.0,1.809887449349980888534091862220418265109593883216375739241863937589059,1.924847300238413789991035653697473692540737337542642078644072675360655,0.1149598508884329014569437914770554274311434543262663394022087377715963
gauss_112,"[[1,1],[1,2]]",3,1,15,832040,27.26327159114152868318990540706763720067885856969710738837471469595871,27.26327159114152868318990540706763720067885856969710738837471469595871,0.0,1.817551439409435245545993693804509146711923904646473825891647646397247,1.924847300238413789991035653697473692540737337542642078644072675360655,0.1072958608289785444450419598929645458288134328961682527524250289634082
gauss_112,"[[1,1],[1,2]]",3,1,16,2178309,29.18811889138043596652817107877119811964151262525597908354919395203752,29.18811889138043596652817107877119811964151262525597908354919395203752,3.373503341833767431791543696406406082467187642357922416024884168034606e-80,1.824257430711277247908010692423199882477594539078498692721824622002345,1.924847300238413789991035653697473692540737337542642078644072675360655,0.1005898695271365420830249612742738100631427984641433859222480533583105
gauss_112,"[[1,1],[1,2]]",3,1,17,5702887,31.11296619161892175622823644360103761385950580912758298757661355887151,31.11296619161892175622823644360103761385950580912758298757661355887151,0.0,1.830174481859936573895778614329472800815265047595740175739800797580677,1.924847300238413789991035653697473692540737337542642078644072675360655,0.09467281837847721609525703936800089172547228994690190290427187777997837
gauss_112,"[[1,1],[1,2]]",3,1,18,14930352,33.03781349185734605083525012676908092126640152185110106216423546484872,33.03781349185734605083525012676908092126640152185110106216423546484872,0.0,1.835434082880963669490847229264948940070355640102838947898013081380484,1.924847300238413789991035653697473692540737337542642078644072675360655,0.08941321735745012050018842443252475247038169743980313074605959398017102
gauss_112,"[[1,1],[1,2]]",3,1,19,39088169,34.96266079209576137342910227710863589589866402453155917090342608327800,34.96266079209576137342910227710863589589866402453155917090342608327800,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,1.840140041689250598601531698795191362942034948659555745837022425435684,1.924847300238413789991035653697473692540737337542642078644072675360655,0.08470725854916319138950395490228232959870238888308633280705024992497101
gauss_112,"[[1,1],[1,2]]",3,1,20,102334155,36.88750809233417538702387537786162236484662528868344080431623666784487,36.88750809233417538702387537786162236484662528868344080431623666784487,0.0,1.844375404616708769351193768893081118242331264434172040215811833392244,1.924847300238413789991035653697473692540737337542642078644072675360655,0.08047189562170502063984188480439257429840607310847003842826084196841180
gauss_112,"[[1,1],[1,2]]",3,1,21,267914296,38.81235539257258920963825666430627501217796299464009657533381959126541,38.81235539257258920963825666430627501217796299464009657533381959126541,0.0,1.848207399646313771887536031633632143437045856887623646444467599584067,1.924847300238413789991035653697473692540737337542642078644072675360655,0.07663990059210001810349962206384154910369148065501843219960507577658852
gauss_112,"[[1,1],[1,2]]",3,1,22,701408733,40.73720269281100300438897430017850289069620119026999884124962895268180,40.73720269281100300438897430017850289069620119026999884124962895268180,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,1.851691031491409227472226104553568313213463690466818129147710406940082,1.924847300238413789991035653697473692540737337542642078644072675360655,0.07315626874700456251880954914390537932727364707582394949636226842057366
gauss_112,"[[1,1],[1,2]]",3,1,23,1836311903,42.66204999304941679507443819635207723423182979164830011732821787289061,42.66204999304941679507443819635207723423182979164830011732821787289061,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,1.854871738828235512829323399841394662357905643115143483362096429256113,1.924847300238413789991035653697473692540737337542642078644072675360655,0.06997556141017827716171225385607903018283169442749859528197624610454220
gauss_112,"[[1,1],[1,2]]",3,1,24,4807526976,44.58689729328783058516678956520750130422910731718216212377032898790381,44.58689729328783058516678956520750130422910731718216212377032898790381,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,1.857787387220326274381949565216979221009546138215923421823763707829325,1.924847300238413789991035653697473692540737337542642078644072675360655,0.06705991301808751560908608848049447153119119932671865682030896753133007
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,1,3,2.197224577336219382790490473845051409294981115645498903469388667274989,2.197224577336219382790490473845051409294981115645498903469388667274989,0.0,2.197224577336219382790490473845051409294981115645498903469388667274989,4.584863339122355375601574622696030863243736480031420495210032889662696,2.387638761786135992811084148850979453948755364385921591740644222387707
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,2,30,6.802394763324310750826473383213779824497184092903044855536044469210134,6.802394763324310750826473383213779824497184092903044855536044469210134,8.433758354584418579478859241016015206167969105894806040062210420086515e-81,3.401197381662155375413236691606889912248592046451522427768022234605067,4.584863339122355375601574622696030863243736480031420495210032889662696,1.183665957460200000188337931089140950995144433579898067442010655057629
