atom,det_residual,chiral_square_residual,chiral_gauge_residual,chiral_eigen_residual,critical_gauge_unitarity_residual
353,0.0,8.68155580328768e-19,1.734723475976807e-18,6.992893892674703e-18,2.9881435588822757e-19
359,2.220717083251841e-16,8.673703517196365e-19,0.0,2.0888836804026048e-17,6.714303833705369e-18
367,2.220446049250313e-16,4.354572813231129e-19,3.469446951953614e-18,2.7809732887839817e-17,7.308512558608808e-18
373,2.220717083251841e-16,1.3049842285278729e-18,7.757919228897728e-18,1.3985787785349405e-17,2.2204462610057097e-16
379,2.2215299868541707e-16,4.466442540256201e-19,9.813077866773595e-18,1.4304896245381992e-17,2.181731299018179e-17
383,2.2215299868541707e-16,8.694724096760954e-19,9.813077866773595e-18,6.938893903907228e-18,1.7091888352333532e-17
389,0.0,8.694916762817171e-19,1.3877787807814457e-17,1.3877787807814457e-17,8.11516662932321e-18
397,2.2247786310271853e-16,4.370303021267764e-19,3.469446951953614e-18,1.5515838457795457e-17,1.2457959566149947e-17
401,6.938893903907228e-18,7.616058243774534e-20,7.757919228897728e-18,2.110382192020081e-17,2.3482163769847488e-17
409,4.441434166503682e-16,8.673654916283307e-19,8.673617379884035e-18,2.7755575615628914e-17,1.507162742293733e-17
419,2.2215299868541707e-16,1.9669956699113923e-21,1.4821483875836088e-17,1.4304896245381992e-17,1.1315047056956774e-16
421,6.938893903907228e-18,8.674869371793137e-19,8.673617379884035e-18,1.4304896245381992e-17,7.153232469323307e-18
431,1.1102230246251565e-16,1.3010436954933269e-18,2.1457344368072987e-17,3.469446951953614e-17,1.1581734862156581e-17
433,1.1123893155135927e-16,8.673838383420758e-19,8.673617379884035e-19,1.4304896245381992e-17,1.110338833743693e-16
439,6.938893903907228e-18,4.340515803778725e-19,6.938893903907228e-18,1.3877787807814457e-17,1.866354649257905e-17
443,0.0,4.7146248581271195e-20,1.734723475976807e-18,2.7755575615628914e-17,1.1326626784299719e-16
449,1.1102230246251565e-16,4.15003966085054e-20,0.0,2.797157557069881e-17,4.774208314092482e-18
457,1.1102230246251565e-16,8.68665404319786e-19,1.4304896245381992e-17,1.4304896245381992e-17,1.4391436779919715e-17
461,1.1102230246251565e-16,4.341548356819271e-19,3.469446951953614e-18,2.0816681711721685e-17,2.1967722682945872e-17
463,1.1123893155135927e-16,4.344121550490156e-19,3.469446951953614e-18,2.0816681711721685e-17,1.112789196523e-16
467,1.1123893155135927e-16,4.384307028173109e-19,6.938893903907228e-18,2.797157557069881e-17,6.2949127484698824e-18
479,1.1102230246251565e-16,8.683931461355146e-19,0.0,1.3877787807814457e-17,1.1300647833305428e-16
487,1.1107649934270853e-16,1.740605732359602e-20,3.469446951953614e-18,1.3985787785349405e-17,1.1401453435483482e-17
491,0.0,8.679962381529832e-19,9.813077866773595e-18,1.3985787785349405e-17,2.0726560237530502e-17
499,1.1107649934270853e-16,5.264421198289871e-20,3.469446951953614e-18,7.152448122690996e-18,5.96048554823056e-18
503,1.1107649934270853e-16,1.5445299654501895e-20,3.469446951953614e-18,1.3877787807814457e-17,2.656957126913802e-18
509,1.1102230246251565e-16,4.354542753495524e-19,0.0,1.3877787807814457e-17,1.0682656384573798e-17
