control,n,sigma,t,empirical_re,empirical_im,completed_gamma_target_re,completed_gamma_target_im,native_dimension,native_radial_target_re,native_radial_target_im,relative_error,native_radial_relative_error
fair_F2,511,0.25,2.0,-0.633429073582445,-1.104650964566991,-0.42350573011318954,-0.16788114598323828,1,-0.42350573011318954,-0.16788114598323828,2.107270978843819,2.107270978843819
fair_F2,511,0.25,6.0,1.086676065467367,1.5091062045803092,-0.010709747565107109,0.00725523954933623,1,-0.010709747565107109,0.00725523954933623,143.79043776523275,143.79043776523275
fair_F2,511,0.25,12.0,-0.9377574850051783,2.134389242797723,-8.140533749949723e-05,-3.732818018299887e-05,1,-8.140533749949723e-05,-3.732818018299887e-05,26031.974319999812,26031.974319999812
fair_F2,511,0.5,0.0,2.4955316146127435,0.0,2.7232882163306718,0.0,1,2.7232882163306718,0.0,0.08363294063116276,0.08363294063116276
fair_F2,511,0.5,2.0,-0.41008539555155954,-0.5355214274118802,-0.3225735154575873,-0.22819168658441463,1,-0.3225735154575873,-0.22819168658441463,0.8087187867462489,0.8087187867462489
fair_F2,511,0.5,6.0,0.4123589254535653,0.5832121066482665,-0.011916643170136196,0.004842505907298266,1,-0.011916643170136196,0.004842505907298266,55.764784910058154,55.764784910058154
fair_F2,511,0.5,12.0,-0.4090830352482682,0.8805266466188182,-7.830052174713392e-05,-5.742749343687102e-05,1,-7.830052174713392e-05,-5.742749343687102e-05,9999.06831858625,9999.06831858625
fair_F2,511,1.0,0.0,1.0,0.0,0.9999999999999986,0.0,1,0.9999999999999987,0.0,1.4432899320127057e-15,1.3322676295501896e-15
fair_F2,511,1.0,2.0,-0.16387100701659874,-0.2853675903917117,-0.1482128284599034,-0.25357384686510887,1,-0.1482128284599034,-0.25357384686510887,0.12066371895540506,0.12066371895540506
fair_F2,511,1.0,6.0,0.05361467553217823,0.08741803936827303,-0.012702407914335976,-0.00021878589380265343,1,-0.012702407914335988,-0.00021878589380265365,8.650676668783548,8.65067666878354
fair_F2,511,1.0,12.0,-0.08101389112176163,0.1629774124409541,-5.868335392333621e-05,-9.788303348623909e-05,1,-5.868335392333621e-05,-9.788303348623909e-05,1595.2844348167037,1595.2844348167037
fair_F2,511,1.5,0.0,0.5201747006939138,0.0,0.5193036689589141,0.0,1,0.5193036689589142,0.0,0.0016773071077004233,0.0016773071077002093
fair_F2,511,1.5,2.0,-0.039982671468230056,-0.21865665291812889,-0.03734735441642855,-0.2155221141113438,1,-0.037347354416428565,-0.21552211411134387,0.018722033117703988,0.018722033117703745
fair_F2,511,1.5,6.0,-0.00046805362796783394,0.008697018418707212,-0.011559917380324742,-0.004879510315897615,1,-0.011559917380324742,-0.004879510315897615,1.3971993418029613,1.3971993418029613
fair_F2,511,1.5,12.0,-0.016530908239875335,0.0337143585350191,-2.0388338117314626e-05,-0.00013257629053293161,1,-2.0388338117314626e-05,-0.00013257629053293161,280.75597047491897,280.75597047491897
fair_F2,511,2.0,0.0,0.31846565309184055,0.0,0.3183098861837907,0.0,1,0.31830988618379075,0.0,0.0004893561740018344,0.0004893561740016598
fair_F2,511,2.0,2.0,0.02020465212746576,-0.16509061285469384,0.020603838677028995,-0.16473550821746696,1,0.020603838677029,-0.16473550821746702,0.0032181526825525737,0.003218152682552382
