target_index,target,predicted,residual,absolute_error,percent_error
32,105.4466,1636.812321936888,1531.3657219368881,1531.3657219368881,1452.2665708869588
33,107.1686,1644.368004235602,1537.199404235602,1537.199404235602,1434.3748114985192
34,111.0295,1657.159170105443,1546.129670105443,1546.129670105443,1392.5395233748175
35,111.8746,1670.506818732156,1558.632218732156,1558.632218732156,1393.195791298611
36,114.3202,1682.681179663813,1568.360979663813,1568.360979663813,1371.9018858117925
37,116.2266,1694.1900881815181,1577.9634881815182,1577.9634881815182,1357.6612308899323
38,118.7907,1696.5559236917481,1577.7652236917481,1577.7652236917481,1328.1891795332026
39,121.3701,1697.2736762538332,1575.903576253833,1575.903576253833,1298.4281765062674
40,122.9468,1698.7489344373375,1575.8021344373376,1575.8021344373376,1281.6943055348636
41,124.2568,1702.1472008913656,1577.8904008913655,1577.8904008913655,1269.8624146858488
42,127.5166,1704.2476822003832,1576.7310822003833,1576.7310822003833,1236.490842918007
43,129.5787,1705.8671866375803,1576.2884866375803,1576.2884866375803,1216.4719098413398
44,131.0876,1709.6281190698078,1578.5405190698077,1578.5405190698077,1204.1875196966057
45,133.4977,1711.0292810961596,1577.5315810961597,1577.5315810961597,1181.6919550645139
46,134.7565,1721.7235782777532,1586.9670782777532,1586.9670782777532,1177.655310339578
47,138.116,1732.569691182749,1594.453691182749,1594.453691182749,1154.430834358618
48,139.7362,1736.9917991830887,1597.2555991830886,1597.2555991830886,1143.0506906464386
49,141.1237,1748.1335900619206,1607.0098900619205,1607.0098900619205,1138.7243177878133
50,143.1118,1758.7998279630697,1615.6880279630698,1615.6880279630698,1128.9691192222233
51,146.0009,1771.895220176025,1625.894320176025,1625.894320176025,1113.6193819188957
52,147.4427,1777.7802821157597,1630.3375821157597,1630.3375821157597,1105.7431681024286
53,150.0515,1779.965730730476,1629.914230730476,1629.914230730476,1086.2365459395446
54,150.9252,1799.6254596434221,1648.7002596434222,1648.7002596434222,1092.3956103045896
55,153.0246,1802.87697705771,1649.85237705771,1649.85237705771,1078.1615355032525
56,156.1129,1807.1529132733865,1651.0400132733864,1651.0400132733864,1057.5935834087936
57,157.5975,1813.1870392108551,1655.589539210855,1655.589539210855,1050.5176409593141
58,158.8499,1815.8511528442186,1657.0012528442187,1657.0012528442187,1043.1238879245243
59,161.1889,1817.7439423194687,1656.5550423194686,1656.5550423194686,1027.7103710736092
60,163.0306,1818.8464823569664,1655.8158823569663,1655.8158823569663,1015.6472971067801
61,165.5373,1831.346050179207,1665.808750179207,1665.808750179207,1006.304168413528
62,167.1844,1833.405526486943,1666.221126486943,1666.221126486943,996.6367235740553
63,169.0945,1834.7705427611481,1665.6760427611482,1665.6760427611482,985.0563103833348
64,169.9119,1839.5450817148887,1669.6331817148887,1669.6331817148887,982.646407764782
65,173.4115,1842.2925257258487,1668.8810257258488,1668.8810257258488,962.3819791224047
66,174.7541,1842.5725785846532,1667.8184785846533,1667.8184785846533,954.3801711002222
67,176.4414,1848.9042272236643,1672.4628272236644,1672.4628272236644,947.885715724124
68,178.3774,1857.9547692364029,1679.5773692364028,1679.5773692364028,941.5864169095428
69,179.9164,1860.7724811233759,1680.8560811233758,1680.8560811233758,934.2428378532339
70,182.207,1863.8137198241743,1681.6067198241744,1681.6067198241744,922.9100527554784
71,184.8744,1872.414632614917,1687.5402326149172,1687.5402326149172,912.8036291746813
72,185.9589,1881.6825337367516,1695.7236337367515,1695.7236337367515,911.8808692333367
73,187.2289,1889.8613668612472,1702.6324668612472,1702.6324668612472,909.3854991730694
74,189.4161,1893.594087772249,1704.177987772249,1704.177987772249,899.7007053636142
75,192.0266,1895.4898505423091,1703.4632505423092,1703.4632505423092,887.0975430186803
76,193.0797,1898.2497351129855,1705.1700351129855,1705.1700351129855,883.143093299288
