prime_cutoff,prime_count,sigma,repetition_cutoff,tau_Log_D_partial,log_Z_partial,tau_Log_D,log_Z,nonnegative_log_Z_tail,D,Z,compiled_D,compiled_Z,sign_residual,reciprocal_residual,D_product_residual,Z_product_residual,domain
29,10,3,16,-0.18390303199910918,0.18390303199910918,-0.18390303199910921,0.18390303199910921,2.7755575615628914e-17,0.83201647888982488,1.2018992716758672,0.83201647888982466,1.2018992716758672,0,0,2.2204460492503131e-16,0,finite-prime positive-real control
29,10,3,32,-0.18390303199910921,0.18390303199910921,-0.18390303199910921,0.18390303199910921,0,0.83201647888982488,1.2018992716758672,0.83201647888982466,1.2018992716758672,0,0,2.2204460492503131e-16,0,finite-prime positive-real control
97,25,1.25,1,-1.1750084484306504,1.1750084484306504,-1.3563722375846454,1.3563722375846454,0.18136378915399498,0.25759357223049056,3.8820844454349048,0.25759357223049062,3.8820844454349022,0,0,5.5511151231257827e-17,2.6645352591003757e-15,finite-prime positive-real control
97,25,1.25,2,-1.3117841670278561,1.3117841670278561,-1.3563722375846454,1.3563722375846454,0.044588070556789372,0.25759357223049056,3.8820844454349048,0.25759357223049062,3.8820844454349022,0,0,5.5511151231257827e-17,2.6645352591003757e-15,finite-prime positive-real control
97,25,1.25,4,-1.3520205899594264,1.3520205899594264,-1.3563722375846454,1.3563722375846454,0.0043516476252190017,0.25759357223049056,3.8820844454349048,0.25759357223049062,3.8820844454349022,0,0,5.5511151231257827e-17,2.6645352591003757e-15,finite-prime positive-real control
97,25,1.25,8,-1.356297969127426,1.356297969127426,-1.3563722375846454,1.3563722375846454,7.426845721947295e-05,0.25759357223049056,3.8820844454349048,0.25759357223049062,3.8820844454349022,0,0,5.5511151231257827e-17,2.6645352591003757e-15,finite-prime positive-real control
97,25,1.25,16,-1.3563721984082144,1.3563721984082144,-1.3563722375846454,1.3563722375846454,3.9176430988163702e-08,0.25759357223049056,3.8820844454349048,0.25759357223049062,3.8820844454349022,0,0,5.5511151231257827e-17,2.6645352591003757e-15,finite-prime positive-real control
97,25,1.25,32,-1.3563722375846257,1.3563722375846257,-1.3563722375846454,1.3563722375846454,1.9761969838327786e-14,0.25759357223049056,3.8820844454349048,0.25759357223049062,3.8820844454349022,0,0,5.5511151231257827e-17,2.6645352591003757e-15,finite-prime positive-real control
97,25,2,1,-0.45042878826375243,0.45042878826375243,-0.49588163448123329,0.49588163448123329,0.045452846217480858,0.60903372539951672,1.6419451966211156,0.6090337253995165,1.6419451966211158,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,2,2,-0.48892532193529253,0.48892532193529253,-0.49588163448123329,0.49588163448123329,0.0069563125459407571,0.60903372539951672,1.6419451966211156,0.6090337253995165,1.6419451966211158,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,2,4,-0.49563070222551853,0.49563070222551853,-0.49588163448123329,0.49588163448123329,0.00025093225571476419,0.60903372539951672,1.6419451966211156,0.6090337253995165,1.6419451966211158,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,2,8,-0.49588108680488796,0.49588108680488796,-0.49588163448123329,0.49588163448123329,5.4767634533048337e-07,0.60903372539951672,1.6419451966211156,0.6090337253995165,1.6419451966211158,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,2,16,-0.49588163447674971,0.49588163447674971,-0.49588163448123329,0.49588163448123329,4.4835801737974634e-12,0.60903372539951672,1.6419451966211156,0.6090337253995165,1.6419451966211158,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,2,32,-0.49588163448123335,0.49588163448123335,-0.49588163448123329,0.49588163448123329,-5.5511151231257827e-17,0.60903372539951672,1.6419451966211156,0.6090337253995165,1.6419451966211158,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,3,1,-0.17475249739514295,0.17475249739514295,-0.18402403348476751,0.18402403348476751,0.0092715360896245547,0.83191580975046753,1.2020447120724262,0.83191580975046731,1.202044712072426,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,3,2,-0.18328754081803789,0.18328754081803789,-0.18402403348476751,0.18402403348476751,0.00073649266672962121,0.83191580975046753,1.2020447120724262,0.83191580975046731,1.202044712072426,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,3,4,-0.18401720329386734,0.18401720329386734,-0.18402403348476751,0.18402403348476751,6.8301909001700079e-06,0.83191580975046753,1.2020447120724262,0.83191580975046731,1.202044712072426,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,3,8,-0.1840240325518237,0.1840240325518237,-0.18402403348476751,0.18402403348476751,9.3294380554276302e-10,0.83191580975046753,1.2020447120724262,0.83191580975046731,1.202044712072426,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,3,16,-0.18402403348476748,0.18402403348476748,-0.18402403348476751,0.18402403348476751,2.7755575615628914e-17,0.83191580975046753,1.2020447120724262,0.83191580975046731,1.202044712072426,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
97,25,3,32,-0.18402403348476751,0.18402403348476751,-0.18402403348476751,0.18402403348476751,0,0.83191580975046753,1.2020447120724262,0.83191580975046731,1.202044712072426,0,0,2.2204460492503131e-16,2.2204460492503131e-16,finite-prime positive-real control
499,95,1.25,1,-1.2525319344115979,1.2525319344115979,-1.4339562497104146,1.4339562497104146,0.18142431529881664,0.23836402674315479,4.1952639148756008,0.23836402674315493,4.1952639148755981,0,0,1.3877787807814457e-16,2.6645352591003757e-15,finite-prime positive-real control
499,95,1.25,2,-1.3893680976896874,1.3893680976896874,-1.4339562497104146,1.4339562497104146,0.04458815202072719,0.23836402674315479,4.1952639148756008,0.23836402674315493,4.1952639148755981,0,0,1.3877787807814457e-16,2.6645352591003757e-15,finite-prime positive-real control
499,95,1.25,4,-1.4296046020848996,1.4296046020848996,-1.4339562497104146,1.4339562497104146,0.0043516476255149872,0.23836402674315479,4.1952639148756008,0.23836402674315493,4.1952639148755981,0,0,1.3877787807814457e-16,2.6645352591003757e-15,finite-prime positive-real control
499,95,1.25,8,-1.4338819812531951,1.4338819812531951,-1.4339562497104146,1.4339562497104146,7.426845721947295e-05,0.23836402674315479,4.1952639148756008,0.23836402674315493,4.1952639148755981,0,0,1.3877787807814457e-16,2.6645352591003757e-15,finite-prime positive-real control
499,95,1.25,16,-1.4339562105339838,1.4339562105339838,-1.4339562497104146,1.4339562497104146,3.9176430766119097e-08,0.23836402674315479,4.1952639148756008,0.23836402674315493,4.1952639148755981,0,0,1.3877787807814457e-16,2.6645352591003757e-15,finite-prime positive-real control
