n,is_prime_power,prime,repetition,return_time_r_log_p,von_mangoldt,coefficient_Lambda_n_times_n_minus_sigma,sigma
43,true,43,1,3.7612001156935624,3.7612001156935624,0.0020341807007536847,2
44,false,,,,0,0,2
45,false,,,,0,0,2
46,false,,,,0,0,2
47,true,47,1,3.8501476017100584,3.8501476017100584,0.0017429368952965407,2
48,false,,,,0,0,2
49,true,7,2,3.8918202981106265,1.9459101490553132,0.00081045820452116336,2
50,false,,,,0,0,2
51,false,,,,0,0,2
52,false,,,,0,0,2
53,true,53,1,3.970291913552122,3.970291913552122,0.0014134182675514854,2
54,false,,,,0,0,2
55,false,,,,0,0,2
56,false,,,,0,0,2
57,false,,,,0,0,2
58,false,,,,0,0,2
59,true,59,1,4.0775374439057197,4.0775374439057197,0.0011713695615931398,2
60,false,,,,0,0,2
61,true,61,1,4.1108738641733114,4.1108738641733114,0.0011047766364346442,2
62,false,,,,0,0,2
63,false,,,,0,0,2
64,true,2,6,4.1588830833596715,0.69314718055994529,0.00016922538587889289,2
65,false,,,,0,0,2
66,false,,,,0,0,2
67,true,67,1,4.2046926193909657,4.2046926193909657,0.00093666576506815904,2
68,false,,,,0,0,2
69,false,,,,0,0,2
70,false,,,,0,0,2
71,true,71,1,4.2626798770413155,4.2626798770413155,0.0008456020386909969,2
72,false,,,,0,0,2
73,true,73,1,4.290459441148391,4.290459441148391,0.000805115301397709,2
74,false,,,,0,0,2
75,false,,,,0,0,2
76,false,,,,0,0,2
77,false,,,,0,0,2
78,false,,,,0,0,2
79,true,79,1,4.3694478524670215,4.3694478524670215,0.00070011982894840918,2
80,false,,,,0,0,2
81,true,3,4,4.3944491546724391,1.0986122886681098,0.000167445860184135,2
82,false,,,,0,0,2
83,true,83,1,4.4188406077965983,4.4188406077965983,0.00064143425864372154,2
84,false,,,,0,0,2
85,false,,,,0,0,2
86,false,,,,0,0,2
87,false,,,,0,0,2
88,false,,,,0,0,2
89,true,89,1,4.4886363697321396,4.4886363697321396,0.0005666754664476883,2
90,false,,,,0,0,2
91,false,,,,0,0,2
92,false,,,,0,0,2
93,false,,,,0,0,2
94,false,,,,0,0,2
95,false,,,,0,0,2
96,false,,,,0,0,2
97,true,97,1,4.5747109785033828,4.5747109785033828,0.00048620586443866331,2
98,false,,,,0,0,2
99,false,,,,0,0,2
100,false,,,,0,0,2
101,true,101,1,4.6151205168412597,4.6151205168412597,0.00045241844101963135,2
102,false,,,,0,0,2
103,true,103,1,4.6347289882296359,4.6347289882296359,0.00043686765842488793,2
104,false,,,,0,0,2
105,false,,,,0,0,2
106,false,,,,0,0,2
107,true,107,1,4.6728288344619058,4.6728288344619058,0.00040814296746108012,2
108,false,,,,0,0,2
109,true,109,1,4.6913478822291435,4.6913478822291435,0.00039486136539257165,2
110,false,,,,0,0,2
111,false,,,,0,0,2
112,false,,,,0,0,2
113,true,113,1,4.7273878187123408,4.7273878187123408,0.0003702238091246253,2
114,false,,,,0,0,2
115,false,,,,0,0,2
116,false,,,,0,0,2
117,false,,,,0,0,2
118,false,,,,0,0,2
119,false,,,,0,0,2
120,false,,,,0,0,2
121,true,11,2,4.7957905455967413,2.3978952727983707,0.00016377947358775838,2
122,false,,,,0,0,2
123,false,,,,0,0,2
124,false,,,,0,0,2
125,true,5,3,4.8283137373023006,1.6094379124341003,0.00010300402639578242,2
126,false,,,,0,0,2
127,true,127,1,4.8441870864585912,4.8441870864585912,0.00030034020004083276,2
128,true,2,7,4.8520302639196169,0.69314718055994529,4.2306346469723223e-05,2
129,false,,,,0,0,2
130,false,,,,0,0,2
131,true,131,1,4.8751973232011512,4.8751973232011512,0.00028408585299231697,2
132,false,,,,0,0,2
133,false,,,,0,0,2
134,false,,,,0,0,2
135,false,,,,0,0,2
136,false,,,,0,0,2
137,true,137,1,4.9199809258281251,4.9199809258281251,0.00026213335424519818,2
138,false,,,,0,0,2
139,true,139,1,4.9344739331306915,4.9344739331306915,0.00025539433430623112,2
140,false,,,,0,0,2
141,false,,,,0,0,2
142,false,,,,0,0,2
143,false,,,,0,0,2
144,false,,,,0,0,2
145,false,,,,0,0,2
146,false,,,,0,0,2
147,false,,,,0,0,2
148,false,,,,0,0,2
149,true,149,1,5.0039463059454592,5.0039463059454592,0.00022539283392394304,2
150,false,,,,0,0,2
151,true,151,1,5.0172798368149243,5.0172798368149243,0.0002200464820321444,2
152,false,,,,0,0,2
153,false,,,,0,0,2
154,false,,,,0,0,2
155,false,,,,0,0,2
156,false,,,,0,0,2
157,true,157,1,5.0562458053483077,5.0562458053483077,0.00020512985538351686,2
158,false,,,,0,0,2
159,false,,,,0,0,2
160,false,,,,0,0,2
161,false,,,,0,0,2
162,false,,,,0,0,2
163,true,163,1,5.0937502008067623,5.0937502008067623,0.00019171779896897745,2
164,false,,,,0,0,2
165,false,,,,0,0,2
166,false,,,,0,0,2
167,true,167,1,5.1179938124167554,5.1179938124167554,0.0001835129912301178,2
168,false,,,,0,0,2
169,true,13,2,5.1298987149230735,2.5649493574615367,8.9806006703600606e-05,2
170,false,,,,0,0,2
171,false,,,,0,0,2
172,false,,,,0,0,2
173,true,173,1,5.1532915944977793,5.1532915944977793,0.0001721838883523599,2
174,false,,,,0,0,2
175,false,,,,0,0,2
176,false,,,,0,0,2
177,false,,,,0,0,2
178,false,,,,0,0,2
179,true,179,1,5.1873858058407549,5.1873858058407549,0.00016189837414065588,2
180,false,,,,0,0,2
181,true,181,1,5.1984970312658261,5.1984970312658261,0.00015867943686901577,2
182,false,,,,0,0,2
183,false,,,,0,0,2
184,false,,,,0,0,2
185,false,,,,0,0,2
186,false,,,,0,0,2
187,false,,,,0,0,2
188,false,,,,0,0,2
189,false,,,,0,0,2
190,false,,,,0,0,2
191,true,191,1,5.2522734280466299,5.2522734280466299,0.00014397284690788713,2
192,false,,,,0,0,2
193,true,193,1,5.2626901889048856,5.2626901889048856,0.00014128406638849058,2
194,false,,,,0,0,2
195,false,,,,0,0,2
196,false,,,,0,0,2
197,true,197,1,5.2832037287379885,5.2832037287379885,0.0001361334672044626,2
198,false,,,,0,0,2
199,true,199,1,5.2933048247244923,5.2933048247244923,0.00013366593835318532,2
200,false,,,,0,0,2
201,false,,,,0,0,2
202,false,,,,0,0,2
203,false,,,,0,0,2
204,false,,,,0,0,2
205,false,,,,0,0,2
206,false,,,,0,0,2
207,false,,,,0,0,2
208,false,,,,0,0,2
209,false,,,,0,0,2
210,false,,,,0,0,2
211,true,211,1,5.3518581334760666,5.3518581334760666,0.00012020974671449578,2
212,false,,,,0,0,2
213,false,,,,0,0,2
214,false,,,,0,0,2
215,false,,,,0,0,2
216,false,,,,0,0,2
217,false,,,,0,0,2
218,false,,,,0,0,2
219,false,,,,0,0,2
220,false,,,,0,0,2
221,false,,,,0,0,2
222,false,,,,0,0,2
223,true,223,1,5.4071717714601188,5.4071717714601188,0.00010873276702648592,2
224,false,,,,0,0,2
225,false,,,,0,0,2
226,false,,,,0,0,2
227,true,227,1,5.4249500174814029,5.4249500174814029,0.00010527955165986925,2
228,false,,,,0,0,2
229,true,229,1,5.43372200355424,5.43372200355424,0.00010361591128228371,2
230,false,,,,0,0,2
231,false,,,,0,0,2
232,false,,,,0,0,2
233,true,233,1,5.4510384535657002,5.4510384535657002,0.0001004077889363536,2
234,false,,,,0,0,2
235,false,,,,0,0,2
236,false,,,,0,0,2
237,false,,,,0,0,2
238,false,,,,0,0,2
239,true,239,1,5.476463551931511,5.476463551931511,9.5874784263782345e-05,2
240,false,,,,0,0,2
241,true,241,1,5.4847969334906548,5.4847969334906548,9.4433582987390956e-05,2
242,false,,,,0,0,2
243,true,3,5,5.4930614433405491,1.0986122886681098,1.8605095576015e-05,2
244,false,,,,0,0,2
245,false,,,,0,0,2
246,false,,,,0,0,2
247,false,,,,0,0,2
248,false,,,,0,0,2
249,false,,,,0,0,2
250,false,,,,0,0,2
251,true,251,1,5.5254529391317835,5.5254529391317835,8.770421007812231e-05,2
252,false,,,,0,0,2
253,false,,,,0,0,2
254,false,,,,0,0,2
255,false,,,,0,0,2
256,true,2,8,5.5451774444795623,0.69314718055994529,1.0576586617430806e-05,2
