label,degree,translation,contraction,weight,power,actual_supertrace,expected_weight_power,power_exact,chain_exact,quotient_exact,quotient_factor
3,4,1/6,1/8,1/9,3,1/729,1/729,True,True,True,1 - z/9
3,4,1/6,1/8,1/9,4,1/6561,1/6561,True,True,True,1 - z/9
3,4,1/6,1/8,1/9,5,1/59049,1/59049,True,True,True,1 - z/9
3,4,1/6,1/8,1/9,6,1/531441,1/531441,True,True,True,1 - z/9
3,5,1/6,1/8,1/9,1,1/9,1/9,True,True,True,1 - z/9
3,5,1/6,1/8,1/9,2,1/81,1/81,True,True,True,1 - z/9
3,5,1/6,1/8,1/9,3,1/729,1/729,True,True,True,1 - z/9
3,5,1/6,1/8,1/9,4,1/6561,1/6561,True,True,True,1 - z/9
3,5,1/6,1/8,1/9,5,1/59049,1/59049,True,True,True,1 - z/9
3,5,1/6,1/8,1/9,6,1/531441,1/531441,True,True,True,1 - z/9
5,2,1/5,1/32,1/25,1,1/25,1/25,True,True,True,1 - z/25
5,2,1/5,1/32,1/25,2,1/625,1/625,True,True,True,1 - z/25
5,2,1/5,1/32,1/25,3,1/15625,1/15625,True,True,True,1 - z/25
5,2,1/5,1/32,1/25,4,1/390625,1/390625,True,True,True,1 - z/25
5,2,1/5,1/32,1/25,5,1/9765625,1/9765625,True,True,True,1 - z/25
5,2,1/5,1/32,1/25,6,1/244140625,1/244140625,True,True,True,1 - z/25
5,3,1/5,1/32,1/25,1,1/25,1/25,True,True,True,1 - z/25
5,3,1/5,1/32,1/25,2,1/625,1/625,True,True,True,1 - z/25
5,3,1/5,1/32,1/25,3,1/15625,1/15625,True,True,True,1 - z/25
5,3,1/5,1/32,1/25,4,1/390625,1/390625,True,True,True,1 - z/25
5,3,1/5,1/32,1/25,5,1/9765625,1/9765625,True,True,True,1 - z/25
5,3,1/5,1/32,1/25,6,1/244140625,1/244140625,True,True,True,1 - z/25
5,4,1/5,1/32,1/25,1,1/25,1/25,True,True,True,1 - z/25
5,4,1/5,1/32,1/25,2,1/625,1/625,True,True,True,1 - z/25
5,4,1/5,1/32,1/25,3,1/15625,1/15625,True,True,True,1 - z/25
5,4,1/5,1/32,1/25,4,1/390625,1/390625,True,True,True,1 - z/25
5,4,1/5,1/32,1/25,5,1/9765625,1/9765625,True,True,True,1 - z/25
5,4,1/5,1/32,1/25,6,1/244140625,1/244140625,True,True,True,1 - z/25
5,5,1/5,1/32,1/25,1,1/25,1/25,True,True,True,1 - z/25
5,5,1/5,1/32,1/25,2,1/625,1/625,True,True,True,1 - z/25
5,5,1/5,1/32,1/25,3,1/15625,1/15625,True,True,True,1 - z/25
5,5,1/5,1/32,1/25,4,1/390625,1/390625,True,True,True,1 - z/25
5,5,1/5,1/32,1/25,5,1/9765625,1/9765625,True,True,True,1 - z/25
5,5,1/5,1/32,1/25,6,1/244140625,1/244140625,True,True,True,1 - z/25
