orbit_id,reverse_partner_id,self_reversing,primitive_period,repetition,total_period,primitive_action,direct_repeated_action,action_repetition_error,primitive_length,repeated_length,primitive_trace,repeated_trace,trace_repetition_relative_error,primitive_orientation,repeated_orientation,primitive_maslov,repeated_maslov,negative_symbol_count,symbol_count_maslov_match,maslov_repetition_defect,maslov_mod4,maslov_phase_real,maslov_phase_imag,hessian_signature,minimum_absolute_hessian_eigenvalue,diagonal_dominance_margin,hessian_determinant_sign,hill_expected_sign,hill_sign_match,hill_logabs_error,maslov_orientation_parity_ok,reversal_action_error,reversal_length_error,reversal_trace_error,reversal_orientation_mismatch,reversal_maslov_mismatch
--|--|+-|-+,--|--|+-|-+,True,4,5,20,0.5443310539518174,2.721655269759087,0.0,6.951103111002082,34.75551555501041,-1044.30203061437,-1242020091485342.0,0.0,-1,-1,3,15,15,True,0,3,0.0,1.0,-10,4.1110011515981615,2.8989794855663558,-1,-1,True,7.105427357601002e-15,True,0.0,0.0,0.0,0,0
--|--|+-|++|-+,--|--|+-|++|-+,True,5,1,5,0.5037854192516894,0.5037854192516893,1.1102230246251565e-16,8.399653026438394,8.399653026438394,4445.524225718742,4445.524225718742,2.0458660342265557e-16,1,1,3,3,3,True,0,3,0.0,1.0,-1,4.0645918598023005,2.957163021227161,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|+-|++|-+,--|--|+-|++|-+,True,5,2,10,0.5037854192516894,1.0075708385033786,2.220446049250313e-16,8.399653026438394,16.799306052876787,4445.524225718742,19762683.64145222,1.8850123627178445e-16,1,1,3,6,6,True,0,2,-1.0,0.0,-2,4.064591859802301,2.957163021227161,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|+-|++|-+,--|--|+-|++|-+,True,5,3,15,0.5037854192516894,1.511356257755068,0.0,8.399653026438394,25.19895907931518,4445.524225718742,87855484447.76709,3.473611046233964e-16,1,1,3,9,9,True,0,1,0.0,-1.0,-3,4.064591859802304,2.957163021227161,-1,-1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|+-|++|-+,--|--|+-|++|-+,True,5,4,20,0.5037854192516894,2.015141677006757,4.440892098500626e-16,8.399653026438394,33.598612105753574,4445.524225718742,390563664712121.1,1.6002512687929599e-16,1,1,3,12,12,True,0,0,1.0,0.0,-4,4.0645918598023,2.957163021227161,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|+-|-+,--|--|--|+-|-+,True,5,1,5,1.067801495419072,1.0678014954190718,2.220446049250313e-16,8.9367629426388,8.9367629426388,-7606.534503306042,-7606.534503306042,1.1956755094946757e-16,-1,-1,4,4,4,True,0,0,1.0,0.0,-3,4.451831861523379,2.957512873892367,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|+-|-+,--|--|--|+-|-+,True,5,2,10,1.067801495419072,2.1356029908381435,4.440892098500626e-16,8.9367629426388,17.8735258852776,-7606.534503306042,57859365.1499853,1.2877052103164532e-16,-1,1,4,8,8,True,0,0,1.0,0.0,-6,4.325827417532421,2.957512873892367,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|+-|-+,--|--|--|+-|-+,True,5,3,15,1.067801495419072,3.2034044862572153,4.440892098500626e-16,8.9367629426388,26.810288827916402,-7606.534503306042,-440109249746.21185,1.3868183021646512e-16,-1,-1,4,12,12,True,0,0,1.0,0.0,-9,4.348724297355679,2.957512873892367,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|--|+-|-+,--|--|--|+-|-+,True,5,4,20,1.067801495419072,4.271205981676287,8.881784197001252e-16,8.9367629426388,35.7470517705552,-7606.534503306042,3347706135559331.5,2.987120014442131e-16,-1,1,4,16,16,True,0,0,1.0,0.0,-12,4.325827417532423,2.957512873892367,1,1,True,7.105427357601002e-15,True,0.0,0.0,0.0,0,0
--|--|--|+-|++|-+,--|--|--|+-|++|-+,True,6,1,6,1.0285281176834125,1.0285281176834122,2.220446049250313e-16,10.380406620724427,10.380406620724427,32222.06101681769,32222.06101681769,3.3871006623626024e-16,1,1,4,4,4,True,0,0,1.0,0.0,-2,4.072892458335547,2.9651492222959828,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|+-|++|-+,--|--|--|+-|++|-+,True,6,2,12,1.0285281176834125,2.057056235366824,8.881784197001252e-16,10.380406620724427,20.760813241448854,32222.06101681769,1038261214.1715223,8.037139550872349e-16,1,1,4,8,8,True,0,0,1.0,0.0,-4,4.0728924583355415,2.9651492222959828,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|+-|++|-+,--|--|--|+-|++|-+,True,6,3,18,1.0285281176834125,3.085584353050237,4.440892098500626e-16,10.380406620724427,31.14121986217328,32222.06101681769,33454916162207.95,1.0508545240269934e-15,1,1,4,12,12,True,0,0,1.0,0.0,-6,4.07289245833554,2.9651492222959828,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|--|--|+-|-+,--|--|--|--|+-|-+,True,6,1,6,1.5953005303514696,1.5953005303514696,0.0,10.907322515514457,10.907322515514457,-54574.527078679035,-54574.527078679035,1.333214963767587e-16,-1,-1,5,5,5,True,0,1,0.0,-1.0,-4,4.541431990958842,2.9656533355187555,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|--|+-|-+,--|--|--|--|+-|-+,True,6,2,12,1.5953005303514696,3.190601060702939,0.0,10.907322515514457,21.814645031028913,-54574.527078679035,2978379003.861471,0.0,-1,1,5,10,10,True,0,2,-1.0,0.0,-8,4.415437075824788,2.9656533355187555,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|--|+-|-+,--|--|--|--|+-|-+,True,6,3,18,1.5953005303514696,4.785901591054409,0.0,10.907322515514457,32.72196754654337,-54574.527078679035,-162543625542232.4,0.0,-1,-1,5,15,15,True,0,3,0.0,1.0,-12,4.431833273763003,2.9656533355187555,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--|+-|-+|--|+-|++|-+,--|+-|-+|--|+-|++|-+,True,7,1,7,0.04879800051339274,0.048798000513392614,1.249000902703301e-16,11.244955648726704,11.244955648726704,-76493.08693722269,-76493.08693722269,3.8047661065919593e-16,-1,-1,4,4,4,True,0,0,1.0,0.0,-1,3.7319701752125054,2.5461881965268045,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|+-|-+|--|+-|++|-+,--|+-|-+|--|+-|++|-+,True,7,2,14,0.04879800051339274,0.09759600102678528,1.942890293094024e-16,11.244955648726704,22.489911297453407,-76493.08693722269,5851192347.185508,1.140916213095413e-15,-1,1,4,8,8,True,0,0,1.0,0.0,-2,3.72105115249396,2.5461881965268045,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|+-|-+|--|+-|-+,--|--|+-|-+|--|+-|-+,True,7,1,7,0.5941754866267006,0.5941754866267006,0.0,11.831118478084262,11.831118478084262,137464.15595445386,137464.15595445386,0.0,1,1,5,5,5,True,0,1,0.0,-1.0,-3,3.5406008215587383,2.453384553050414,-1,-1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--|--|+-|-+|--|+-|-+,--|--|+-|-+|--|+-|-+,True,7,2,14,0.5941754866267006,1.1883509732534012,0.0,11.831118478084262,23.662236956168524,137464.15595445386,18896394170.270412,2.0187434868535082e-16,1,1,5,10,10,True,0,2,-1.0,0.0,-6,3.540600821558739,2.453384553050414,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|--|+-|++|-+,--|--|--|--|+-|++|-+,True,7,1,7,1.5562046435072223,1.556204643507222,2.220446049250313e-16,12.350110726702722,12.350110726702722,230985.6177449945,230985.6177449945,5.039938112313815e-16,1,1,5,5,5,True,0,1,0.0,-1.0,-3,4.073998076347966,2.966260838868881,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|--|+-|++|-+,--|--|--|--|+-|++|-+,True,7,2,14,1.5562046435072223,3.1124092870144446,0.0,12.350110726702722,24.700221453405444,230985.6177449945,53354355603.03671,1.0009634848951369e-15,1,1,5,10,10,True,0,2,-1.0,0.0,-6,4.073998076347966,2.966260838868881,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|--|--|+-|-+,--|--|--|--|--|+-|-+,True,7,1,7,2.1233620770048445,2.1233620770048445,0.0,12.875212579099285,12.875212579099285,-390511.4538625429,-390511.4538625429,1.4905493894669749e-16,-1,-1,6,6,6,True,0,2,-1.0,0.0,-5,4.508344396696951,2.9667903011621926,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|--|--|+-|-+,--|--|--|--|--|+-|-+,True,7,2,14,2.1233620770048445,4.246724154009689,0.0,12.875212579099285,25.75042515819857,-390511.4538625429,152499195595.837,2.001163219632949e-16,-1,1,6,12,12,True,0,0,1.0,0.0,-10,4.4526586534020804,2.9667903011621926,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|+-|++|-+|--|+-|-+,--|--|+-|-+|--|+-|++|-+,False,8,1,8,0.548448625909493,0.5484486259094928,1.1102230246251565e-16,13.297516492479494,13.297516492479494,-595714.3141671732,-595714.3141671732,5.862641826377144e-16,-1,-1,5,5,5,True,0,1,0.0,-1.0,-2,3.770361942697513,2.5341931078536817,-1,-1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--|--|+-|++|-+|--|+-|-+,--|--|+-|-+|--|+-|++|-+,False,8,2,16,0.548448625909493,1.0968972518189857,2.220446049250313e-16,13.297516492479494,26.595032984958987,-595714.3141671732,354875544101.6656,1.3759225117527853e-15,-1,1,5,10,10,True,0,2,-1.0,0.0,-4,3.769481431263931,2.5341931078536817,1,1,True,1.0658141036401503e-14,True,0.0,0.0,0.0,0,0
--|--|+-|-+|--|+-|++|-+,--|--|+-|++|-+|--|+-|-+,False,8,1,8,0.548448625909493,0.548448625909493,0.0,13.297516492479494,13.297516492479494,-595714.3141671732,-595714.3141671732,3.9084278842514294e-16,-1,-1,5,5,5,True,0,1,0.0,-1.0,-2,3.7703619426975097,2.5341931078536817,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|+-|-+|--|+-|++|-+,--|--|+-|++|-+|--|+-|-+,False,8,2,16,0.548448625909493,1.096897251818986,0.0,13.297516492479494,26.595032984958987,-595714.3141671732,354875544101.6656,1.0319418838145888e-15,-1,1,5,10,10,True,0,2,-1.0,0.0,-4,3.7694814312639324,2.5341931078536817,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|--|+-|-+|--|+-|-+,--|--|--|+-|-+|--|+-|-+,True,8,1,8,1.1177063116252335,1.1177063116252333,2.220446049250313e-16,13.816151851386266,13.816151851386266,1000641.4990955805,1000641.4990955805,5.817034468995919e-16,1,1,6,6,6,True,0,2,-1.0,0.0,-4,3.5411249363947865,2.4508476048714787,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|+-|-+|--|+-|-+,--|--|--|+-|-+|--|+-|-+,True,8,2,16,1.1177063116252335,2.2354126232504665,4.440892098500626e-16,13.816151851386266,27.632303702772532,1000641.4990955805,1001283409710.2507,9.753107766786983e-16,1,1,6,12,12,True,0,0,1.0,0.0,-8,3.541124936394787,2.4508476048714787,1,1,True,7.105427357601002e-15,True,0.0,0.0,0.0,0,0
--|--|--|--|--|+-|++|-+,--|--|--|--|--|+-|++|-+,True,8,1,8,2.0842909920732264,2.084290992073227,4.440892098500626e-16,14.317855843302965,14.317855843302965,1652592.5303543045,1652592.5303543045,4.2266433989741984e-16,1,1,6,6,6,True,0,2,-1.0,0.0,-4,4.074148109669759,2.966416131053288,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|--|--|+-|++|-+,--|--|--|--|--|+-|++|-+,True,8,2,16,2.0842909920732264,4.168581984146454,8.881784197001252e-16,14.317855843302965,28.63571168660593,1652592.5303543045,2731062071380.843,3.5757609108688023e-16,1,1,6,12,12,True,0,0,1.0,0.0,-8,4.074148109669751,2.966416131053288,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|--|--|--|+-|-+,--|--|--|--|--|--|+-|-+,True,8,1,8,2.6515022453693335,2.6515022453693335,0.0,14.842648462399234,14.842648462399234,-2793060.3782520406,-2793060.3782520406,1.6672080952262137e-16,-1,-1,7,7,7,True,0,3,0.0,1.0,-6,4.491585546387149,2.966949246233411,-1,-1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--|--|--|--|--|--|+-|-+,--|--|--|--|--|--|+-|-+,True,8,2,16,2.6515022453693335,5.303004490738667,0.0,14.842648462399234,29.685296924798468,-2793060.3782520406,7801186276559.432,1.2518128209991863e-16,-1,1,7,14,14,True,0,2,-1.0,0.0,-12,4.468361750938446,2.966949246233411,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|+-|++|-+|--|+-|++|-+,--|--|+-|++|-+|--|+-|++|-+,True,9,1,9,0.5037506004263005,0.5037506004263004,1.1102230246251565e-16,14.759409381030558,14.759409381030558,2569981.8151537543,2569981.8151537543,3.623848889217764e-16,1,1,5,5,5,True,0,1,0.0,-1.0,-1,4.016071491689896,2.8849636187593948,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|+-|++|-+|--|+-|++|-+,--|--|+-|++|-+|--|+-|++|-+,True,9,2,18,0.5037506004263005,1.0075012008526008,2.220446049250313e-16,14.759409381030558,29.518818762061116,2569981.8151537543,6604806530218.985,1.4785633697700782e-16,1,1,5,10,10,True,0,2,-1.0,0.0,-2,4.01607149168989,2.8849636187593948,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|+-|-+|--|--|+-|++|-+,--|--|+-|-+|--|--|+-|++|-+,True,9,1,9,1.047999360336978,1.047999360336978,0.0,15.351227107258763,15.351227107258763,-4644652.4603006095,-4644652.4603006095,2.0051501863181423e-16,-1,-1,6,6,6,True,0,2,-1.0,0.0,-3,4.064207049557839,2.908986419739384,1,1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--|--|+-|-+|--|--|+-|++|-+,--|--|+-|-+|--|--|+-|++|-+,True,9,2,18,1.047999360336978,2.0959987206739554,4.440892098500626e-16,15.351227107258763,30.702454214517527,-4644652.4603006095,21572796476974.504,0.0,-1,1,6,12,12,True,0,0,1.0,0.0,-6,4.064206118872884,2.908986419739384,1,1,True,1.0658141036401503e-14,True,0.0,0.0,0.0,0,0
--|--|--|+-|++|-+|--|+-|-+,--|--|--|+-|-+|--|+-|++|-+,False,9,1,9,1.0726202335516857,1.072620233551686,2.220446049250313e-16,15.280351104845034,15.280351104845034,-4326853.2550443,-4326853.2550443,0.0,-1,-1,6,6,6,True,0,2,-1.0,0.0,-3,3.7700955562027643,2.5325498397584383,1,1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--|--|--|+-|++|-+|--|+-|-+,--|--|--|+-|-+|--|+-|++|-+,False,9,2,18,1.0726202335516857,2.1452404671033722,8.881784197001252e-16,15.280351104845034,30.560702209690067,-4326853.2550443,18721659090685.457,0.0,-1,1,6,12,12,True,0,0,1.0,0.0,-6,3.769863810957325,2.5325498397584383,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|--|+-|-+|--|+-|++|-+,--|--|--|+-|++|-+|--|+-|-+,False,9,1,9,1.0726202335516857,1.072620233551686,2.220446049250313e-16,15.280351104845034,15.280351104845034,-4326853.2550443,-4326853.2550443,0.0,-1,-1,6,6,6,True,0,2,-1.0,0.0,-3,3.770095556202761,2.5325498397584383,1,1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
