variant,seed,s,theta,cutoff,degree,coefficient_real,coefficient_imag,coefficient_abs
maslov_action,,0.0,1.0,20,19,3.1384799729843546e-19,-1.5492678412095497e-18,1.5807376155498854e-18
maslov_action,,0.0,1.0,20,20,-4.824699667560495e-19,-1.1960105215230722e-19,4.970731138348989e-19
maslov_action,,0.5,0.0,8,0,1.0,0.0,1.0
maslov_action,,0.5,0.0,8,1,0.0,0.16255734582344916,0.16255734582344916
maslov_action,,0.5,0.0,8,2,-0.003241651549018912,0.0,0.003241651549018912
maslov_action,,0.5,0.0,8,3,0.007524042666101025,-8.88652367320482e-06,0.007524047913963042
maslov_action,,0.5,0.0,8,4,0.001733110848018851,0.00026642622880838484,0.0017534697450819273
maslov_action,,0.5,0.0,8,5,-3.264940750562521e-07,5.673337469537833e-05,5.673431415560817e-05
maslov_action,,0.5,0.0,8,6,-5.114363707794135e-07,-1.0406986907517246e-08,5.115422433509386e-07
maslov_action,,0.5,0.0,8,7,-3.313469981990815e-08,4.5960516085238184e-09,3.345193600591206e-08
maslov_action,,0.5,0.0,8,8,5.296799409480618e-09,1.0814488880758415e-09,5.4060721121526575e-09
maslov_action,,0.5,0.0,12,0,1.0,0.0,1.0
maslov_action,,0.5,0.0,12,1,0.0,0.16255734582344916,0.16255734582344916
maslov_action,,0.5,0.0,12,2,-0.003241651549018912,0.0,0.003241651549018912
maslov_action,,0.5,0.0,12,3,0.007524042666101025,-8.88652367320482e-06,0.007524047913963042
maslov_action,,0.5,0.0,12,4,0.001733110848018851,0.00026642622880838484,0.0017534697450819273
maslov_action,,0.5,0.0,12,5,-3.264940750562521e-07,5.673337469537833e-05,5.673431415560817e-05
maslov_action,,0.5,0.0,12,6,-5.114363707794135e-07,-1.0406986907517246e-08,5.115422433509386e-07
maslov_action,,0.5,0.0,12,7,-3.313469981990815e-08,4.5960516085238184e-09,3.345193600591206e-08
maslov_action,,0.5,0.0,12,8,5.296799409480618e-09,1.0814488880758415e-09,5.4060721121526575e-09
maslov_action,,0.5,0.0,12,9,1.9241554536658023e-11,6.472208477214903e-12,2.0300908934324036e-11
maslov_action,,0.5,0.0,12,10,4.243681691900824e-12,2.6865532395720683e-13,4.252177087712222e-12
maslov_action,,0.5,0.0,12,11,-8.807327636223743e-14,5.507392584701672e-14,1.0387511404268948e-13
maslov_action,,0.5,0.0,12,12,1.6482419591042547e-15,-6.9956985549611895e-15,7.187245635682553e-15
maslov_action,,0.5,0.0,16,0,1.0,0.0,1.0
maslov_action,,0.5,0.0,16,1,0.0,0.16255734582344916,0.16255734582344916
maslov_action,,0.5,0.0,16,2,-0.003241651549018912,0.0,0.003241651549018912
maslov_action,,0.5,0.0,16,3,0.007524042666101025,-8.88652367320482e-06,0.007524047913963042
maslov_action,,0.5,0.0,16,4,0.001733110848018851,0.00026642622880838484,0.0017534697450819273
maslov_action,,0.5,0.0,16,5,-3.264940750562521e-07,5.673337469537833e-05,5.673431415560817e-05
maslov_action,,0.5,0.0,16,6,-5.114363707794135e-07,-1.0406986907517246e-08,5.115422433509386e-07
maslov_action,,0.5,0.0,16,7,-3.313469981990815e-08,4.5960516085238184e-09,3.345193600591206e-08
maslov_action,,0.5,0.0,16,8,5.296799409480618e-09,1.0814488880758415e-09,5.4060721121526575e-09
maslov_action,,0.5,0.0,16,9,1.9241554536658023e-11,6.472208477214903e-12,2.0300908934324036e-11
