p,iterate,fix_count
37,28,18
37,29,89
37,30,35
37,31,2
37,32,4
37,33,46
37,34,4
37,35,2
37,36,43
37,37,2
37,38,4
37,39,15
37,40,134
37,41,2
37,42,66
37,43,2
37,44,15
37,45,71
37,46,73
37,47,2
37,48,34
37,49,2
37,50,64
37,51,53
37,52,17
37,53,2
37,54,73
37,55,68
37,56,18
37,57,2
37,58,91
37,59,61
37,60,99
37,61,2
37,62,4
37,63,53
37,64,68
41,1,0
41,2,0
41,3,6
41,4,0
41,5,5
41,6,6
41,7,0
41,8,16
41,9,15
41,10,25
41,11,22
41,12,18
41,13,0
41,14,14
41,15,11
41,16,32
41,17,34
41,18,33
41,19,0
41,20,25
41,21,6
41,22,44
41,23,23
41,24,58
41,25,5
41,26,0
41,27,69
41,28,70
41,29,0
41,30,31
41,31,0
41,32,32
41,33,28
41,34,68
41,35,5
41,36,45
41,37,0
41,38,0
41,39,6
41,40,81
41,41,0
41,42,20
41,43,0
41,44,44
41,45,20
41,46,23
41,47,0
41,48,74
41,49,0
41,50,25
41,51,40
41,52,0
41,53,0
41,54,87
41,55,27
41,56,142
41,57,63
41,58,58
41,59,59
41,60,103
41,61,0
41,62,0
41,63,15
41,64,96
43,1,0
43,2,0
43,3,0
43,4,8
43,5,0
43,6,0
43,7,7
43,8,16
43,9,9
43,10,10
43,11,22
43,12,20
43,13,0
43,14,21
43,15,45
43,16,16
43,17,17
43,18,27
43,19,0
43,20,18
43,21,70
43,22,44
43,23,46
43,24,28
43,25,0
43,26,0
43,27,9
43,28,113
43,29,29
43,30,85
43,31,0
43,32,16
43,33,22
43,34,51
43,35,7
43,36,83
43,37,0
43,38,0
43,39,0
43,40,26
43,41,82
43,42,126
43,43,43
43,44,52
43,45,54
43,46,92
43,47,47
43,48,28
43,49,56
43,50,10
43,51,17
43,52,8
43,53,0
43,54,27
43,55,22
43,56,121
43,57,0
43,58,29
43,59,0
43,60,105
43,61,0
43,62,0
43,63,142
43,64,16
47,1,2
47,2,4
47,3,2
47,4,8
47,5,7
47,6,16
47,7,2
47,8,8
47,9,11
47,10,9
47,11,24
47,12,20
47,13,28
47,14,18
47,15,7
47,16,24
47,17,19
47,18,25
47,19,2
47,20,13
47,21,44
47,22,48
47,23,2
47,24,20
47,25,7
47,26,56
47,27,11
47,28,78
47,29,2
47,30,21
47,31,2
47,32,24
47,33,24
47,34,89
47,35,7
47,36,29
47,37,2
47,38,80
47,39,28
47,40,13
47,41,2
47,42,114
47,43,2
47,44,52
47,45,61
47,46,4
47,47,2
47,48,84
47,49,51
47,50,9
47,51,19
47,52,60
47,53,55
47,54,79
47,55,84
47,56,78
47,57,2
47,58,4
47,59,2
47,60,85
47,61,2
47,62,4
47,63,53
47,64,24
53,1,2
53,2,2
53,3,2
53,4,10
53,5,7
53,6,20
53,7,16
53,8,10
53,9,2
53,10,7
53,11,2
