p,bad_reduction,exceptional_fixed_discriminant,n_points,num_cycles,fixed_points,predicted_fixed_points,largest_cycle,largest_cycle_fraction,short_threshold,short_cycle_count,short_point_mass,short_point_mass_fraction,symmetric_cycle_count,symmetric_degree,symmetric_degree_fraction,paired_cycle_pair_count,paired_base_degree,uniform_theory_cycle_z,uniform_num_cycles_mean,uniform_num_cycles_sd,uniform_num_cycles_z,uniform_num_cycles_outside95,uniform_fixed_points_mean,uniform_fixed_points_sd,uniform_fixed_points_z,uniform_fixed_points_outside95,uniform_largest_cycle_fraction_mean,uniform_largest_cycle_fraction_sd,uniform_largest_cycle_fraction_z,uniform_largest_cycle_fraction_outside95,uniform_short_point_mass_fraction_mean,uniform_short_point_mass_fraction_sd,uniform_short_point_mass_fraction_z,uniform_short_point_mass_fraction_outside95,reversible_num_cycles_mean,reversible_num_cycles_sd,reversible_num_cycles_z,reversible_num_cycles_outside95,reversible_fixed_points_mean,reversible_fixed_points_sd,reversible_fixed_points_z,reversible_fixed_points_outside95,reversible_largest_cycle_fraction_mean,reversible_largest_cycle_fraction_sd,reversible_largest_cycle_fraction_z,reversible_largest_cycle_fraction_outside95,reversible_short_point_mass_fraction_mean,reversible_short_point_mass_fraction_sd,reversible_short_point_mass_fraction_z,reversible_short_point_mass_fraction_outside95,reversible_symmetric_cycle_count_mean,reversible_symmetric_cycle_count_sd,reversible_symmetric_cycle_count_z,reversible_symmetric_cycle_count_outside95,reversible_symmetric_degree_fraction_mean,reversible_symmetric_degree_fraction_sd,reversible_symmetric_degree_fraction_z,reversible_symmetric_degree_fraction_outside95
167,False,False,27889,173,2,2,778,0.027896303201979274,167,112,6852,0.2456882641901825,167,27761,0.9954103768510882,3,64,53.56369094927545,11.0625,2.703441094235271,59.900509889159494,True,1.0,1.2747548783981961,0.7844645405527362,False,0.5448922514252932,0.1934254993110556,-2.672842774426092,True,0.005073684965398544,0.0034919083004596365,68.90632815103194,True,170.625,2.4717149916606487,0.9608713011059299,False,2.0625,1.5599979967935855,-0.0400641540107502,False,0.03326356269496934,0.006072330746475703,-0.8838878705849729,False,0.26942298038653234,0.021714630798401472,-1.093028770173568,False,167.0,0.0,0.0,False,0.9981892502420309,0.002368900090489908,-1.1730648338013838,False
173,False,False,29929,177,0,0,846,0.028266898326038292,173,111,7299,0.24387717598316014,173,29867,0.997928430619132,2,31,54.65142163229063,10.8125,3.025284077570237,54.932857787515225,True,0.875,0.9921567416492215,-0.8819171036881969,False,0.6709316215042267,0.2259021749940509,-2.8448806355897758,True,0.006926810117277557,0.003905479020174494,60.67126840059067,True,178.125,3.1598061649411346,-0.35603449745815596,False,2.375,2.368411915187052,-1.002781646541593,False,0.03172299442012764,0.005320958565078246,-0.6495250906052721,False,0.2646283704767951,0.019029318546810017,-1.0904854234579828,False,173.0,0.0,0.0,False,0.9976068361789568,0.0019881392589577718,0.1617564960432834,False
179,False,False,32041,185,0,0,816,0.025467369932274275,179,117,9006,0.28107736962017416,179,31527,0.983958053743641,3,257,57.05081320813557,12.0,3.2210246816812815,53.70961637887823,True,0.75,0.9013878188659973,-0.8320502943378437,False,0.665459879529353,0.2240316694478783,-2.856705532634417,True,0.006548250678817764,0.004405813336955095,62.31065593239283,True,184.625,2.7585095613392387,0.13594297632883312,False,1.875,1.6909686573085854,-1.1088319064318592,False,0.034073530788677,0.006595589247095494,-1.3048357825182384,False,0.277267797509441,0.02276412447050095,0.16734981903959403,False,179.0,0.0,0.0,False,0.9957983521113574,0.006437844031423217,-1.8391713607729083,False
181,False,False,32761,183,0,0,748,0.022832025884435763,181,118,8895,0.2715118586123745,181,32733,0.9991453252342725,1,14,56.320758434234456,9.75,2.7726341266023544,62.48570568245305,True,0.8125,0.8076779989575054,-1.005970202294378,False,0.6486523610390403,0.19435235117932353,-3.2200296593128295,True,0.004464149445987608,0.0027370922949086266,97.56620544478272,True,186.125,3.8058343369095824,-0.8211077318035777,False,1.9375,1.7842628029525247,-1.0858826383612912,False,0.034471246298953026,0.006218818995318936,-1.8716126684629995,True,0.27006196392051524,0.016813539070305555,0.08623375993575959,False,181.0,0.0,0.0,False,0.9970010072952596,0.0026231085458682905,0.8174720571096364,False
191,False,False,36481,195,0,0,1356,0.03717003371618102,191,123,8569,0.234889394479318,191,36389,0.9974781393053919,2,46,59.870210856881585,11.25,2.883140648667699,63.732582760022815,True,1.25,1.14564392373896,-1.091089451179962,False,0.6989203283901209,0.16412230673246794,-4.032055775042475,True,0.004435528083111756,0.0037167675910016254,62.00384090577523,True,194.875,3.276335605520289,0.038152379685825785,False,1.9375,0.9662265521087692,-2.0052233047947676,True,0.030647802965927468,0.00634130841762316,1.0285307574896676,False,0.2673326526136893,0.01922269274784925,-1.6877582428196105,False,191.0,0.0,0.0,False,0.9980777665085935,0.0024602873539147124,-0.24372242626354618,False
193,False,False,37249,199,2,2,1498,0.04021584472066364,193,130,10198,0.27377916185669415,193,37047,0.9945770356251175,3,101,61.09813169237111,9.8125,2.429473965697101,77.8717955702462,True,1.0625,0.899218410621135,1.0425720702853738,False,0.6722395232086767,0.23586603233067707,-2.6795875278977643,True,0.004879325619479718,0.003386361101824502,79.4067224822352,True,197.5,2.179449471770337,0.6882472016116852,False,2.0,1.8708286933869707,0.0,False,0.028948763725200676,0.006542885745860017,1.7220354187893563,False,0.26973375124164406,0.015367710353781521,0.2632409462385945,False,193.0,0.0,0.0,False,0.9974563075518806,0.0032015267176748147,-0.8993434010303443,False
197,False,False,38809,197,2,2,1122,0.02891081965523461,197,125,12009,0.3094385322992089,197,38809,1.0,0,0,60.30380523612129,11.5625,2.499218627891526,74.1981905586407,True,0.9375,0.7473912964438374,1.4216114170120542,False,0.6095412790847484,0.21548457648116487,-2.6945337291008657,True,0.005280669432348167,0.002969042670376715,102.4430756423817,True,200.75,2.7271780286589284,-1.3750477455423171,False,1.375,1.6909686573085854,0.3696106354772864,False,0.02745658223607926,0.005856021926699462,0.24833196278262212,False,0.27100189389059237,0.017086606786831663,2.2495185198642815,True,197.0,0.0,0.0,False,0.9983315725733721,0.0016235265025347704,1.0276564158472306,False
199,False,False,39601,199,2,2,1191,0.030074998106108433,199,129,10549,0.26638216206661447,199,39601,1.0,0,0,60.8814741120878,10.5,3.29772648956823,57.160592485849314,True,0.8125,0.8076779989575054,1.47026414181486,False,0.6612696017777329,0.23475480363918014,-2.688739884708707,True,0.0036110199237392995,0.0029937734190375875,87.77255502099707,True,203.625,3.6550478793033614,-1.2653733009050234,False,1.75,1.6770509831248424,0.14907119849998599,False,0.030318047524052424,0.008000614738744364,-0.03037884286153433,False,0.26372597914194085,0.019212698364630257,0.1382514248786386,False,199.0,0.0,0.0,False,0.9954041564606955,0.008436454967878365,0.5447600392348583,False
211,False,False,44521,211,0,0,1003,0.022528694324026863,211,136,11998,0.26949080209339416,211,44521,1.0,0,0,64.33842121720204,11.5625,2.1203994317109216,94.05657114286085,True,1.1875,0.9499177595981665,-1.250108220423561,False,0.669707834505065,0.16982854036401984,-3.810779618042049,True,0.004351878888614362,0.0027860231566193532,95.16752313233016,True,214.5,2.0615528128088303,-1.697749375254331,False,2.125,1.165922381636102,-1.8225913092242512,True,0.02653803822915029,0.0036790896217961905,-1.089765218376496,False,0.2653228251836212,0.01293490674158508,0.3222270552885475,False,211.0,0.0,0.0,False,0.9989246647649423,0.0008917548636216136,1.205864166179567,False
223,False,False,49729,227,2,2,911,0.018319290554807053,223,140,13533,0.2721349715457781,223,49569,0.9967825614832392,2,80,69.06180661237076,11.3125,3.512811374099099,61.40025097570619,True,1.0625,0.899218410621135,1.0425720702853738,False,0.6118688290534698,0.20709744196418559,-2.8660399320688295,True,0.00416758832874178,0.004338567177471661,61.764027674499836,True,226.625,2.7585095613392387,0.13594297632883312,False,1.875,1.165922381636102,0.10721125348377948,False,0.02743997466267168,0.0031735113218662727,-2.8740039605407652,True,0.26564228116390837,0.018226666060248472,0.3562193085892975,False,223.0,0.0,0.0,False,0.9983862534939372,0.0026915219292503157,-0.5958309286912157,False
227,False,False,51529,227,2,2,1196,0.023210231131983932,227,143,12483,0.24225193580313997,227,51529,1.0,0,0,68.92481443689164,11.625,2.6427968139832467,81.49510354350129,True,1.4375,0.998044963916957,0.5636018619766345,False,0.6032137243105824,0.2080326423865116,-2.788040792660742,True,0.004291272875468183,0.0024679230858834045,96.42142588997771,True,231.0,2.9154759474226504,-1.3719886811400706,False,1.9375,1.3448396744593758,0.04647394123401731,False,0.027517271827514605,0.006572252640606188,-0.6553370558094395,False,0.2672560596945409,0.018472262138721177,-1.3536037819097322,True,227.0,0.0,0.0,False,0.9985517863727221,0.0014849318410586944,0.9752727951778288,False
229,False,False,52441,233,0,0,1117,0.021300127762628476,229,149,13359,0.2547434259453481,229,52325,0.9977879903129231,2,58,70.7741418876895,10.5,3.6571847095819483,60.83914750519503,True,0.9375,1.197327753791751,-0.7829936264578209,False,0.6794051886882402,0.21824851577010965,-3.0153930651185803,True,0.0043537022558685,0.002587975562648446,96.75119321190162,True,234.75,2.817356917396161,-0.6211495565912797,False,2.9375,1.5599979967935855,-1.8830152385052592,True,0.02578850517724681,0.003933663777143223,-1.141017043881154,False,0.27499594782708187,0.01819110628126551,-1.113319969032958,False,229.0,0.0,0.0,False,0.9981693712934536,0.0024069340135374493,-0.15845094979152344,False
233,False,False,54289,235,2,2,1340,0.024682716572417985,233,148,14367,0.26463924551935014,233,54235,0.9990053233620071,1,27,71.2761309783979,11.125,3.950870157319777,56.664732346424195,True,0.875,0.9921567416492215,1.1338934190276817,False,0.6855555453222568,0.2291514643171477,-2.8840000246962636,True,0.0033570336532262523,0.0026985169498289618,96.82437306265004,True,238.5,3.840572873934304,-0.9113223768657671,False,1.9375,2.0453835214941964,0.030556616567607043,False,0.023030678406306987,0.0026748159714099114,0.6176268512559385,False,0.2699407338503196,0.017868273895844142,-0.2966984030954706,False,233.0,0.0,0.0,False,0.9972208918933854,0.003767946030052802,0.47358201375212416,False
239,False,False,57121,241,0,0,1035,0.018119430682235954,239,148,14604,0.25566779293079606,239,57097,0.9995798392885279,1,12,72.98475098815237,10.5625,3.181366648156103,72.43349336473364,True,1.0,1.0606601717798212,-0.9428090415820635,False,0.665821239123965,0.16832018411369845,-3.8480341015086665,True,0.003487115071514854,0.0024376559526116397,103.45212071010332,True,242.75,2.331844763272204,-0.7504787743864564,False,1.4375,1.27322179921646,-1.1290255954497768,False,0.02592522890005427,0.006708228958739555,-1.1636153544891807,True,0.2692278233924476,0.021326326955754232,-0.6358352514141122,False,239.0,0.0,0.0,False,0.9977569545351097,0.0027869337803226326,0.6540825498936532,False
241,False,False,58081,241,0,0,1680,0.028925121812640966,241,151,15241,0.2624093937776553,241,58081,1.0,0,0,72.918006695247,11.25,2.7726341266023544,82.86343942593702,True,1.5,1.3693063937629153,-1.0954451150103321,False,0.7009682598440109,0.1497479161851428,-4.487829648330336,True,0.003496194969094885,0.0032141440328994943,80.55432368878431,True,244.75,2.6339134382131846,-1.4237369936287485,False,1.1875,1.184205957593526,-1.002781646541593,False,0.024768211635474595,0.0029222207295036477,1.422517517310351,True,0.26732063841876,0.023425366299297763,-0.2096549773589638,False,241.0,0.0,0.0,False,0.9984224617344742,0.0021327343197379404,0.7396787546043697,False
251,False,False,63001,251,2,2,1784,0.02831701084109776,251,162,17023,0.2702020602847574,251,63001,1.0,0,0,75.75965393722657,12.5,2.7386127875258306,87.08788664332141,True,0.9375,0.9662265521087692,1.0996385865003566,False,0.5379230091585848,0.1684656868152079,-3.024983947481722,True,0.003711250615069602,0.0035596518626356826,74.86429009166343,True,255.0,2.345207879911715,-1.7056057308448833,True,2.1875,1.9435389756832766,-0.09647349620764972,False,0.026176171806796718,0.006025702577945753,0.35528455090640826,False,0.270892525515468,0.017302989066036747,-0.039904390396100616,False,251.0,0.0,0.0,False,0.9980456659418104,0.003200280832123315,0.6106758002524764,True
