system_id,marking_id,move_target,move_source,move_exponent,positive_generator_count,alphabet_size,marked_owner_rows,raw_cyclically_reduced_linear_words,symbolically_primitive_owner_rows,symbolic_repetition_owner_rows,identity_owner_rows,parabolic_owner_rows,loxodromic_owner_rows,primitive_loxodromic_phase_rows,q_real,q_imag,abs_q,null_mean_abs_q,null_sample_sd_abs_q,z_abs_q,maximum_matrix_determinant_residual,all_candidate_level3_membership,evaluation_digest,evidence_status
BIANCHI_LEVEL3_NIELSEN_PANEL,R2_3_M,2,3,-1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0088216214416423373,0.005489774661300257,0.010390314272989927,0.02678042827895585,0.014173057073077281,-1.1564275739141767,0.00000000000000000e+00,true,0bed54ec24a7845cff9bfe8642f85995aa053b693508c3c4678e5d47f4dcbe0e,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R2_3_M,2,3,-1,4,8,2074,19624,2046,28,8,205,1861,1838,0.075699991664842703,-0.1105161001032401,0.13395632542021538,0.028675110783243071,0.015707647284695484,6.7025451188703169,4.59417460865983859e-61,NOT_APPLICABLE_CONTROL,e6470403ed73b1a531e5b2dbae0ace57125576aa257b18c5929df14c4c61cfbb,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R2_4_P,2,4,1,4,8,2074,19624,2046,28,1,81,1992,1979,-0.0051691650716133627,4.6000469636621724e-19,0.0051691650716133627,0.027971501231033952,0.014656468631440179,-1.5557865085254152,0.00000000000000000e+00,true,5c62218d8d65be098cdbf554265f50fde36f998404b4eb18d67294a5e4db8588,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R2_4_P,2,4,1,4,8,2074,19624,2046,28,3,83,1988,1964,0.016272987051583282,-0.0047039117608357892,0.016939211712317857,0.028807907139790086,0.015872531957226568,-0.7477506083752794,3.38557535612420618e-61,NOT_APPLICABLE_CONTROL,88c5366e6467db7c6cb8f88a7d5e0f4337821f2de4f736a68b09c45b17168b39,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R2_4_M,2,4,-1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0095152360785095598,-1.3156557629833338e-17,0.0095152360785095598,0.025536019496611866,0.013884359084232979,-1.1538727370063082,0.00000000000000000e+00,true,032ddccf1377ded873991d701552e1590b0a13bfcea975993768e71968c20130,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R2_4_M,2,4,-1,4,8,2074,19624,2046,28,4,117,1953,1933,0.089668462805796392,0.018338602442998127,0.091524518908961378,0.02800168947169673,0.01309941758638436,4.8492865441048911,6.30657483650766482e-61,NOT_APPLICABLE_CONTROL,a039a1512cef90e4f3918351ab543563926f1ab7c215cdd8c6f2cdc5c18173da,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R3_1_P,3,1,1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0095152360785095598,-1.3156557629833345e-17,0.0095152360785095598,0.030711311297826605,0.016544009167803259,-1.2811933917787774,0.00000000000000000e+00,true,72b82836d28756e8a4e8bf22cca4c836f2e16e7a717b7aaad04b0f205bf1c34f,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R3_1_P,3,1,1,4,8,2074,19624,2046,28,5,77,1992,1970,-0.083717502698647556,-0.029929899309048557,0.0889068002503062,0.026971866135638466,0.015044666069856959,4.1167370433537709,9.38435036137065171e-59,NOT_APPLICABLE_CONTROL,9bdc4c077a0c6fc27072369ffc751d6e3fc14f38908c20ec5ac38a3e326fe0cc,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R3_1_M,3,1,-1,4,8,2074,19624,2046,28,1,81,1992,1979,-0.0051691650716133627,4.6000469636622196e-19,0.0051691650716133627,0.026658411543735428,0.015446707029361578,-1.3911862529194503,0.00000000000000000e+00,true,dc617c46ccd7cc271ecd05aab069415bf136a169e4731685fa5bd53bf734925d,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R3_1_M,3,1,-1,4,8,2074,19624,2046,28,6,154,1914,1894,-0.00071057725170946924,0.12667137822061511,0.12667337123618669,0.03206927021805716,0.017325041812322868,5.4605409927980659,4.41174141797240873e-61,NOT_APPLICABLE_CONTROL,6ae792f7dab4044bf9e8b16e0b92b1f7413dec02a0855e00d90ac487dcd57fd9,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
