d9_re,d9_im,matrix_rows,distinct_first_jets_up_to_sign,joint_descriptor_collisions_beyond_first,maximum_joint_descriptor_bucket,all_joint_descriptor_buckets_are_matrix_collisions,owner_interpretation
32,1184,96,4,92,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
35,-40,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
35,40,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
36,-1494,192,8,184,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
36,1494,192,8,184,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
40,-1840,96,4,92,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
40,1840,96,4,92,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
44,0,192,4,188,84,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
60,-50,128,4,124,32,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
60,50,128,4,124,32,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
69,0,32,4,28,8,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
84,-58,128,4,124,32,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
84,58,128,4,124,32,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
92,-136,56,4,52,14,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
92,136,56,4,52,14,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
93,0,32,4,28,8,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
124,-152,56,4,52,14,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
124,152,56,4,52,14,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
128,0,56,2,54,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
160,0,56,2,54,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
245,0,8,2,6,4,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
252,-1106,48,2,46,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
252,1106,48,2,46,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
284,-1408,96,4,92,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
284,1408,96,4,92,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
300,0,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
348,0,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
