cutoff_k,state_count,max_h,grid_id,sigma,tau,observable,seed,value_re,value_im,abs_value,target_re,target_im,target_abs_error,target_status,successive_k_drift,precision_mode
10,1024,144,R250,2.5,0.0,unsigned,none,1.7301455102976249,0.0,1.7301455102976249,1.9473724663169567,0.0,0.21722695601933184,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.056295650532270036,numpy_complex128
10,1024,144,R300,3.0,0.0,unsigned,none,1.3459034442869586,0.0,1.3459034442869586,1.3684327776202059,0.0,0.022529333333247248,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.011102551889421886,numpy_complex128
10,1024,144,R400,4.0,0.0,unsigned,none,1.1099474509102334,0.0,1.1099474509102334,1.1106265353261482,0.0,0.0006790844159147991,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.0005903703966019247,numpy_complex128
10,1024,144,C160_3,1.6,3.0,unsigned,none,0.8645835880429381,0.21888873907914838,0.8918615704294364,0.7486185905344954,0.0039045763883858242,0.2442663932164664,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.3910143077373254,numpy_complex128
10,1024,144,C160_9,1.6,9.0,unsigned,none,1.1418860405470677,0.041984279249322014,1.1426576080787914,1.1523732409928538,0.0755511054279701,0.03516693323134206,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.09021084581407529,numpy_complex128
10,1024,144,C175_5,1.75,5.0,unsigned,none,0.8480903017001173,0.12663955008276928,0.8574932859696117,0.8975932589488682,0.1202477299745946,0.04991390728711711,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.01327235694854927,numpy_complex128
10,1024,144,C190_11,1.9,11.0,unsigned,none,1.2056981167201692,-0.11121559629083323,1.2108166077160027,1.1745396812853477,-0.12160548563244583,0.03284505897813092,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.04436522474492244,numpy_complex128
10,1024,144,C225_1,2.25,1.0,unsigned,none,0.8588351310630512,-0.6805222680143393,1.0957683786327606,0.8693218510303373,-0.5056907193813052,0.1751457726954815,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.10601334632809885,numpy_complex128
10,1024,144,C225_7,2.25,7.0,unsigned,none,1.0097332208709597,0.10247628939817503,1.0149199806976217,1.0219620306225508,0.10923921750792362,0.013974297283163658,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.023325906039456768,numpy_complex128
10,1024,144,C275_3,2.75,3.0,unsigned,none,0.8682467144994603,-0.040940596446453974,0.8692114182846995,0.8655320884182494,-0.04500006655251698,0.004883491814553403,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.0017830663732451154,numpy_complex128
