observable,grid_id,sigma,tau,target_status,error_k8,value_abs_k8,drift_to_k8,error_k10,value_abs_k10,drift_to_k10,error_k12,value_abs_k12,drift_to_k12,error_k14,value_abs_k14,drift_to_k14,error_k16,value_abs_k16,drift_to_k16,error_k18,value_abs_k18,drift_to_k18,error_k20,value_abs_k20,drift_to_k20,error_k22,value_abs_k22,drift_to_k22
unsigned,C225_1,2.25,1.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.2286017827655427,1.1966209612867438,,0.1751457726954815,1.0957683786327606,0.10601334632809885,0.12895681480151233,1.0197406636706998,0.07801403763130664,0.09026011673232116,0.9797047620560332,0.0562713485385322,0.05896259377590577,0.9702771915374578,0.03953961433209605,0.034728778512687915,0.978169032305933,0.026884012182624664,0.017295619283279867,0.9911166602218698,0.017549258738279425,0.008213645756642466,1.0018262721897673,0.010910667330340507
unsigned,C225_7,2.25,7.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.018011585399987498,1.035699658477618,,0.013974297283163658,1.0149199806976217,0.023325906039456768,0.010769247316796321,1.020730970151836,0.014722939045794296,0.007478471638590434,1.029190056087183,0.008499140167586697,0.006128348467682546,1.0322484702042725,0.004397738671010474,0.006258925117759184,1.0340055430532535,0.003941134767403997,0.006318908197483472,1.0329491305488632,0.004460897481547812,0.005906457421161268,1.0292990056078666,0.004201485760901929
unsigned,C275_3,2.75,3.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.0036924268662770553,0.8675277358768265,,0.004883491814553403,0.8692114182846995,0.0017830663732451154,0.004002016969682564,0.8703492943185351,0.002792423734578778,0.003020880964458915,0.8697195403399787,0.001651181192035684,0.002541633345958248,0.8691521931245203,0.000976826469579506,0.0021896324780170695,0.8685263688988519,0.0008253863827991235,0.0018818158193340993,0.8679061695835237,0.0006637728939804996,0.0016383662045889402,0.8673870131672983,0.0005209328142841722
unsigned,C325_11,3.25,11.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.0012371766921507941,1.0602973558825444,,0.0009156853621113032,1.0619883339469678,0.0018467305438923372,0.0006448660649961221,1.0610373400021345,0.0012727915207634524,0.0004456952004826478,1.0606507413241015,0.0007739350790217319,0.0003315326043708949,1.0610330479441272,0.00048421493567912463,0.0002645241354883087,1.0613160953610796,0.0003352176819646383,0.00021721230830105671,1.0612853859683353,0.00025345613140484306,0.00017805580680483235,1.061105610190171,0.00019375203378425005
liouville,R160,1.6,0.0,ANALYTIC_CONTINUATION_BENCHMARK_CONDITIONAL_REGION,5.217403236420424,0.3924690801704478,,4.980938450038929,0.628933866551942,0.23646478638149415,4.685632590791709,0.924239725799162,0.2953058592472201,4.5835186913833255,1.0263536252075458,0.10211389940838378,4.368878702224244,1.2409936143666274,0.21463998915908156,4.211933187707133,1.3979391288837382,0.1569455145171108,4.046252493206972,1.5636198233838987,0.16568069450016054,3.863336969459213,1.7465353471316583,0.18291552374775955
liouville,R175,1.75,0.0,ANALYTIC_CONTINUATION_BENCHMARK_CONDITIONAL_REGION,1.2468011079713024,0.07529610691745584,,1.1122957953672803,0.2098014195214779,0.13450531260402207,0.9447975186442654,0.37729969624449283,0.16749827672301493,0.911778194869759,0.41031902001899917,0.03301932377450634,0.8102732240738616,0.5118239908148966,0.10150497079589743,0.7442179384996594,0.5778792763890988,0.06605528557420215,0.6766566051849915,0.6454406097037667,0.06756133331466796,0.6057230558257871,0.7163741590629711,0.07093354935920437
liouville,R190,1.9,0.0,ANALYTIC_CONTINUATION_BENCHMARK_CONDITIONAL_REGION,0.4724897668449733,0.15427373010808776,,0.3956173842248111,0.07740134748792551,0.07687238262016224,0.2988314262407685,0.01938461049611699,0.0967859579840425,0.29258973769577934,0.025626299041106183,0.006241688544989191,0.2434298549075243,0.07478618182936123,0.04915988278825505,0.21396054700325692,0.10425548973362861,0.029469307904267383,0.1854706346287928,0.13274540210809274,0.028489912374464132,0.15633149294949733,0.1618845437873882,0.02913914167929546
liouville,R200,2.0,0.0,BOUNDARY_VALUE_BENCHMARK_NO_CONVERGENCE_CLAIM,0.27255252015428283,0.27255252015428283,,0.21948311730814968,0.21948311730814968,0.05306940284613315,0.15165203229419116,0.15165203229419116,0.06783108501395851,0.15267292167770033,0.15267292167770033,0.001020889383509166,0.12197172615684758,0.12197172615684758,0.03070119552085275,0.1040997641865065,0.1040997641865065,0.017871961970341077,0.08778808269699664,0.08778808269699664,0.016311681489509858,0.07118031299739616,0.07118031299739616,0.016607769699600483
liouville,R2125,2.125,0.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.14579231174760152,0.39150263252279066,,0.11231563710678069,0.35802595788196984,0.033476674640820825,0.06833308331710744,0.3140434040922966,0.04398255378967325,0.07293283705621059,0.31864315783139974,0.004599753739103152,0.055661980555991336,0.3013723013311805,0.017270856500219256,0.045647420703108926,0.29135774147829807,0.01001455985288241,0.03736313404611183,0.283073454821301,0.008284286656997097,0.02887230888389311,0.27458262965908226,0.008490825162218718
liouville,R250,2.5,0.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.028229229892115515,0.6235177429700425,,0.0197281630295969,0.6150166761075239,0.008501066862518614,0.006883955131356978,0.6021724682092839,0.012844207898239923,0.01087112475869123,0.6061596378366182,0.003987169627334253,0.007557814354207659,0.6028463274321346,0.0033133104044835715,0.00522447656052194,0.6005129896384489,0.002333337793685719,0.00399405754055937,0.5992825706184863,0.0012304190199625697,0.002652248776650823,0.5979407618545778,0.0013418087639085474
liouville,R300,3.0,0.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.0042152579349770125,0.7816538326632807,,0.002851283199221677,0.7802898579275254,0.0013639747357553356,1.036497741424558e-05,0.7774489397057179,0.0028409182218074314,0.001322340525284127,0.7787609152535878,0.0013119755478698814,0.0009109722887348237,0.7783495470170385,0.0004113682365493032,0.00041809774638268404,0.7778566724746864,0.0004928745423521397,0.0002890400857685771,0.7777276148140723,0.00012905766061410695,0.00014593286549902107,0.7775845075938027,0.00014310722026955602
liouville,R400,4.0,0.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.00014300187776328244,0.9124315202912339,,0.0001252090115565485,0.9124137274250271,1.7792866206733926e-05,5.7316427560238914e-05,0.9122312019859103,0.00018252543911678742,3.8481763766307076e-05,0.9123270001772369,9.579819132654599e-05,3.2499567514943095e-05,0.9123210179809855,5.98219625136398e-06,3.523613739897513e-06,0.9122920420272105,2.8975953775045582e-05,1.4606572673603324e-07,0.9122886644791973,3.37754801316148e-06,1.5878364770793851e-06,0.9122869305769935,1.7339022038154184e-06
liouville,C160_3,1.6,3.0,ANALYTIC_CONTINUATION_BENCHMARK_CONDITIONAL_REGION,0.051120740302077236,1.3225148006484335,,0.02067761217852888,1.2819944521369382,0.04075225317692561,0.03089886962484886,1.2515771085815797,0.050629543943334535,0.018091156220766885,1.2742865594282737,0.04564532142616431,0.03140580912303555,1.2841303180601924,0.015095768683505987,0.02280784095072061,1.2606359774566274,0.05368937037978528,0.024945792248537085,1.2920550102454584,0.03149562584181394,0.02006415184333904,1.289008537763826,0.0049813900675087595
liouville,C160_9,1.6,9.0,ANALYTIC_CONTINUATION_BENCHMARK_CONDITIONAL_REGION,0.0024802563979476563,1.3064847150787908,,0.06905709858847363,1.2532034701367638,0.07110313177522734,0.07036203401531167,1.3238343850573364,0.1321115274351604,0.07770267829836108,1.3683789367418142,0.050239619213815846,0.03864976559857347,1.3320668135965312,0.040311438344512764,0.0026464222232901206,1.3063730314905886,0.040251841065215094,0.0008856386023705307,1.304982693253246,0.0026722859748785415,0.028010084180853302,1.3174854732469212,0.028085925655045696
liouville,C175_5,1.75,5.0,ANALYTIC_CONTINUATION_BENCHMARK_CONDITIONAL_REGION,0.05095926374458285,1.3690134725314707,,0.03790095246101045,1.3396000771777392,0.060289391979350355,0.03147390174514078,1.2930478766660594,0.05049248340496967,0.018609677417498176,1.3035783451610512,0.020830824748472417,0.033207479633801024,1.3148182839626585,0.02972390450468753,0.011502015578609583,1.3314952636030422,0.04188314615222085,0.00916017185390206,1.3281869741460646,0.0033515808089465632,0.008757127462679535,1.3248991654756241,0.003740229799128494
liouville,C190_11,1.9,11.0,ANALYTIC_CONTINUATION_BENCHMARK_CONDITIONAL_REGION,0.016400699326600158,0.7503695839441953,,0.026615971563959482,0.7375466915329897,0.014486403319699383,0.03542558032027535,0.7747347325393318,0.03728379130410073,0.019412840767238503,0.7702362711072844,0.0247131241708091,0.022555892738617758,0.7733553994292285,0.003143158702641293,0.015693883255314414,0.7664089597010069,0.008827973207716505,0.012949579455677969,0.7596064633755765,0.009749297944894536,0.01046650653457409,0.761311511141056,0.00835435767115737
liouville,C225_1,2.25,1.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.041030302657255886,0.9400678267795416,,0.024591629548930193,0.9527843970858635,0.019607903741276772,0.023993760868899584,0.9701625916665368,0.01974569053118763,0.01166568116717784,0.9556075493613336,0.01518507885070174,0.00606308794034061,0.9559246695040937,0.006615089619747572,0.007922274208248531,0.9578247092223303,0.0020227263255261745,0.005572879490558879,0.9561327677829268,0.0023572429248670005,0.004304891336009985,0.9558982952607011,0.0022354922693937147
liouville,C225_7,2.25,7.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.012045067931660432,0.8151507555151855,,0.012158225020667802,0.7982362305088414,0.01738116790330373,0.010254185543236299,0.7976036075131886,0.017357146437204353,0.0027209808323123384,0.8056508924505109,0.009290225687227385,0.006199532149183377,0.8064294239738984,0.003482164284597016,0.004505340011018423,0.809370477511815,0.006912062043882832,0.0037617262063974486,0.8084940609948897,0.0011719734766621368,0.0026461681989730186,0.8071019911532062,0.0014517662569393274
liouville,C275_3,2.75,3.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.0015841218146261079,1.1290469569862576,,0.0011556517402662887,1.131005714763141,0.0020392655263435835,0.0020324081035713866,1.1301089375939952,0.0028341945787013012,0.0008019519684130752,1.1292797083780146,0.002387244328849977,0.0009784026692139015,1.1296569702275987,0.0007830683284391052,0.0004858101668476022,1.1304254107870197,0.0014314539444894856,0.0006572381933284651,1.1305590464342203,0.00017146516462950362,0.00038205512396837117,1.1303920760202786,0.0002943584852973533
liouville,C325_11,3.25,11.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.001332106154342314,0.9180699292012977,,0.0008380643737212175,0.9180978120145074,0.000497794739161275,0.0010050902528608745,0.9189859937286085,0.0008950019762108265,0.0004951552582414694,0.9187341957260661,0.0005838302826561443,0.0003785083498668862,0.9186448960214308,0.0001395173567919751,0.00019841385475550662,0.918463197499314,0.00022664585452048194,0.00016674914123071338,0.9184008424218938,7.895969726170669e-05,0.0001720999655525992,0.9184379305602461,6.701383927300055e-05
