cutoff_k,grid_id,sigma,tau,observable,method,value_re,value_im,abs_diff_vs_mpmath_100
18,R250,2.5,0.0,unsigned,mpmath_50dps,1.8457263734898925600953200192393704156000621984147,0.0,8.727316475283913268681078065168208542209e-51
18,R250,2.5,0.0,unsigned,mpmath_100dps,1.845726373489892560095320019239370415600062198414691272683524716086731318921934831791457790800149724,0.0,0.0
18,R300,3.0,0.0,unsigned,numpy_complex128,1.3615758505085989,0.0,2.432485063038537145491519695402909915104e-16
18,R300,3.0,0.0,unsigned,mpmath_50dps,1.361575850508599143248506303853714549151969540291,0.0,8.489615825691986545193465050006523584058e-51
18,R300,3.0,0.0,unsigned,mpmath_100dps,1.361575850508599143248506303853714549151969540290991510384174308013454806534949993476415941929776256,0.0,0.0
18,R400,4.0,0.0,unsigned,numpy_complex128,1.1105022798921156,0.0,2.50560254232302849603964980058434158373e-16
18,R400,4.0,0.0,unsigned,mpmath_50dps,1.1105022798921153494397457676971503960350199415658,0.0,4.162696094226299324713030552105014017746e-50
18,R400,4.0,0.0,unsigned,mpmath_100dps,1.110502279892115349439745767697150396035019941565841626960942262993247130305521050140177456115789677,0.0,0.0
18,C160_3,1.6,3.0,unsigned,numpy_complex128,0.7640821900553787,-0.1470491215197145,1.252295205734036175597849509208903544405e-15
18,C160_3,1.6,3.0,unsigned,mpmath_50dps,0.76408219005537744774748200342939251586239679216076,-0.14704912151971448966010272291845441636684160889125,1.949872656907835515124659371597901978069e-51
18,C160_3,1.6,3.0,unsigned,mpmath_100dps,0.764082190055377447747482003429392515862396792160760519252621103667446903189925277643644839552142851,-0.1470491215197144896601027229184544163668416088912481205372859155218657487402796459469881940748578822,0.0
18,C160_9,1.6,9.0,unsigned,numpy_complex128,1.198226084073107,0.08397563466526177,1.300770650265210600906495017682353966544e-15
18,C160_9,1.6,9.0,unsigned,mpmath_50dps,1.1982260840731070014167618893510634315175268087667,0.083975634665260469230121283119612100372805300089749,1.338606791145589846738257026523650898951e-51
18,C160_9,1.6,9.0,unsigned,mpmath_100dps,1.198226084073107001416761889351063431517526808766701271042275730336414727480127327858404580174504831,0.0839756346652604692301212831196121003728053000897494199043636440805724383551586336230184976542231048,0.0
18,C175_5,1.75,5.0,unsigned,numpy_complex128,0.9378831249709609,0.10278971109514376,8.790420069957700183907479045481630482365e-16
18,C175_5,1.75,5.0,unsigned,mpmath_50dps,0.93788312497096150890794745003311659318745111868973,0.10278971109514439399208322765284711400990342584239,1.81841748083918559732473051719598871846e-51
18,C175_5,1.75,5.0,unsigned,mpmath_100dps,0.9378831249709615089079474500331165931874511186897318181142103727689982443370207877281213476093952316,0.1027897110951443939920832276528471140099034258423899667907744424445613759172031766772572041876236314,0.0
18,C190_11,1.9,11.0,unsigned,numpy_complex128,1.1861954700575037,-0.11130850111029433,5.485760374177804961048674778883447212503e-16
18,C190_11,1.9,11.0,unsigned,mpmath_50dps,1.1861954700575042441642773056220787095657043039223,-0.11130850111029439943275979999745672563726792602711,1.946309545215183188938434007260730308398e-50
18,C190_11,1.9,11.0,unsigned,mpmath_100dps,1.186195470057504244164277305622078709565704303922318878199981324946104044043615682596683817081081621,-0.1113085011102943994327597999974567256372679260271052644271682639991326019770856973291489085955333452,0.0
18,C225_1,2.25,1.0,unsigned,numpy_complex128,0.8348337025761277,-0.509771855642658,3.202955280358001177040783281717070307552e-16
18,C225_1,2.25,1.0,unsigned,mpmath_50dps,0.83483370257612738427462205975768959720801935490828,-0.50977185564265794608607782563789882269466784652989,1.432044499683015651756098594599639792279e-51
18,C225_1,2.25,1.0,unsigned,mpmath_100dps,0.8348337025761273842746220597576895972080193549082793008876936439763464913851683083068883679695904214,-0.5097718556426579460860778256378988226946678465298912497973564438116318151839355660539470483981730899,0.0
18,C225_7,2.25,7.0,unsigned,numpy_complex128,1.028075627057316,0.11058014340540769,1.373379349504547119314844903151279325662e-15
18,C225_7,2.25,7.0,unsigned,mpmath_50dps,1.0280756270573146269353273143315843952369696721004,0.11058014340540766060200231085033629729714287420953,3.02688621996911952170942806791311016017e-50
18,C225_7,2.25,7.0,unsigned,mpmath_100dps,1.028075627057314626935327314331584395236969672100369811632751276842858253325028290578126073323585599,0.110580143405407660602002310850336297297142874209527793985104285662148036261176896214037225479791522,0.0
18,C275_3,2.75,3.0,unsigned,numpy_complex128,0.8672911847611035,-0.046303934047834096,5.432130557675862608098409581812972109506e-16
18,C275_3,2.75,3.0,unsigned,mpmath_50dps,0.86729118476110398401959466610599015704480424791007,-0.046303934047833849412376759057019510348102618449493,2.384422227591346330163321594656153895131e-51
18,C275_3,2.75,3.0,unsigned,mpmath_100dps,0.867291184761103984019594666105990157044804247910072383075994447799475904052981942058401864987119404,-0.04630393404783384941237675905701951034810261844949291988655469704353155370878409859440057211805947053,0.0
18,C325_11,3.25,11.0,unsigned,numpy_complex128,1.0587879425997833,-0.07321165807305809,2.86488965612574078244950491336368223831e-15
18,C325_11,3.25,11.0,unsigned,mpmath_50dps,1.0587879425997861643201636346937586322862950479784,-0.073211658073058147120416419932025959612518773372994,8.816146781305315606176642137776716933801e-51
18,C325_11,3.25,11.0,unsigned,mpmath_100dps,1.058787942599786164320163634693758632286295047978408815540263797900081394586064061198586978243077104,-0.07321165807305814712041641993202595961251877337299410341144461870069946231409730775429139504922581416,0.0
18,R160,1.6,0.0,liouville,numpy_complex128,-1.3979391288837382,0.0,4.361233098112937357844740030500735426498e-15
18,R160,1.6,0.0,liouville,mpmath_50dps,-1.3979391288837338387669018870626421552599694992646,0.0,2.649759648360802938940443085300955905182e-50
18,R160,1.6,0.0,liouville,mpmath_100dps,-1.39793912888373383876690188706264215525996949926457350240351639197061059556914699044094817663185366,0.0,0.0
18,R175,1.75,0.0,liouville,numpy_complex128,-0.5778792763890988,0.0,2.969258595625265538129647443331009314697e-15
