cutoff_k,grid_id,sigma,tau,observable,method,value_re,value_im,abs_diff_vs_mpmath_100
22,C225_1,2.25,1.0,liouville,numpy_complex128,0.8944914504234345,0.33708544317679323,2.639041522764001317756063686469611093043e-16
22,C225_1,2.25,1.0,liouville,mpmath_50dps,0.89449145042343473580883603927645606542482794709351,0.33708544317679311151120544740518764429851838215635,2.576714897764161678918250739416776667283e-51
22,C225_1,2.25,1.0,liouville,mpmath_100dps,0.8944914504234347358088360392764560654248279470935078896807881045859312314594841232634501040975616049,0.3370854431767931115112054474051876442985183821563485214830104916302893255899953181953064522831654868,0.0
22,C225_7,2.25,7.0,liouville,numpy_complex128,0.8037855814279649,-0.07309147154065761,3.494146266947946502927961786596007027965e-16
22,C225_7,2.25,7.0,liouville,mpmath_50dps,0.80378558142796458844090884220092912797703080785582,-0.073091471540657768181901825679637554565811960599317,1.232975116810183458322436899720948394988e-51
22,C225_7,2.25,7.0,liouville,mpmath_100dps,0.8037855814279645884409088422009291279770308078558187718058642584272863008961969202412468071719991973,-0.07309147154065776818190182567963755456581196059931689152510150686103160239977105705290278939547484052,0.0
22,C275_3,2.75,3.0,liouville,numpy_complex128,1.1246559024083576,0.11373366567326576,3.714417216333849537896422514554028822059e-16
22,C275_3,2.75,3.0,liouville,mpmath_50dps,1.1246559024083579458411409888501564540524431868166,0.11373366567326589550962242403047966333597569616099,3.578913082093518634341395874620404676895e-50
22,C275_3,2.75,3.0,liouville,mpmath_100dps,1.124655902408357945841140988850156454052443186816564485788648647242396513616391394045903310505225967,0.113733665673265895509622424030479663335975696160994427491051313353450741487596467047062125921340126,0.0
22,C325_11,3.25,11.0,liouville,numpy_complex128,0.916722587983697,0.0561064075864821,1.376535195514383592129137419838192748447e-16
22,C325_11,3.25,11.0,liouville,mpmath_50dps,0.91672258798369713492088618303791328372958227645263,0.056106407586482072708134609705555683442713560214753,4.354345114187491524204637389441435712825e-51
22,C325_11,3.25,11.0,liouville,mpmath_100dps,0.9167225879836971349208861830379132837295822764526343424426611395030121906483587065978410412385979751,0.05610640758648207270813460970555568344271356021475267826546942525734429287871204440123126937116023716,0.0
