row_id,d_over_a,topological_word_length,cyclic_word,source_round2_fd_status,abs_source_paraxial_trace,source_trace_condition_tier,pre_refinement_return_residual,fallback_stationarity_residual,post_refinement_return_residual,multiscale_trace_relative_span,fine_determinant_residual,parity_corrected_trace_relative_residual,half_density_relative_residual,round3_validation_status,round3_failure_tier,fallback_selector_uses_paraxial_target,fallback_selector_uses_prime_or_zero_data,evidence_status
Df1736d9dbaa31876,6.2,11,02021021021,OPEN,6.94143577353447e+11,ABS_TRACE_1E9_TO_1E12,0.00027219711423903908731914499941615,2.8574684782056874555394588707634e-101,2.7071372874644567830541497372444e-90,3.4784065956742104052531480792368e-34,2.3755278977795465856144243509234e-28,3.8492546604451214509040021062725e-16,9.3090391934314207815034905867810e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
Ddd5cca0ddec0ce2c,6.2,12,010102012012,OPEN,6.40792522928723e+12,ABS_TRACE_GT_1E12,0.00024881957496834744425189106021842,3.3932438178692538534531074090315e-101,1.4243492117936824752857971578365e-89,2.9670910528402032714479152462608e-32,1.7670114106864288852853696936746e-24,2.6036010236418330985149112790455e-16,4.6770840723821382909255523314180e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D8bb848a179a86fa1,6.2,12,010102012102,OPEN,5.08985986889871e+12,ABS_TRACE_GT_1E12,0.00029628466442742359304424908281017,1.4287342391028437277697294353817e-101,1.4409563893711741044195097727348e-89,2.1344804353709234970311967057198e-32,3.0493869732594200812979423916274e-24,9.5237224779564753270524290264570e-16,5.4450414421206788753051648448824e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D4f7b7171fd84d861,6.2,12,010120120212,OPEN,6.74536204770677e+12,ABS_TRACE_GT_1E12,0.00029235926980835176570096569009128,3.5718355977571093194243235884542e-101,2.1287453465040884173161780935143e-89,3.2405102599329416288367735406019e-32,1.6539168354647156752556947847065e-24,3.6846543690880003519877634646566e-17,3.6573073637676059769887223123316e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D4f493461783f4156,6.2,12,010121012012,OPEN,6.79949738318235e+12,ABS_TRACE_GT_1E12,0.00052266942927788531883600397995395,3.0360602580935429215106750501861e-101,2.2964365949975222239549495753726e-89,3.3373517232720696793330213684904e-32,2.1828953047532096450296193143880e-24,5.5294029598677998153882531907277e-16,1.2165445569067783866889767549999e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
Db7eb9646504c7b48,6.2,12,010121012102,OPEN,5.43913418397778e+12,ABS_TRACE_GT_1E12,0.00032597804901059705752005731723484,2.8574684782056874555394588707634e-101,6.6137221099850013003793516198379e-90,2.4348756058699622212067011183730e-32,3.9418327896575148013264776416545e-24,4.4339313663722016866076321305217e-16,4.2887432905336828905113202385998e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
Dc5e600b96e1d8c50,6.2,12,010201201202,OPEN,6.79949738318235e+12,ABS_TRACE_GT_1E12,0.00021525771947179901685061808675798,2.8574684782056874555394588707634e-101,1.9501922772906983351681898095364e-89,3.8214781898580536873936774032967e-32,9.6429327504670668942872065020210e-24,5.5294029598677998153882531907277e-16,1.2165445569067783866889767549999e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
Df235a7af34a0db98,6.2,12,010201210212,OPEN,7.06305285240268e+12,ABS_TRACE_GT_1E12,0.00012545287436369644491335235397634,2.8574684782056874555394588707634e-101,1.0911994254864870434376671523706e-89,3.5145667074129327194798674360868e-32,1.3354666359847109517521037035622e-24,4.7381904582270583748555671776598e-16,4.4648085768705253136401618856273e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D45e53245301d140c,6.2,12,010202121012,OPEN,5.17135893112395e+12,ABS_TRACE_GT_1E12,0.00026128165584240858166101040275694,3.5718355977571093194243235884542e-101,1.5062821964072621464785992711296e-89,1.9124915253017163984343426841725e-32,5.5010457962433462737373412966071e-25,3.5573668399338165398282833571119e-16,7.7624682587408560117239819771965e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D1e731e532e9e3a8d,6.2,12,010210210202,OPEN,6.40792522928723e+12,ABS_TRACE_GT_1E12,0.00031027660641783567314483615368958,2.1431013586542655916545941530725e-101,1.6134760590954507810869102534766e-89,3.4027603991089985098853123151463e-32,7.7273397188171576313615414193662e-24,2.6036010236418330985149112790455e-16,4.6770840723821382909255523314180e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D0eb5e06fbee13f3e,6.2,12,010210210212,OPEN,8.89247738304249e+12,ABS_TRACE_GT_1E12,0.00042055499942481895605424529350194,2.1431013586542655916545941530725e-101,4.5340418585154237485479792561873e-90,5.5753887427650032622884803425403e-32,3.4720867368462837809215401219322e-24,2.8475646011617113354191438830061e-18,5.0423120665508290647040250462041e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D9c0cad44e55d0525,6.2,12,010212012012,OPEN,8.89247738304249e+12,ABS_TRACE_GT_1E12,0.00062057044441529448559198321560430,2.1431013586542655916545941530725e-101,2.7315435884233990306459371085057e-89,5.6524099225651659557270618653167e-32,4.8382255545140713399045528027851e-24,2.8475646011617113354191438830060e-18,5.0423120665508290647040250462041e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D26d8aa23d6da1fc4,6.2,12,010212012102,OPEN,7.06305285240269e+12,ABS_TRACE_GT_1E12,0.00031907987932844203194404244804931,2.8574684782056874555394588707634e-101,1.5828501296479268985676248966024e-89,4.0643711694069596651792026134765e-32,1.0293590319611718070566082097683e-23,9.4199932747436386953968829547017e-16,4.4648085768705253136401618856273e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D64e2b15d9016f2e6,6.2,12,010212021012,OPEN,7.06305285240268e+12,ABS_TRACE_GT_1E12,0.00012441278982953834124325785163101,1.6073260189906991937409456148044e-101,6.7684083881432540895393776672052e-90,3.5709744351215909905385747832859e-32,1.9714216058653511789344174954305e-24,4.7381904582270583748555671776598e-16,4.4648085768705253136401618856273e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D1a6875e01b08f8be,6.2,12,010212021202,OPEN,5.43913418397778e+12,ABS_TRACE_GT_1E12,0.00023169733291705532824068188865485,2.1431013586542655916545941530725e-101,5.0358542918640341664223484430259e-90,2.4470774009501158440543714700801e-32,3.9737856802546509903419337759281e-24,4.4339313663722016866076321305217e-16,4.2887432905336828905113202385998e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
