relative_path	type	mode	uid	gid	size	mtime_ns	inode	nlink	device	sha256
inputs/preauthority/LITERATURE_NOVELTY_AUDIT.md	regular	0444	0	0	8660	1786993185721229422	13865868146	1	2304	070151a7526b74f6b7eae7e4a4cff1a0e8411d0114801c91bfb766570575bd75
inputs/preauthority/METHODOLOGY_BLUEPRINT.md	regular	0444	0	0	12564	1786996816638353669	13865868151	1	2304	744544fe4d3fae2d5d53baa4b5fef9a12aaae386efc6aea69a7db5209376cc52
inputs/preauthority/MUTATION_REGISTRY.json	regular	0444	0	0	24603	1786996763714839561	13865868142	1	2304	e212120010437f95996d3ff502d38ea527a3bd971bb7baa4f318d26d19ba1540
inputs/preauthority/MUTATION_REGISTRY_SCHEMA.json	regular	0444	0	0	7331	1786996743981326504	13865868157	1	2304	2f008287da9fdf0e0be564d7a67b96dbe0da6f4052ae2deb4e34c17fa2ff3d3f
inputs/preauthority/OBJECT_MARKER_OPERATOR_CONTRACT.md	regular	0444	0	0	8193	1786989723734592373	13865868147	1	2304	117e509bfd2adf2233e0c8a04289eb66801140791ed06deb3948ee9ccce606f9
inputs/preauthority/PROOF_PACKAGE.md	regular	0444	0	0	19263	1786990185384998705	13865868148	1	2304	964d7bd6ccc37cd95dff28b2b82a3903e25eb337afcde11310f299a75e40acd8
inputs/preauthority/README.md	regular	0444	0	0	4984	1786996816638353669	13865868143	1	2304	9d24501b83d2ad70781e87801de7afbc02e56c1f5099411ab390ae97c55a2299
inputs/preauthority/RESEARCH_QUESTION_BRIEF.md	regular	0444	0	0	4066	1786989497754467442	13865868144	1	2304	f196cabc8b967456ddf9c23e9d104025e57b1cc923e9d151290c1afbf144b767
inputs/preauthority/ROUTE_EXPECTATION.yaml	regular	0444	0	0	11522	1786996816638353669	13865868154	1	2304	d02ce9f054567aa6d0c8e099797920ea9d29bbcebc062c4874b11baaab6b9c01
inputs/preauthority/SELECTION_AND_PROVENANCE.md	regular	0444	0	0	6918	1786992782475774895	13865868153	1	2304	f38b113eddb1711fb61327cf43582328eac7a7e367cf80d9485fa4f7e1820a16
inputs/preauthority/SHA256SUMS.txt	regular	0444	0	0	1439	1786997258994752476	13865868158	1	2304	4053f398c8318d09a821907ce421cb34a2adbe88efa2ac4dbfdc059e54d1e849
inputs/preauthority/SOURCE_LOCK.md	regular	0444	0	0	9610	1786996816638353669	13865868145	1	2304	061f43593b85e1458860a0c9ea902350891674cadb41001f52789ad42c24f4cf
inputs/preauthority/THEOREM_FALSIFIERS.md	regular	0444	0	0	11516	1786997171671287142	13865868149	1	2304	ca7508f8d418c7b2f13970945f206e3a21c487290c6c2ba11db61ea0200b9deb
results/SHA256SUMS.txt	regular	0444	0	0	602	1787011200000000000	8605895031	1	2304	2fae66ff866b63e7119fce7b86c928f589570572728cae942d758f4e599ad734
results/comparator_x.json	regular	0444	0	0	383	1787011200000000000	8605895024	1	2304	6a8404c802342e9ea37fc311ecb23492f2503fa7137258a46b416aafaaee12c5
results/evaluation_report.json	regular	0444	0	0	456	1787011200000000000	8605895025	1	2304	4c5efa633213cd6f056b550c562dbf9929b3a7145aae33149b482ecd3fec0b5b
results/evaluator_a.json	regular	0444	0	0	141134	1787011200000000000	8605895026	1	2304	ba3f374f1e65e3598c7d4e769144514e911f5be268ae36afc90000df5a5154da
results/evaluator_b.json	regular	0444	0	0	1145982	1787011200000000000	8605895027	1	2304	ac8226e8d9a726ebf78e753d66b19e200ba382a5ecdc926ff79a262c7c81a675
results/integrity_audit.json	regular	0444	0	0	4396	1787011200000000000	8605895030	1	2304	fef14966637e160367f545e7c6ee9f53399c6f3de3f6a01b74614ac3bff94c9b
results/mutation_outcomes.json	regular	0444	0	0	34244	1787011200000000000	8605895028	1	2304	8042263d0ddd43b3b2c8c27737c10a053b422e1dfbf9667f292a4b5bba4f147b
results/proof_auditor_p.json	regular	0444	0	0	6225	1787011200000000000	8605895029	1	2304	1a62f35af5b7147599d23139231f17443c14970612ac115387a484b84b60ce4d
