candidate_id,sigma,cutoff,row_nuclear_lower_prefix,row_dyadic_increment,row_increment_ratio,successor_s1_prefix,successor_dyadic_increment,theorem_membership,theorem_status
SD-C23,0.6,128,4.289070931866557,0.6229890410793582,0.16993320379583418,2.4619378185602807,0.28173221168204154,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.6,256,4.878466367343604,0.589395435477047,0.9460767310704075,2.707198967219178,0.24526114865889737,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.6,512,5.431216839296544,0.5527504719529404,0.937826183715782,2.920710983539525,0.213512016320347,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.6,1024,5.9434921032987535,0.5122752640022092,0.926774901145309,3.1065839428688187,0.1858729593292936,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.6,2048,6.4175651119435475,0.47407300864479396,0.9254263126840133,3.2683957421401124,0.16181179927129374,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.6,4096,6.854065051031045,0.43649993908749707,0.9207441282837322,3.4092610929293756,0.1408653507892632,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.75,64,1.9458631506535276,1.9458631506535276,,1.166334189759626,1.166334189759626,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.75,128,2.115123256467278,0.16926010581375062,0.08698458869366214,1.2395578084815337,0.07322361872190775,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.75,256,2.2468049723300587,0.13168171586278055,0.7779843645358443,1.2913345592914822,0.05177675080994848,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.75,512,2.348273369915182,0.10146839758512316,0.7705579846093341,1.3279462214567186,0.03661166216523637,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.75,1024,2.4255089514254076,0.07723558151022569,0.7611786856635019,1.353834570839849,0.025888349383130338,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.75,2048,2.484210973701611,0.05870202227620336,0.7600385875055713,1.3721403973223643,0.01830582648251533,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.75,4096,2.528573354899042,0.04436238119743097,0.7557215148176352,1.3850845712007365,0.012944173878372212,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.0,64,0.8041725158784541,0.8041725158784541,,0.484375,0.484375,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.0,128,0.8232067160008807,0.019034200122426626,0.023669299493074857,0.4921875,0.0078125,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.0,256,0.8338121362547227,0.010605420253842035,0.5571770910061218,0.49609375,0.00390625,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.0,512,0.8396531712283617,0.00584103497363897,0.5507594073438941,0.498046875,0.001953125,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.0,1024,0.8428281431484707,0.00317497192010896,0.5435632442602804,0.4990234375,0.0009765625,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.0,2048,0.8445506992031833,0.0017225560547126095,0.5425421383422799,0.49951171875,0.00048828125,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.0,4096,0.8454788227554695,0.0009281235522862197,0.5388060085168418,0.499755859375,0.000244140625,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.5,64,0.2101394575019639,0.2101394575019639,,0.12310679534264404,0.12310679534264404,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.5,128,0.21037508979727937,0.0002356322953154799,0.0011213139032362723,0.12319834633099433,9.15509883502863e-05,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.5,256,0.21044139675836537,6.630696108600453e-05,0.28140014083056164,0.12322123440545192,2.2888074457591556e-05,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.5,512,0.21045978797292578,1.8391214560403712e-05,0.2773647632041089,0.1232269564445292,5.722039077282748e-06,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.5,1024,0.21046481871385334,5.030740927558508e-06,0.2735404402485573,0.12322838695557749,1.4305110482837335e-06,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.5,2048,0.21046619258384028,1.3738699869425552e-06,0.27309495891876795,0.1232287445834195,3.5762784200699116e-07,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,1.5,4096,0.21046656465316765,3.72069327375657e-07,0.2708184405452145,0.12322883399038499,8.94069654977514e-08,True,diagnostic_only_exact_threshold_proved_analytically
