candidate_id,graph_variant,cutoff,power,certified_cutoff,exact_infinite_trace,trace_numerator,trace_denominator,algorithm,source_oracle_free
SD-C23,full,31,5,9,True,10,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,6,11,True,29,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,7,13,True,28,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,8,15,True,82,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,9,17,True,93,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,10,19,True,192,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,11,21,True,264,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,12,23,True,553,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,13,25,True,754,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,14,27,True,1458,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,15,29,True,2173,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,16,31,True,4002,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,17,33,False,6154,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,18,35,False,11009,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,19,37,False,17423,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,20,39,False,30600,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,21,41,False,49276,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,22,43,False,84966,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,23,45,False,138851,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,24,47,False,237385,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,25,49,False,390435,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,26,51,False,662950,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,27,53,False,1097022,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,28,55,False,1854282,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,29,57,False,3079887,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,30,59,False,5189589,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,31,61,False,8641746,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,32,63,False,14531970,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,1,1,True,0,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,2,3,True,2,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,3,5,True,3,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,4,7,True,10,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,5,9,True,10,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,6,11,True,29,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,7,13,True,28,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,8,15,True,82,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,9,17,True,93,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,10,19,True,192,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,11,21,True,264,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,12,23,True,553,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,13,25,True,754,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,14,27,True,1458,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,15,29,True,2173,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,16,31,True,4002,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,17,33,True,6171,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,18,35,True,11027,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,19,37,True,17442,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,20,39,True,30620,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,21,41,True,49297,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,22,43,True,85010,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,23,45,True,138874,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,24,47,True,237433,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,25,49,True,390460,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,26,51,True,663028,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,27,53,True,1097103,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,28,55,True,1854450,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,29,57,True,3080061,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,30,59,True,5189919,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,31,61,True,8642056,1,sparse_dictionary_dynamic_program,True
SD-C23,full,63,32,63,True,14532674,1,sparse_dictionary_dynamic_program,True
