candidate_id,q,d,length,predicted_length,first_vertex,last_vertex,simple_cycle,primitive_certificate,closing_quotient,mass
SD-C23,12,13,143,143,13,155,True,True,12,9998177253402481069657753208054049761370934024725109841115554394659962266561183228086439229585762669594653722184459481838934878663096483729914923612744666151024297033894092073763837405663545925308508239253540089249820335442755584000000000000000000000000000000000000
SD-C23,12,14,154,154,14,167,True,True,12,241466435259859584891895930047332428365136695923371019645967753127494992765232021417391126898378332247907075743910903383700312383599687189346079655298133498775620690869457330531424743108775771967305283434772700980085486574432353268730508724221828818534400000000000000000000000000000000000000
SD-C23,12,15,165,165,15,179,True,True,12,12802375691739891143459815378292686631443576937883092437966134850989451434632436779881639597915640374956073295983155622633253304706151145272072911970541298841975011062719693740240100422364104272494287686558088039195476317598250515964206887331002878655120988209345930309350195200000000000000000000000000000000000000000
SD-C23,12,16,176,176,16,191,True,True,12,1413915938263425982224008220593590666934957312513759397862124529085611000577644256203184903990032304709144785240957226391843496793109026101745370264466664255134846213186201626915883963176032258225705396608058824364348291616198451834820439711914269225446973380341673096020478138179986492362696960245760000000000000000000000000000000000000000000
SD-C23,13,2,24,24,2,25,True,True,13,15511210043330985984000000
SD-C23,13,3,36,36,3,38,True,True,13,261511308733300555880003612050037145600000000
SD-C23,13,4,48,48,4,51,True,True,13,258519792214563713370707169411550535177209953336164352000000000000
SD-C23,13,5,60,60,5,64,True,True,13,5286955507745173504309724555631728366786063173939383008283412265633946009600000000000000
SD-C23,13,6,72,72,6,77,True,True,13,1209859100235715580283923200719235708197836493535069657056513122400516594576303500667210065510400000000000000000
SD-C23,13,7,84,84,7,90,True,True,13,2063494395113557635152114907806702413729958279562067731864190088479146379297313717424989071348450082841135047874969600000000000000000000
SD-C23,13,8,96,96,8,103,True,True,13,19648612532710675411799038203535264581528106789909707307550159830753723543336552149234412911484829066002681822614542081988667090161736089600000000000000000000000
SD-C23,13,9,108,108,9,116,True,True,13,841544812612077926884488118449546925406662588219102373560606698614168286561912954768217658016051120280229875619839821621530532587505859652767973506884189133209600000000000000000000000000
SD-C23,13,10,120,120,10,129,True,True,13,137084000839872339076009538977421763777713324341762685036289858968948878230258915121606359534604964831045736018696539376210841898869770592625189674896963396029112844928067192880103424000000000000000000000000000000
SD-C23,13,11,132,132,11,142,True,True,13,74277009972667625016217689264696050129354291140084769367065961191977092005590472255645936175435265028115178863804591813185276338316307673458107335093178319242806103958427089668706111684053081348808732416409600000000000000000000000000000000
