control,seed,level,endogenous_multiplier,wheel_modulus,derived_roof_log_wheel_ratio,residue_count,parent_outdegree,level_edge_count,deletion_histogram_chi_square,true_unit_count,observed_count,unit_false_positive_count,unit_false_negative_count,unit_precision,unit_recall,unit_jaccard
random_branch,20260813,0,1,1,0.0,1,not_applicable,0,0.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260813,1,2,2,0.6931471805599453,1,1,1,1.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260813,2,3,6,1.0986122886681098,2,2,2,2.0000000000000004,2,2,1,1,0.5,0.5,0.3333333333333333
random_branch,20260813,3,5,30,1.6094379124341003,8,4,8,3.0,8,8,5,5,0.375,0.375,0.23076923076923078
random_branch,20260813,4,7,210,1.9459101490553132,48,6,48,6.0,48,48,33,33,0.3125,0.3125,0.18518518518518517
random_branch,20260813,5,11,2310,2.3978952727983707,480,10,480,12.958333333333334,480,480,344,344,0.2833333333333333,0.2833333333333333,0.1650485436893204
random_branch,20260813,6,13,30030,2.5649493574615367,5760,12,5760,12.754166666666668,5760,5760,4250,4250,0.2621527777777778,0.2621527777777778,0.15084915084915085
random_branch,20260813,7,17,510510,2.833213344056216,92160,16,92160,9.1625,92160,92160,69405,69405,0.24690755208333334,0.24690755208333334,0.14084114752576363
random_branch,20260814,0,1,1,0.0,1,not_applicable,0,0.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260814,1,2,2,0.6931471805599453,1,1,1,1.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260814,2,3,6,1.0986122886681098,2,2,2,2.0000000000000004,2,2,1,1,0.5,0.5,0.3333333333333333
random_branch,20260814,3,5,30,1.6094379124341003,8,4,8,3.0,8,8,5,5,0.375,0.375,0.23076923076923078
random_branch,20260814,4,7,210,1.9459101490553132,48,6,48,6.0,48,48,31,31,0.3541666666666667,0.3541666666666667,0.21518987341772153
random_branch,20260814,5,11,2310,2.3978952727983707,480,10,480,7.916666666666667,480,480,323,323,0.32708333333333334,0.32708333333333334,0.19551681195516812
random_branch,20260814,6,13,30030,2.5649493574615367,5760,12,5760,14.920833333333336,5760,5760,4020,4020,0.3020833333333333,0.3020833333333333,0.17791411042944785
random_branch,20260814,7,17,510510,2.833213344056216,92160,16,92160,15.927083333333334,92160,92160,65962,65962,0.28426649305555557,0.28426649305555557,0.16568219476100732
random_branch,20260815,0,1,1,0.0,1,not_applicable,0,0.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260815,1,2,2,0.6931471805599453,1,1,1,1.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260815,2,3,6,1.0986122886681098,2,2,2,2.0000000000000004,2,2,1,1,0.5,0.5,0.3333333333333333
random_branch,20260815,3,5,30,1.6094379124341003,8,4,8,3.0,8,8,5,5,0.375,0.375,0.23076923076923078
random_branch,20260815,4,7,210,1.9459101490553132,48,6,48,6.0,48,48,31,31,0.3541666666666667,0.3541666666666667,0.21518987341772153
random_branch,20260815,5,11,2310,2.3978952727983707,480,10,480,23.041666666666668,480,480,324,324,0.325,0.325,0.19402985074626866
random_branch,20260815,6,13,30030,2.5649493574615367,5760,12,5760,19.200000000000003,5760,5760,4028,4028,0.30069444444444443,0.30069444444444443,0.17695136902329384
random_branch,20260815,7,17,510510,2.833213344056216,92160,16,92160,13.672222222222222,92160,92160,66080,66080,0.2829861111111111,0.2829861111111111,0.16481294236602628
random_branch,20260816,0,1,1,0.0,1,not_applicable,0,0.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260816,1,2,2,0.6931471805599453,1,1,1,1.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260816,2,3,6,1.0986122886681098,2,2,2,2.0000000000000004,2,2,0,0,1.0,1.0,1.0
random_branch,20260816,3,5,30,1.6094379124341003,8,4,8,8.000000000000002,8,8,2,2,0.75,0.75,0.6
random_branch,20260816,4,7,210,1.9459101490553132,48,6,48,7.750000000000001,48,48,17,17,0.6458333333333334,0.6458333333333334,0.47692307692307695
random_branch,20260816,5,11,2310,2.3978952727983707,480,10,480,6.541666666666667,480,480,196,196,0.5916666666666667,0.5916666666666667,0.42011834319526625
random_branch,20260816,6,13,30030,2.5649493574615367,5760,12,5760,18.495833333333337,5760,5760,2616,2616,0.5458333333333333,0.5458333333333333,0.3753581661891118
random_branch,20260816,7,17,510510,2.833213344056216,92160,16,92160,12.550694444444446,92160,92160,44823,44823,0.5136393229166667,0.5136393229166667,0.3455684281991196
