sigma,height,pair_cutoff,last_minus_atom,l1_partial_sum,trace_partial_real,trace_partial_imag,cauchy_l1_to_max,rigorous_l1_tail_bound,log_R_partial_real,log_R_partial_imag,cauchy_log_to_max,rigorous_log_tail_bound_z1
1.0,0.0,1024,17863,0.26957851532535476,0.26957851532535476,0.0,2.6538023223554585e-05,5.592528382081539e-05,-0.4047613805582924,0.0,2.6538797752717613e-05,5.592841163310962e-05
1.0,0.0,4096,84017,0.2696003233566672,0.2696003233566672,0.0,4.729991911089915e-06,1.1898104631932134e-05,-0.4047831893298079,0.0,4.730026237242946e-06,1.189824619851034e-05
1.0,0.0,16384,386093,0.2696050533485783,0.2696050533485783,0.0,0.0,2.589888557095388e-06,-0.40478791935604513,0.0,0.0,2.589895264635498e-06
0.1,3.0,16,131,4.434971750682621,-0.041752865193418975,-0.5042474704966504,4.953558093525929,18.352293190853814,0.460225994854131,1.116099859685184,0.19463106761387555,47.22712300207443
0.1,3.0,64,719,5.721863578568537,-0.35830506460373673,-0.4490086580593204,3.6666662656400133,15.531340978506952,0.6982405085042762,0.8881653432238608,0.16912338981325745,32.18423749168412
0.1,3.0,256,3671,6.911859567065027,-0.3963341969318962,-0.7965076921599923,2.4766702771435236,13.208706879433667,0.7901443645630282,1.3474675293709584,0.3340349738022259,23.588906955181386
0.1,3.0,1024,17863,7.89737010730636,-0.09719158842680231,-0.8530875295997256,1.4911597369021905,11.275173025875509,0.4495295062268778,1.3146848358901047,0.3293067402721083,18.058493533135298
0.1,3.0,4096,84017,8.696319135059966,-0.05002949141483841,-0.6014239248200062,0.6922107091485845,9.658510891162242,0.4298264999171798,1.1067825138119107,0.220684863097555,14.240795006968357
0.1,3.0,16384,386093,9.38852984420855,-0.2821138704779035,-0.5795874889959536,0.0,8.29259591021975,0.6424934097108946,1.0478368245786975,0.0,11.458078215448406
0.25,10.0,16,131,7.340500608324502,-0.4590798886568771,-0.21413423701640605,4.896821233418946,11.695411963691292,0.1290842380472787,0.15395856904236238,0.08882820050844041,16.525805196797847
0.25,10.0,64,719,9.138846434983254,-0.42284166028569825,-0.060920053853815194,3.098475406760194,7.705699401823324,0.0674385093040639,-0.014618312969053013,0.0924077194974502,9.543634627857665
0.25,10.0,256,3671,10.454156671686947,-0.53805263221186,-0.10712081109776633,1.7831651700565008,5.139731522074481,0.1672588086373527,0.027150974501843943,0.09368584464772357,5.8972521535321825
0.25,10.0,1024,17863,11.310741902557963,-0.4443853670074425,-0.17508801214684044,0.9265799391854852,3.460172220716817,0.07287056986478724,0.096716276642515,0.02541382873987567,3.787724340211559
0.25,10.0,4096,84017,11.859650249356166,-0.5065272644602511,-0.1485701750242226,0.37767159238728176,2.3499851176200686,0.1350760350469593,0.07089713759838592,0.04819733565251679,2.4966144745968495
0.25,10.0,16384,386093,12.237321841743448,-0.4590351722477354,-0.15260861194573402,0.0,1.605151153312902,0.08711561428388034,0.07567010357666298,0.0,1.672234938925094
0.5,25.0,16,131,4.681258791210648,-0.4798461661369897,0.49310953079905356,1.9581524117174753,4.272642560822838,0.5778239888106418,-0.32436319703047856,0.07220267522070788,4.671779631124476
0.5,25.0,64,719,5.7355400271323616,-0.4762862461378965,0.45556325090123756,0.9038711757957616,1.8547681962709548,0.5799900973618932,-0.291478939051509,0.04019555717018776,1.9262072695443306
0.5,25.0,256,3671,6.262764953933258,-0.4825051909939823,0.4191304525618101,0.37664624899486476,0.8251756077076421,0.585542124115774,-0.25506885053740624,0.009752360493721118,0.8390196095071812
0.5,25.0,1024,17863,6.493020987725834,-0.495013942689589,0.41737109480841705,0.14639021520228912,0.37399082186045596,0.5979914553647324,-0.25339696305942666,0.002872562859731041,0.37680871838294255
0.5,25.0,4096,84017,6.592712696339319,-0.493205277712218,0.41900160543544857,0.04669850658880392,0.1725026367464053,0.5961739015809902,-0.25504023462231107,0.0011739635211268134,0.17309972050573885
0.5,25.0,16384,386093,6.639411202928123,-0.49229705938739815,0.41826266695793474,0.0,0.08048174501895175,0.5952640056952657,-0.25429842613888815,0.0,0.0806114741178371
1.0,40.0,16,131,1.4009183570017667,-0.5373868868506436,-0.37535403331173806,0.12453369846664475,0.29206202954368693,0.5755083269031163,0.31119370309939054,0.008390445964685583,0.29420954446680225
1.0,40.0,64,719,1.4974393784212612,-0.5298683444791688,-0.37368797042349366,0.02801267704715027,0.05503782399929176,0.5680253014268736,0.30955879770755956,0.0007316524783386641,0.05511363367422191
1.0,40.0,256,3671,1.5199718815298262,-0.5291614184914498,-0.37333095965216534,0.005480173938585242,0.010893683105767795,0.5673187589209606,0.3092022070518351,0.00023490080207563322,0.010896649795066752
1.0,40.0,1024,17863,1.5243902308461135,-0.5291364446120159,-0.3735428705107122,0.00106182462229798,0.0022377103096854266,0.5672937949115135,0.30941410752034004,2.4701204302962548e-05,0.0022378354612687425
1.0,40.0,4096,84017,1.52526279706776,-0.529146861059714,-0.3735608491001605,0.00018925840065153743,0.000476072888353958,0.5673042116270635,0.30943208530250127,4.56271810204678e-06,0.00047607855278639213
1.0,40.0,16384,386093,1.5254520554684114,-0.5291465684640378,-0.373565402409336,0.0,0.00010362791083398324,0.5673039190669577,0.30943663863151016,0.0,0.0001036281792194188
