atom_count,free_rank,radius,group_ball_dimension,operator_dimension,height,alpha,singular_min,singular_q10,singular_median,singular_q90,singular_max,root_singular_q10_q50_q90,empirical_tau_gram,root_tau_gram,ordinary_eigen_max_distance_from_loop_values,z_probe,finite_section_logabsdet_per_group_dim,euler_loop_logabs,finite_logabsdet_error_vs_euler,rooted_regularized_fk_log_proxy,rooted_fk_minus_euler,fk_epsilon,warning
2,2,2,17,34,0.0,0.5,0.17582081569745592,0.27787439671838904,0.7071067811865475,1.165891439863424,1.2386133567360746,"[0.17582081569745722, 0.9030709181700706, 1.2386133567360742]",1.221528607277112,1.6582482904638631,0.0,"[0.25, 0.0]",-0.3504071199085964,-0.3504071199085965,1.1102230246251565e-16,-0.35040063192693655,6.487981659974995e-06,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,0.0,0.5,0.17582081569745592,0.27787439671838904,0.7071067811865475,1.165891439863424,1.2386133567360746,"[0.17582081569745722, 0.9030709181700706, 1.2386133567360742]",1.221528607277112,1.6582482904638631,0.0,"[1.0, 0.0]",-2.0891586798160056,-2.0891586798160064,8.881784197001252e-16,-1.1495216296974018,0.9396370501186047,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,0.0,1.0,0.17666936519681825,0.2780719917702505,0.7071067811865474,1.1729330355992003,1.2429666758046,"[0.1766693651968189, 0.8916712795767684, 1.2429666758045999]",1.2254901960784315,1.666666666666667,0.0,"[0.25, 0.0]",-0.3504071199085964,-0.3504071199085965,1.1102230246251565e-16,-0.35040070253738675,6.417371209765932e-06,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,0.0,1.0,0.17666936519681825,0.2780719917702505,0.7071067811865474,1.1729330355992003,1.2429666758046,"[0.1766693651968189, 0.8916712795767684, 1.2429666758045999]",1.2254901960784315,1.666666666666667,0.0,"[1.0, 0.0]",-2.089158679816006,-2.0891586798160064,4.440892098500626e-16,-1.1614089219411674,0.927749757874839,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,3.0,0.0,0.17666936519681833,0.2780719917702504,0.7071067811865477,1.1729330355992003,1.2429666758046005,"[0.1766693651968184, 0.8916712795767686, 1.2429666758046]",1.2254901960784312,1.666666666666667,0.0,"[0.25, 0.0]",0.22610293309385435,0.22610293309385418,1.6653345369377348e-16,0.22610407495282187,1.1418589676848168e-06,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,3.0,0.0,0.17666936519681833,0.2780719917702504,0.7071067811865477,1.1729330355992003,1.2429666758046005,"[0.1766693651968184, 0.8916712795767686, 1.2429666758046]",1.2254901960784312,1.666666666666667,0.0,"[1.0, 0.0]",0.8446409563684423,0.8446409563684425,-2.220446049250313e-16,0.8453468338338852,0.0007058774654427058,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,3.0,0.5,0.23629246868078174,0.32472145391247126,0.7071067811865475,1.0681146261306715,1.1311460269292246,"[0.23629246868078174, 0.8429216717025787, 1.1311460269292246]",1.0960818141826811,1.391673855138197,0.0,"[0.25, 0.0]",0.22610293309385435,0.22610293309385418,1.6653345369377348e-16,0.2261032913993588,3.5830550462745414e-07,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,3.0,0.5,0.23629246868078174,0.32472145391247126,0.7071067811865475,1.0681146261306715,1.1311460269292246,"[0.23629246868078174, 0.8429216717025787, 1.1311460269292246]",1.0960818141826811,1.391673855138197,0.0,"[1.0, 0.0]",0.8446409563684423,0.8446409563684425,-2.220446049250313e-16,0.8448655143493584,0.00022455798091591817,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,3.0,1.0,0.17666936519681833,0.27807199177025044,0.7071067811865475,1.1729330355992,1.2429666758045996,"[0.1766693651968185, 0.8916712795767686, 1.2429666758046]",1.2254901960784317,1.666666666666667,0.0,"[0.25, 0.0]",0.22610293309385435,0.22610293309385418,1.6653345369377348e-16,0.2261040749520314,1.1418581772060232e-06,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,2,17,34,3.0,1.0,0.17666936519681833,0.27807199177025044,0.7071067811865475,1.1729330355992,1.2429666758045996,"[0.1766693651968185, 0.8916712795767686, 1.2429666758046]",1.2254901960784317,1.666666666666667,0.0,"[1.0, 0.0]",0.8446409563684423,0.8446409563684425,-2.220446049250313e-16,0.8453467873995293,0.0007058310310867899,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
