parameter,period,canonical_word,sign_word,contraction_iterations,contraction_delta,contraction_error_bound,recurrence_residual,monodromy_trace,monodromy_determinant,unstable_multiplier,unstable_modulus,orientation,instability_length,action,coordinates
6.0,7,--|--|+-|-+|--|+-|-+,--+--+-,104,4.4758060494617738918523263273788655487692057848799709608161211385342672601101509e-66,8.6920880803283807787882759617666803205273884604519007596875074595102360163684593e-66,7.1404181205456948139944426291348983225423257837161992274074746691581128353386151e-66,137464.15595445384916369267408972615096074464832912795355716747528313544414805511,1.0,137464.15594717922551282436151418035221325095917344875989900155685217970419574983,137464.15594717922551282436151418035221325095917344875989900155685217970419574983,1,11.83111847808426285353601345607435803345708016396203731358420734831885128470222,0.59417548662670061149658377905328397702589772536409108874693677138674953519694574,-0.55058659672007360425024848224777343412435845142939468318980101208452368213640983;-0.40943680146337889735709065058363842927654289745229329040102608748471003379541412;0.54475563036469951634439385944885010071794105649853811947966647841470648887144904;-0.37111537942086788088357065921364786639349697739348561452573498003315957409173937;-0.37111537942086788088357065921364786639349697739348561452573498003315957409173937;0.54475563036469951634439385944885010071794105649853811947966647841470648887144904;-0.40943680146337889735709065058363842927654289745229329040102608748471003379541412
6.0,7,--|+-|-+|--|+-|++|-+,-+--++-,112,5.1256464084417378555319810743528445052763135327522822886873635844418249459657346e-66,9.9540886174350551058106840282386267538612389062376380234023063044395474710442741e-66,8.3524370691833538602109700943308755417150410036383293323929909085018117832410269e-66,-76493.086937222693394210348165449423588929713201316944093694784928850202406745379,1.0,-76493.086924149616594582717925605380224208250316320109926691919132950083544314657,76493.086924149616594582717925605380224208250316320109926691919132950083544314657,-1,11.244955648726703270497066406975369200004042395993087866714435281721415816407724,0.04879800051339273740929862104237852569123567212873188856641946275170264230887346,-0.37884901637723368577956820593263848781987318623407942482733782908794498889803509;0.54124825369302076107231791844104551519987008092767494756084671439477206967924639;-0.37884901637723368577956820593263848781987318623407942482733782908794498889803509;-0.40240771695300562584186073323165895397136985172608021359304037113035562230886737;0.4072571923972519375681648104171724200279344296018149205274792067229789983320501;0.4072571923972519375681648104171724200279344296018149205274792067229789983320501;-0.40240771695300562584186073323165895397136985172608021359304037113035562230886737
6.0,8,--|--|--|--|--|--|+-|-+,------+-,108,9.2012585080874016083640652970343163735351564319030952632866732745393281389999713e-66,1.7868993544030837172819795314180789199024696092351412092170193418021633430777031e-65,1.8402517016174805325167719240173277616785123117809992068565623022780166293552548e-65,-2793060.3782520404180967290797956679696883849127090878120286759367074996518364366,1.0,-2793060.3782516823878844978817985400828497442702223051052869411898838684543837948,2793060.3782516823878844978817985400828497442702223051052869411898838684543837948,-1,14.842648462399233670107607410813201740063264102649802073187234583470945160278567,2.6515022453693334083427774581593902786774633432714220343641751548216224029855419,-0.57988077618237248255551181209265249623628383608013517478990121173639003471525553;-0.60365785032910703506672775857581701773499050844170178122275867051534889854271831;-0.60653602540137906059342265441618290614722214457473622950581783732469380138086286;-0.60365785032910703506672775857581701773499050844170178122275867051534889854271831;-0.57988077618237248255551181209265249623628383608013517478990121173639003471525553;-0.41391243718611758159687040786638790452642573089922085548899025913948127085498189;0.55193974223826208713998950189791915490957781527116550225784208313422571763401088;-0.41391243718611758159687040786638790452642573089922085548899025913948127085498189
6.0,8,--|--|--|--|--|+-|++|-+,-----++-,108,7.3271464317031982511823669604866523991457339959658187806774262537152427785717024e-66,1.4229437437193386072095088924889331044701728610041727386509792165610916841121791e-65,1.3398932653435583445183177039869752593681910130091795039934920635920692988395521e-65,1652592.5303543045644770345695875182759745598567406833635576015336264558317680807,0.99999999999999999999999999999999999999999999999999999999999999999999985510913474,1652592.5303536994546380193992963006129283142395781076307542376061096038688770408,1652592.5303536994546380193992963006129283142395781076307542376061096038688770408,1,14.317855843302965586226107529227009691670740110836186336610218889945748523946413,2.0842909920732265671990791675707076105230559033696978330386798025218308904760402,-0.58386986764489265709198348626729035647014984659411788272010458839815023024279982;-0.6038357403581166688941883654928076335594701054847724843783343181430107267471773;-0.6038357403581166688941883654928076335594701054847724843783343181430107267471773;-0.58386986764489265709198348626729035647014984659411788272010458839815023024279982;-0.44158839370387014670800692825109372139103411189641732029000069837687461005027957;0.41386801092110731653382814955558185491972289889628232220709728548283369906189347;0.41386801092110731653382814955558185491972289889628232220709728548283369906189347;-0.44158839370387014670800692825109372139103411189641732029000069837687461005027957
6.0,8,--|--|--|+-|-+|--|+-|-+,---+--+-,108,2.7210387112016058266014440778478455708356083000755068854396190546437985231746028e-66,5.2843013942911414285002442604018958897809351705852427713653701901990482986513351e-66,4.7335297639887719518829844494449090576807084240780510813221261521454271189355939e-66,1000641.4990955805911947918531161460167067429547064284133904521047544713448187019,1.0,1000641.4990945812322826291671644263335305664159541390604431023020245703308238762,1000641.4990945812322826291671644263335305664159541390604431023020245703308238762,1,13.816151851386265648293443895680360568582323094704541997452471711972517950785866,1.1177063116252334653328881711091416386179976684968033111080163633503406585935424,-0.57596046730203794283584042189824808206023549592936803518151871024998571267208661;-0.57596046730203794283584042189824808206023549592936803518151871024998571267208661;-0.41442229206665356700092053638469425848145347906139281792612414060460594874503047;0.54548545033136567073121957635359820382761984981149118283105852013209416874985137;-0.37090396707262325781835238592283442676216487710089497185898772585849577333703373;-0.37090396707262325781835238592283442676216487710089497185898772585849577333703373;0.54548545033136567073121957635359820382761984981149118283105852013209416874985137;-0.41442229206665356700092053638469425848145347906139281792612414060460594874503047
6.0,8,--|--|+-|-+|--|+-|++|-+,--+--++-,93,3.3263488201212894138832862025848497798575943806184116080971796473601342801233185e-66,6.459823462159956311350304112085556147213791025651460113670048569156027088739742e-66,2.7114970142660353641822936492322709311829148064818940249943303151219021796725736e-66,-595714.31416717319387966193447331014954337224376690397361499595738391873011781326,1.0,-595714.31416549453688549376775344760778783863476320980500543098832465119956910038,595714.31416549453688549376775344760778783863476320980500543098832465119956910038,-1,13.297516492479492702647086915558883861874751549918226251527381276785609277136737,0.54844862590949291028811916226275210280325547727454407310074590009731816294693052,-0.55467588948902724199163051218518744860923972098370398920632835899780447650929198;-0.41004043312456140138290238810195486948058660882898292709308761853145067511278187;0.54587694870715977640095212772963687289151291738448205716661046603497608393167495;-0.37784942565447347149891736940463693333554591603319478220995334635570453776602913;-0.40249807951165262757440307092935800147751969061615502691479200257577284656237432;0.40582120159106162736019091413268399140566230822929763672613287101362064763966275;0.41435299354677414571435435055193060489588212331615745831133673383540466096345966;-0.43595162115809996841509289122781979227113128629440526191057345466210018124872993
6.0,8,--|--|+-|++|-+|--|+-|-+,--++--+-,93,3.3263488201212894138832862025848497798575943806184116080971796473601342801233185e-66,6.459823462159956311350304112085556147213791025651460113670048569156027088739742e-66,2.7114970142660353641822936492322709311829148064818940249943303151219021796725736e-66,-595714.31416717319387966193447331014954337224376690397361499595738391873011781326,1.0,-595714.31416549453688549376775344760778783863476320980500543098832465119956910038,595714.31416549453688549376775344760778783863476320980500543098832465119956910038,-1,13.297516492479492702647086915558883861874751549918226251527381276785609277136737,0.54844862590949291028811916226275210280325547727454407310074590009731816294693052,-0.55467588948902724199163051218518744860923972098370398920632835899780447650929198;-0.43595162115809996841509289122781979227113128629440526191057345466210018124872993;0.41435299354677414571435435055193060489588212331615745831133673383540466096345966;0.40582120159106162736019091413268399140566230822929763672613287101362064763966275;-0.40249807951165262757440307092935800147751969061615502691479200257577284656237432;-0.37784942565447347149891736940463693333554591603319478220995334635570453776602913;0.54587694870715977640095212772963687289151291738448205716661046603497608393167495;-0.41004043312456140138290238810195486948058660882898292709308761853145067511278187
