kappa,cutoff,root_index,real,imag,high_precision_real,high_precision_imag,high_precision_residual
1,7,26,-0.24155381122797126,3.8412821393663874,-0.24155381122797103457731246249491012252295331652949797764457248295121035518125576,3.8412821393663732993160491391736402882789018703506451211706379083187457995021954,1.3909118841040304375e-78
1,7,27,-0.13054788459585112,4.846953703331718,-0.13054788459585102729079266332626435374589352525787767697264334424202466239789638,4.8469537033317225482653280667915566054425619563584466099127267567618904044482781,4.5732365741991158565e-79
1,7,28,0.2036341079664011,5.944321516849682,0.20363410796640101157937389068221056609070979822066993688907436546406982681394566,5.9443215168496817687947699248414567037057888163065795974172040751756207170158317,2.2738106770715491588e-80
1,7,29,0.09468423270228853,6.745163697527169,0.094684232702291011976006846015375882638151842218244066425769956724805667905780373,6.7451636975271696083677837679694925675129050026625359173610372223251772162905215,2.5930378356654110702e-80
1,7,30,-0.2076507383605481,8.153897824571422,-0.20765073836054557335905015239772376831004207742745359463840887943599423631659828,8.1538978245714314752811967166960451182519034995574719261665731771462456561315308,1.3012676955022483101e-78
1,7,31,-0.14375613176601376,8.814584116007708,-0.14375613176599843842916771639775373007764563815293821680062056512472209758758017,8.8145841160077077431627841304694096987437258288058069860747835378792824707204763,3.2254302117841515396e-79
1,7,32,0.20963186751520946,9.620229779400042,0.20963186751520960079525652263335270891189972258063258154645268974349193222134016,9.6202297794000408798817344867483713925387115306369479605702406028626067338617591,1.3858981275383930675e-79
1,7,33,-0.16648795500010521,10.028775445910735,-0.16648795500010874819866702060918882135424607493527198504187351419342539112936192,10.028775445910730359569042136475161236999132120532131214688480646046086029054752,1.2031710336833435348e-78
1,7,34,0.042254147805245765,10.976881930513228,0.042254147805249128048798786564044922927927186087997898339599722607177357568837531,10.976881930513232307025348266910723431513354326725577655192293872239278977394546,1.2801718736151593909e-79
1,7,35,0.09703341392421708,12.132314020165094,0.097033413924219715223749241486626697792646704883217482821564521740396986369147709,12.132314020165095867777434086463041935552258618399094580235458357660421495196526,9.6551800580519548204e-80
1,7,36,0.08094688913999541,12.833453034373713,0.080946889139990458380629916901590377920858221641150964771978778326695177083089197,12.833453034373711600845273627827371180702794170032878964717112263850204807425942,8.408559447657646934e-80
1,7,37,-0.03568308374039033,13.748798261458813,-0.035683083740387157272529074950295419047227613393729509659351654117674724360717623,13.748798261458818255971300385017721494597101311948502255163512157632793157607057,2.2704000666133133069e-79
1,7,38,0.1640602844402588,14.885367849648922,0.1640602844402583360172219152038622804375612195825385497042529562686944098703639,14.885367849648922335122679135757521280356030433095025613608345422481091866144594,3.6637929814008631757e-81
1,7,39,0.23936159853370206,15.841368991062247,0.23936159853370251258360633471401527996114091081108411975094160085215276255953838,15.841368991062247950816440118696268956492197720791468882864267623693090368358901,5.7689342761657399267e-81
1,7,40,-0.006015183588985845,16.30944381241993,-0.0060151835889869073004233352724027174443863173044749450171904617740698974471399947,16.309443812419931356804100953569700375386555406936031175037135175260859391033568,1.3344315655668643913e-79
1,7,41,-0.010679732101019055,17.657110111874292,-0.010679732101019885747164046153357884448637219920377005362127007474178326003830694,17.657110111874295405167399505450016687454906933918294731021993225493116000070293,4.1970660096869144972e-80
1,7,42,0.22210070684185745,18.697551213633528,0.22210070684185692608456974029167965646122801003186749823656791723209751939649774,18.697551213633528248209176920984187074671097529286995777441924847087375871821964,1.2474316891507934985e-78
1,7,43,0.12141140650861193,19.31532201084542,0.12141140650861162659410256791612981160574735104933899571511041273505116783553455,19.315322010845423457649030627504790521235953900273703826369112303217192425666872,1.558543726021718403e-80
1,7,44,0.02560081366229177,19.95374039132368,0.025600813662296319020364963971396888578491415440438883980268649893078405020191187,19.953740391323684818519450532465090279479185915979890267545846892835252297991761,3.0188260752962926668e-80
1,8,0,0.03259146504283084,-19.953753236812595,0.032591465042832332780439007479004825182914680996426377304181985463772358525100164,-19.953753236812599576951757842723517507088236422304807375382304639031429690340021,6.0203704087697996653e-80
1,8,1,0.11917964097827782,-19.315848935299037,0.11917964097827729175090176960619735576678364110901428959729771178612046863965243,-19.315848935299036886221431372437130215488988360263882634929001294449775972214168,2.2534892103800211064e-79
1,8,2,0.22240989361953245,-18.69723097259325,0.22240989361953222104870599845153569202961260928288908220082121256245481515455378,-18.697230972593248786725691420331776277982069970072157574873249921570828039399388,1.5198925411609543402e-79
1,8,3,-0.008696819613393686,-17.65584726058634,-0.0086968196134026723592182273561886226695781694450987899773323038145512855737315833,-17.655847260586340535809421385026537078915367968652726760165856675895338500735765,7.9010239513172215875e-80
1,8,4,-0.009377944980573689,-16.30759263819567,-0.0093779449805727428612700781090146560142700941477985123644298233783791564255708374,-16.307592638195672585986081077609304441920388203624927203722687245962452023443588,3.1772453608090326457e-79
1,8,5,0.23935920339064534,-15.841089128741844,0.23935920339064575034014659910969765411924966798760179356560489907361249624292433,-15.841089128741844501278558709812489661399126995171940865571453569632207113529783,1.0138158401119527796e-79
1,8,6,0.1640352313356205,-14.885059987990331,0.16403523133561949100357643036588673740341552888114296117583440983059222626229701,-14.885059987990330391154513339212807896002333111464145643431835677883623753626663,6.5036691560849824608e-80
1,8,7,-0.03241013981735934,-13.747389974428721,-0.032410139817353834909428021808346737795767119786905078944557997965255963155381765,-13.747389974428718200197127545470195278986076999326603061903832738447103025799735,1.5322496301659247233e-80
1,8,8,0.08283840235978718,-12.833349758065767,0.082838402359783168212815289172926629657037921436083486382677305333144503306042358,-12.833349758065766104415710691846042839257163885982572580770449335881977963647356,2.1952719225023886819e-80
1,8,9,0.09640975019700689,-12.131777982171828,0.096409750197009756399084197621022229734062386170596352349312729483663337618871642,-12.131777982171830035772309104642381530374080086303772988413458424891538659200902,1.6371769509347611713e-79
