p,cycle_length,simulated_length,harmonic_lower_bound,length_over_log_p,optimal_max_weight_sigma_1,optimal_max_weight_sigma_2,source_roof_over_log_p
139,287,287,282.7629509379509,58.1622284136603,0.9829536721733061,0.9661979216389873,522.2758790488989
149,320,320,315.37839105339106,63.94952712018326,0.9844842960673251,0.9692093292031766,583.1119379849094
151,325,325,319.58481240981246,64.77613578881359,0.9846807676331109,0.9695962141465325,592.4398931599552
157,339,339,332.20407647907643,67.045791096908,0.9851955009653574,0.9706101751223815,618.4268486335816
163,351,351,344.8233405483405,68.90797274361975,0.9855926842817165,0.9713929393096392,640.4060598599185
167,357,357,353.23618326118327,69.75389441344828,0.9857661556904586,0.9717349137047453,651.0512225774185
173,385,385,379.1631396381397,74.70953136264758,0.9867040101012977,0.9735848035499817,703.0722655225346
179,396,396,392.2439421689421,76.3390298739921,0.9869859653970212,0.9741412958906899,722.9975375735739
181,404,404,396.60420967920965,77.71476978253204,0.9872148662796738,0.9745931922035943,738.3434019594656
191,424,424,418.40554723054726,80.72694725599798,0.987688971144358,0.9755295037202005,774.9311739059006
193,430,430,422.76581474081473,81.70726084285779,0.9878357752895439,0.9758195189418943,786.2645888788803
197,452,452,445.5577783327784,85.55414918818025,0.9883795413626781,0.976894117784298,826.8217099159112
199,457,457,450.06090298590294,86.3354775763903,0.9884840976007149,0.9771008112094997,836.1306786980336
211,486,486,477.0796509046509,90.80958199546666,0.9890483569395476,0.9782166523648189,889.9940645747535
223,510,510,504.0983988233988,94.31917859385533,0.9894537086596074,0.9790186415802512,933.8560757565257
227,535,535,528.2379814629815,98.6184201284826,0.9899111439270684,0.9799240728709971,980.2731080102556
229,540,540,532.8744394494395,99.37939402251013,0.9899880088944037,0.980076257754706,989.5716836297772
233,549,549,542.1473554223554,100.71475456954103,0.9901200983053823,0.9803378090682597,1006.1699234761363
239,561,561,556.0567293817294,102.43837006860736,0.9902855262168202,0.9806654234345245,1028.0699079325605
241,570,570,560.6931873681874,103.92362869799784,0.9904236968823872,0.9809390993461747,1045.401860461436
251,589,589,583.8754773004773,106.59759597781495,0.9906627904066474,0.9814127642962849,1079.9091667420837
257,622,622,613.8473512598512,112.09073194961334,0.9911183329243992,0.9823155498588402,1141.5222801799043
263,634,634,628.1317252192252,113.78005639090594,0.99124962287603,0.9825758148518718,1163.3887297954498
269,648,648,642.4160991785992,115.82366918204035,0.9914033504798858,0.9828806033427434,1189.2745688041584
271,655,655,647.1775571650572,116.92004774314039,0.9914836184341522,0.9830397656232795,1202.5867299590964
277,670,670,661.4619311244311,119.13191935531681,0.9916410757405781,0.9833520230959311,1230.4886642270362
281,680,680,670.984847097347,120.60255870359288,0.9917425832695499,0.9835533514701602,1249.0945637233922
283,683,683,675.746305083805,120.98245052754405,0.9917684050190047,0.9836045691939403,1254.38459949157
293,724,724,716.788889133742,127.46091533392423,0.9921851536612822,0.9844313791458622,1330.4243122414405
307,759,759,750.9426244507126,132.53364389157676,0.992483140021071,0.9850227832260846,1395.4709081597878
311,768,768,760.7008345412755,133.80273674515072,0.9925541698782814,0.9851637801427643,1412.056472793338
313,775,775,765.5799395865573,134.87166643808652,0.9926129635389866,0.9852804953856497,1425.3604732686251
317,783,783,775.3381496771202,135.96342336515173,0.9926720619783793,0.9853978226324074,1439.9437107514236
331,838,838,827.88077388298,144.43000741871987,0.9931001451201844,0.9862478982377313,1542.4230296846831
337,853,853,842.8514223521578,146.56148549903176,0.9932001493777555,0.9864465367239957,1570.281356061192
347,875,875,867.8025031341209,149.58991557448607,0.9933373519163041,0.9867190947120954,1610.714275511951
349,880,880,872.7927192905134,150.2970436047149,0.9933685946404154,0.9867811648178739,1620.0027790915772
353,893,893,882.7731516032985,152.22106237237688,0.9934521381671567,0.9869471508288954,1644.6024235239452
359,903,903,897.7438000724766,153.48470479314088,0.993505871408404,0.9870539165229723,1662.4580822531284
367,946,946,937.0204541717314,160.1934012412203,0.9937769892538239,0.9875927043703947,1742.91539679822
373,961,961,952.3068921145933,162.28781110320995,0.9938570533083707,0.9877518424107975,1770.7549420475714
379,978,978,967.5933300574553,164.71478509265327,0.9939472914774286,0.9879312182353163,1802.6198061178525
383,985,985,977.7842886860301,165.60090883656449,0.9939795815843261,0.9879954086065519,1815.1759594540777
389,1000,1000,993.0707266288921,167.68453010859793,0.9940541674999138,0.9881436879239467,1843.0282749214655
397,1024,1024,1013.4526438860419,171.1248168375223,0.9941733533587802,0.9883806565286422,1888.1951871293857
401,1055,1055,1043.6936025146165,176.01047534169268,0.994334629059505,0.9887013545469033,1945.9651934650979
409,1076,1076,1064.4755197717657,178.9243374653014,0.9944266345449325,0.9888843314923609,1985.069418875142
419,1098,1098,1090.4529163432028,181.8521817644554,0.9945161199753679,0.9890623128908603,2025.4517748503672
421,1109,1109,1095.6483956574903,183.5292711842919,0.994566095239925,0.9891617178007914,2046.7546272510833
431,1129,1129,1121.625792228927,186.11603737194386,0.9946414165964426,0.9893115476089779,2083.13530616034
433,1138,1138,1126.8212715432146,187.4566240525839,0.9946796361134469,0.9893875784987792,2100.4335786244237
439,1150,1150,1142.4077094860763,189.00486661708422,0.9947231029406363,0.9894740515238477,2122.2730313560323
443,1185,1185,1173.893906209889,194.46729006455973,0.9948709457788433,0.9897681987548902,2187.9231209913855
449,1199,1199,1189.7660584384653,196.33134213506546,0.9949195192557704,0.9898648497961333,2213.7310718606277
457,1222,1222,1210.9289280765677,199.52051755308574,0.9950005233257428,0.990026041418502,2256.832235693185
461,1231,1231,1221.510362895618,200.70440420960506,0.9950299401231355,0.9900845817414506,2273.382125645729
463,1238,1238,1226.8010803051438,201.70333237216747,0.995054493192358,0.9901334444223002,2286.666706044488
467,1246,1246,1237.3825151241945,202.72262480005298,0.9950792979953476,0.9901828092989137,2301.2114302575646
479,1276,1276,1269.1268195813475,206.75014606756747,0.9951749223140983,0.9903731260028715,2356.876217069735
487,1324,1324,1312.426052855813,213.95337588474965,0.9953369902447765,0.9906957241495303,2446.960080623759
491,1333,1333,1323.189305856682,215.12337923305867,0.9953622923125158,0.9907460929576262,2463.490356038066
499,1355,1355,1344.7158118584202,218.10492716198678,0.9954255456856366,0.9908720170035474,2504.5736321959716
503,1362,1362,1355.4790648592889,218.9502865092561,0.995443167190351,0.9909070991059571,2517.1070051720167
509,1381,1381,1371.6239443605934,221.58227334310652,0.9954971718745945,0.9910146192103161,2552.937949000872
521,1415,1415,1403.9137033632005,226.19190193913224,0.9955887335795707,0.9911969264305733,2616.5881243304434
523,1420,1420,1409.2953298636348,226.8522277650594,0.9956015456981673,0.9912224377965799,2625.862615523851
541,1495,1495,1481.2517074979803,237.5497219810243,0.9957992031327604,0.9916160529598407,2766.1500657434376
547,1510,1510,1497.6574565645017,239.5134051084534,0.9958335720876377,0.9916845032968241,2793.951998909551
557,1534,1534,1525.00037167537,242.62304014084677,0.995886862114391,0.991790642132048,2838.2891936353203
563,1553,1553,1541.4061207418913,245.21260566165327,0.9959302103600847,0.9918769839078825,2874.112348277146
569,1567,1567,1557.8118698084122,247.00969954768777,0.9959597598042527,0.9919358431493446,2899.9170638715473
571,1574,1574,1563.2804528305853,247.97597059363264,0.9959754714101646,0.9919671396506996,2913.194709758861
577,1619,1619,1603.7278685637739,254.6461412747817,0.9960806825750861,0.9921767261992495,2997.763947103456
587,1641,1641,1631.4874503413084,257.41076252692136,0.9961226947841325,0.9922604230640021,3038.060156022664
593,1658,1658,1648.1431994078296,259.6631983922453,0.9961562635583536,0.9923273014265401,3069.855735912351
599,1674,1674,1664.7989484743512,261.7562978961319,0.9961869408129062,0.9923884210461766,3099.6561888425763
601,1685,1685,1670.3508648298575,263.3390638475223,0.9962098152335064,0.9924339959675769,3120.938684374296
607,1697,1697,1687.0066138963784,264.8033667832584,0.9962307345513882,0.9924756764647985,3142.721012127567
613,1717,1717,1703.6623629628996,267.51361400262147,0.9962688505901875,0.9925516226562935,3180.5368925788107
617,1728,1728,1714.7661956739137,268.9548990914101,0.996288808058448,0.992591389062523,3201.07453626633
619,1731,1731,1720.3181120294207,269.28619345356105,0.9962933653492655,0.9926004698389651,3206.334916991638
631,1795,1795,1778.8696101624625,278.4108646727827,0.9964146289962279,0.9928421128776905,3326.571117373111
641,1820,1820,1807.0291919399979,281.6016872785761,0.996455182666071,0.9929229310620731,3372.864546509196
643,1823,1823,1812.6611082955048,281.9299718372663,0.99645930300198,0.9929311425391919,3378.1183240213472
647,1834,1834,1823.924941006519,283.35937487742603,0.9964771325083424,0.9929666756120485,3398.648805253375
653,1854,1854,1840.8206900730402,286.04149314612425,0.9965101075858172,0.9930323945206968,3436.4478278647443
659,1867,1867,1857.7164391395613,287.6412760573848,0.9965294837024725,0.9930710118883164,3460.227891905506
661,1878,1878,1863.3483554950676,289.20098394781354,0.9965481684192891,0.9931082519798398,3481.5072425532985
673,1912,1912,1897.1398536281104,293.62327658847744,0.9966000683568358,0.9932116962488498,3545.10518837281
677,1948,1948,1934.4421478775853,298.87975604046994,0.9966597639001885,0.9933306849775796,3612.1483293756914
683,1963,1963,1951.5686661748757,300.7740053792205,0.9966807654742581,0.9933725482663531,3639.915551633785
691,1988,1988,1974.4040239045964,304.06201971593725,0.9967165994595732,0.9934439796382554,3686.9527063895052
701,2015,2015,2002.9482210667466,307.5158450380608,0.9967534166299495,0.9935173735634778,3737.2507144146075
709,2039,2039,2025.7835787964673,310.6405970938946,0.9967860216662522,0.9935823729892341,3782.2969013186057
719,2062,2062,2054.3277759586176,313.4757465782764,0.99681504331395,0.993640230576992,3824.595426801142
727,2089,2089,2077.1631336883383,317.04709517141106,0.9968508634231575,0.9937116439074946,3875.6622473865573
733,2135,2135,2121.4378001337764,323.6248063142569,0.9969147711434815,0.9938390609240602,3961.844079842386
739,2152,2152,2138.786540653289,325.7990821542046,0.9969353293625205,0.9938800509311573,3993.611321309038
743,2163,2163,2150.352367666297,327.19701304801833,0.9969484029973542,0.993906118238975,4014.12264857226
751,2187,2187,2173.484021692313,330.29240542260385,0.9969769582950249,0.9939630553711998,4059.1514713538304
757,2207,2207,2190.832762211827,332.9128176609766,0.997000717440176,0.9940104305762257,4096.934973752813
761,2218,2218,2202.3985892248347,334.3063407372449,0.9970132009648573,0.9940353228981911,4117.45158568361
769,2239,2239,2225.5302432508506,336.94045879503864,0.9970365163957177,0.994081815026508,4156.480369021985
773,2249,2249,2237.09607026386,338.1812978927113,0.9970473738034921,0.9941034656084404,4174.995107046184
787,2321,2321,2305.6836076665313,348.068469394528,0.9971311251563254,0.9942704807555194,4310.117778177284
797,2346,2346,2334.955318056196,351.15267623585237,0.9971562868912239,0.9943206604866929,4356.372012264117
809,2381,2381,2370.081370523793,355.5961027942561,0.9971917711706205,0.9943914284903992,4421.900548970514
811,2390,2390,2375.935712601725,356.8086527280115,0.9972013010635936,0.9944104348429239,4439.16390590564
821,2421,2421,2405.2074229913887,360.7766429698729,0.9972320398229253,0.9944717412493924,4497.450014723017
823,2424,2424,2411.0617650693207,361.09277753897976,0.9972344598015145,0.9944765678156183,4502.698856263185
827,2435,2435,2422.770449225187,362.4696028754395,0.9972449501041405,0.9944974905082096,4523.211790624186
829,2443,2443,2428.624791303118,363.52975700255405,0.997252973552155,0.9945134932586154,4538.473500118513
839,2468,2468,2457.8965016927823,366.59577479194905,0.9972759169420097,0.9945592545125262,4584.7584428046275
853,2542,2542,2528.29068934176,376.66181201325935,0.997348619659912,0.9947042691375317,4723.717282410109
857,2553,2553,2540.1373045321093,378.02968366222586,0.9973582007942846,0.9947233806916125,4744.217253591487
859,2560,2560,2546.0606121272826,378.93540018359533,0.9973645067910548,0.9947359594065639,4757.4741622253105
