role,grid_n,index,window,target,predicted,residual,percent_error
P,320,134,development,293.5584341393563,175.33796859893178,-118.2204655404245,40.271527502529054
P,320,135,development,294.9653696192655,175.6716654804708,-119.29370413879471,40.44329145918935
P,320,136,development,295.57325487895827,176.10803570468806,-119.4652191742702,40.41814244092992
P,320,137,development,297.97927706194344,176.76949206196045,-121.20978499998299,40.677253195290525
P,320,138,development,299.8403260537213,177.22170490257253,-122.61862115114877,40.894639745415574
P,320,139,development,301.64932546219416,177.55961216627534,-124.08971329591881,41.13707634047769
P,320,140,development,302.6967495896069,178.77064654668808,-123.92610304291881,40.94067848793769
P,320,141,development,304.8643713408573,179.6752733446671,-125.18909799619021,41.06386635000422
P,320,142,development,305.7289126020368,180.24714759823325,-125.48176500380356,41.043473427435195
P,320,143,development,307.2194961281701,180.8551702214067,-126.36432590676338,41.131610297949635
P,320,144,development,310.1094631467019,181.5085784110242,-128.6008847356777,41.46951319406888
P,320,145,development,311.165141530356,181.81295101434722,-129.35219051600876,41.570270332928565
P,320,146,development,312.4278011806009,182.57564363761097,-129.85215754298994,41.5622928088682
P,320,147,development,313.9852857311589,183.0720804520154,-130.9132052791435,41.69405740600032
P,320,148,development,315.47561608947575,183.81863102869778,-131.65698506077797,41.73285615311618
P,320,149,development,317.7348059423702,184.30054152340975,-133.43426441896045,41.99548237191312
P,320,150,development,318.8531042563166,184.39293443509183,-134.46016982122478,42.16994221675703
P,320,151,development,321.1601343091136,185.097723989711,-136.06241031940257,42.36590902295607
P,320,152,development,322.14455867248296,185.80705918934746,-136.3374994831355,42.32183838366388
P,320,153,development,323.4669695575121,186.48661368380448,-136.9803558737076,42.34755593781041
P,320,154,development,324.8628660517396,187.06034924085293,-137.8025168108867,42.418672988293906
P,320,155,development,327.44390126190547,187.39112960092214,-140.05277166098332,42.77153158792912
P,320,156,development,329.03307168048093,187.84667558955394,-141.186396090927,42.90948486419352
P,320,157,development,329.9532397282339,188.5736773934397,-141.37956233479417,42.84836313510409
P,320,158,development,331.4744675826634,189.38498632152388,-142.08948126113953,42.865890183745485
P,320,159,development,333.64537852486984,189.80474181391946,-143.84063671095038,43.111832493201625
P,320,160,development,334.2113548332444,191.03860490138263,-143.17274993186177,42.83898433172571
P,320,161,development,336.84185042839067,191.81270490979284,-145.02914551859783,43.055560149118
P,320,162,development,338.3399928508066,192.37009543216072,-145.96989741864587,43.14296284891521
P,320,163,development,339.85821672536355,192.45785932811845,-147.4003573972451,43.37113247326842
P,320,164,development,341.04226111104657,193.7552226197985,-147.28703849124807,43.18732757970134
P,320,165,development,342.0548775103636,194.50007878290936,-147.55479872745425,43.137756082131474
P,320,166,development,344.6617029402523,195.31633971344107,-149.34536322681126,43.33100021057475
P,320,167,development,346.34787056600993,195.66773198081714,-150.6801385851928,43.50543236744829
P,320,168,development,347.2726775844205,196.80042398698703,-150.47225359743345,43.32971273297316
P,320,169,development,349.31626087069617,196.98229606145688,-152.3339648092393,43.609182243487844
P,320,170,development,350.4084193491921,197.5189316637065,-152.88948768548562,43.631796282019934
