alphabet_size,label_atoms,length,canonical_label_word,canonical_atom_word,content_vector,primitive,mixed,word_weight,connected_log_first_repetition,shared_included,disjoint_included,de_rham_cancels_word
3,2|3|5,3,1|2|2,3|5|5,2:0|3:1|5:2,True,True,1/5625,1/5625,True,False,False
3,2|3|5,4,0|0|0|1,2|2|2|3,2:3|3:1|5:0,True,True,1/576,1/576,True,False,False
3,2|3|5,4,0|0|0|2,2|2|2|5,2:3|3:0|5:1,True,True,1/1600,1/1600,True,False,False
3,2|3|5,4,0|0|1|1,2|2|3|3,2:2|3:2|5:0,True,True,1/1296,1/1296,True,False,False
3,2|3|5,4,0|0|1|2,2|2|3|5,2:2|3:1|5:1,True,True,1/3600,1/3600,True,False,False
3,2|3|5,4,0|0|2|1,2|2|5|3,2:2|3:1|5:1,True,True,1/3600,1/3600,True,False,False
3,2|3|5,4,0|0|2|2,2|2|5|5,2:2|3:0|5:2,True,True,1/10000,1/10000,True,False,False
3,2|3|5,4,0|1|0|2,2|3|2|5,2:2|3:1|5:1,True,True,1/3600,1/3600,True,False,False
3,2|3|5,4,0|1|1|1,2|3|3|3,2:1|3:3|5:0,True,True,1/2916,1/2916,True,False,False
3,2|3|5,4,0|1|1|2,2|3|3|5,2:1|3:2|5:1,True,True,1/8100,1/8100,True,False,False
3,2|3|5,4,0|1|2|1,2|3|5|3,2:1|3:2|5:1,True,True,1/8100,1/8100,True,False,False
3,2|3|5,4,0|1|2|2,2|3|5|5,2:1|3:1|5:2,True,True,1/22500,1/22500,True,False,False
3,2|3|5,4,0|2|1|1,2|5|3|3,2:1|3:2|5:1,True,True,1/8100,1/8100,True,False,False
3,2|3|5,4,0|2|1|2,2|5|3|5,2:1|3:1|5:2,True,True,1/22500,1/22500,True,False,False
3,2|3|5,4,0|2|2|1,2|5|5|3,2:1|3:1|5:2,True,True,1/22500,1/22500,True,False,False
3,2|3|5,4,0|2|2|2,2|5|5|5,2:1|3:0|5:3,True,True,1/62500,1/62500,True,False,False
3,2|3|5,4,1|1|1|2,3|3|3|5,2:0|3:3|5:1,True,True,1/18225,1/18225,True,False,False
3,2|3|5,4,1|1|2|2,3|3|5|5,2:0|3:2|5:2,True,True,1/50625,1/50625,True,False,False
3,2|3|5,4,1|2|2|2,3|5|5|5,2:0|3:1|5:3,True,True,1/140625,1/140625,True,False,False
3,2|3|5,5,0|0|0|0|1,2|2|2|2|3,2:4|3:1|5:0,True,True,1/2304,1/2304,True,False,False
3,2|3|5,5,0|0|0|0|2,2|2|2|2|5,2:4|3:0|5:1,True,True,1/6400,1/6400,True,False,False
3,2|3|5,5,0|0|0|1|1,2|2|2|3|3,2:3|3:2|5:0,True,True,1/5184,1/5184,True,False,False
3,2|3|5,5,0|0|0|1|2,2|2|2|3|5,2:3|3:1|5:1,True,True,1/14400,1/14400,True,False,False
3,2|3|5,5,0|0|0|2|1,2|2|2|5|3,2:3|3:1|5:1,True,True,1/14400,1/14400,True,False,False
3,2|3|5,5,0|0|0|2|2,2|2|2|5|5,2:3|3:0|5:2,True,True,1/40000,1/40000,True,False,False
3,2|3|5,5,0|0|1|0|1,2|2|3|2|3,2:3|3:2|5:0,True,True,1/5184,1/5184,True,False,False
3,2|3|5,5,0|0|1|0|2,2|2|3|2|5,2:3|3:1|5:1,True,True,1/14400,1/14400,True,False,False
3,2|3|5,5,0|0|1|1|1,2|2|3|3|3,2:2|3:3|5:0,True,True,1/11664,1/11664,True,False,False
3,2|3|5,5,0|0|1|1|2,2|2|3|3|5,2:2|3:2|5:1,True,True,1/32400,1/32400,True,False,False
3,2|3|5,5,0|0|1|2|1,2|2|3|5|3,2:2|3:2|5:1,True,True,1/32400,1/32400,True,False,False
3,2|3|5,5,0|0|1|2|2,2|2|3|5|5,2:2|3:1|5:2,True,True,1/90000,1/90000,True,False,False
3,2|3|5,5,0|0|2|0|1,2|2|5|2|3,2:3|3:1|5:1,True,True,1/14400,1/14400,True,False,False
3,2|3|5,5,0|0|2|0|2,2|2|5|2|5,2:3|3:0|5:2,True,True,1/40000,1/40000,True,False,False
3,2|3|5,5,0|0|2|1|1,2|2|5|3|3,2:2|3:2|5:1,True,True,1/32400,1/32400,True,False,False
3,2|3|5,5,0|0|2|1|2,2|2|5|3|5,2:2|3:1|5:2,True,True,1/90000,1/90000,True,False,False
3,2|3|5,5,0|0|2|2|1,2|2|5|5|3,2:2|3:1|5:2,True,True,1/90000,1/90000,True,False,False
3,2|3|5,5,0|0|2|2|2,2|2|5|5|5,2:2|3:0|5:3,True,True,1/250000,1/250000,True,False,False
3,2|3|5,5,0|1|0|1|1,2|3|2|3|3,2:2|3:3|5:0,True,True,1/11664,1/11664,True,False,False
3,2|3|5,5,0|1|0|1|2,2|3|2|3|5,2:2|3:2|5:1,True,True,1/32400,1/32400,True,False,False
3,2|3|5,5,0|1|0|2|1,2|3|2|5|3,2:2|3:2|5:1,True,True,1/32400,1/32400,True,False,False
3,2|3|5,5,0|1|0|2|2,2|3|2|5|5,2:2|3:1|5:2,True,True,1/90000,1/90000,True,False,False
3,2|3|5,5,0|1|1|0|2,2|3|3|2|5,2:2|3:2|5:1,True,True,1/32400,1/32400,True,False,False
3,2|3|5,5,0|1|1|1|1,2|3|3|3|3,2:1|3:4|5:0,True,True,1/26244,1/26244,True,False,False
3,2|3|5,5,0|1|1|1|2,2|3|3|3|5,2:1|3:3|5:1,True,True,1/72900,1/72900,True,False,False
3,2|3|5,5,0|1|1|2|1,2|3|3|5|3,2:1|3:3|5:1,True,True,1/72900,1/72900,True,False,False
3,2|3|5,5,0|1|1|2|2,2|3|3|5|5,2:1|3:2|5:2,True,True,1/202500,1/202500,True,False,False
3,2|3|5,5,0|1|2|0|2,2|3|5|2|5,2:2|3:1|5:2,True,True,1/90000,1/90000,True,False,False
3,2|3|5,5,0|1|2|1|1,2|3|5|3|3,2:1|3:3|5:1,True,True,1/72900,1/72900,True,False,False
3,2|3|5,5,0|1|2|1|2,2|3|5|3|5,2:1|3:2|5:2,True,True,1/202500,1/202500,True,False,False
3,2|3|5,5,0|1|2|2|1,2|3|5|5|3,2:1|3:2|5:2,True,True,1/202500,1/202500,True,False,False
3,2|3|5,5,0|1|2|2|2,2|3|5|5|5,2:1|3:1|5:3,True,True,1/562500,1/562500,True,False,False
3,2|3|5,5,0|2|0|2|1,2|5|2|5|3,2:2|3:1|5:2,True,True,1/90000,1/90000,True,False,False
3,2|3|5,5,0|2|0|2|2,2|5|2|5|5,2:2|3:0|5:3,True,True,1/250000,1/250000,True,False,False
3,2|3|5,5,0|2|1|1|1,2|5|3|3|3,2:1|3:3|5:1,True,True,1/72900,1/72900,True,False,False
3,2|3|5,5,0|2|1|1|2,2|5|3|3|5,2:1|3:2|5:2,True,True,1/202500,1/202500,True,False,False
3,2|3|5,5,0|2|1|2|1,2|5|3|5|3,2:1|3:2|5:2,True,True,1/202500,1/202500,True,False,False
3,2|3|5,5,0|2|1|2|2,2|5|3|5|5,2:1|3:1|5:3,True,True,1/562500,1/562500,True,False,False
3,2|3|5,5,0|2|2|1|1,2|5|5|3|3,2:1|3:2|5:2,True,True,1/202500,1/202500,True,False,False
3,2|3|5,5,0|2|2|1|2,2|5|5|3|5,2:1|3:1|5:3,True,True,1/562500,1/562500,True,False,False
3,2|3|5,5,0|2|2|2|1,2|5|5|5|3,2:1|3:1|5:3,True,True,1/562500,1/562500,True,False,False
3,2|3|5,5,0|2|2|2|2,2|5|5|5|5,2:1|3:0|5:4,True,True,1/1562500,1/1562500,True,False,False
3,2|3|5,5,1|1|1|1|2,3|3|3|3|5,2:0|3:4|5:1,True,True,1/164025,1/164025,True,False,False
3,2|3|5,5,1|1|1|2|2,3|3|3|5|5,2:0|3:3|5:2,True,True,1/455625,1/455625,True,False,False
3,2|3|5,5,1|1|2|1|2,3|3|5|3|5,2:0|3:3|5:2,True,True,1/455625,1/455625,True,False,False
3,2|3|5,5,1|1|2|2|2,3|3|5|5|5,2:0|3:2|5:3,True,True,1/1265625,1/1265625,True,False,False
3,2|3|5,5,1|2|1|2|2,3|5|3|5|5,2:0|3:2|5:3,True,True,1/1265625,1/1265625,True,False,False
3,2|3|5,5,1|2|2|2|2,3|5|5|5|5,2:0|3:1|5:4,True,True,1/3515625,1/3515625,True,False,False
3,2|3|5,6,0|0|0|0|0|1,2|2|2|2|2|3,2:5|3:1|5:0,True,True,1/9216,1/9216,True,False,False
3,2|3|5,6,0|0|0|0|0|2,2|2|2|2|2|5,2:5|3:0|5:1,True,True,1/25600,1/25600,True,False,False
3,2|3|5,6,0|0|0|0|1|1,2|2|2|2|3|3,2:4|3:2|5:0,True,True,1/20736,1/20736,True,False,False
3,2|3|5,6,0|0|0|0|1|2,2|2|2|2|3|5,2:4|3:1|5:1,True,True,1/57600,1/57600,True,False,False
3,2|3|5,6,0|0|0|0|2|1,2|2|2|2|5|3,2:4|3:1|5:1,True,True,1/57600,1/57600,True,False,False
3,2|3|5,6,0|0|0|0|2|2,2|2|2|2|5|5,2:4|3:0|5:2,True,True,1/160000,1/160000,True,False,False
3,2|3|5,6,0|0|0|1|0|1,2|2|2|3|2|3,2:4|3:2|5:0,True,True,1/20736,1/20736,True,False,False
3,2|3|5,6,0|0|0|1|0|2,2|2|2|3|2|5,2:4|3:1|5:1,True,True,1/57600,1/57600,True,False,False
3,2|3|5,6,0|0|0|1|1|1,2|2|2|3|3|3,2:3|3:3|5:0,True,True,1/46656,1/46656,True,False,False
3,2|3|5,6,0|0|0|1|1|2,2|2|2|3|3|5,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|0|1|2|1,2|2|2|3|5|3,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|0|1|2|2,2|2|2|3|5|5,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|0|2|0|1,2|2|2|5|2|3,2:4|3:1|5:1,True,True,1/57600,1/57600,True,False,False
3,2|3|5,6,0|0|0|2|0|2,2|2|2|5|2|5,2:4|3:0|5:2,True,True,1/160000,1/160000,True,False,False
3,2|3|5,6,0|0|0|2|1|1,2|2|2|5|3|3,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|0|2|1|2,2|2|2|5|3|5,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|0|2|2|1,2|2|2|5|5|3,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|0|2|2|2,2|2|2|5|5|5,2:3|3:0|5:3,True,True,1/1000000,1/1000000,True,False,False
3,2|3|5,6,0|0|1|0|0|2,2|2|3|2|2|5,2:4|3:1|5:1,True,True,1/57600,1/57600,True,False,False
3,2|3|5,6,0|0|1|0|1|1,2|2|3|2|3|3,2:3|3:3|5:0,True,True,1/46656,1/46656,True,False,False
3,2|3|5,6,0|0|1|0|1|2,2|2|3|2|3|5,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|1|0|2|1,2|2|3|2|5|3,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|1|0|2|2,2|2|3|2|5|5,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|1|1|0|1,2|2|3|3|2|3,2:3|3:3|5:0,True,True,1/46656,1/46656,True,False,False
3,2|3|5,6,0|0|1|1|0|2,2|2|3|3|2|5,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|1|1|1|1,2|2|3|3|3|3,2:2|3:4|5:0,True,True,1/104976,1/104976,True,False,False
3,2|3|5,6,0|0|1|1|1|2,2|2|3|3|3|5,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|0|1|1|2|1,2|2|3|3|5|3,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|0|1|1|2|2,2|2|3|3|5|5,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|0|1|2|0|1,2|2|3|5|2|3,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|1|2|0|2,2|2|3|5|2|5,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|1|2|1|1,2|2|3|5|3|3,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|0|1|2|1|2,2|2|3|5|3|5,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|0|1|2|2|1,2|2|3|5|5|3,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|0|1|2|2|2,2|2|3|5|5|5,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|0|2|0|1|1,2|2|5|2|3|3,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|2|0|1|2,2|2|5|2|3|5,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|2|0|2|1,2|2|5|2|5|3,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|2|0|2|2,2|2|5|2|5|5,2:3|3:0|5:3,True,True,1/1000000,1/1000000,True,False,False
3,2|3|5,6,0|0|2|1|0|1,2|2|5|3|2|3,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|0|2|1|0|2,2|2|5|3|2|5,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|2|1|1|1,2|2|5|3|3|3,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|0|2|1|1|2,2|2|5|3|3|5,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|0|2|1|2|1,2|2|5|3|5|3,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|0|2|1|2|2,2|2|5|3|5|5,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|0|2|2|0|1,2|2|5|5|2|3,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|0|2|2|0|2,2|2|5|5|2|5,2:3|3:0|5:3,True,True,1/1000000,1/1000000,True,False,False
3,2|3|5,6,0|0|2|2|1|1,2|2|5|5|3|3,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|0|2|2|1|2,2|2|5|5|3|5,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|0|2|2|2|1,2|2|5|5|5|3,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|0|2|2|2|2,2|2|5|5|5|5,2:2|3:0|5:4,True,True,1/6250000,1/6250000,True,False,False
3,2|3|5,6,0|1|0|1|0|2,2|3|2|3|2|5,2:3|3:2|5:1,True,True,1/129600,1/129600,True,False,False
3,2|3|5,6,0|1|0|1|1|1,2|3|2|3|3|3,2:2|3:4|5:0,True,True,1/104976,1/104976,True,False,False
3,2|3|5,6,0|1|0|1|1|2,2|3|2|3|3|5,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|1|0|1|2|1,2|3|2|3|5|3,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|1|0|1|2|2,2|3|2|3|5|5,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|1|0|2|0|2,2|3|2|5|2|5,2:3|3:1|5:2,True,True,1/360000,1/360000,True,False,False
3,2|3|5,6,0|1|0|2|1|1,2|3|2|5|3|3,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|1|0|2|1|2,2|3|2|5|3|5,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|1|0|2|2|1,2|3|2|5|5|3,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|1|0|2|2|2,2|3|2|5|5|5,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|1|1|0|1|2,2|3|3|2|3|5,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|1|1|0|2|1,2|3|3|2|5|3,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|1|1|0|2|2,2|3|3|2|5|5,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|1|1|1|0|2,2|3|3|3|2|5,2:2|3:3|5:1,True,True,1/291600,1/291600,True,False,False
3,2|3|5,6,0|1|1|1|1|1,2|3|3|3|3|3,2:1|3:5|5:0,True,True,1/236196,1/236196,True,False,False
3,2|3|5,6,0|1|1|1|1|2,2|3|3|3|3|5,2:1|3:4|5:1,True,True,1/656100,1/656100,True,False,False
3,2|3|5,6,0|1|1|1|2|1,2|3|3|3|5|3,2:1|3:4|5:1,True,True,1/656100,1/656100,True,False,False
3,2|3|5,6,0|1|1|1|2|2,2|3|3|3|5|5,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|1|1|2|0|2,2|3|3|5|2|5,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|1|1|2|1|1,2|3|3|5|3|3,2:1|3:4|5:1,True,True,1/656100,1/656100,True,False,False
3,2|3|5,6,0|1|1|2|1|2,2|3|3|5|3|5,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|1|1|2|2|1,2|3|3|5|5|3,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|1|1|2|2|2,2|3|3|5|5|5,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|1|2|0|2|1,2|3|5|2|5|3,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|1|2|0|2|2,2|3|5|2|5|5,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|1|2|1|0|2,2|3|5|3|2|5,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|1|2|1|1|1,2|3|5|3|3|3,2:1|3:4|5:1,True,True,1/656100,1/656100,True,False,False
3,2|3|5,6,0|1|2|1|1|2,2|3|5|3|3|5,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|1|2|1|2|1,2|3|5|3|5|3,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|1|2|1|2|2,2|3|5|3|5|5,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|1|2|2|0|2,2|3|5|5|2|5,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|1|2|2|1|1,2|3|5|5|3|3,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|1|2|2|1|2,2|3|5|5|3|5,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|1|2|2|2|1,2|3|5|5|5|3,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|1|2|2|2|2,2|3|5|5|5|5,2:1|3:1|5:4,True,True,1/14062500,1/14062500,True,False,False
3,2|3|5,6,0|2|0|2|1|1,2|5|2|5|3|3,2:2|3:2|5:2,True,True,1/810000,1/810000,True,False,False
3,2|3|5,6,0|2|0|2|1|2,2|5|2|5|3|5,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|2|0|2|2|1,2|5|2|5|5|3,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|2|0|2|2|2,2|5|2|5|5|5,2:2|3:0|5:4,True,True,1/6250000,1/6250000,True,False,False
3,2|3|5,6,0|2|1|0|2|2,2|5|3|2|5|5,2:2|3:1|5:3,True,True,1/2250000,1/2250000,True,False,False
3,2|3|5,6,0|2|1|1|1|1,2|5|3|3|3|3,2:1|3:4|5:1,True,True,1/656100,1/656100,True,False,False
3,2|3|5,6,0|2|1|1|1|2,2|5|3|3|3|5,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|2|1|1|2|1,2|5|3|3|5|3,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|2|1|1|2|2,2|5|3|3|5|5,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|2|1|2|1|1,2|5|3|5|3|3,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|2|1|2|1|2,2|5|3|5|3|5,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|2|1|2|2|1,2|5|3|5|5|3,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|2|1|2|2|2,2|5|3|5|5|5,2:1|3:1|5:4,True,True,1/14062500,1/14062500,True,False,False
3,2|3|5,6,0|2|2|1|1|1,2|5|5|3|3|3,2:1|3:3|5:2,True,True,1/1822500,1/1822500,True,False,False
3,2|3|5,6,0|2|2|1|1|2,2|5|5|3|3|5,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|2|2|1|2|1,2|5|5|3|5|3,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|2|2|1|2|2,2|5|5|3|5|5,2:1|3:1|5:4,True,True,1/14062500,1/14062500,True,False,False
3,2|3|5,6,0|2|2|2|1|1,2|5|5|5|3|3,2:1|3:2|5:3,True,True,1/5062500,1/5062500,True,False,False
3,2|3|5,6,0|2|2|2|1|2,2|5|5|5|3|5,2:1|3:1|5:4,True,True,1/14062500,1/14062500,True,False,False
3,2|3|5,6,0|2|2|2|2|1,2|5|5|5|5|3,2:1|3:1|5:4,True,True,1/14062500,1/14062500,True,False,False
3,2|3|5,6,0|2|2|2|2|2,2|5|5|5|5|5,2:1|3:0|5:5,True,True,1/39062500,1/39062500,True,False,False
3,2|3|5,6,1|1|1|1|1|2,3|3|3|3|3|5,2:0|3:5|5:1,True,True,1/1476225,1/1476225,True,False,False
3,2|3|5,6,1|1|1|1|2|2,3|3|3|3|5|5,2:0|3:4|5:2,True,True,1/4100625,1/4100625,True,False,False
3,2|3|5,6,1|1|1|2|1|2,3|3|3|5|3|5,2:0|3:4|5:2,True,True,1/4100625,1/4100625,True,False,False
3,2|3|5,6,1|1|1|2|2|2,3|3|3|5|5|5,2:0|3:3|5:3,True,True,1/11390625,1/11390625,True,False,False
3,2|3|5,6,1|1|2|1|2|2,3|3|5|3|5|5,2:0|3:3|5:3,True,True,1/11390625,1/11390625,True,False,False
3,2|3|5,6,1|1|2|2|1|2,3|3|5|5|3|5,2:0|3:3|5:3,True,True,1/11390625,1/11390625,True,False,False
3,2|3|5,6,1|1|2|2|2|2,3|3|5|5|5|5,2:0|3:2|5:4,True,True,1/31640625,1/31640625,True,False,False
3,2|3|5,6,1|2|1|2|2|2,3|5|3|5|5|5,2:0|3:2|5:4,True,True,1/31640625,1/31640625,True,False,False
3,2|3|5,6,1|2|2|2|2|2,3|5|5|5|5|5,2:0|3:1|5:5,True,True,1/87890625,1/87890625,True,False,False
4,2|3|5|7,1,0,2,2:1|3:0|5:0|7:0,True,False,1/4,1/4,True,True,False
4,2|3|5|7,1,1,3,2:0|3:1|5:0|7:0,True,False,1/9,1/9,True,True,False
