case,atoms,degree,power,actual_supertrace,expected_weight_sum_power,exact_match
shared_squares,4|9|16,3,8,50569595280540563264643841/34182189187166852111368841966125056,50569595280540563264643841/34182189187166852111368841966125056,True
shared_squares,4|9|16,4,1,1633/20736,1633/20736,True
shared_squares,4|9|16,4,2,2666689/429981696,2666689/429981696,True
shared_squares,4|9|16,4,3,4354703137/8916100448256,4354703137/8916100448256,True
shared_squares,4|9|16,4,4,7111230222721/184884258895036416,7111230222721/184884258895036416,True
shared_squares,4|9|16,4,5,11612638953703393/3833759992447475122176,11612638953703393/3833759992447475122176,True
shared_squares,4|9|16,4,6,18963439411397640769/79496847203390844133441536,18963439411397640769/79496847203390844133441536,True
shared_squares,4|9|16,4,7,30967296558812347375777/1648446623609512543951043690496,30967296558812347375777/1648446623609512543951043690496,True
shared_squares,4|9|16,4,8,50569595280540563264643841/34182189187166852111368841966125056,50569595280540563264643841/34182189187166852111368841966125056,True
shared_squares,4|9|16,5,1,1633/20736,1633/20736,True
shared_squares,4|9|16,5,2,2666689/429981696,2666689/429981696,True
shared_squares,4|9|16,5,3,4354703137/8916100448256,4354703137/8916100448256,True
shared_squares,4|9|16,5,4,7111230222721/184884258895036416,7111230222721/184884258895036416,True
shared_squares,4|9|16,5,5,11612638953703393/3833759992447475122176,11612638953703393/3833759992447475122176,True
shared_squares,4|9|16,5,6,18963439411397640769/79496847203390844133441536,18963439411397640769/79496847203390844133441536,True
shared_squares,4|9|16,5,7,30967296558812347375777/1648446623609512543951043690496,30967296558812347375777/1648446623609512543951043690496,True
shared_squares,4|9|16,5,8,50569595280540563264643841/34182189187166852111368841966125056,50569595280540563264643841/34182189187166852111368841966125056,True
shared_fibonacci,5|8|13|21,2,1,7609081/119246400,7609081/119246400,True
shared_fibonacci,5|8|13|21,2,2,57898113664561/14219703912960000,57898113664561/14219703912960000,True
shared_fibonacci,5|8|13|21,2,3,440551436620851478441/1695648500686393344000000,440551436620851478441/1695648500686393344000000,True
shared_fibonacci,5|8|13|21,2,4,3352191565914425188427322721/202199979372249935255961600000000,3352191565914425188427322721/202199979372249935255961600000000,True
shared_fibonacci,5|8|13|21,2,5,25507097152559700327183761197229401/24111619620215064679506499338240000000000,25507097152559700327183761197229401/24111619620215064679506499338240000000000,True
shared_fibonacci,5|8|13|21,2,6,194085568308696117125267740834375487790481/2875223837880013688798303822687502336000000000000,194085568308696117125267740834375487790481/2875223837880013688798303822687502336000000000000,True
shared_fibonacci,5|8|13|21,2,7,1476812810191901759591649386695770671012280957961/342860091861375264339918056961722978559590400000000000000,1476812810191901759591649386695770671012280957961/342860091861375264339918056961722978559590400000000000000,True
shared_fibonacci,5|8|13|21,2,8,11237188294587806032775387106968441393156797803882843841/40884831658138299321583604587680402990508340674560000000000000000,11237188294587806032775387106968441393156797803882843841/40884831658138299321583604587680402990508340674560000000000000000,True
shared_fibonacci,5|8|13|21,3,1,7609081/119246400,7609081/119246400,True
shared_fibonacci,5|8|13|21,3,2,57898113664561/14219703912960000,57898113664561/14219703912960000,True
shared_fibonacci,5|8|13|21,3,3,440551436620851478441/1695648500686393344000000,440551436620851478441/1695648500686393344000000,True
shared_fibonacci,5|8|13|21,3,4,3352191565914425188427322721/202199979372249935255961600000000,3352191565914425188427322721/202199979372249935255961600000000,True
shared_fibonacci,5|8|13|21,3,5,25507097152559700327183761197229401/24111619620215064679506499338240000000000,25507097152559700327183761197229401/24111619620215064679506499338240000000000,True
shared_fibonacci,5|8|13|21,3,6,194085568308696117125267740834375487790481/2875223837880013688798303822687502336000000000000,194085568308696117125267740834375487790481/2875223837880013688798303822687502336000000000000,True
shared_fibonacci,5|8|13|21,3,7,1476812810191901759591649386695770671012280957961/342860091861375264339918056961722978559590400000000000000,1476812810191901759591649386695770671012280957961/342860091861375264339918056961722978559590400000000000000,True
shared_fibonacci,5|8|13|21,3,8,11237188294587806032775387106968441393156797803882843841/40884831658138299321583604587680402990508340674560000000000000000,11237188294587806032775387106968441393156797803882843841/40884831658138299321583604587680402990508340674560000000000000000,True
shared_fibonacci,5|8|13|21,4,1,7609081/119246400,7609081/119246400,True
shared_fibonacci,5|8|13|21,4,2,57898113664561/14219703912960000,57898113664561/14219703912960000,True
shared_fibonacci,5|8|13|21,4,3,440551436620851478441/1695648500686393344000000,440551436620851478441/1695648500686393344000000,True
shared_fibonacci,5|8|13|21,4,4,3352191565914425188427322721/202199979372249935255961600000000,3352191565914425188427322721/202199979372249935255961600000000,True
shared_fibonacci,5|8|13|21,4,5,25507097152559700327183761197229401/24111619620215064679506499338240000000000,25507097152559700327183761197229401/24111619620215064679506499338240000000000,True
shared_fibonacci,5|8|13|21,4,6,194085568308696117125267740834375487790481/2875223837880013688798303822687502336000000000000,194085568308696117125267740834375487790481/2875223837880013688798303822687502336000000000000,True
shared_fibonacci,5|8|13|21,4,7,1476812810191901759591649386695770671012280957961/342860091861375264339918056961722978559590400000000000000,1476812810191901759591649386695770671012280957961/342860091861375264339918056961722978559590400000000000000,True
shared_fibonacci,5|8|13|21,4,8,11237188294587806032775387106968441393156797803882843841/40884831658138299321583604587680402990508340674560000000000000000,11237188294587806032775387106968441393156797803882843841/40884831658138299321583604587680402990508340674560000000000000000,True
shared_fibonacci,5|8|13|21,5,1,7609081/119246400,7609081/119246400,True
shared_fibonacci,5|8|13|21,5,2,57898113664561/14219703912960000,57898113664561/14219703912960000,True
shared_fibonacci,5|8|13|21,5,3,440551436620851478441/1695648500686393344000000,440551436620851478441/1695648500686393344000000,True
shared_fibonacci,5|8|13|21,5,4,3352191565914425188427322721/202199979372249935255961600000000,3352191565914425188427322721/202199979372249935255961600000000,True
shared_fibonacci,5|8|13|21,5,5,25507097152559700327183761197229401/24111619620215064679506499338240000000000,25507097152559700327183761197229401/24111619620215064679506499338240000000000,True
shared_fibonacci,5|8|13|21,5,6,194085568308696117125267740834375487790481/2875223837880013688798303822687502336000000000000,194085568308696117125267740834375487790481/2875223837880013688798303822687502336000000000000,True
shared_fibonacci,5|8|13|21,5,7,1476812810191901759591649386695770671012280957961/342860091861375264339918056961722978559590400000000000000,1476812810191901759591649386695770671012280957961/342860091861375264339918056961722978559590400000000000000,True
shared_fibonacci,5|8|13|21,5,8,11237188294587806032775387106968441393156797803882843841/40884831658138299321583604587680402990508340674560000000000000000,11237188294587806032775387106968441393156797803882843841/40884831658138299321583604587680402990508340674560000000000000000,True
