cutoff,inventory,architecture,atom_count,prime_density_matched,compiler_target_calls,inventory_loaded_post_freeze,cohomology_dimension,graded_factor_form,exact_weight_sum,exact_z1_value,mixed_primitives,atom_inventory_equivalent,selectivity_credit,proves_too_much
511,prime_evaluator,disjoint_components,97,True,0,True,97,product(1-z*weight),461791139886916328937745887416442697626244501230847523806138800659589009749851571256039847209360138043137221187900204142213717543097561042955691004862961639290343245810659648204819374592903172702165675925822214148364085922327170359164531507746630150423624704846979224756677893608041407493734456515125812602327704281120308786895106746854252924297560039030362543899906827657628234139597675692322083216835696240134545221168161/1021702492534530299899072035742377694654291383995838600773726890330910651183103702803957970443243383381404670165435594277368257820863918347253395258837776442644778147065600386574651713939027495101438551150014829615903743554323480302917259089368491936407661031327600039427685359429050549635168014916722956678327705338271134641077524129905552410376979518807600116583887542989560104418936886294184666313570090653425788004640900,1336093232485013149625848000611375047211355023396398665349525715156491450017401978170796431437789776864387302897310968410400288404556226255508017635532857847013764680718588237919319263125195803471023052479513724117759440421085411186925569521927593451176566579584890306560000000000000000000000000000000000000000000000000000000/2197202023760686827802830383855514597344974445405265643978005224585725722006173889756686339758058102603750516779181041671781344729696464374923631950369220232548450948850693212200799807448386598368247420415494492855750885468918232668817463392177666606545337500429234862221933992134393775205168812263242010546971691766248689483,False,True,False,True
511,square_control,shared_renewal,21,False,0,True,1,1-z*sum(weights),34526019422537833111340365785767/419544802226891154340280033280000,385018782804353321228939667494233/419544802226891154340280033280000,True,False,False,True
511,square_control,disjoint_components,21,False,0,True,21,product(1-z*weight),34526019422537833111340365785767/419544802226891154340280033280000,2615042401600849381405188878375/2845386866872199376292181704704,False,True,False,True
511,fibonacci_control,shared_renewal,12,False,0,True,1,1-z*sum(weights),23144664217615425920420437/54289875000526898603270400,31145210782911472682849963/54289875000526898603270400,True,False,False,True
511,fibonacci_control,disjoint_components,12,False,0,True,12,product(1-z*weight),23144664217615425920420437/54289875000526898603270400,13105311335424/21002761597129,False,True,False,True
511,all_integer_control,shared_renewal,510,False,0,True,1,1-z*sum(weights),45718738898673626743615622919540766690365055877542926643719375132360426129292740160130076353071357015604548918283116734161009163815990215224629522249863889353895901879235890550977156829546202154331329436190360835080708147864302527166650645200701876829047976603146358073711775145312738114744784826284427116045073751257542986148580458708233009096574370279956601667791232419252836091101109066424719320129303545783942116218140782985190853843268369/71104556344593367208511090820180215579503651042730802790570384393887284868723971545986792188107401220636186800389792144542154813107222848657893363969270829074113965248681085082296605148077744265997322519807710920335799237044613666538228403049504630725445876708316695298417852911379053729826252670262532760357459177954740859424851473544633201173829106874592853610894562617327330273395478597974026171316783420919838818658904392769962201292800000,25385817445919740464895467900639448889138595165187876146851009261526858739431231385856715835036044205031637882106675410381145649291232633433263841719406939720218063369445194531319448318531542111665993083617350085255091089180311139371577757848802753896397900105170337224706077766066315615081467843978105644312385426697197873276271014836400192077254736594636251943103330198074494182294369531549306851187479875135896702440763609784771347449531631/71104556344593367208511090820180215579503651042730802790570384393887284868723971545986792188107401220636186800389792144542154813107222848657893363969270829074113965248681085082296605148077744265997322519807710920335799237044613666538228403049504630725445876708316695298417852911379053729826252670262532760357459177954740859424851473544633201173829106874592853610894562617327330273395478597974026171316783420919838818658904392769962201292800000,True,False,False,True
511,all_integer_control,disjoint_components,510,False,0,True,510,product(1-z*weight),45718738898673626743615622919540766690365055877542926643719375132360426129292740160130076353071357015604548918283116734161009163815990215224629522249863889353895901879235890550977156829546202154331329436190360835080708147864302527166650645200701876829047976603146358073711775145312738114744784826284427116045073751257542986148580458708233009096574370279956601667791232419252836091101109066424719320129303545783942116218140782985190853843268369/71104556344593367208511090820180215579503651042730802790570384393887284868723971545986792188107401220636186800389792144542154813107222848657893363969270829074113965248681085082296605148077744265997322519807710920335799237044613666538228403049504630725445876708316695298417852911379053729826252670262532760357459177954740859424851473544633201173829106874592853610894562617327330273395478597974026171316783420919838818658904392769962201292800000,256/511,False,True,False,True
511,matched_density_seeded_random,shared_renewal,97,True,0,True,1,1-z*sum(weights),1457132928954969286550484114306800398564434960560656378525124484082056081971682251629381825343254042540853564911271262321103718944378750593705765570181460126695417652276563126017986514673/73265680206677270178116651641248420959695114623863778951295995222255844234185450193127266937031128135577609589607086872044373627423683798644097184298667945856306154765576974152853626880000,71808547277722300891566167526941620561130679663303122572770870738173788152213767941497885111687874093036756024695815609723269908479305048050391418728486485729610737113300411026835640365327/73265680206677270178116651641248420959695114623863778951295995222255844234185450193127266937031128135577609589607086872044373627423683798644097184298667945856306154765576974152853626880000,True,False,False,True
511,matched_density_seeded_random,disjoint_components,97,True,0,True,97,product(1-z*weight),1457132928954969286550484114306800398564434960560656378525124484082056081971682251629381825343254042540853564911271262321103718944378750593705765570181460126695417652276563126017986514673/73265680206677270178116651641248420959695114623863778951295995222255844234185450193127266937031128135577609589607086872044373627423683798644097184298667945856306154765576974152853626880000,19498378593071872289941786785649113357555104240218187401537550854920364558953525714207880190872826521077458782509630508524322509765625/19890977706762144252766174510632121683920398874842225884691636500184439602356098223763228038175744653320040455150785029642815727992832,False,True,False,True
511,matched_density_hash,shared_renewal,97,True,0,True,1,1-z*sum(weights),609143922300663949736346723418298094035623528527583600002018142585736638518082548254805565475875759256540777280846951057185972809642064417682139658775800977703491865729/11346572342485835095434268527337372596051932877343595905748278171130103798770552735288251729491209708239609447812266277565474722541262969547957575103421148508821905920000,10737428420185171145697921803919074502016309348816012305746260028544367160252470187033446164015333948983068670531419326508288749731620905130275435444645347531118414054271/11346572342485835095434268527337372596051932877343595905748278171130103798770552735288251729491209708239609447812266277565474722541262969547957575103421148508821905920000,True,False,False,True
511,matched_density_hash,disjoint_components,97,True,0,True,97,product(1-z*weight),609143922300663949736346723418298094035623528527583600002018142585736638518082548254805565475875759256540777280846951057185972809642064417682139658775800977703491865729/11346572342485835095434268527337372596051932877343595905748278171130103798770552735288251729491209708239609447812266277565474722541262969547957575103421148508821905920000,774466705290472487937574726650947175292354191645115048399907467667435866012177053419110153395092533383665828119458611200000000000/817580623450585202863228760877446387699982472863196166893950672979801635739524301423787846738628189030001243566963108210805783317,False,True,False,True
511,arbitrary_decidable_modular,shared_renewal,218,False,0,True,1,1-z*sum(weights),29300268263380869687392952179433153554780988477831721977366592186833611476260832787422871959675373921231680577285082702758301208765356587230676409769055943899488907573608468977777801727388618855832249828121540632459712990166875437724230600267972110591322384552159303816989451362667147820303/76943148395008811599453752046570664365284458499063503735830463445801967260625124007320801015155818142408181687003950485616727890081451348968105173977485574641567673299868154525698854740189565743175199627335106320888819128348270325546149458541350607458101198372663872181776704122579968000000,47642880131627941912060799867137510810503470021231781758463871258968355784364291219897929055480444221176501109718867782858426681316094761737428764208429630742078765726259685547921053012800946887342949799213565688429106138181394887821918858273378496866778813820504568364787252759912820179697/76943148395008811599453752046570664365284458499063503735830463445801967260625124007320801015155818142408181687003950485616727890081451348968105173977485574641567673299868154525698854740189565743175199627335106320888819128348270325546149458541350607458101198372663872181776704122579968000000,True,False,False,True
511,arbitrary_decidable_modular,disjoint_components,218,False,0,True,218,product(1-z*weight),29300268263380869687392952179433153554780988477831721977366592186833611476260832787422871959675373921231680577285082702758301208765356587230676409769055943899488907573608468977777801727388618855832249828121540632459712990166875437724230600267972110591322384552159303816989451362667147820303/76943148395008811599453752046570664365284458499063503735830463445801967260625124007320801015155818142408181687003950485616727890081451348968105173977485574641567673299868154525698854740189565743175199627335106320888819128348270325546149458541350607458101198372663872181776704122579968000000,226513129806893349689420672852759780040672721482518387897610381620783487251131750881887938063730926645998947654982162218698972917712282293449346971512673881288647273965117168069939698276095225/345016874026935942774471598540647773790490508485360923462401517909974851007083402662703926853469791453275334027337567765542212403920083803958545849118519315902878080153100604484889727780323328,False,True,False,True
