atom,gamma_code_length,return_marker_degree,digit_marker_degree,return_and_digit_markers_equal,digit_weight_form,return_weight_form,u_equals_one_specialization,first_return_changes_object,whole_codeword_alphabet,original_digit_euler_marker_match
111,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
112,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
113,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
114,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
115,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
116,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
117,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
118,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
119,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
120,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
121,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
122,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
123,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
124,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
125,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
126,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
127,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
128,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
129,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
130,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
131,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
132,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
133,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
134,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
135,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
136,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
137,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
138,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
139,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
140,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
141,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
142,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
143,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
144,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
145,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
146,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
147,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
148,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
149,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
150,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
151,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
152,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
153,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
154,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
155,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
156,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
157,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
158,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
159,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
160,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
161,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
162,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
163,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
164,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
165,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
166,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
167,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
168,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
169,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
170,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
171,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
172,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
173,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
174,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
175,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
176,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
177,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
178,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
179,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
180,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
181,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
182,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
183,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
184,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
185,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
186,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
187,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
188,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
189,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
190,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
191,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
192,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
193,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
194,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
195,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
196,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
197,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
198,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
199,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
200,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
201,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
202,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
203,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
204,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
205,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
206,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
207,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
208,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
209,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
210,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
211,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
212,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
213,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
214,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
215,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
216,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
217,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
218,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
219,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
220,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
221,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
222,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
223,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
224,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
225,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
226,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
227,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
228,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
229,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
230,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
231,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
232,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
233,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
234,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
235,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
236,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
237,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
238,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
239,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
240,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
241,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
242,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
243,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
244,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
245,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
246,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
247,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
248,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
249,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
250,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
251,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
252,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
253,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
254,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
255,15,1,15,False,u^15*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
256,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
257,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
258,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
259,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
260,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
261,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
262,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
263,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
264,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
265,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
266,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
267,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
268,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
269,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
270,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
271,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
272,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
273,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
274,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
275,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
276,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
277,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
278,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
279,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
280,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
281,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
282,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
283,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
284,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
285,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
286,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
287,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
288,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
289,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
290,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
291,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
292,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
293,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
294,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
295,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
296,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
297,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
298,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
299,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
300,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
301,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
302,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
303,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
304,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
305,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
306,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
307,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
308,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
309,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
310,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
311,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
312,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
313,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
314,17,1,17,False,u^17*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
