cutoff,inventory,atoms,power,shared_supertrace,disjoint_supertrace,mixed_difference,equal,mixed_survives
127,matched_density_seeded_random,2|11|15|19,2,108925729689001/1545504106410000,96741954346801/1545504106410000,51653/6552150,False,True
127,matched_density_seeded_random,2|11|15|19,3,1136830500405951497749/60758248384885689000000,949388552986528266049/60758248384885689000000,529772238797/171722678490000,False,True
127,matched_density_seeded_random,2|11|15|19,4,11864814588281313888180378001/2388582942930172603088100000000,9330414336365417383612473601/2388582942930172603088100000000,5372282914590156803/5063187365407140750000,False,True
127,matched_density_seeded_random,2|11|15|19,5,123830091789430414441152671921558749/93902122377119582527942166490000000000,91701295182395593170299935498789249/93902122377119582527942166490000000000,54483891389399444407735097/159238862862011506872540000000,False,True
127,matched_density_seeded_random,2|11|15|19,6,1292383586653246088488285707524656352067001/3691564746799464435962737597004721000000000000,901260925717954349587543868830857064070401/3691564746799464435962737597004721000000000000,552720270410662119248872279545503/5216784576506643473774564805000000000,False,True
127,matched_density_seeded_random,2|11|15|19,7,13488283105619679460784027369722249657778920619749/145126115734452665424559506877286896200900000000000000,8857795150195217273269583024432236062282998072449/145126115734452665424559506877286896200900000000000000,39261819533575172420201717886410598009779/1230521582266488145320912532334907000000000000,False,True
127,matched_density_seeded_random,2|11|15|19,8,140773825214293083992658236866921319393574491999244756001/5705328475256964190569165437916092021656361610000000000000000,87056403736345820019776639036610342242894185269321907201/5705328475256964190569165437916092021656361610000000000000000,56933624711340789720509041805521615414067124203/6046921488935527726023312786553620675037500000000000,False,True
127,matched_density_hash,6|9|13|15,1,69109/1368900,69109/1368900,0/1,True,False
127,matched_density_hash,6|9|13|15,2,4776053881/1873887210000,1834135681/1873887210000,9671/6160050,False,True
127,matched_density_hash,6|9|13|15,3,330068307662029/2565164201769000000,60563820866329/2565164201769000000,590630039/5621661630000,False,True
