case,atoms,degree,branch_count,weight_sum,chain_residual_zero,zero_form_characteristic,one_form_characteristic,cohomology_factor,characteristic_quotient_exact,ordinary_block_determinant,ordinary_block_equals_graded_ratio
single_31,31,3,1,1/961,True,(z - 128983236608)*(z - 251920384)*(z - 492032)*(z - 961)/15364319033627693409258962944,-(z - 128983236608)*(z - 251920384)*(z - 492032)/15987844988166174203183104,1 - z/961,True,-(z - 128983236608)**2*(z - 251920384)**2*(z - 492032)**2*(z - 961)/245642351058370675004085623921653450833834686782898176,False
single_31,31,4,1,1/961,True,-(z - 66039417143296)*(z - 128983236608)*(z - 251920384)*(z - 492032)*(z - 961)/1014650673784421728044918269619536002023424,(z - 66039417143296)*(z - 128983236608)*(z - 251920384)*(z - 492032)/1055827964395860278922911831029694070784,1 - z/961,True,-(z - 66039417143296)**2*(z - 128983236608)**2*(z - 251920384)**2*(z - 492032)**2*(z - 961)/1071296555474694066772649365689792959574467600629728233179307247522663919482044416,False
single_31,31,5,1,1/961,True,(z - 33812181577367552)*(z - 66039417143296)*(z - 128983236608)*(z - 251920384)*(z - 492032)*(z - 961)/34307552819597198107049701519486759806739851391875361538048,-(z - 33812181577367552)*(z - 66039417143296)*(z - 128983236608)*(z - 251920384)*(z - 492032)/35699846846615190538032988053576232889427524861472800768,1 - z/961,True,-(z - 33812181577367552)**2*(z - 66039417143296)**2*(z - 128983236608)**2*(z - 251920384)**2*(z - 492032)**2*(z - 961)/1224774381341781121710078613792941609196144506779694078889477011143629661894907248479463186245835257306794755620864,False
shared_2_3,2|3,2,2,13/36,True,-(13*z - 2304)*(13*z - 288)*(13*z - 36)/23887872,(13*z - 2304)*(13*z - 288)/663552,1 - 13*z/36,True,-(13*z - 2304)**2*(13*z - 288)**2*(13*z - 36)/15850845241344,False
shared_2_3,2|3,3,2,13/36,True,(13*z - 18432)*(13*z - 2304)*(13*z - 288)*(13*z - 36)/440301256704,-(13*z - 18432)*(13*z - 2304)*(13*z - 288)/12230590464,1 - 13*z/36,True,-(13*z - 18432)**2*(13*z - 2304)**2*(13*z - 288)**2*(13*z - 36)/5385144351531158470656,False
shared_2_3,2|3,4,2,13/36,True,-(13*z - 147456)*(13*z - 18432)*(13*z - 2304)*(13*z - 288)*(13*z - 36)/64925062108545024,(13*z - 147456)*(13*z - 18432)*(13*z - 2304)*(13*z - 288)/1803473947459584,1 - 13*z/36,True,-(13*z - 147456)**2*(13*z - 18432)**2*(13*z - 2304)**2*(13*z - 288)**2*(13*z - 36)/117090658049956356604583284310016,False
shared_2_3,2|3,5,2,13/36,True,(13*z - 1179648)*(13*z - 147456)*(13*z - 18432)*(13*z - 2304)*(13*z - 288)*(13*z - 36)/76588719666220920471552,-(13*z - 1179648)*(13*z - 147456)*(13*z - 18432)*(13*z - 2304)*(13*z - 288)/2127464435172803346432,1 - 13*z/36,True,-(13*z - 1179648)**2*(13*z - 147456)**2*(13*z - 18432)**2*(13*z - 2304)**2*(13*z - 288)**2*(13*z - 36)/162939777225304866213455614381611521056702464,False
shared_2_3_5,2|3|5,2,3,361/900,True,-(167*z - 3600)*(361*z - 900)*(1309*z - 230400)/746496000000,(167*z - 3600)*(1309*z - 230400)/829440000,1 - 361*z/900,True,-(167*z - 3600)**2*(361*z - 900)*(1309*z - 230400)**2/619173642240000000000,False
shared_2_3_5,2|3|5,3,3,361/900,True,(167*z - 3600)*(361*z - 900)*(1309*z - 230400)*(5209*z - 7372800)/5503765708800000000,-(167*z - 3600)*(1309*z - 230400)*(5209*z - 7372800)/6115295232000000,1 - 361*z/900,True,-(167*z - 3600)**2*(361*z - 900)*(1309*z - 230400)**2*(5209*z - 7372800)**2/33657152197069740441600000000000000,False
shared_2_3_5,2|3|5,4,3,361/900,True,-(167*z - 3600)*(361*z - 900)*(1309*z - 230400)*(5209*z - 7372800)*(20809*z - 235929600)/1298501242170900480000000000,(167*z - 3600)*(1309*z - 230400)*(5209*z - 7372800)*(20809*z - 235929600)/1442779157967667200000000,1 - 361*z/900,True,-(167*z - 3600)**2*(361*z - 900)*(1309*z - 230400)**2*(5209*z - 7372800)**2*(20809*z - 235929600)**2/1873450528799301705673332548960256000000000000000000,False
shared_2_3_5,2|3|5,5,3,361/900,True,(167*z - 3600)*(361*z - 900)*(1309*z - 230400)*(5209*z - 7372800)*(20809*z - 235929600)*(83209*z - 7549747200)/9803356117276277820358656000000000000,-(167*z - 3600)*(1309*z - 230400)*(5209*z - 7372800)*(20809*z - 235929600)*(83209*z - 7549747200)/10892617908084753133731840000000000,1 - 361*z/900,True,-(167*z - 3600)**2*(361*z - 900)*(1309*z - 230400)**2*(5209*z - 7372800)**2*(20809*z - 235929600)**2*(83209*z - 7549747200)**2/106784212402375797121650271441132926439720526807040000000000000000000000,False
shared_squares,4|9|16,2,3,1633/20736,True,-(1633*z - 20736)*(21841*z - 10616832)*(335953*z - 5435817984)/1196698744784701882368,(21841*z - 10616832)*(335953*z - 5435817984)/57711166318706688,1 - 1633*z/20736,True,-(1633*z - 20736)*(21841*z - 10616832)**2*(335953*z - 5435817984)**2/69062880293657458077941731084870877184,False
shared_squares,4|9|16,3,3,1633/20736,True,(1633*z - 20736)*(21841*z - 10616832)*(335953*z - 5435817984)*(5324881*z - 2783138807808)/3330578717865425254530368975929344,-(21841*z - 10616832)*(335953*z - 5435817984)*(5324881*z - 2783138807808)/160618186625454535808756219904,1 - 1633*z/20736,True,-(1633*z - 20736)*(21841*z - 10616832)**2*(335953*z - 5435817984)**2*(5324881*z - 2783138807808)**2/534951514076875962458298145927549709299736308118011818830462976,False
shared_squares,4|9|16,4,3,1633/20736,True,-(1633*z - 20736)*(21841*z - 10616832)*(335953*z - 5435817984)*(5324881*z - 2783138807808)*(85000273*z - 1424967069597696)/4745964995661146538740012064050352286209801191424,(21841*z - 10616832)*(335953*z - 5435817984)*(5324881*z - 2783138807808)*(85000273*z - 1424967069597696)/228875626719769798357446569446872698987741184,1 - 1633*z/20736,True,-(1633*z - 20736)*(21841*z - 10616832)**2*(335953*z - 5435817984)**2*(5324881*z - 2783138807808)**2*(85000273*z - 1424967069597696)**2/1086235712772034465870376739458393036677167368787193745129702380707041879509233243173752406016,False
shared_squares,4|9|16,5,3,1633/20736,True,(1633*z - 20736)*(21841*z - 10616832)*(335953*z - 5435817984)*(5324881*z - 2783138807808)*(85000273*z - 1424967069597696)*(1359216721*z - 729583139634020352)/3462576042127619069201681707803249160362224068031804697172663861248,-(21841*z - 10616832)*(335953*z - 5435817984)*(5324881*z - 2783138807808)*(85000273*z - 1424967069597696)*(1359216721*z - 729583139634020352)/166983798327913728260111965075388173242777009453694285164576768,1 - 1633*z/20736,True,-(1633*z - 20736)*(21841*z - 10616832)**2*(335953*z - 5435817984)**2*(5324881*z - 2783138807808)**2*(85000273*z - 1424967069597696)**2*(1359216721*z - 729583139634020352)**2/578194099513704052230731718842701273604491854596294498786218875027776504118320695737312803880951844452060237574146323914596286464,False
shared_fibonacci,5|8|13|21,2,4,7609081/119246400,True,-(7609081*z - 119246400)*(21715849*z - 15263539200)*(78903421*z - 1953733017600)/3556032644511471174156288000000,(21715849*z - 15263539200)*(78903421*z - 1953733017600)/29820880500471889920000,1 - 7609081*z/119246400,True,-(7609081*z - 119246400)*(21715849*z - 15263539200)**2*(78903421*z - 1953733017600)**2/106044024547753618723845259343038916811816960000000000,False
shared_fibonacci,5|8|13|21,3,4,7609081/119246400,True,(7609081*z - 119246400)*(21715849*z - 15263539200)*(78903421*z - 1953733017600)*(153921917*z - 125038913126400)/444642456911712297913585900048298803200000000,-(21715849*z - 15263539200)*(78903421*z - 1953733017600)*(153921917*z - 125038913126400)/3728770486251260397912103845888000000,1 - 7609081*z/119246400,True,-(7609081*z - 119246400)*(21715849*z - 15263539200)**2*(78903421*z - 1953733017600)**2*(153921917*z - 125038913126400)**2/1657969670266640564835670803443654531019387929385760173750507641241600000000000000,False
shared_fibonacci,5|8|13|21,4,4,7609081/119246400,True,-(7609081*z - 119246400)*(21715849*z - 15263539200)*(78903421*z - 1953733017600)*(153921917*z - 125038913126400)*(4894612069*z - 128039847041433600)/56931952171102872835571080530373824120252303692267520000000000,(21715849*z - 15263539200)*(78903421*z - 1953733017600)*(153921917*z - 125038913126400)*(4894612069*z - 128039847041433600)/477431202712223369724965118698542045044985036800000000,1 - 7609081*z/119246400,True,-(7609081*z - 119246400)*(21715849*z - 15263539200)**2*(78903421*z - 1953733017600)**2*(153921917*z - 125038913126400)**2*(4894612069*z - 128039847041433600)**2/27181090397804421063863281334047503066766061392945512999967811001817438457331241614759830262644736000000000000000000,False
shared_fibonacci,5|8|13|21,5,4,7609081/119246400,True,(7609081*z - 119246400)*(21715849*z - 15263539200)*(78903421*z - 1953733017600)*(153921917*z - 125038913126400)*(4894612069*z - 128039847041433600)*(78190426129*z - 65556401685214003200)/3732253925252211401013035673934674542297759459954869347396288264536064000000000000,-(21715849*z - 15263539200)*(78903421*z - 1953733017600)*(153921917*z - 125038913126400)*(4894612069*z - 128039847041433600)*(78190426129*z - 65556401685214003200)/31298671702057348490294345774251252384120270800249477949827317760000000000,1 - 7609081*z/119246400,True,-(7609081*z - 119246400)*(21715849*z - 15263539200)**2*(78903421*z - 1953733017600)**2*(153921917*z - 125038913126400)**2*(4894612069*z - 128039847041433600)**2*(78190426129*z - 65556401685214003200)**2/116814590315183851317816834145235217166715635462569246432090745072175396052608647768648210334543970287363006742160985722582999907696640000000000000000000000,False
