atom,code_length,q,alpha_from_r1,power,normalized_trace_over_w_power,target,residual,match,r1_fit,r2_plus_failure,q_zero_rank_one_boundary
30,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
30,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
30,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
31,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
31,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
31,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
31,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
31,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
31,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
32,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
32,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
32,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
32,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
32,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
32,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
33,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
33,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
33,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
33,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
33,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
33,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
34,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
34,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
34,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
34,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
34,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
34,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
35,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
35,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
35,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
35,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
35,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
35,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
36,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
36,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
36,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
36,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
36,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
36,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
37,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
37,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
37,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
